"Name","TeamAbbreviation","GamesPlayed","Minutes","SecondChanceOffPoss","SecondChancePoints","SecondChancePointsPct","SecondChanceFG2M","SecondChanceFG2A","SecondChanceFg2Pct","SecondChanceFG3M","SecondChanceFG3A","SecondChanceFg3Pct","SecondChanceFtPoints","SecondChanceEfgPct","SecondChanceTsPct","SecondChanceShotQualityAvg","SecondChanceAtRimFGM","SecondChanceAtRimFGA","SecondChanceAtRimFrequency","SecondChanceAtRimAccuracy","SecondChanceAtRimPctAssisted","SecondChanceCorner3FGM","SecondChanceCorner3FGA","SecondChanceCorner3Frequency","SecondChanceCorner3Accuracy","SecondChanceCorner3PctAssisted","SecondChanceArc3FGM","SecondChanceArc3FGA","SecondChanceArc3Frequency","SecondChanceArc3Accuracy","SecondChanceArc3PctAssisted","SecondChanceTurnovers"
"Zach LaVine","CHI",60,2085,11.095700416088766,3.005085529357374,0.08496732026143791,0.6934812760055479,1.4563106796116505,0.47619047619047616,0.39297272306981046,0.7859454461396209,0.5,0.439204808136847,0.5721649484536082,0.6074766355140186,0.5370407692307692,0.6010171058714748,1.132686084142395,0.5051546391752577,0.5306122448979592,0.34615384615384615,0.18492834026814609,0.34674063800277394,0.15463917525773196,0.5333333333333333,1,0.20804438280166435,0.439204808136847,0.1958762886597938,0.47368421052631576,0.7777777777777778,0.20804438280166435
"Tomas Satoransky","CHI",65,1878,10.97938144329897,1.2628865979381443,0.07608695652173914,0.28350515463917525,0.7731958762886598,0.36666666666666664,0.10309278350515463,0.4381443298969072,0.23529411764705882,0.3865979381443299,0.3617021276595745,0.4537037037037037,0.5387017857142857,0.23195876288659795,0.5412371134020618,0.44680851063829785,0.42857142857142855,0.3333333333333333,0.02577319587628866,0.05154639175257732,0.0425531914893617,0.5,1,0.07731958762886598,0.3865979381443299,0.3191489361702128,0.2,1,0.20618556701030927
"Coby White","CHI",65,1674,11.79164281625644,2.1465369204350315,0.08731082654249127,0.34344590726960506,0.8872352604464797,0.3870967741935484,0.4293073840870063,1.1734401831711505,0.36585365853658536,0.17172295363480253,0.4791666666666667,0.4934210526315789,0.5342907894736841,0.2289639381797367,0.5151688609044076,0.25,0.4444444444444444,0.25,0.08586147681740126,0.2289639381797367,0.1111111111111111,0.375,1,0.34344590726960506,0.9444762449914138,0.4583333333333333,0.36363636363636365,1,0.17172295363480253
"Thaddeus Young","CHI",64,1591,11.523378582202112,3.167420814479638,0.15933232169954475,1.0256410256410255,1.779788838612368,0.576271186440678,0.30165912518853694,0.7239819004524887,0.4166666666666667,0.21116138763197587,0.5903614457831325,0.5965909090909091,0.5653342105263157,0.9351432880844646,1.5686274509803921,0.6265060240963856,0.5961538461538461,0.0967741935483871,0.12066365007541478,0.30165912518853694,0.12048192771084337,0.4,0.75,0.18099547511312217,0.42232277526395173,0.1686746987951807,0.42857142857142855,1,0.27149321266968324
"Lauri Markkanen","CHI",50,1492,10.463618802318093,2.7688345138441726,0.11668928086838534,0.9980682549903412,1.5775917578879588,0.6326530612244898,0.09658725048293625,0.6761107533805538,0.14285714285714285,0.48293625241468124,0.5071428571428571,0.5443037974683544,0.5637813725490196,0.9980682549903412,1.4810045074050224,0.6571428571428571,0.6739130434782609,0.12903225806451613,0.0643915003219575,0.16097875080489377,0.07142857142857142,0.4,1,0.03219575016097875,0.51513200257566,0.22857142857142856,0.0625,1,0.16097875080489377
"Kris Dunn","CHI",51,1269,10.317157050057318,1.184562476117692,0.08310991957104558,0.30569354222392053,0.38211692777990064,0.8,0.15284677111196027,0.30569354222392053,0.5,0.1146350783339702,0.7777777777777778,0.775,0.56077,0.2292701566679404,0.26748184944593045,0.3888888888888889,0.8571428571428571,0.16666666666666666,0.07642338555598013,0.07642338555598013,0.1111111111111111,1,1,0.07642338555598013,0.2292701566679404,0.3333333333333333,0.3333333333333333,1,0.26748184944593045
"Wendell Carter Jr.","CHI",43,1256,12.602100350058343,5.017502917152859,0.2665289256198347,1.866977829638273,3.189420458965383,0.5853658536585366,0.038895371450797356,0.11668611435239207,0.3333333333333333,1.1668611435239207,0.5823529411764706,0.6201923076923077,0.5843985294117647,1.7113963438350837,2.528199144301828,0.7647058823529411,0.676923076923077,0.1590909090909091,0,0.07779074290159471,0.023529411764705882,0,0,0.038895371450797356,0.038895371450797356,0.011764705882352941,1,1,0.38895371450797356
"Ryan Arcidiacono","CHI",58,930,12.273433454168824,1.7607457276022787,0.13026819923371646,0.31071983428275507,0.7250129466597618,0.42857142857142855,0.31071983428275507,0.6214396685655101,0.5,0.20714655618850336,0.5769230769230769,0.5862068965517241,0.4996,0.20714655618850336,0.31071983428275507,0.23076923076923078,0.6666666666666666,0.5,0.05178663904712584,0.20714655618850336,0.15384615384615385,0.25,1,0.2589331952356292,0.4142931123770067,0.3076923076923077,0.625,1,0.05178663904712584
"Daniel Gafford","CHI",43,609,11.066878980891719,4.777070063694268,0.2727272727272727,2.229299363057325,3.105095541401274,0.717948717948718,0,0,0,0.3184713375796178,0.717948717948718,0.6521739130434783,0.6046533333333334,2.229299363057325,3.0254777070063694,0.9743589743589743,0.7368421052631579,0.07142857142857142,0,0,0,0,0,0,0,0,0,0,0.23885350318471338
"Luke Kornet","CHI",36,559,9.1458153580673,2.0707506471095773,0.11162790697674418,0.6039689387402933,1.1216566005176876,0.5384615384615384,0.1725625539257981,0.7765314926660914,0.2222222222222222,0.3451251078515962,0.45454545454545453,0.48,0.56468,0.5176876617773943,0.9490940465918896,0.5,0.5454545454545454,0.16666666666666666,0,0.25884383088869717,0.13636363636363635,0,0,0.1725625539257981,0.5176876617773943,0.2727272727272727,0.3333333333333333,1,0
