"Name","TeamAbbreviation","GamesPlayed","Minutes","SecondChanceOffPoss","SecondChancePoints","SecondChancePointsPct","SecondChanceFG2M","SecondChanceFG2A","SecondChanceFg2Pct","SecondChanceFG3M","SecondChanceFG3A","SecondChanceFg3Pct","SecondChanceFtPoints","SecondChanceEfgPct","SecondChanceTsPct","SecondChanceShotQualityAvg","SecondChanceAtRimFGM","SecondChanceAtRimFGA","SecondChanceAtRimFrequency","SecondChanceAtRimAccuracy","SecondChanceAtRimPctAssisted","SecondChanceCorner3FGM","SecondChanceCorner3FGA","SecondChanceCorner3Frequency","SecondChanceCorner3Accuracy","SecondChanceCorner3PctAssisted","SecondChanceArc3FGM","SecondChanceArc3FGA","SecondChanceArc3Frequency","SecondChanceArc3Accuracy","SecondChanceArc3PctAssisted","SecondChanceTurnovers"
"Collin Sexton","CLE",65,2143,12.576617480136209,2.7695800227014757,0.0904373610081542,1.0215664018161181,1.7026106696935301,0.6,0.1362088535754824,0.36322360953461974,0.375,0.3178206583427923,0.5934065934065934,0.6161616161616161,0.51792109375,0.6356413166855845,0.8853575482406356,0.42857142857142855,0.717948717948718,0.17857142857142858,0.04540295119182747,0.04540295119182747,0.02197802197802198,1,1,0.09080590238365494,0.3178206583427923,0.15384615384615385,0.2857142857142857,0.75,0.29511918274687854
"Cedi Osman","CLE",65,1910,11.91326530612245,1.1479591836734695,0.06267409470752089,0.20408163265306123,0.6122448979591837,0.3333333333333333,0.22959183673469388,0.7142857142857143,0.32142857142857145,0.05102040816326531,0.41346153846153844,0.42452830188679247,0.5461371428571429,0.17857142857142858,0.45918367346938777,0.34615384615384615,0.3888888888888889,0.14285714285714285,0.025510204081632654,0.20408163265306123,0.15384615384615385,0.125,1,0.20408163265306123,0.5102040816326531,0.38461538461538464,0.4,0.625,0.20408163265306123
"Darius Garland","CLE",59,1824,12.667380824852705,1.6068559185859668,0.08241758241758242,0.32137118371719336,0.8837707552222818,0.36363636363636365,0.2945902517407606,0.8034279592929834,0.36666666666666664,0.08034279592929834,0.4523809523809524,0.46153846153846156,0.49235,0.16068559185859668,0.3749330476700589,0.2222222222222222,0.42857142857142855,0.16666666666666666,0.10712372790573112,0.21424745581146223,0.12698412698412698,0.5,1,0.18746652383502946,0.5891805034815212,0.3492063492063492,0.3181818181818182,1,0.16068559185859668
"Kevin Love","CLE",56,1780,11.73734610123119,2.7906976744186047,0.1033434650455927,0.6566347469220246,1.4500683994528043,0.4528301886792453,0.3009575923392613,1.1491108071135432,0.2619047619047619,0.5745554035567716,0.4263157894736842,0.4855769230769231,0.5072039682539683,0.35567715458276333,0.7387140902872777,0.28421052631578947,0.48148148148148145,0.15384615384615385,0.19151846785225718,0.24623803009575923,0.09473684210526316,0.7777777777777778,1,0.1094391244870041,0.9028727770177839,0.3473684210526316,0.12121212121212122,1,0.4103967168262654
"Tristan Thompson","CLE",57,1722,13.239517518667432,4.968408960367605,0.25292397660818716,2.0390580126364157,4.2504307869040785,0.4797297297297297,0.02871912693854107,0.14359563469270534,0.2,0.80413555427915,0.4738562091503268,0.5,0.5523443548387097,1.6369902354968409,3.2739804709936817,0.7450980392156863,0.5,0.10526315789473684,0,0.05743825387708214,0.013071895424836602,0,0,0.02871912693854107,0.0861573808156232,0.0196078431372549,0.3333333333333333,0,0.402067777139575
"Larry Nance Jr.","CLE",56,1472,12.860013395847288,3.9182853315472204,0.2074468085106383,1.5740120562625586,2.3107836570663096,0.6811594202898551,0.16744809109176156,0.46885465505693236,0.35714285714285715,0.2679169457468185,0.6566265060240963,0.6573033707865169,0.5474438461538461,1.3730743469524447,1.9758874748827864,0.7108433734939759,0.6949152542372882,0.04878048780487805,0.033489618218352314,0.13395847287340926,0.04819277108433735,0.25,1,0.13395847287340926,0.33489618218352313,0.12048192771084337,0.4,1,0.13395847287340926
"Kevin Porter Jr.","CLE",50,1162,12.181663837011884,2.67402376910017,0.12650602409638553,0.8488964346349746,1.3157894736842106,0.6451612903225806,0.21222410865874364,0.5942275042444821,0.35714285714285715,0.3395585738539898,0.6111111111111112,0.6428571428571429,0.5604566666666667,0.7215619694397284,0.933786078098472,0.4888888888888889,0.7727272727272727,0.5882352941176471,0.042444821731748725,0.042444821731748725,0.022222222222222223,1,1,0.1697792869269949,0.5517826825127334,0.28888888888888886,0.3076923076923077,1,0.21222410865874364
"Matthew Dellavedova","CLE",57,821,10.96543504171633,0.8939213349225268,0.0847457627118644,0.29797377830750893,0.5363528009535161,0.5555555555555556,0,0.4767580452920143,0,0.29797377830750893,0.29411764705882354,0.39473684210526316,0.5155714285714286,0.11918951132300358,0.23837902264600716,0.23529411764705882,0.5,0,0,0,0,0,0,0,0.4767580452920143,0.47058823529411764,0,0,0.23837902264600716
"Jordan Clarkson","CLE",29,666,11.549925484351714,2.682563338301043,0.0851063829787234,0.6706408345752608,1.0432190760059612,0.6428571428571429,0.37257824143070045,0.7451564828614009,0.5,0.22354694485842028,0.6875,0.6923076923076923,0.577765625,0.6706408345752608,0.8941877794336811,0.5,0.75,0.2222222222222222,0.29806259314456035,0.5216095380029806,0.2916666666666667,0.5714285714285714,1,0.07451564828614009,0.22354694485842028,0.125,0.3333333333333333,1,0.22354694485842028
"Alfonzo McKinnie","CLE",40,593,12.725779967159278,3.4482758620689653,0.23076923076923078,1.1494252873563218,1.6420361247947455,0.7,0.24630541871921183,0.7389162561576355,0.3333333333333333,0.41050903119868637,0.6379310344827587,0.65625,0.5181633333333333,0.9852216748768473,1.3136288998357963,0.5517241379310345,0.75,0.08333333333333333,0.16420361247947454,0.24630541871921183,0.10344827586206896,0.6666666666666666,1,0.08210180623973727,0.49261083743842365,0.20689655172413793,0.16666666666666666,1,0.16420361247947454
"John Henson","CLE",29,412,11.465721040189125,3.900709219858156,0.22758620689655173,1.6548463356973995,2.482269503546099,0.6666666666666666,0,0.3546099290780142,0,0.5910165484633569,0.5833333333333334,0.6111111111111112,0.5316150000000001,1.5366430260047281,2.0094562647754137,0.7083333333333334,0.7647058823529411,0.23076923076923078,0,0,0,0,0,0,0.3546099290780142,0.125,0,0,0.1182033096926714
"Dante Exum","CLE",24,402,12.302070645554203,1.218026796589525,0.07407407407407407,0.48721071863581,0.48721071863581,1,0,0.1218026796589525,0,0.243605359317905,0.8,0.8333333333333334,0.5215375,0.48721071863581,0.48721071863581,0.8,1,0,0,0,0,0,0,0,0.1218026796589525,0.2,0,0,0.3654080389768575
"Brandon Knight","CLE",16,241,10.179640718562874,0.998003992015968,0.06329113924050633,0.1996007984031936,0.1996007984031936,1,0.1996007984031936,0.7984031936127745,0.25,0,0.5,0.5,0.5134125,0.1996007984031936,0.1996007984031936,0.2,1,0,0,0.3992015968063872,0.4,0,0,0.1996007984031936,0.3992015968063872,0.4,0.5,1,0.3992015968063872
"Andre Drummond","CLE",8,225,12.101910828025478,5.307855626326964,0.17857142857142858,2.335456475583864,4.246284501061571,0.55,0,0.21231422505307856,0,0.6369426751592356,0.5238095238095238,0.5208333333333334,0.61831875,2.335456475583864,4.033970276008493,0.9047619047619048,0.5789473684210527,0.09090909090909091,0,0,0,0,0,0,0.21231422505307856,0.047619047619047616,0,0,0.21231422505307856
"Ante Zizic","CLE",22,221,10.526315789473685,5.921052631578948,0.28125,2.6315789473684212,3.9473684210526314,0.6666666666666666,0,0,0,0.6578947368421053,0.6666666666666666,0.7105263157894737,0.5597916666666667,1.9736842105263157,3.0701754385964914,0.7777777777777778,0.6428571428571429,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0
"Dean Wade","CLE",12,71,8.333333333333334,2.5641025641025643,0.2,1.2820512820512822,1.2820512820512822,1,0,0,0,0,1,1,0.69355,1.2820512820512822,1.2820512820512822,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cook","CLE",11,35,8.108108108108109,5.405405405405405,0.21052631578947367,1.3513513513513513,1.3513513513513513,1,0,0,0,2.7027027027027026,1,1,0,1.3513513513513513,1.3513513513513513,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Matt Mooney","CLE",4,19,21.05263157894737,0,0,0,0,0,0,2.6315789473684212,0,0,0,0,0,0,0,0,0,0,0,2.6315789473684212,1,0,0,0,0,0,0,0,0
"Malik Newman","CLE",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marques Bolden","CLE",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"J.P. Macura","CLE",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
