"Name","TeamAbbreviation","GamesPlayed","Minutes","SecondChanceOffPoss","SecondChancePoints","SecondChancePointsPct","SecondChanceFG2M","SecondChanceFG2A","SecondChanceFg2Pct","SecondChanceFG3M","SecondChanceFG3A","SecondChanceFg3Pct","SecondChanceFtPoints","SecondChanceEfgPct","SecondChanceTsPct","SecondChanceShotQualityAvg","SecondChanceAtRimFGM","SecondChanceAtRimFGA","SecondChanceAtRimFrequency","SecondChanceAtRimAccuracy","SecondChanceAtRimPctAssisted","SecondChanceCorner3FGM","SecondChanceCorner3FGA","SecondChanceCorner3Frequency","SecondChanceCorner3Accuracy","SecondChanceCorner3PctAssisted","SecondChanceArc3FGM","SecondChanceArc3FGA","SecondChanceArc3Frequency","SecondChanceArc3Accuracy","SecondChanceArc3PctAssisted","SecondChanceTurnovers"
"Dorian Finney-Smith","DAL",76,2274,11.290322580645162,2.4946236559139785,0.16044260027662519,0.7741935483870968,1.5913978494623655,0.4864864864864865,0.17204301075268819,0.5591397849462365,0.3076923076923077,0.43010752688172044,0.48,0.5225225225225225,0.5600369863013699,0.7096774193548387,1.3978494623655915,0.65,0.5076923076923077,0.15151515151515152,0.06451612903225806,0.23655913978494625,0.11,0.2727272727272727,1,0.10752688172043011,0.3225806451612903,0.15,0.3333333333333333,1,0.27956989247311825
"Tim Hardaway Jr.","DAL",76,2262,11.054637865311308,2.626005929690809,0.10180623973727422,0.5506141465480728,0.9741634900465904,0.5652173913043478,0.4235493434985176,1.1224057602710715,0.37735849056603776,0.25412960609911056,0.5656565656565656,0.5904761904761905,0.48854385964912284,0.25412960609911056,0.33883947479881404,0.16161616161616163,0.75,0.3333333333333333,0.1058873358746294,0.25412960609911056,0.12121212121212122,0.4166666666666667,1,0.3176620076238882,0.868276154171961,0.41414141414141414,0.36585365853658536,0.8666666666666667,0.042354934349851756
"Luka Doncic","DAL",66,2220,11.209694871239991,3.65721705258602,0.0886208704771893,1.211858904998918,1.7528673447305778,0.691358024691358,0.19476303830339753,0.6924908028565245,0.28125,0.6492101276779918,0.6150442477876106,0.6614173228346457,0.5352292307692308,1.0170958666955205,1.2551395801774508,0.5132743362831859,0.8103448275862069,0.1702127659574468,0.06492101276779917,0.12984202553559834,0.05309734513274336,0.5,1,0.12984202553559834,0.5626487773209262,0.23008849557522124,0.23076923076923078,0.6666666666666666,0.3678857390175287
"Maxi Kleber","DAL",79,2057,11.49587750294464,1.9787985865724382,0.11948790896159317,0.49469964664310956,1.0600706713780919,0.4666666666666667,0.18845700824499412,0.35335689045936397,0.5333333333333333,0.42402826855123676,0.55,0.5915492957746479,0.5472318181818182,0.4004711425206125,0.9187279151943463,0.65,0.4358974358974359,0.23529411764705882,0.11778563015312132,0.21201413427561838,0.15,0.5555555555555556,1,0.0706713780918728,0.1413427561837456,0.1,0.5,1,0.21201413427561838
"Kristaps Porzingis","DAL",60,1908,11.052499372017081,4.270283848279327,0.13765182186234817,1.3815624215021352,2.5119316754584275,0.55,0.30143180105501133,0.6782215523737755,0.4444444444444444,0.6028636021100227,0.5748031496062992,0.6028368794326241,0.5241914772727273,1.1806078874654609,1.6578749058025621,0.5196850393700787,0.7121212121212122,0.2127659574468085,0.05023863350916855,0.05023863350916855,0.015748031496062992,1,1,0.25119316754584275,0.6279829188646069,0.1968503937007874,0.4,0.9,0.35167043456417985
"Seth Curry","DAL",69,1720,10.796410544026921,2.7201346045989903,0.11239860950173812,0.532809871003926,0.7291082445316882,0.7307692307692307,0.5047672462142456,1.2058328659562536,0.4186046511627907,0.14021312394840157,0.6666666666666666,0.6736111111111112,0.5255527777777778,0.28042624789680315,0.30846887268648343,0.15942028985507245,0.9090909090909091,0.3,0.08412787436904094,0.2523836231071228,0.13043478260869565,0.3333333333333333,1,0.4206393718452047,0.9534492428491307,0.4927536231884058,0.4411764705882353,0.8,0.08412787436904094
"Delon Wright","DAL",77,1623,11.931818181818182,2.242822966507177,0.14423076923076922,0.5681818181818182,1.1662679425837321,0.48717948717948717,0.23923444976076555,0.5980861244019139,0.4,0.388755980861244,0.5254237288135594,0.5597014925373134,0.5381054054054054,0.4784688995215311,0.8373205741626795,0.4745762711864407,0.5714285714285714,0.1875,0.11961722488038277,0.17942583732057416,0.1016949152542373,0.6666666666666666,1,0.11961722488038277,0.41866028708133973,0.23728813559322035,0.2857142857142857,0.75,0.14952153110047847
"Dwight Powell","DAL",40,1061,11.467038068709378,2.971216341689879,0.1702127659574468,1.1606313834726092,1.4856081708449396,0.78125,0.09285051067780872,0.23212627669452182,0.4,0.3714020427112349,0.7567567567567568,0.7441860465116279,0.5988826923076923,1.1606313834726092,1.4391829155060354,0.8378378378378378,0.8064516129032258,0.28,0.04642525533890436,0.09285051067780872,0.05405405405405406,0.5,1,0.04642525533890436,0.1392757660167131,0.08108108108108109,0.3333333333333333,1,0.2785515320334262
"Justin Jackson","DAL",67,1059,11.167279411764707,1.7463235294117647,0.1046831955922865,0.5055147058823529,1.1029411764705883,0.4583333333333333,0.13786764705882354,0.6893382352941176,0.2,0.32169117647058826,0.3974358974358974,0.4418604651162791,0.504832,0.32169117647058826,0.5974264705882353,0.3333333333333333,0.5384615384615384,0.42857142857142855,0,0.13786764705882354,0.07692307692307693,0,0,0.13786764705882354,0.5514705882352942,0.3076923076923077,0.25,0.6666666666666666,0.04595588235294118
"Jalen Brunson","DAL",57,1022,11.451844753234308,1.3895543842836608,0.06223175965665236,0.43124101581217056,0.7187350263536176,0.6,0.09583133684714902,0.43124101581217056,0.2222222222222222,0.23957834211787254,0.5,0.5370370370370371,0.465528125,0.14374700527072354,0.19166267369429804,0.16666666666666666,0.75,0,0,0.04791566842357451,0.041666666666666664,0,0,0.09583133684714902,0.3833253473885961,0.3333333333333333,0.25,1,0.04791566842357451
"Boban Marjanovic","DAL",46,487,12.587412587412587,10.589410589410589,0.32919254658385094,4.795204795204795,6.793206793206793,0.7058823529411765,0.0999000999000999,0.1998001998001998,0.5,0.6993006993006993,0.7071428571428572,0.726027397260274,0.5583474576271187,4.395604395604396,5.994005994005994,0.8571428571428571,0.7333333333333333,0.022727272727272728,0,0,0,0,0,0.0999000999000999,0.1998001998001998,0.02857142857142857,0.5,1,0.4995004995004995
"J.J. Barea","DAL",30,455,10.41890440386681,1.8259935553168636,0.07555555555555556,0.4296455424274973,0.5370569280343717,0.8,0.322234156820623,0.5370569280343717,0.6,0,0.85,0.85,0.54649375,0.4296455424274973,0.4296455424274973,0.4,1,0.25,0.10741138560687433,0.10741138560687433,0.1,1,1,0.21482277121374865,0.4296455424274973,0.4,0.5,0.5,0.21482277121374865
"Courtney Lee","DAL",24,345,11.756373937677054,1.6997167138810199,0.11214953271028037,0.28328611898017,0.42492917847025496,0.6666666666666666,0.28328611898017,0.42492917847025496,0.6666666666666666,0.28328611898017,0.8333333333333334,0.8571428571428571,0.4269,0.141643059490085,0.141643059490085,0.16666666666666666,1,0,0,0,0,0,0,0.28328611898017,0.42492917847025496,0.5,0.6666666666666666,0.5,0.28328611898017
"Trey Burke","DAL",13,312,10.122699386503067,2.147239263803681,0.08536585365853659,0.6134969325153374,0.7668711656441718,0.8,0.3067484662576687,0.6134969325153374,0.5,0,0.7777777777777778,0.7777777777777778,0.4672,0.3067484662576687,0.3067484662576687,0.2222222222222222,1,0,0.15337423312883436,0.3067484662576687,0.2222222222222222,0.5,1,0.15337423312883436,0.3067484662576687,0.2222222222222222,0.5,1,0.3067484662576687
"Ryan Broekhoff","DAL",17,180,10.966057441253264,0.783289817232376,0.04225352112676056,0,0,0,0,1.3054830287206267,0,0.783289817232376,0,0.25,0.48725,0,0,0,0,0,0,0.26109660574412535,0.2,0,0,0,1.0443864229765014,0.8,0,0,0.26109660574412535
"Michael Kidd-Gilchrist","DAL",18,170,9.455587392550143,1.4326647564469914,0.20833333333333334,0.28653295128939826,0.5730659025787965,0.5,0,0,0,0.8595988538681948,0.5,0.625,0.4773,0.28653295128939826,0.5730659025787965,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0.28653295128939826
