"Name","TeamAbbreviation","GamesPlayed","Minutes","SecondChanceOffPoss","SecondChancePoints","SecondChancePointsPct","SecondChanceFG2M","SecondChanceFG2A","SecondChanceFg2Pct","SecondChanceFG3M","SecondChanceFG3A","SecondChanceFg3Pct","SecondChanceFtPoints","SecondChanceEfgPct","SecondChanceTsPct","SecondChanceShotQualityAvg","SecondChanceAtRimFGM","SecondChanceAtRimFGA","SecondChanceAtRimFrequency","SecondChanceAtRimAccuracy","SecondChanceAtRimPctAssisted","SecondChanceCorner3FGM","SecondChanceCorner3FGA","SecondChanceCorner3Frequency","SecondChanceCorner3Accuracy","SecondChanceCorner3PctAssisted","SecondChanceArc3FGM","SecondChanceArc3FGA","SecondChanceArc3Frequency","SecondChanceArc3Accuracy","SecondChanceArc3PctAssisted","SecondChanceTurnovers"
"Nikola Jokic","DEN",78,2523,11.285828025477707,5.0756369426751595,0.1605793450881612,1.910828025477707,2.925955414012739,0.6530612244897959,0.17914012738853502,0.4179936305732484,0.42857142857142855,0.7165605095541401,0.6517857142857143,0.6746031746031746,0.5238634615384615,1.572452229299363,2.1695859872611467,0.6488095238095238,0.7247706422018348,0.12658227848101267,0.03980891719745223,0.03980891719745223,0.011904761904761904,1,0.5,0.1393312101910828,0.3781847133757962,0.1130952380952381,0.3684210526315789,1,0.2587579617834395
"Jamal Murray","DEN",64,2086,11.263537906137184,1.8772563176895307,0.06265060240963856,0.5054151624548736,0.914560770156438,0.5526315789473685,0.1684717208182912,0.601684717208183,0.28,0.36101083032490977,0.5,0.5422535211267606,0.5032010416666667,0.2888086642599278,0.4813477737665463,0.31746031746031744,0.6,0.5833333333333334,0,0.09626955475330927,0.06349206349206349,0,0,0.1684717208182912,0.5054151624548736,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.3369434416365824
"Jerami Grant","DEN",76,2060,10.66247582205029,2.5628626692456478,0.11661166116611661,0.6528046421663443,1.2088974854932302,0.54,0.19342359767891681,0.6528046421663443,0.2962962962962963,0.6769825918762089,0.5064935064935064,0.5824175824175825,0.5105627118644068,0.5560928433268859,0.8462282398452611,0.45454545454545453,0.6571428571428571,0.391304347826087,0.024177949709864602,0.1450676982591876,0.07792207792207792,0.16666666666666666,1,0.16924564796905223,0.5077369439071566,0.2727272727272727,0.3333333333333333,1,0.09671179883945841
"Will Barton","DEN",58,1916,12.007261410788383,3.0601659751037342,0.13501144164759726,0.8817427385892116,1.5819502074688796,0.5573770491803278,0.3112033195020747,0.8298755186721992,0.375,0.3630705394190871,0.5591397849462365,0.5841584158415841,0.5441537878787879,0.7261410788381742,1.270746887966805,0.5268817204301075,0.5714285714285714,0.21428571428571427,0.025933609958506226,0.07780082987551867,0.03225806451612903,0.3333333333333333,1,0.28526970954356845,0.7520746887966805,0.3118279569892473,0.3793103448275862,0.7272727272727273,0.12966804979253113
"Gary Harris","DEN",56,1780,11.208110391439032,1.0419600112644325,0.06368330464716007,0.19712756969867642,0.5632216277105041,0.35,0.16896648831315123,0.5913827090960293,0.2857142857142857,0.14080540692762603,0.3902439024390244,0.42045454545454547,0.5390619999999999,0.16896648831315123,0.25344973246972685,0.21951219512195122,0.6666666666666666,0.6666666666666666,0.11264432554210081,0.25344973246972685,0.21951219512195122,0.4444444444444444,1,0.056322162771050406,0.33793297662630245,0.2926829268292683,0.16666666666666666,1,0.056322162771050406
"Monte Morris","DEN",78,1767,11.275055679287306,1.447661469933185,0.07439198855507868,0.2505567928730512,0.8351893095768375,0.3,0.3062360801781737,0.6124721603563474,0.5,0.02783964365256125,0.49038461538461536,0.5,0.5180318181818182,0.13919821826280623,0.3062360801781737,0.21153846153846154,0.45454545454545453,0.4,0.13919821826280623,0.27839643652561247,0.19230769230769232,0.5,1,0.16703786191536749,0.33407572383073497,0.23076923076923078,0.5,0.8333333333333334,0.08351893095768374
"Paul Millsap","DEN",56,1359,11.991117690599555,3.293856402664693,0.14082278481012658,1.1843079200592155,2.368615840118431,0.5,0.14803849000740193,0.3700962250185048,0.4,0.4811250925240563,0.5135135135135135,0.5297619047619048,0.5458094339622642,0.999259807549963,1.6654330125832717,0.6081081081081081,0.6,0.14814814814814814,0,0.07401924500370097,0.02702702702702703,0,0,0.14803849000740193,0.29607698001480387,0.10810810810810811,0.5,1,0.4811250925240563
"Torrey Craig","DEN",63,1186,12.301075268817204,2.4946236559139785,0.17008797653958943,0.946236559139785,1.5913978494623655,0.5945945945945946,0.17204301075268819,0.5591397849462365,0.3076923076923077,0.08602150537634409,0.56,0.5686274509803921,0.5394735294117646,0.9032258064516129,1.2903225806451613,0.6,0.7,0.14285714285714285,0.08602150537634409,0.25806451612903225,0.12,0.3333333333333333,1,0.08602150537634409,0.3010752688172043,0.14,0.2857142857142857,1,0.12903225806451613
"Mason Plumlee","DEN",66,1108,12.5502456453774,4.376953997320232,0.21923937360178972,1.831174631531934,2.9924073246985263,0.6119402985074627,0,0,0,0.7146047342563644,0.6119402985074627,0.5975609756097561,0.5416693548387097,1.786511835640911,2.5457793657882983,0.8507462686567164,0.7017543859649122,0.2,0,0,0,0,0,0,0,0,0,0,0.401965163019205
"Michael Porter Jr.","DEN",60,1040,12.352663837812353,4.761904761904762,0.17294520547945205,1.6973125884016973,3.0174446016030174,0.5625,0.33003300330033003,0.5186232909005186,0.6363636363636364,0.3771805752003772,0.62,0.6392405063291139,0.5426300000000001,1.5087223008015087,2.6874115983026874,0.76,0.5614035087719298,0.125,0.1885902876001886,0.23573785950023574,0.06666666666666667,0.8,1,0.14144271570014144,0.2828854314002829,0.08,0.5,1,0.2828854314002829
