"Name","TeamAbbreviation","GamesPlayed","Minutes","SecondChanceOffPoss","SecondChancePoints","SecondChancePointsPct","SecondChanceFG2M","SecondChanceFG2A","SecondChanceFg2Pct","SecondChanceFG3M","SecondChanceFG3A","SecondChanceFg3Pct","SecondChanceFtPoints","SecondChanceEfgPct","SecondChanceTsPct","SecondChanceShotQualityAvg","SecondChanceAtRimFGM","SecondChanceAtRimFGA","SecondChanceAtRimFrequency","SecondChanceAtRimAccuracy","SecondChanceAtRimPctAssisted","SecondChanceCorner3FGM","SecondChanceCorner3FGA","SecondChanceCorner3Frequency","SecondChanceCorner3Accuracy","SecondChanceCorner3PctAssisted","SecondChanceArc3FGM","SecondChanceArc3FGA","SecondChanceArc3Frequency","SecondChanceArc3Accuracy","SecondChanceArc3PctAssisted","SecondChanceTurnovers"
"Langston Galloway","DET",66,1702,11.666185388391568,1.992492058908461,0.1019202363367799,0.17326017903551832,0.43315044758879584,0.4,0.46202714409471557,0.9240542881894311,0.5,0.2598902685532775,0.6382978723404256,0.6634615384615384,0.5061205882352942,0.057753393011839446,0.17326017903551832,0.1276595744680851,0.3333333333333333,0,0.23101357204735778,0.4909038406006353,0.3617021276595745,0.47058823529411764,1,0.23101357204735778,0.43315044758879584,0.3191489361702128,0.5333333333333333,1,0.11550678602367889
"Andre Drummond","DET",49,1654,11.838565022421525,6.935724962630792,0.26666666666666666,3.0493273542600896,5.4708520179372195,0.5573770491803278,0,0.08968609865470852,0,0.8370702541106129,0.5483870967741935,0.5576923076923077,0.5516367346938775,2.6307922272047835,4.5440956651718984,0.8172043010752689,0.5789473684210527,0.09090909090909091,0,0,0,0,0,0,0.08968609865470852,0.016129032258064516,0,0,0.8370702541106129
"Tony Snell","DET",59,1641,11.748633879781421,1.4268366727383122,0.09915611814345991,0.36429872495446264,0.5160898603521554,0.7058823529411765,0.21250758955676988,0.6375227686703097,0.3333333333333333,0.06071645415907711,0.5921052631578947,0.5921052631578947,0.5253413793103449,0.21250758955676988,0.24286581663630843,0.21052631578947367,0.875,0.8571428571428571,0.12143290831815422,0.273224043715847,0.23684210526315788,0.4444444444444444,1,0.09107468123861566,0.36429872495446264,0.3157894736842105,0.25,0.6666666666666666,0.09107468123861566
"Bruce Brown","DET",58,1634,11.423278789749922,1.6363075023155296,0.10251450676982592,0.7100957085520222,1.389317690645261,0.5111111111111111,0.030873726458783574,0.2778635381290522,0.1111111111111111,0.1234949058351343,0.4537037037037037,0.4649122807017544,0.5345836956521739,0.6483482556344551,1.173201605433776,0.7037037037037037,0.5526315789473685,0.09523809523809523,0.030873726458783574,0.1234949058351343,0.07407407407407407,0.25,1,0,0.15436863229391787,0.09259259259259259,0,0,0.18524235875270145
"Christian Wood","DET",62,1325,11.393350765782593,5.155024280911468,0.17037037037037037,1.6809861785580875,2.465446395218528,0.6818181818181818,0.14942099364960776,0.2614867388868136,0.5714285714285714,1.3447889428464699,0.6986301369863014,0.7340425531914894,0.5469746031746032,1.6809861785580875,2.3160254015689206,0.8493150684931506,0.7258064516129032,0.15555555555555556,0.03735524841240194,0.07471049682480388,0.0273972602739726,0.5,1,0.11206574523720583,0.1867762420620097,0.0684931506849315,0.6,1,0.33619723571161747
"Derrick Rose","DET",50,1298,10.962467484206615,1.4492753623188406,0.04314159292035398,0.4459308807134894,0.966183574879227,0.46153846153846156,0.18580453363062058,0.4087699739873653,0.45454545454545453,0,0.527027027027027,0.527027027027027,0.48395535714285715,0.33444816053511706,0.4830917874396135,0.35135135135135137,0.6923076923076923,0.3333333333333333,0,0.03716090672612412,0.02702702702702703,0,0,0.18580453363062058,0.37160906726124115,0.2702702702702703,0.5,0.4,0.14864362690449648
"Svi Mykhailiuk","DET",56,1265,10.994967092528068,2.168021680216802,0.1111111111111111,0.07742934572202866,0.19357336430507163,0.4,0.5807200929152149,0.9291521486643438,0.625,0.27100271002710025,0.8448275862068966,0.875,0.5508236842105263,0.07742934572202866,0.07742934572202866,0.06896551724137931,1,0.5,0.3097173828881146,0.4258614014711576,0.3793103448275862,0.7272727272727273,1,0.27100271002710025,0.5032907471931862,0.4482758620689655,0.5384615384615384,1,0.3097173828881146
"Markieff Morris","DET",44,988,9.875930521091812,0.9925558312655087,0.0411522633744856,0.34739454094292804,1.1414392059553349,0.30434782608695654,0.04962779156327544,0.2977667493796526,0.16666666666666666,0.1488833746898263,0.29310344827586204,0.3125,0.52162,0.2977667493796526,0.8436724565756824,0.5862068965517241,0.35294117647058826,0.3333333333333333,0.04962779156327544,0.1488833746898263,0.10344827586206896,0.3333333333333333,1,0,0.1488833746898263,0.10344827586206896,0,0,0.19851116625310175
"Luke Kennard","DET",28,922,11.051502145922747,2.628755364806867,0.11085972850678733,0.37553648068669526,0.5364806866952789,0.7,0.4291845493562232,0.7510729613733905,0.5714285714285714,0.5901287553648069,0.7916666666666666,0.8448275862068966,0.4866088235294117,0.1072961373390558,0.1609442060085837,0.125,0.6666666666666666,1,0.0536480686695279,0.1609442060085837,0.125,0.3333333333333333,1,0.37553648068669526,0.5901287553648069,0.4583333333333333,0.6363636363636364,1,0.0536480686695279
"Thon Maker","DET",60,776,11.320754716981131,3.383214053350683,0.18505338078291814,0.8458035133376708,1.4964216005204944,0.5652173913043478,0.06506180871828236,0.13012361743656473,0.5,1.4964216005204944,0.58,0.6666666666666666,0.5322047619047618,0.715679895901106,1.236174365647365,0.76,0.5789473684210527,0.18181818181818182,0,0.06506180871828236,0.04,0,0,0.06506180871828236,0.06506180871828236,0.04,1,1,0.3903708523096942
