"Name","TeamAbbreviation","GamesPlayed","Minutes","SecondChanceOffPoss","SecondChancePoints","SecondChancePointsPct","SecondChanceFG2M","SecondChanceFG2A","SecondChanceFg2Pct","SecondChanceFG3M","SecondChanceFG3A","SecondChanceFg3Pct","SecondChanceFtPoints","SecondChanceEfgPct","SecondChanceTsPct","SecondChanceShotQualityAvg","SecondChanceAtRimFGM","SecondChanceAtRimFGA","SecondChanceAtRimFrequency","SecondChanceAtRimAccuracy","SecondChanceAtRimPctAssisted","SecondChanceCorner3FGM","SecondChanceCorner3FGA","SecondChanceCorner3Frequency","SecondChanceCorner3Accuracy","SecondChanceCorner3PctAssisted","SecondChanceArc3FGM","SecondChanceArc3FGA","SecondChanceArc3Frequency","SecondChanceArc3Accuracy","SecondChanceArc3PctAssisted","SecondChanceTurnovers"
"Eric Paschall","GSW",60,1654,10.242194339072075,2.8012839217974905,0.11469534050179211,1.0213014298220018,1.809162532827546,0.5645161290322581,0.058360081704114386,0.2626203676685147,0.2222222222222222,0.5836008170411439,0.5352112676056338,0.6075949367088608,0.49883222222222223,0.6711409395973155,1.0504814706740588,0.5070422535211268,0.6388888888888888,0.21739130434782608,0,0,0,0,0,0.058360081704114386,0.2626203676685147,0.1267605633802817,0.2222222222222222,1,0.08754012255617158
"Glenn Robinson III","GSW",48,1516,10.616656071201525,2.638270820089002,0.13408723747980614,0.7628734901462174,1.2714558169103625,0.6,0.3178639542275906,0.6993006993006993,0.45454545454545453,0.1589319771137953,0.6290322580645161,0.6384615384615384,0.5209756097560976,0.4132231404958678,0.6357279084551812,0.3225806451612903,0.65,0.3076923076923077,0.12714558169103624,0.25429116338207247,0.12903225806451613,0.5,1,0.19071837253655435,0.44500953591862685,0.22580645161290322,0.42857142857142855,0.8333333333333334,0.12714558169103624
"Damion Lee","GSW",49,1422,9.507867425510545,2.008704385671242,0.0966183574879227,0.4686976899899565,0.937395379979913,0.5,0.26782725142283226,0.8034817542684968,0.3333333333333333,0.26782725142283226,0.5,0.5267857142857143,0.5017931034482759,0.26782725142283226,0.5021760964178105,0.28846153846153844,0.5333333333333333,0.125,0.03347840642785403,0.13391362571141613,0.07692307692307693,0.25,1,0.23434884499497824,0.6695681285570807,0.38461538461538464,0.35,1,0.06695681285570806
"Alec Burks","GSW",48,1390,10.402219140083218,1.9764216366158114,0.07373868046571798,0.3120665742024965,0.79750346740638,0.391304347826087,0.27739251040221913,0.4854368932038835,0.5714285714285714,0.5201109570041609,0.5675675675675675,0.6477272727272727,0.5115666666666667,0.20804438280166435,0.3814147018030513,0.2972972972972973,0.5454545454545454,0.16666666666666666,0.03467406380027739,0.06934812760055478,0.05405405405405406,0.5,0,0.24271844660194175,0.4160887656033287,0.32432432432432434,0.5833333333333334,0.7142857142857143,0.10402219140083217
"Jordan Poole","GSW",57,1274,9.746079163554892,0.8961911874533234,0.04771371769383698,0.14936519790888722,0.4854368932038835,0.3076923076923077,0.18670649738610903,0.970873786407767,0.19230769230769232,0.037341299477221805,0.2948717948717949,0.3,0.48077666666666663,0.07468259895444361,0.18670649738610903,0.1282051282051282,0.4,1,0,0.037341299477221805,0.02564102564102564,0,0,0.18670649738610903,0.9335324869305451,0.6410256410256411,0.2,1,0.18670649738610903
"Draymond Green","GSW",43,1222,9.288767975126312,0.8161678973960358,0.06086956521739131,0.194325689856199,0.582977069568597,0.3333333333333333,0.11659541391371939,0.3497862417411582,0.3333333333333333,0.0777302759424796,0.3958333333333333,0.42,0.5504470588235294,0.194325689856199,0.5441119315973572,0.5833333333333334,0.35714285714285715,0.4,0,0.0388651379712398,0.041666666666666664,0,0,0.11659541391371939,0.3109211037699184,0.3333333333333333,0.375,1,0.194325689856199
"Marquese Chriss","GSW",59,1196,10.507246376811594,4.62962962962963,0.20985401459854014,1.8115942028985508,3.9049919484702094,0.4639175257731959,0.040257648953301126,0.12077294685990338,0.3333333333333333,0.8856682769726248,0.465,0.5043859649122807,0.55689375,1.570048309178744,3.3816425120772946,0.84,0.4642857142857143,0.1794871794871795,0,0,0,0,0,0.040257648953301126,0.12077294685990338,0.03,0.3333333333333333,1,0.36231884057971014
"D'Angelo Russell","GSW",33,1060,9.821428571428571,3.169642857142857,0.09114249037227215,0.625,0.8482142857142857,0.7368421052631579,0.5803571428571429,1.1160714285714286,0.52,0.17857142857142858,0.7613636363636364,0.7777777777777778,0.5085821428571429,0.22321428571428573,0.22321428571428573,0.11363636363636363,1,0.2,0.13392857142857142,0.17857142857142858,0.09090909090909091,0.75,1,0.44642857142857145,0.9375,0.4772727272727273,0.47619047619047616,0.7,0.3125
"Ky Bowman","GSW",45,1015,10.185625892432174,0.9995240361732508,0.0626865671641791,0.3331746787244169,0.6187529747739172,0.5384615384615384,0.09519276534983341,0.5235602094240838,0.18181818181818182,0.047596382674916705,0.4166666666666667,0.4375,0.49635749999999995,0.23798191337458352,0.28557829604950025,0.25,0.8333333333333334,0.4,0.09519276534983341,0.28557829604950025,0.25,0.3333333333333333,0.5,0,0.23798191337458352,0.20833333333333334,0,0,0.28557829604950025
"Willie Cauley-Stein","GSW",41,941,9.625390218522373,3.173777315296566,0.18885448916408668,1.4047866805411031,2.2372528616024976,0.627906976744186,0,0,0,0.36420395421436,0.627906976744186,0.648936170212766,0.5621258064516128,1.09261186264308,1.5608740894901145,0.6976744186046512,0.7,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0.2601456815816857
