"Name","TeamAbbreviation","GamesPlayed","Minutes","SecondChanceOffPoss","SecondChancePoints","SecondChancePointsPct","SecondChanceFG2M","SecondChanceFG2A","SecondChanceFg2Pct","SecondChanceFG3M","SecondChanceFG3A","SecondChanceFg3Pct","SecondChanceFtPoints","SecondChanceEfgPct","SecondChanceTsPct","SecondChanceShotQualityAvg","SecondChanceAtRimFGM","SecondChanceAtRimFGA","SecondChanceAtRimFrequency","SecondChanceAtRimAccuracy","SecondChanceAtRimPctAssisted","SecondChanceCorner3FGM","SecondChanceCorner3FGA","SecondChanceCorner3Frequency","SecondChanceCorner3Accuracy","SecondChanceCorner3PctAssisted","SecondChanceArc3FGM","SecondChanceArc3FGA","SecondChanceArc3Frequency","SecondChanceArc3Accuracy","SecondChanceArc3PctAssisted","SecondChanceTurnovers"
"James Harden","HOU",72,2633,10.415919684474723,3.4241663678737897,0.0775477060495331,0.7888131946934385,1.3445679455001793,0.5866666666666667,0.35855145213338113,1.4521333811401935,0.24691358024691357,0.7708856220867695,0.47435897435897434,0.5365168539325843,0.5137674418604652,0.5378271782000718,0.8425959125134457,0.30128205128205127,0.6382978723404256,0.1,0.1254930082466834,0.28684116170670493,0.10256410256410256,0.4375,0.14285714285714285,0.23305844388669775,1.1652922194334887,0.4166666666666667,0.2,0.6153846153846154,0.35855145213338113
"P.J. Tucker","HOU",76,2614,10.196715394333152,1.4798772784695904,0.15157116451016636,0.4331348132106118,0.6857967875834687,0.631578947368421,0.1985201227215304,0.5233712326294893,0.3793103448275862,0.01804728388377549,0.6044776119402985,0.6029411764705882,0.5441034482758621,0.32485110990795885,0.4692293809781628,0.3880597014925373,0.6923076923076923,0.16666666666666666,0.16242555495397942,0.4150875293268363,0.34328358208955223,0.391304347826087,1,0.03609456776755098,0.10828370330265295,0.08955223880597014,0.3333333333333333,0.5,0.18047283883775492
"Danuel House Jr.","HOU",67,2060,9.902117004325063,2.276348736626451,0.13774104683195593,0.36421579786023217,0.6146141588891418,0.5925925925925926,0.4325062599590257,1.0471204188481675,0.41304347826086957,0.2503983610289096,0.6095890410958904,0.6329113924050633,0.5649672413793103,0.3414523104939677,0.5463236967903483,0.3287671232876712,0.625,0.26666666666666666,0.18210789893011609,0.4097427725927612,0.2465753424657534,0.4444444444444444,0.875,0.2503983610289096,0.6373776462554064,0.3835616438356164,0.39285714285714285,1,0.2048713862963806
"Russell Westbrook","HOU",57,2049,10.22499443083092,3.1855647137447094,0.09207984546039923,1.202940521274226,2.2944976609489864,0.5242718446601942,0.11138338159946536,0.5346402316774337,0.20833333333333334,0.4455335263978614,0.484251968503937,0.5220588235294118,0.5089849397590361,0.9133437291156159,1.537090666072622,0.5433070866141733,0.5942028985507246,0.2682926829268293,0,0.17821341055914458,0.06299212598425197,0,0,0.11138338159946536,0.35642682111828916,0.12598425196850394,0.3125,0.6,0.311873468478503
"Ben McLemore","HOU",75,1683,10.099889012208656,2.0532741398446173,0.1002710027100271,0.13873473917869034,0.16648168701442842,0.8333333333333334,0.4716981132075472,1.1376248612652609,0.4146341463414634,0.3607103218645949,0.648936170212766,0.6981132075471698,0.542495,0.13873473917869034,0.16648168701442842,0.1276595744680851,0.8333333333333334,0.6,0.16648168701442842,0.33296337402885684,0.2553191489361702,0.5,1,0.3052164261931188,0.804661487236404,0.6170212765957447,0.3793103448275862,0.9090909090909091,0.08324084350721421
"Austin Rivers","HOU",72,1677,9.652294853963838,1.5299026425591098,0.08943089430894309,0.3337969401947149,0.5841446453407511,0.5714285714285714,0.22253129346314326,0.6397774687065368,0.34782608695652173,0.19471488178025034,0.5454545454545454,0.5729166666666666,0.49991111111111114,0.25034770514603616,0.3894297635605007,0.3181818181818182,0.6428571428571429,0.3333333333333333,0.055632823365785816,0.22253129346314326,0.18181818181818182,0.25,0,0.16689847009735745,0.4172461752433936,0.3409090909090909,0.4,0.6666666666666666,0.13908205841446453
"Clint Capela","HOU",39,1279,11.805555555555555,4.495614035087719,0.2265193370165746,2.0833333333333335,3.7280701754385963,0.5588235294117647,0,0,0,0.32894736842105265,0.5588235294117647,0.5642201834862385,0.5663948717948718,1.9736842105263157,3.252923976608187,0.8725490196078431,0.6067415730337079,0.25925925925925924,0,0,0,0,0,0,0,0,0,0,0.402046783625731
"Eric Gordon","HOU",40,1152,9.695512820512821,1.1618589743589745,0.048576214405360134,0.16025641025641027,0.32051282051282054,0.5,0.20032051282051283,0.9214743589743589,0.21739130434782608,0.2403846153846154,0.3709677419354839,0.4264705882352941,0.49337941176470584,0.16025641025641027,0.20032051282051283,0.16129032258064516,0.8,1,0,0.04006410256410257,0.03225806451612903,0,0,0.20032051282051283,0.8814102564102564,0.7096774193548387,0.22727272727272727,1,0.16025641025641027
"Robert Covington","HOU",26,838,8.01354401805869,1.580135440180587,0.0975609756097561,0.5079006772009029,0.6207674943566591,0.8181818181818182,0.16930022573363432,0.7336343115124153,0.23076923076923078,0.056433408577878104,0.5625,0.56,0.520315,0.5079006772009029,0.5643340857787811,0.4166666666666667,0.9,0.1111111111111111,0,0.056433408577878104,0.041666666666666664,0,0,0.16930022573363432,0.6772009029345373,0.5,0.25,1,0.28216704288939054
"Jeff Green","HOU",22,547,7.6400679117147705,1.6129032258064515,0.0657439446366782,0.4244482173174873,0.5942275042444821,0.7142857142857143,0.2546689303904924,0.8488964346349746,0.3,0,0.5588235294117647,0.5588235294117647,0.5480115384615384,0.4244482173174873,0.5942275042444821,0.4117647058823529,0.7142857142857143,0,0.08488964346349745,0.2546689303904924,0.17647058823529413,0.3333333333333333,1,0.1697792869269949,0.5942275042444821,0.4117647058823529,0.2857142857142857,1,0.08488964346349745
