"Name","TeamAbbreviation","GamesPlayed","Minutes","SecondChanceOffPoss","SecondChancePoints","SecondChancePointsPct","SecondChanceFG2M","SecondChanceFG2A","SecondChanceFg2Pct","SecondChanceFG3M","SecondChanceFG3A","SecondChanceFg3Pct","SecondChanceFtPoints","SecondChanceEfgPct","SecondChanceTsPct","SecondChanceShotQualityAvg","SecondChanceAtRimFGM","SecondChanceAtRimFGA","SecondChanceAtRimFrequency","SecondChanceAtRimAccuracy","SecondChanceAtRimPctAssisted","SecondChanceCorner3FGM","SecondChanceCorner3FGA","SecondChanceCorner3Frequency","SecondChanceCorner3Accuracy","SecondChanceCorner3PctAssisted","SecondChanceArc3FGM","SecondChanceArc3FGA","SecondChanceArc3Frequency","SecondChanceArc3Accuracy","SecondChanceArc3PctAssisted","SecondChanceTurnovers"
"T.J. Warren","IND",71,2359,9.599332220367279,3.7353923205342237,0.12731152204836416,1.4607679465776293,2.0868113522537564,0.7,0.14607679465776294,0.47996661101836396,0.30434782608695654,0.3756260434056761,0.6544715447154471,0.6884615384615385,0.5148891304347826,0.8973288814691152,1.2312186978297162,0.4796747967479675,0.7288135593220338,0.23255813953488372,0.06260434056761269,0.1669449081803005,0.06504065040650407,0.375,0.6666666666666666,0.08347245409015025,0.31302170283806346,0.12195121951219512,0.26666666666666666,1,0.06260434056761269
"Domantas Sabonis","IND",62,2159,10.347985347985349,4.143772893772894,0.15780296425457715,1.73992673992674,3.159340659340659,0.5507246376811594,0.022893772893772892,0.16025641025641027,0.14285714285714285,0.5952380952380952,0.5344827586206896,0.5552147239263804,0.5472863636363636,1.510989010989011,2.6327838827838828,0.7931034482758621,0.5739130434782609,0.09090909090909091,0,0.045787545787545784,0.013793103448275862,0,0,0.022893772893772892,0.11446886446886446,0.034482758620689655,0.2,1,0.3663003663003663
"Myles Turner","IND",66,1971,9.576612903225806,2.7721774193548385,0.1354679802955665,0.9324596774193549,1.4616935483870968,0.6379310344827587,0.20161290322580644,0.3528225806451613,0.5714285714285714,0.3024193548387097,0.6805555555555556,0.7051282051282052,0.5516938596491228,0.78125,1.159274193548387,0.6388888888888888,0.6739130434782609,0.0967741935483871,0,0.025201612903225805,0.013888888888888888,0,0,0.20161290322580644,0.3276209677419355,0.18055555555555555,0.6153846153846154,1,0.12600806451612903
"Justin Holiday","IND",77,1957,9.153884215734784,1.1875309252845125,0.0759493670886076,0.09896091044037605,0.3711034141514102,0.26666666666666666,0.29688273132112813,0.6432459178624443,0.46153846153846156,0.09896091044037605,0.5365853658536586,0.5581395348837209,0.486065,0.04948045522018803,0.1731815932706581,0.17073170731707318,0.2857142857142857,0,0.1979218208807521,0.3958436417615042,0.3902439024390244,0.5,0.875,0.09896091044037605,0.24740227610094012,0.24390243902439024,0.4,0.75,0.1731815932706581
"Malcolm Brogdon","IND",58,1826,9.37331172339276,1.6747703943814154,0.06332992849846783,0.4321988114532685,0.9724473257698542,0.4444444444444444,0.1620745542949757,0.5402485143165856,0.3,0.3241491085899514,0.44642857142857145,0.4838709677419355,0.49945128205128203,0.24311183144246354,0.5672609400324149,0.375,0.42857142857142855,0,0,0,0,0,0,0.1620745542949757,0.5402485143165856,0.35714285714285715,0.3,0.5,0.2701242571582928
"Aaron Holiday","IND",70,1689,9.526558891454965,1.905311778290993,0.10030395136778116,0.31755196304849886,0.5484988452655889,0.5789473684210527,0.31755196304849886,0.4907621247113164,0.6470588235294118,0.31755196304849886,0.7638888888888888,0.8048780487804879,0.4534659090909091,0.08660508083140878,0.17321016166281755,0.16666666666666666,0.5,0.3333333333333333,0.057736720554272515,0.057736720554272515,0.05555555555555555,1,0.5,0.25981524249422633,0.4330254041570439,0.4166666666666667,0.6,0.7777777777777778,0.08660508083140878
"Doug McDermott","IND",73,1427,9.34326337169939,2.572782667569397,0.10555555555555556,0.6770480704129993,0.9817197020988491,0.6896551724137931,0.33852403520649965,0.8124576844955992,0.4166666666666667,0.2031144211238998,0.660377358490566,0.6785714285714286,0.5444934210526317,0.5754908598510494,0.7786052809749492,0.4339622641509434,0.7391304347826086,0.4117647058823529,0.033852403520649964,0.16926201760324983,0.09433962264150944,0.2,1,0.3046716316858497,0.6431956668923493,0.3584905660377358,0.47368421052631576,1,0.1015572105619499
"T.J. McConnell","IND",74,1354,9.320526503023835,0.9249377445748844,0.055201698513800426,0.4624688722874422,0.8537886872998933,0.5416666666666666,0,0.03557452863749555,0,0,0.52,0.52,0.475495,0.1422981145499822,0.2845962290999644,0.32,0.5,0.25,0,0.03557452863749555,0.04,0,0,0,0,0,0,0,0.17787264318747775
"Jeremy Lamb","IND",46,1291,9.61465089660435,1.945822205265166,0.08838821490467938,0.7249141549027089,1.2972148035101105,0.5588235294117647,0.11446012972148036,0.4578405188859214,0.25,0.15261350629530712,0.5108695652173914,0.5204081632653061,0.5253514285714286,0.5723006486074017,0.7630675314765357,0.43478260869565216,0.75,0.13333333333333333,0,0.03815337657382678,0.021739130434782608,0,0,0.11446012972148036,0.41968714231209464,0.2391304347826087,0.2727272727272727,0.6666666666666666,0.11446012972148036
"Victor Oladipo","IND",23,651,8.64381520119225,1.1177347242921014,0.04335260115606936,0.29806259314456035,0.6706408345752608,0.4444444444444444,0.14903129657228018,0.37257824143070045,0.4,0.07451564828614009,0.5,0.5,0.46302000000000004,0.14903129657228018,0.22354694485842028,0.21428571428571427,0.6666666666666666,0.5,0,0,0,0,0,0.14903129657228018,0.37257824143070045,0.35714285714285715,0.4,1,0.14903129657228018
"JaKarr Sampson","IND",38,520,9.116022099447514,1.8416206261510129,0.11363636363636363,0.9208103130755064,1.565377532228361,0.5882352941176471,0,0,0,0,0.5882352941176471,0.5882352941176471,0.5655272727272727,0.8287292817679558,1.289134438305709,0.8235294117647058,0.6428571428571429,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0.1841620626151013
"Edmond Sumner","IND",34,487,9.325396825396826,1.6865079365079365,0.10759493670886076,0.3968253968253968,0.49603174603174605,0.8,0.1984126984126984,0.5952380952380952,0.3333333333333333,0.2976190476190476,0.6363636363636364,0.6538461538461539,0.5835428571428573,0.2976190476190476,0.3968253968253968,0.36363636363636365,0.75,0,0.0992063492063492,0.1984126984126984,0.18181818181818182,0.5,1,0.0992063492063492,0.3968253968253968,0.36363636363636365,0.25,1,0.1984126984126984
"Goga Bitadze","IND",54,471,9.090909090909092,2.797202797202797,0.16279069767441862,0.8991008991008991,1.4985014985014986,0.6,0,0,0,0.999000999000999,0.6,0.6666666666666666,0.5660416666666667,0.7992007992007992,1.2987012987012987,0.8666666666666667,0.6153846153846154,0.125,0,0,0,0,0,0,0,0,0,0,0.2997002997002997
"TJ Leaf","IND",28,222,11.11111111111111,3.1446540880503147,0.17857142857142858,1.2578616352201257,3.7735849056603774,0.3333333333333333,0.20964360587002095,0.20964360587002095,1,0,0.39473684210526316,0.39473684210526316,0.5434805555555555,1.2578616352201257,3.1446540880503147,0.7894736842105263,0.4,0,0,0,0,0,0,0.20964360587002095,0.20964360587002095,0.05263157894736842,1,1,0.20964360587002095
"Alize Johnson","IND",18,118,14.624505928853756,2.3715415019762847,0.17647058823529413,0.7905138339920948,1.976284584980237,0.4,0,0,0,0.7905138339920948,0.4,0.5,0.5299400000000001,0.7905138339920948,1.5810276679841897,0.8,0.5,0.5,0,0,0,0,0,0,0,0,0,0,1.5810276679841897
"Naz Mitrou-Long","IND",5,47,11.458333333333334,0,0,0,0,0,0,2.0833333333333335,0,0,0,0,0.432225,0,0,0,0,0,0,0,0,0,0,0,2.0833333333333335,1,0,0,0
"Brian Bowen II","IND",6,31,15.384615384615385,0,0,0,3.076923076923077,0,0,1.5384615384615385,0,0,0,0,0.5274333333333333,0,1.5384615384615385,0.3333333333333333,0,0,0,1.5384615384615385,0.3333333333333333,0,0,0,0,0,0,0,1.5384615384615385
