"Name","TeamAbbreviation","GamesPlayed","Minutes","SecondChanceOffPoss","SecondChancePoints","SecondChancePointsPct","SecondChanceFG2M","SecondChanceFG2A","SecondChanceFg2Pct","SecondChanceFG3M","SecondChanceFG3A","SecondChanceFg3Pct","SecondChanceFtPoints","SecondChanceEfgPct","SecondChanceTsPct","SecondChanceShotQualityAvg","SecondChanceAtRimFGM","SecondChanceAtRimFGA","SecondChanceAtRimFrequency","SecondChanceAtRimAccuracy","SecondChanceAtRimPctAssisted","SecondChanceCorner3FGM","SecondChanceCorner3FGA","SecondChanceCorner3Frequency","SecondChanceCorner3Accuracy","SecondChanceCorner3PctAssisted","SecondChanceArc3FGM","SecondChanceArc3FGA","SecondChanceArc3Frequency","SecondChanceArc3Accuracy","SecondChanceArc3PctAssisted","SecondChanceTurnovers"
"Kawhi Leonard","LAC",62,2042,11.948790896159316,3.271692745376956,0.08084358523725835,0.948316737790422,1.5647226173541964,0.6060606060606061,0.21337126600284495,0.7349454717875771,0.2903225806451613,0.7349454717875771,0.5515463917525774,0.6071428571428571,0.48463095238095244,0.40303461356092934,0.5926979611190137,0.25773195876288657,0.68,0,0,0.07112375533428165,0.030927835051546393,0,0,0.21337126600284495,0.6638217164532954,0.28865979381443296,0.32142857142857145,0.6666666666666666,0.2844950213371266
"Lou Williams","LAC",70,2010,10.890173410404625,2.1040462427745665,0.0713166144200627,0.48554913294797686,1.0404624277456647,0.4666666666666667,0.2774566473988439,0.7398843930635838,0.375,0.30057803468208094,0.5064935064935064,0.5481927710843374,0.48864196428571427,0.20809248554913296,0.3699421965317919,0.2077922077922078,0.5625,0.2222222222222222,0.06936416184971098,0.3699421965317919,0.2077922077922078,0.1875,1,0.20809248554913296,0.3699421965317919,0.2077922077922078,0.5625,0.8888888888888888,0.11560693641618497
"Montrezl Harrell","LAC",68,1844,11.094224924012158,5.927051671732523,0.19133278822567457,2.507598784194529,4.179331306990881,0.6,0,0,0,0.9118541033434651,0.6,0.6324324324324324,0.5666541984732825,2.2289766970618032,3.6474164133738602,0.8727272727272727,0.6111111111111112,0.17045454545454544,0,0,0,0,0,0,0,0,0,0,0.1773049645390071
"Paul George","LAC",53,1596,11.171009284216831,2.815214135968853,0.08325952170062002,0.5390835579514824,0.9284216831386642,0.5806451612903226,0.47918538484576223,1.1680143755615453,0.41025641025641024,0.2994908655286014,0.6,0.6266666666666667,0.522051,0.3893381251871818,0.5091344713986223,0.24285714285714285,0.7647058823529411,0.3076923076923077,0.20964360587002095,0.35938903863432164,0.17142857142857143,0.5833333333333334,0.8571428571428571,0.2695417789757412,0.8086253369272237,0.38571428571428573,0.3333333333333333,0.7777777777777778,0.02994908655286014
"Landry Shamet","LAC",58,1551,10.71319253137435,1.285583103764922,0.07909604519774012,0.18365472910927455,0.24487297214569942,0.75,0.3060912151821243,0.7346189164370982,0.4166666666666667,0,0.65625,0.65625,0.5448304347826087,0.09182736455463728,0.12243648607284971,0.125,0.75,0.6666666666666666,0.15304560759106214,0.24487297214569942,0.25,0.625,1,0.15304560759106214,0.48974594429139884,0.5,0.3125,1,0.09182736455463728
"Ivica Zubac","LAC",77,1441,12.52109348633142,6.783665204184948,0.3101851851851852,2.5312183597705027,4.859939250759366,0.5208333333333334,0,0.03374957813027337,0,1.7212284846439418,0.5172413793103449,0.5710227272727273,0.5676745614035088,2.328720890988863,4.454944313196085,0.9103448275862069,0.5227272727272727,0.10144927536231885,0,0,0,0,0,0,0.03374957813027337,0.006896551724137931,0,0,0.20249746878164024
"JaMychal Green","LAC",68,1376,11.09209174940089,2.5676138308798357,0.16592920353982302,0.7531667237247518,1.3693940431359124,0.55,0.17117425539198905,0.6162273194111606,0.2777777777777778,0.5477576172543649,0.5086206896551724,0.5597014925373134,0.5555030303030304,0.7531667237247518,1.3009243409791167,0.6551724137931034,0.5789473684210527,0,0.034234851078397806,0.20540910647038685,0.10344827586206896,0.16666666666666666,1,0.13693940431359122,0.4108182129407737,0.20689655172413793,0.3333333333333333,1,0.17117425539198905
"Patrick Beverley","LAC",52,1362,12.66360099044924,1.2026883622214362,0.08232445520581114,0.318358684117439,0.5659709939865581,0.5625,0.17686593562079944,0.636717368234878,0.2777777777777778,0.035373187124159884,0.4852941176470588,0.4722222222222222,0.5610727272727273,0.2829854969932791,0.4598514326140785,0.38235294117647056,0.6153846153846154,0.25,0,0.14149274849663954,0.11764705882352941,0,0,0.17686593562079944,0.4952246197382384,0.4117647058823529,0.35714285714285715,0.8,0.17686593562079944
"Maurice Harkless","LAC",50,1141,11.060100166944908,1.7111853088480802,0.14909090909090908,0.667779632721202,1.1686143572621035,0.5714285714285714,0.041736227045075125,0.1669449081803005,0.25,0.25041736227045075,0.546875,0.5540540540540541,0.5964347826086956,0.667779632721202,1.1268781302170283,0.84375,0.5925925925925926,0.25,0.041736227045075125,0.041736227045075125,0.03125,1,1,0,0.12520868113522537,0.09375,0,0,0.20868113522537562
"Rodney McGruder","LAC",58,879,9.893617021276595,0.7978723404255319,0.07772020725388601,0.26595744680851063,0.4787234042553192,0.5555555555555556,0.05319148936170213,0.26595744680851063,0.2,0.10638297872340426,0.4642857142857143,0.5,0.5119333333333334,0.1595744680851064,0.2127659574468085,0.2857142857142857,0.75,0.3333333333333333,0,0.10638297872340426,0.14285714285714285,0,0,0.05319148936170213,0.1595744680851064,0.21428571428571427,0.3333333333333333,1,0.1595744680851064
