"Name","TeamAbbreviation","GamesPlayed","Minutes","SecondChanceOffPoss","SecondChancePoints","SecondChancePointsPct","SecondChanceFG2M","SecondChanceFG2A","SecondChanceFg2Pct","SecondChanceFG3M","SecondChanceFG3A","SecondChanceFg3Pct","SecondChanceFtPoints","SecondChanceEfgPct","SecondChanceTsPct","SecondChanceShotQualityAvg","SecondChanceAtRimFGM","SecondChanceAtRimFGA","SecondChanceAtRimFrequency","SecondChanceAtRimAccuracy","SecondChanceAtRimPctAssisted","SecondChanceCorner3FGM","SecondChanceCorner3FGA","SecondChanceCorner3Frequency","SecondChanceCorner3Accuracy","SecondChanceCorner3PctAssisted","SecondChanceArc3FGM","SecondChanceArc3FGA","SecondChanceArc3Frequency","SecondChanceArc3Accuracy","SecondChanceArc3PctAssisted","SecondChanceTurnovers"
"LeBron James","LAL",71,2447,11.308817714511665,3.2819296164491893,0.09227348526959422,1.047844998022934,1.6211941478845393,0.6463414634146342,0.276789244760775,0.6722024515618822,0.4117647058823529,0.35587188612099646,0.6379310344827587,0.6484375,0.546861797752809,0.8896797153024911,1.2850929221035983,0.5603448275862069,0.6923076923076923,0.15555555555555556,0.019770660340055358,0.05931198102016608,0.02586206896551724,0.3333333333333333,0,0.2570185844207197,0.6128904705417161,0.2672413793103448,0.41935483870967744,0.38461538461538464,0.1383946223803875
"Anthony Davis","LAL",66,2258,11.241857533095189,4.874973733977726,0.1345707656612529,1.7440638789661693,2.9838201302794705,0.5845070422535211,0.16810254255095608,0.33620508510191216,0.5,0.8825383483925194,0.6012658227848101,0.6424581005586593,0.5274816666666667,1.4498844295019961,2.2483715066190375,0.6772151898734177,0.6448598130841121,0.13043478260869565,0.02101281781886951,0.10506408909434756,0.03164556962025317,0.2,1,0.14708972473208656,0.2311409960075646,0.06962025316455696,0.6363636363636364,1,0.31519226728304267
"Kentavious Caldwell-Pope","LAL",73,1864,11.667951683371884,1.3364173734258544,0.07569141193595343,0.3341043433564636,0.6168080185042406,0.5416666666666666,0.17990233873040348,0.5397070161912105,0.3333333333333333,0.1285016705217168,0.5222222222222223,0.53125,0.5104517857142857,0.20560267283474684,0.3084040092521203,0.26666666666666666,0.6666666666666666,0.25,0.025700334104343355,0.17990233873040348,0.15555555555555556,0.14285714285714285,1,0.15420200462606015,0.35980467746080697,0.3111111111111111,0.42857142857142855,0.8333333333333334,0.07710100231303008
"Danny Green","LAL",72,1789,11.719372840818496,1.1427052883337763,0.07388316151202749,0.29231995748073347,0.5846399149614669,0.5,0.1860217911241031,1.1427052883337763,0.16279069767441862,0,0.33076923076923076,0.32575757575757575,0.5529606060606062,0.2391708743024183,0.3720435822482062,0.2153846153846154,0.6428571428571429,0.2222222222222222,0.13287270794578793,0.5580653733723093,0.3230769230769231,0.23809523809523808,0.6,0.053149083178315175,0.5846399149614669,0.3384615384615385,0.09090909090909091,1,0.29231995748073347
"Kyle Kuzma","LAL",65,1622,11.172857560690261,3.0710734132787363,0.12681159420289856,0.9066978648727698,1.5794091839719215,0.5740740740740741,0.3217315004387248,0.6434630008774496,0.5,0.2924831822170225,0.625,0.6341463414634146,0.4932682926829268,0.584966364434045,0.818952910207663,0.3684210526315789,0.7142857142857143,0.15,0.14624159110851126,0.2924831822170225,0.13157894736842105,0.5,1,0.17548990933021352,0.35097981866042705,0.15789473684210525,0.5,0.8333333333333334,0.17548990933021352
"Dwight Howard","LAL",73,1380,12.724014336917563,7.670250896057348,0.3905109489051095,2.974910394265233,4.121863799283154,0.7217391304347827,0.035842293906810034,0.035842293906810034,1,1.6129032258064515,0.728448275862069,0.7039473684210527,0.5690067901234568,2.867383512544803,3.835125448028674,0.9224137931034483,0.7476635514018691,0.125,0.035842293906810034,0.035842293906810034,0.008620689655172414,1,1,0,0,0,0,0,0.3942652329749104
"Alex Caruso","LAL",68,1269,11.18247072157159,1.3222516055912354,0.0948509485094851,0.34000755572346053,0.6044578768417076,0.5625,0.1511144692104269,0.415564790328674,0.36363636363636365,0.18889308651303363,0.5555555555555556,0.5833333333333334,0.5357045454545454,0.26445032111824707,0.415564790328674,0.4074074074074074,0.6363636363636364,0.7142857142857143,0.037778617302606725,0.1511144692104269,0.14814814814814814,0.25,1,0.11333585190782017,0.26445032111824707,0.25925925925925924,0.42857142857142855,1,0.037778617302606725
"Avery Bradley","LAL",49,1186,11.04,0.92,0.054373522458628844,0.24,0.68,0.35294117647058826,0.12,0.64,0.1875,0.08,0.3181818181818182,0.3382352941176471,0.5279625,0.24,0.4,0.30303030303030304,0.6,0.5,0.04,0.28,0.21212121212121213,0.14285714285714285,1,0.08,0.36,0.2727272727272727,0.2222222222222222,1,0.16
"JaVale McGee","LAL",72,1184,11.47142278070531,4.33725172274017,0.22573839662447256,1.9051479529793272,3.2428050263477908,0.5875,0,0,0,0.526955816781516,0.5875,0.5944444444444444,0.5763828124999999,1.8240778273206324,3.0806647750304013,0.95,0.5921052631578947,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0.4458856911228212
"Rajon Rondo","LAL",48,984,11.706837186424004,1.3772749631087065,0.08187134502923976,0.2951303492375799,0.6394490900147565,0.46153846153846156,0.24594195769798327,0.5410723069355632,0.45454545454545453,0.04918839153959666,0.5625,0.5833333333333334,0.53618125,0.24594195769798327,0.39350713231677326,0.3333333333333333,0.625,0,0.09837678307919331,0.24594195769798327,0.20833333333333334,0.4,1,0.14756517461878996,0.2951303492375799,0.25,0.5,0.6666666666666666,0.39350713231677326
