"Name","TeamAbbreviation","GamesPlayed","Minutes","SecondChanceOffPoss","SecondChancePoints","SecondChancePointsPct","SecondChanceFG2M","SecondChanceFG2A","SecondChanceFg2Pct","SecondChanceFG3M","SecondChanceFG3A","SecondChanceFg3Pct","SecondChanceFtPoints","SecondChanceEfgPct","SecondChanceTsPct","SecondChanceShotQualityAvg","SecondChanceAtRimFGM","SecondChanceAtRimFGA","SecondChanceAtRimFrequency","SecondChanceAtRimAccuracy","SecondChanceAtRimPctAssisted","SecondChanceCorner3FGM","SecondChanceCorner3FGA","SecondChanceCorner3Frequency","SecondChanceCorner3Accuracy","SecondChanceCorner3PctAssisted","SecondChanceArc3FGM","SecondChanceArc3FGA","SecondChanceArc3Frequency","SecondChanceArc3Accuracy","SecondChanceArc3PctAssisted","SecondChanceTurnovers"
"Giannis Antetokounmpo","MIL",67,2047,9.692513368983958,5.0133689839572195,0.11352169525731584,1.983065953654189,3.1194295900178255,0.6357142857142857,0.022281639928698752,0.17825311942959002,0.125,0.9803921568627451,0.6114864864864865,0.625,0.5287391304347826,1.7602495543672014,2.5623885918003566,0.777027027027027,0.6869565217391305,0.11392405063291139,0,0,0,0,0,0.022281639928698752,0.17825311942959002,0.05405405405405406,0.125,0,0.3787878787878788
"Khris Middleton","MIL",66,1978,8.928571428571429,2.0871985157699444,0.06661732050333087,0.6029684601113172,0.974025974025974,0.6190476190476191,0.23191094619666047,0.5333951762523191,0.43478260869565216,0.18552875695732837,0.6307692307692307,0.6617647058823529,0.5077644736842105,0.25510204081632654,0.4174397031539889,0.27692307692307694,0.6111111111111112,0.09090909090909091,0.023191094619666047,0.11595547309833024,0.07692307692307693,0.2,1,0.20871985157699444,0.4174397031539889,0.27692307692307694,0.5,0.8888888888888888,0.09276437847866419
"Brook Lopez","MIL",72,1941,8.816595945308817,2.098066949552098,0.10300925925925926,0.8015087223008015,1.2258368694012258,0.6538461538461539,0.07072135785007072,0.47147571900047147,0.15,0.2828854314002829,0.5347222222222222,0.5705128205128205,0.5495436170212766,0.7072135785007072,0.9900990099009901,0.5833333333333334,0.7142857142857143,0.43333333333333335,0.04714757190004715,0.14144271570014144,0.08333333333333333,0.3333333333333333,1,0.023573785950023574,0.33003300330033003,0.19444444444444445,0.07142857142857142,1,0.11786892975011787
"Eric Bledsoe","MIL",65,1749,8.536585365853659,0.8822003113648158,0.035453597497393116,0.2594706798131811,0.6746237675142709,0.38461538461538464,0.07784120394395433,0.4411001556824079,0.17647058823529413,0.12973533990659056,0.3372093023255814,0.3695652173913043,0.5006307692307692,0.2594706798131811,0.38920601971977165,0.3488372093023256,0.6666666666666666,0.2,0.02594706798131811,0.15568240788790866,0.13953488372093023,0.16666666666666666,0,0.05189413596263622,0.28541774779449924,0.2558139534883721,0.18181818181818182,1,0.15568240788790866
"Wesley Matthews","MIL",71,1729,8.34658187599364,1.8547959724430312,0.13157894736842105,0.2649708532061473,0.4239533651298357,0.625,0.4239533651298357,0.6624271330153683,0.64,0.052994170641229466,0.8292682926829268,0.8214285714285714,0.5280462962962963,0.1589825119236884,0.21197668256491786,0.1951219512195122,0.75,0.5,0.10598834128245893,0.21197668256491786,0.1951219512195122,0.5,0.75,0.3179650238473768,0.45045045045045046,0.4146341463414634,0.7058823529411765,0.9166666666666666,0.026497085320614733
"Donte DiVincenzo","MIL",70,1575,10.388094543332361,2.276043186460461,0.12302839116719243,0.612780857893201,1.1088415523781734,0.5526315789473685,0.2626203676685147,0.5252407353370294,0.5,0.2626203676685147,0.6160714285714286,0.639344262295082,0.5591516129032258,0.5836008170411439,0.9921213889699445,0.6071428571428571,0.5882352941176471,0.35,0.058360081704114386,0.11672016340822877,0.07142857142857142,0.5,1,0.20426028596440035,0.4085205719288007,0.25,0.5,1,0.2626203676685147
"George Hill","MIL",63,1360,10.131396957123098,2.351313969571231,0.11544991511035653,0.5532503457814661,1.0027662517289073,0.5517241379310345,0.3457814661134163,0.656984785615491,0.5263157894736842,0.2074688796680498,0.6458333333333334,0.6538461538461539,0.5513621212121212,0.4149377593360996,0.6224066390041494,0.375,0.6666666666666666,0.25,0.17289073305670816,0.2766251728907331,0.16666666666666666,0.625,0.8,0.17289073305670816,0.38035961272475793,0.22916666666666666,0.45454545454545453,0.2,0.13831258644536654
"Pat Connaughton","MIL",71,1331,10.502442428471738,2.1981856245638522,0.16279069767441862,0.7676203768318214,0.9769713886950454,0.7857142857142857,0.17445917655268667,0.5233775296580601,0.3333333333333333,0.13956734124214934,0.686046511627907,0.7,0.5493551724137931,0.7676203768318214,0.837404047452896,0.5581395348837209,0.9166666666666666,0.2727272727272727,0.034891835310537335,0.06978367062107467,0.046511627906976744,0.5,1,0.13956734124214934,0.45359385903698535,0.3023255813953488,0.3076923076923077,0.75,0.2791346824842987
"Kyle Korver","MIL",62,1023,9.730207872622733,1.592215833701902,0.08571428571428572,0.22114108801415303,0.4865103936311367,0.45454545454545453,0.30959752321981426,0.8845643520566121,0.35,0.22114108801415303,0.5,0.5303030303030303,0.46268125,0,0.13268465280849182,0.0967741935483871,0,0,0.08845643520566121,0.17691287041132242,0.12903225806451613,0.5,0.5,0.22114108801415303,0.7076514816452897,0.5161290322580645,0.3125,0.8,0.26536930561698363
"Ersan Ilyasova","MIL",65,997,9.308755760368664,3.133640552995392,0.162291169451074,1.0138248847926268,2.0737327188940093,0.4888888888888889,0.1382488479262673,0.3225806451612903,0.42857142857142855,0.6912442396313364,0.5096153846153846,0.5483870967741935,0.5411484848484849,0.8294930875576036,1.6589861751152073,0.6923076923076923,0.5,0.3333333333333333,0.04608294930875576,0.1382488479262673,0.057692307692307696,0.3333333333333333,1,0.09216589861751152,0.18433179723502305,0.07692307692307693,0.5,1,0.18433179723502305
"Robin Lopez","MIL",69,979,10.62200956937799,2.248803827751196,0.12947658402203857,1.0047846889952152,1.9617224880382775,0.5121951219512195,0,0.28708133971291866,0,0.23923444976076555,0.44680851063829785,0.47,0.5431930555555556,0.7655502392344498,1.5789473684210527,0.7021276595744681,0.48484848484848486,0,0,0.14354066985645933,0.06382978723404255,0,0,0,0.14354066985645933,0.06382978723404255,0,0,0.19138755980861244
"Sterling Brown","MIL",53,770,10.707911957168353,2.379535990481856,0.15037593984962405,0.6543723973825104,1.1302795954788816,0.5789473684210527,0.2379535990481856,0.6543723973825104,0.36363636363636365,0.35693039857227843,0.5666666666666667,0.6060606060606061,0.5145382352941176,0.4759071980963712,0.6543723973825104,0.36666666666666664,0.7272727272727273,0.125,0.1189767995240928,0.2379535990481856,0.13333333333333333,0.5,1,0.1189767995240928,0.4164187983343248,0.23333333333333334,0.2857142857142857,1,0.0594883997620464
"Marvin Williams","MIL",21,375,9.261576971214017,1.1264080100125156,0.10714285714285714,0.5006257822277848,0.6257822277847309,0.8,0,0.2503128911138924,0,0.1251564455569462,0.5714285714285714,0.6428571428571429,0.6288875,0.5006257822277848,0.6257822277847309,0.7142857142857143,0.8,0,0,0.1251564455569462,0.14285714285714285,0,0,0,0.1251564455569462,0.14285714285714285,0,0,0.2503128911138924
"D.J. Wilson","MIL",37,363,9.331651954602775,2.900378310214376,0.17293233082706766,1.008827238335435,1.2610340479192939,0.8,0.25220680958385877,1.008827238335435,0.25,0.12610340479192939,0.6111111111111112,0.6052631578947368,0.6046388888888888,1.008827238335435,1.2610340479192939,0.5555555555555556,0.8,0.625,0.25220680958385877,0.37831021437578816,0.16666666666666666,0.6666666666666666,1,0,0.6305170239596469,0.2777777777777778,0,0,0
"Thanasis Antetokounmpo","MIL",20,129,9.824561403508772,2.1052631578947367,0.10909090909090909,1.0526315789473684,2.1052631578947367,0.5,0,0.7017543859649122,0,0,0.375,0.375,0.6363,1.0526315789473684,2.1052631578947367,0.75,0.5,0,0,0.7017543859649122,0.25,0,0,0,0,0,0,0,0.7017543859649122
"Frank Mason","MIL",10,118,9.469696969696969,1.1363636363636365,0.04838709677419355,0.3787878787878788,1.893939393939394,0.2,0,0,0,0.3787878787878788,0.2,0.25,0.4969666666666666,0.3787878787878788,1.5151515151515151,0.8,0.25,1,0,0,0,0,0,0,0,0,0,0,0.3787878787878788
"Dragan Bender","MIL",7,91,6.091370558375634,2.5380710659898478,0.19230769230769232,0.5076142131979695,0.5076142131979695,1,0.5076142131979695,0.5076142131979695,1,0,1.25,1.25,0.65005,0.5076142131979695,0.5076142131979695,0.5,1,1,0.5076142131979695,0.5076142131979695,0.5,1,1,0,0,0,0,0,0
