"Name","TeamAbbreviation","GamesPlayed","Minutes","SecondChanceOffPoss","SecondChancePoints","SecondChancePointsPct","SecondChanceFG2M","SecondChanceFG2A","SecondChanceFg2Pct","SecondChanceFG3M","SecondChanceFG3A","SecondChanceFg3Pct","SecondChanceFtPoints","SecondChanceEfgPct","SecondChanceTsPct","SecondChanceShotQualityAvg","SecondChanceAtRimFGM","SecondChanceAtRimFGA","SecondChanceAtRimFrequency","SecondChanceAtRimAccuracy","SecondChanceAtRimPctAssisted","SecondChanceCorner3FGM","SecondChanceCorner3FGA","SecondChanceCorner3Frequency","SecondChanceCorner3Accuracy","SecondChanceCorner3PctAssisted","SecondChanceArc3FGM","SecondChanceArc3FGA","SecondChanceArc3Frequency","SecondChanceArc3Accuracy","SecondChanceArc3PctAssisted","SecondChanceTurnovers"
"Julius Randle","NYK",64,2080,13.33490677366061,5.286759499645976,0.1794871794871795,1.7465187632759027,2.950200613641728,0.592,0.14160962945480293,0.7316497521831484,0.1935483870967742,1.3688930847297616,0.532051282051282,0.5773195876288659,0.5406096,1.4160962945480293,2.4073637007316497,0.6538461538461539,0.5882352941176471,0.11666666666666667,0.07080481472740147,0.18881283927307058,0.05128205128205128,0.375,1,0.07080481472740147,0.5428369129100779,0.14743589743589744,0.13043478260869565,1,0.37762567854614115
"RJ Barrett","NYK",56,1704,13.156392694063927,1.6552511415525115,0.0722291407222914,0.5422374429223744,1.341324200913242,0.40425531914893614,0.08561643835616438,0.4280821917808219,0.2,0.3139269406392694,0.3790322580645161,0.4142857142857143,0.54211,0.5136986301369864,1.0844748858447488,0.6129032258064516,0.47368421052631576,0.1111111111111111,0,0.08561643835616438,0.04838709677419355,0,0,0.08561643835616438,0.3424657534246575,0.1935483870967742,0.25,0.6666666666666666,0.17123287671232876
"Mitchell Robinson","NYK",61,1412,13.873435326842838,7.4061196105702365,0.3610169491525424,3.0945757997218357,4.7635605006954105,0.6496350364963503,0,0,0,1.2169680111265646,0.6496350364963503,0.6301775147928994,0.5866345454545454,3.0598052851182196,4.589707927677329,0.9635036496350365,0.6666666666666666,0.09090909090909091,0,0,0,0,0,0,0,0,0,0,0.24339360222531292
"Bobby Portis","NYK",66,1393,11.941340782122905,3.386871508379888,0.14520958083832336,1.291899441340782,2.863128491620112,0.45121951219512196,0.13966480446927373,0.20949720670391062,0.6666666666666666,0.3840782122905028,0.48863636363636365,0.521505376344086,0.5448023076923076,1.047486033519553,2.1997206703910615,0.7159090909090909,0.47619047619047616,0.23333333333333334,0,0.034916201117318434,0.011363636363636364,0,0,0.13966480446927373,0.17458100558659218,0.056818181818181816,0.8,1,0.20949720670391062
"Marcus Morris Sr.","NYK",43,1387,13.733905579399142,3.3261802575107295,0.11058263971462545,0.6795422031473534,1.4663805436337625,0.4634146341463415,0.39341917024320455,0.7510729613733905,0.5238095238095238,0.7868383404864091,0.5725806451612904,0.6133333333333333,0.48467604166666667,0.3218884120171674,0.5722460658082976,0.25806451612903225,0.5625,0.2222222222222222,0.1430615164520744,0.17882689556509299,0.08064516129032258,0.8,0.75,0.2503576537911302,0.5722460658082976,0.25806451612903225,0.4375,0.7142857142857143,0.1430615164520744
"Elfrid Payton","NYK",45,1246,13.577838470542334,1.9508388607101053,0.111358574610245,0.8583690987124464,1.404603979711276,0.6111111111111112,0.03901677721420211,0.19508388607101054,0.2,0.11705033164260632,0.573170731707317,0.5813953488372093,0.5031442857142857,0.4291845493562232,0.702301989855638,0.43902439024390244,0.6111111111111112,0.09090909090909091,0,0.03901677721420211,0.024390243902439025,0,0,0.03901677721420211,0.15606710885680844,0.0975609756097561,0.25,1,0.15606710885680844
"Frank Ntilikina","NYK",57,1187,12.20125786163522,0.4612159329140461,0.03081232492997199,0.12578616352201258,0.33542976939203356,0.375,0.041928721174004195,0.5031446540880503,0.08333333333333333,0.08385744234800839,0.225,0.2619047619047619,0.5565666666666667,0.041928721174004195,0.12578616352201258,0.15,0.3333333333333333,1,0,0.041928721174004195,0.05,0,0,0.041928721174004195,0.4612159329140461,0.55,0.09090909090909091,0,0.25157232704402516
"Kevin Knox II","NYK",65,1166,12.381345439537762,1.9397441188609161,0.11217183770883055,0.45398266611638466,1.0730499380932728,0.4230769230769231,0.28889806025588116,0.7428807263722658,0.3888888888888889,0.1650846058605035,0.48863636363636365,0.5,0.5270808823529413,0.3714403631861329,0.5777961205117623,0.3181818181818182,0.6428571428571429,0.1111111111111111,0.041271151465125874,0.1650846058605035,0.09090909090909091,0.25,1,0.24762690879075527,0.5777961205117623,0.3181818181818182,0.42857142857142855,0.8333333333333334,0.20635575732562939
"Taj Gibson","NYK",62,1025,12.766990291262136,4.854368932038835,0.2638522427440633,2.233009708737864,3.5436893203883497,0.6301369863013698,0,0,0,0.3883495145631068,0.6301369863013698,0.6578947368421053,0.5524642857142857,1.9902912621359223,3.1553398058252426,0.8904109589041096,0.6307692307692307,0.1951219512195122,0,0,0,0,0,0,0,0,0,0,0.2912621359223301
"Damyean Dotson","NYK",48,836,12.906976744186046,1.9767441860465116,0.1059190031152648,0.5813953488372093,1.0465116279069768,0.5555555555555556,0.23255813953488372,0.6395348837209303,0.36363636363636365,0.11627906976744186,0.5517241379310345,0.5666666666666667,0.46555238095238094,0.1744186046511628,0.23255813953488372,0.13793103448275862,0.75,0,0.05813953488372093,0.1744186046511628,0.10344827586206896,0.3333333333333333,1,0.1744186046511628,0.46511627906976744,0.27586206896551724,0.375,0.3333333333333333,0
