"Name","TeamAbbreviation","GamesPlayed","Minutes","SecondChanceOffPoss","SecondChancePoints","SecondChancePointsPct","SecondChanceFG2M","SecondChanceFG2A","SecondChanceFg2Pct","SecondChanceFG3M","SecondChanceFG3A","SecondChanceFg3Pct","SecondChanceFtPoints","SecondChanceEfgPct","SecondChanceTsPct","SecondChanceShotQualityAvg","SecondChanceAtRimFGM","SecondChanceAtRimFGA","SecondChanceAtRimFrequency","SecondChanceAtRimAccuracy","SecondChanceAtRimPctAssisted","SecondChanceCorner3FGM","SecondChanceCorner3FGA","SecondChanceCorner3Frequency","SecondChanceCorner3Accuracy","SecondChanceCorner3PctAssisted","SecondChanceArc3FGM","SecondChanceArc3FGA","SecondChanceArc3Frequency","SecondChanceArc3Accuracy","SecondChanceArc3PctAssisted","SecondChanceTurnovers"
"Evan Fournier","ORL",70,2213,9.713024282560706,1.8322295805739515,0.06550907655880031,0.33112582781456956,0.7505518763796909,0.4411764705882353,0.2869757174392936,0.9050772626931567,0.3170731707317073,0.3090507726269316,0.46,0.5,0.48722368421052625,0.06622516556291391,0.17660044150110377,0.10666666666666667,0.375,0.6666666666666666,0.02207505518763797,0.1545253863134658,0.09333333333333334,0.14285714285714285,1,0.26490066225165565,0.7505518763796909,0.4533333333333333,0.35294117647058826,0.8333333333333334,0.13245033112582782
"Nikola Vucevic","ORL",66,2144,9.348763331064216,3.5171318357159067,0.11627906976744186,1.3841615611527116,2.5867937372362153,0.5350877192982456,0.11345586566825505,0.3176764238711141,0.35714285714285715,0.4084411164057182,0.53515625,0.5575539568345323,0.5417787037037037,1.0664851372815976,1.996823235761289,0.6875,0.5340909090909091,0.0425531914893617,0.02269117313365101,0.02269117313365101,0.0078125,1,1,0.09076469253460404,0.2949852507374631,0.1015625,0.3076923076923077,0.75,0.2042205582028591
"Markelle Fultz","ORL",76,2111,10.059852670349908,1.565377532228361,0.07423580786026202,0.5064456721915286,1.0128913443830572,0.5,0.1151012891344383,0.1841620626151013,0.625,0.20718232044198895,0.5673076923076923,0.6071428571428571,0.52573875,0.32228360957642727,0.5755064456721916,0.4807692307692308,0.56,0.42857142857142855,0,0,0,0,0,0.1151012891344383,0.1841620626151013,0.15384615384615385,0.625,0.6,0.16114180478821363
"Aaron Gordon","ORL",62,2017,10.440097799511003,3.5941320293398533,0.1644295302013423,1.271393643031785,2.2982885085574574,0.5531914893617021,0.19559902200489,0.58679706601467,0.3333333333333333,0.46454767726161367,0.5423728813559322,0.5653846153846154,0.552028350515464,1.1002444987775062,1.7359413202933984,0.6016949152542372,0.6338028169014085,0.24444444444444444,0.07334963325183375,0.12224938875305623,0.0423728813559322,0.6,0.6666666666666666,0.12224938875305623,0.46454767726161367,0.16101694915254236,0.2631578947368421,1,0.2200488997555012
"Terrence Ross","ORL",73,2001,11.76613885505481,1.3885505481120584,0.052534562211981564,0.243605359317905,0.682095006090134,0.35714285714285715,0.2192448233861145,0.584652862362972,0.375,0.243605359317905,0.4519230769230769,0.49137931034482757,0.47350595238095244,0.0730816077953715,0.1218026796589525,0.09615384615384616,0.6,0.3333333333333333,0.024360535931790498,0.09744214372716199,0.07692307692307693,0.25,1,0.19488428745432398,0.48721071863581,0.38461538461538464,0.4,1,0.1705237515225335
"D.J. Augustin","ORL",61,1524,10.42669233237087,1.860763554700032,0.08923076923076922,0.2245749117741418,0.48123195380173245,0.4666666666666667,0.25665704202759065,0.6737247353224254,0.38095238095238093,0.6416426050689766,0.5277777777777778,0.6195652173913043,0.5134458333333333,0.19249278152069296,0.25665704202759065,0.2222222222222222,0.75,0,0.03208213025344883,0.16041065126724416,0.1388888888888889,0.2,1,0.2245749117741418,0.5133140840551813,0.4444444444444444,0.4375,0.8571428571428571,0.12832852101379533
"Wes Iwundu","ORL",56,1014,10.511089681774349,0.8678881388621023,0.05750798722044728,0.19286403085824494,0.7232401157184185,0.26666666666666666,0.048216007714561235,0.33751205400192863,0.14285714285714285,0.33751205400192863,0.25,0.34615384615384615,0.5023,0.19286403085824494,0.4821600771456123,0.45454545454545453,0.4,0.25,0,0.048216007714561235,0.045454545454545456,0,0,0.048216007714561235,0.2892960462873674,0.2727272727272727,0.16666666666666666,1,0.1446480231436837
"Khem Birch","ORL",52,992,11.09460128776622,3.368003962357603,0.29310344827586204,1.3868251609707776,2.2288261515601784,0.6222222222222222,0,0.04952947003467063,0,0.5943536404160475,0.6086956521739131,0.6181818181818182,0.5694388888888889,1.337295690936107,2.0307082714214957,0.8913043478260869,0.6585365853658537,0.07407407407407407,0,0.04952947003467063,0.021739130434782608,0,0,0,0,0,0,0,0.1485884101040119
"Jonathan Isaac","ORL",34,980,10.209163346613545,3.5358565737051793,0.17574257425742573,1.344621513944223,3.037848605577689,0.4426229508196721,0.099601593625498,0.14940239043824702,0.6666666666666666,0.547808764940239,0.46875,0.5071428571428571,0.5193776595744681,1.1454183266932272,2.3406374501992033,0.734375,0.48936170212765956,0.043478260869565216,0.049800796812749,0.099601593625498,0.03125,0.5,1,0.049800796812749,0.049800796812749,0.015625,1,1,0.049800796812749
"Mo Bamba","ORL",62,878,13.66742596810934,6.093394077448747,0.32228915662650603,2.5056947608200457,4.100227790432802,0.6111111111111112,0.05694760820045558,0.11389521640091116,0.5,0.9111617312072893,0.6148648648648649,0.6294117647058823,0.5518491803278688,2.334851936218679,3.5876993166287017,0.8513513513513513,0.6507936507936508,0.07317073170731707,0,0,0,0,0,0.05694760820045558,0.11389521640091116,0.02702702702702703,0.5,1,0.22779043280182232
"Michael Carter-Williams","ORL",45,833,12.983918999404407,1.786777843954735,0.09287925696594428,0.5360333531864205,1.36986301369863,0.391304347826087,0.05955926146515783,0.5360333531864205,0.1111111111111111,0.5360333531864205,0.328125,0.4166666666666667,0.5421375,0.47647409172126265,1.1911852293031566,0.625,0.4,0.375,0,0.1786777843954735,0.09375,0,0,0.05955926146515783,0.357355568790947,0.1875,0.16666666666666666,1,0.4169148302561048
"James Ennis III","ORL",24,578,9.776304888152444,3.2311516155758078,0.2,1.15990057995029,1.9055509527754764,0.6086956521739131,0.08285004142502071,0.4142502071251036,0.2,0.6628003314001657,0.5535714285714286,0.5909090909090909,0.559359375,0.9942004971002486,1.6570008285004143,0.7142857142857143,0.6,0.08333333333333333,0,0,0,0,0,0.08285004142502071,0.4142502071251036,0.17857142857142858,0.2,1,0.24855012427506215
"Gary Clark","ORL",28,474,11.503531786074673,1.917255297679112,0.1557377049180328,0.5045408678102926,0.6054490413723511,0.8333333333333334,0.30272452068617556,1.1099899091826437,0.2727272727272727,0,0.5588235294117647,0.5588235294117647,0.54774,0.5045408678102926,0.6054490413723511,0.35294117647058826,0.8333333333333334,0.4,0.10090817356205853,0.20181634712411706,0.11764705882352941,0.5,1,0.20181634712411706,0.9081735620585267,0.5294117647058824,0.2222222222222222,1,0.20181634712411706
"Al-Farouq Aminu","ORL",18,380,13.290322580645162,3.096774193548387,0.3076923076923077,0.6451612903225806,1.5483870967741935,0.4166666666666667,0.25806451612903225,0.3870967741935484,0.6666666666666666,1.032258064516129,0.5333333333333333,0.6,0.5258409090909091,0.5161290322580645,1.4193548387096775,0.7333333333333333,0.36363636363636365,0,0,0,0,0,0,0.25806451612903225,0.3870967741935484,0.2,0.6666666666666666,1,0
"Melvin Frazier Jr.","ORL",19,126,11.985018726591761,2.6217228464419478,0.175,0.7490636704119851,1.1235955056179776,0.6666666666666666,0.37453183520599254,1.1235955056179776,0.3333333333333333,0,0.5833333333333334,0.5833333333333334,0.4975625,0.37453183520599254,0.37453183520599254,0.16666666666666666,1,0,0,0,0,0,0,0.37453183520599254,1.1235955056179776,0.5,0.3333333333333333,1,0
"BJ Johnson","ORL",11,86,9.895833333333334,1.0416666666666667,0.06060606060606061,0.5208333333333334,2.0833333333333335,0.25,0,0,0,0,0.25,0.25,0.4615,0.5208333333333334,1.0416666666666667,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5208333333333334
"Amile Jefferson","ORL",18,74,13.375796178343949,3.821656050955414,0.4,1.2738853503184713,1.910828025477707,0.6666666666666666,0,0,0,1.2738853503184713,0.6666666666666666,0.5,0.45176666666666665,0.6369426751592356,1.2738853503184713,0.6666666666666666,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"Vic Law","ORL",9,65,7.857142857142857,0.7142857142857143,0.05555555555555555,0,0.7142857142857143,0,0,0,0,0.7142857142857143,0,0.25,0.6077,0,0.7142857142857143,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Josh Magette","ORL",8,38,16.883116883116884,2.5974025974025974,0.16666666666666666,1.2987012987012987,1.2987012987012987,1,0,0,0,0,1,1,0.5641,1.2987012987012987,1.2987012987012987,1,1,0,0,0,0,0,0,0,0,0,0,0,1.2987012987012987
