"Name","TeamAbbreviation","GamesPlayed","Minutes","SecondChanceOffPoss","SecondChancePoints","SecondChancePointsPct","SecondChanceFG2M","SecondChanceFG2A","SecondChanceFg2Pct","SecondChanceFG3M","SecondChanceFG3A","SecondChanceFg3Pct","SecondChanceFtPoints","SecondChanceEfgPct","SecondChanceTsPct","SecondChanceShotQualityAvg","SecondChanceAtRimFGM","SecondChanceAtRimFGA","SecondChanceAtRimFrequency","SecondChanceAtRimAccuracy","SecondChanceAtRimPctAssisted","SecondChanceCorner3FGM","SecondChanceCorner3FGA","SecondChanceCorner3Frequency","SecondChanceCorner3Accuracy","SecondChanceCorner3PctAssisted","SecondChanceArc3FGM","SecondChanceArc3FGA","SecondChanceArc3Frequency","SecondChanceArc3Accuracy","SecondChanceArc3PctAssisted","SecondChanceTurnovers"
"Tobias Harris","PHI",76,2618,11.155003762227238,3.1790820165538,0.11465400271370421,0.9969902182091799,1.8999247554552294,0.5247524752475248,0.28216704288939054,0.6960120391271633,0.40540540540540543,0.33860045146726864,0.5471014492753623,0.5748299319727891,0.5165088888888889,0.6395786305492852,1.2415349887133182,0.4782608695652174,0.5151515151515151,0.2647058823529412,0.09405568096313018,0.1504890895410083,0.057971014492753624,0.625,1,0.18811136192626035,0.545522949586155,0.21014492753623187,0.3448275862068966,1,0.18811136192626035
"Al Horford","PHI",71,2154,10.479855138071526,2.0597555454956993,0.11016949152542373,0.8374830239927569,1.448619284744228,0.578125,0.09053870529651425,0.27161611588954276,0.3333333333333333,0.11317338162064282,0.5657894736842105,0.56875,0.5398593220338983,0.724309642372114,1.0185604345857855,0.5921052631578947,0.7111111111111111,0.125,0,0,0,0,0,0.09053870529651425,0.27161611588954276,0.15789473684210525,0.3333333333333333,1,0.06790402897238569
"Ben Simmons","PHI",57,2017,10.991636798088411,2.4133811230585422,0.10779082177161152,1.1230585424133812,1.8876941457586618,0.5949367088607594,0,0.023894862604540025,0,0.16726403823178015,0.5875,0.5872093023255814,0.5349529411764705,0.9796893667861409,1.4814814814814814,0.775,0.6612903225806451,0.36585365853658536,0,0,0,0,0,0,0.023894862604540025,0.0125,0,0,0.16726403823178015
"Josh Richardson","PHI",59,1837,11.99893105291288,1.7103153393907002,0.07785888077858881,0.5077498663816141,0.9887760555852485,0.5135135135135135,0.16034206306787813,0.6413682522715125,0.25,0.21378941742383753,0.45901639344262296,0.49230769230769234,0.5229593023255814,0.40085515766969537,0.5344735435595938,0.32786885245901637,0.75,0.26666666666666666,0.02672367717797969,0.08017103153393906,0.04918032786885246,0.3333333333333333,1,0.13361838588989844,0.5611972207375735,0.3442622950819672,0.23809523809523808,0.6,0.32068412613575625
"Joel Embiid","PHI",55,1651,11.614814814814816,6.340740740740741,0.16563467492260062,1.9259259259259258,3.8222222222222224,0.5038759689922481,0.14814814814814814,0.35555555555555557,0.4166666666666667,2.0444444444444443,0.5141843971631206,0.5851648351648352,0.5000968181818182,1.5703703703703704,2.3703703703703702,0.5673758865248227,0.6625,0.09433962264150944,0,0,0,0,0,0.14814814814814814,0.35555555555555557,0.0851063829787234,0.4166666666666667,0.8,0.5037037037037037
"Furkan Korkmaz","PHI",76,1599,10.608800482218204,1.6274864376130198,0.07637906647807638,0.33152501506931886,0.6027727546714888,0.55,0.3013863773357444,0.8740204942736588,0.3448275862068966,0.06027727546714889,0.5306122448979592,0.54,0.5372569444444444,0.2109704641350211,0.4219409282700422,0.2857142857142857,0.5,0.14285714285714285,0.09041591320072333,0.2109704641350211,0.14285714285714285,0.42857142857142855,1,0.2109704641350211,0.6630500301386377,0.4489795918367347,0.3181818181818182,1,0.09041591320072333
"Matisse Thybulle","PHI",69,1363,11.21863799283154,0.8602150537634409,0.07692307692307693,0.14336917562724014,0.3942652329749104,0.36363636363636365,0.17921146953405018,0.7885304659498208,0.22727272727272727,0.035842293906810034,0.3484848484848485,0.34285714285714286,0.56289,0.14336917562724014,0.35842293906810035,0.30303030303030304,0.4,0.25,0.07168458781362007,0.3225806451612903,0.2727272727272727,0.2222222222222222,1,0.10752688172043011,0.4659498207885305,0.3939393939393939,0.23076923076923078,1,0.21505376344086022
"Mike Scott","PHI",72,1227,12.610088070456365,2.6821457165732587,0.16183574879227053,0.8406725380304243,1.801441152922338,0.4666666666666667,0.200160128102482,1.00080064051241,0.2,0.400320256204964,0.40714285714285714,0.44666666666666666,0.5452152777777778,0.7205764611689351,1.4811849479583667,0.5285714285714286,0.4864864864864865,0.2777777777777778,0.040032025620496396,0.4403522818254604,0.15714285714285714,0.09090909090909091,1,0.16012810248198558,0.5604483586869495,0.2,0.2857142857142857,1,0.1200960768614892
"Shake Milton","PHI",44,931,11.022787493375729,2.1197668256491786,0.09195402298850575,0.3179650238473768,0.5829358770535241,0.5454545454545454,0.4769475357710652,1.0068892421833597,0.47368421052631576,0.052994170641229466,0.65,0.6451612903225806,0.5070204545454545,0.21197668256491786,0.3179650238473768,0.2,0.6666666666666666,0.5,0.052994170641229466,0.10598834128245893,0.06666666666666667,0.5,1,0.4239533651298357,0.9009009009009009,0.5666666666666667,0.47058823529411764,0.75,0.2649708532061473
"James Ennis III","PHI",49,776,12.319296040226273,2.6398491514770583,0.14736842105263157,0.9428032683846638,2.07416719044626,0.45454545454545453,0.1257071024512885,0.754242614707731,0.16666666666666666,0.3771213073538655,0.4,0.4375,0.5791660714285715,0.8799497171590195,1.759899434318039,0.6222222222222222,0.5,0.21428571428571427,0.06285355122564425,0.3142677561282212,0.1111111111111111,0.2,1,0.06285355122564425,0.43997485857950974,0.15555555555555556,0.14285714285714285,1,0.3142677561282212
"Raul Neto","PHI",56,693,10.451977401129943,1.8361581920903955,0.09187279151943463,0.5649717514124294,0.9180790960451978,0.6153846153846154,0.211864406779661,0.423728813559322,0.5,0.07062146892655367,0.6578947368421053,0.6842105263157895,0.5118576923076923,0.2824858757062147,0.4943502824858757,0.3684210526315789,0.5714285714285714,0.5,0,0,0,0,0,0.211864406779661,0.423728813559322,0.3157894736842105,0.5,1,0.14124293785310735
"Alec Burks","PHI",22,459,12.339055793991417,3.4334763948497855,0.12213740458015267,0.9656652360515021,1.3948497854077253,0.6923076923076923,0.4291845493562232,1.2875536480686696,0.3333333333333333,0.2145922746781116,0.6,0.6153846153846154,0.5405916666666667,0.8583690987124464,1.1802575107296138,0.44,0.7272727272727273,0.125,0.2145922746781116,0.4291845493562232,0.16,0.5,0.5,0.2145922746781116,0.8583690987124464,0.32,0.25,1,0
