"Name","TeamAbbreviation","GamesPlayed","Minutes","SecondChanceOffPoss","SecondChancePoints","SecondChancePointsPct","SecondChanceFG2M","SecondChanceFG2A","SecondChanceFg2Pct","SecondChanceFG3M","SecondChanceFG3A","SecondChanceFg3Pct","SecondChanceFtPoints","SecondChanceEfgPct","SecondChanceTsPct","SecondChanceShotQualityAvg","SecondChanceAtRimFGM","SecondChanceAtRimFGA","SecondChanceAtRimFrequency","SecondChanceAtRimAccuracy","SecondChanceAtRimPctAssisted","SecondChanceCorner3FGM","SecondChanceCorner3FGA","SecondChanceCorner3Frequency","SecondChanceCorner3Accuracy","SecondChanceCorner3PctAssisted","SecondChanceArc3FGM","SecondChanceArc3FGA","SecondChanceArc3Frequency","SecondChanceArc3Accuracy","SecondChanceArc3PctAssisted","SecondChanceTurnovers"
"Devin Booker","PHX",70,2512,10.01890359168242,2.0793950850661624,0.059044551798174985,0.4158790170132325,0.945179584120983,0.44,0.24574669187145556,0.7939508506616257,0.30952380952380953,0.5103969754253308,0.45108695652173914,0.5142857142857142,0.5340811475409836,0.24574669187145556,0.45368620037807184,0.2608695652173913,0.5416666666666666,0.6923076923076923,0.03780718336483932,0.15122873345935728,0.08695652173913043,0.25,1,0.20793950850661624,0.6427221172022685,0.3695652173913043,0.3235294117647059,0.7272727272727273,0.1890359168241966
"Mikal Bridges","PHX",73,2042,9.997669540899556,1.8876718713586575,0.12143928035982009,0.6059193661151246,0.8156606851549756,0.7428571428571429,0.11652295502213936,0.3262642740619902,0.35714285714285715,0.3262642740619902,0.6836734693877551,0.7232142857142857,0.577088888888889,0.5826147751106968,0.6758331391284083,0.5918367346938775,0.8620689655172413,0.4,0.06991377301328362,0.1631321370309951,0.14285714285714285,0.42857142857142855,1,0.04660918200885574,0.1631321370309951,0.14285714285714285,0.2857142857142857,1,0.18643672803542297
"Ricky Rubio","PHX",65,2016,10.009398496240602,1.5037593984962405,0.0755608028335301,0.37593984962406013,0.7048872180451128,0.5333333333333333,0.21146616541353383,0.6343984962406015,0.3333333333333333,0.1174812030075188,0.5175438596491229,0.5423728813559322,0.4981985294117647,0.14097744360902256,0.30545112781954886,0.22807017543859648,0.46153846153846156,0.16666666666666666,0.046992481203007516,0.1174812030075188,0.08771929824561403,0.4,1,0.16447368421052633,0.5169172932330827,0.38596491228070173,0.3181818181818182,0.8571428571428571,0.14097744360902256
"Kelly Oubre Jr.","PHX",56,1933,10.069101678183612,2.8627838104639682,0.11089866156787763,0.8390918065153011,1.8509378084896349,0.4533333333333333,0.22211253701875616,0.5429417571569596,0.4090909090909091,0.5182625863770978,0.4896907216494845,0.5272727272727272,0.542977536231884,0.6169792694965449,1.332675222112537,0.5567010309278351,0.46296296296296297,0.16,0.024679170779861797,0.12339585389930899,0.05154639175257732,0.2,1,0.19743336623889438,0.41954590325765057,0.17525773195876287,0.47058823529411764,0.875,0.1727541954590326
"Dario Saric","PHX",66,1632,10.436822046320726,2.9316915860451482,0.14204545454545456,0.9381413075344474,1.6124303723248314,0.5818181818181818,0.1465845793022574,0.5570214013485781,0.2631578947368421,0.6156552330694811,0.5337837837837838,0.5952380952380952,0.5238365384615384,0.7915567282321899,1.2313104661389622,0.5675675675675675,0.6428571428571429,0.1111111111111111,0.02931691586045148,0.05863383172090296,0.02702702702702703,0.5,1,0.11726766344180592,0.49838756962767516,0.22972972972972974,0.23529411764705882,1,0.20521841102316035
"Cameron Johnson","PHX",57,1255,10.386656557998483,2.2365428354814254,0.11706349206349206,0.530705079605762,0.9476876421531463,0.56,0.265352539802881,0.7581501137225171,0.35,0.37907505686125853,0.5444444444444444,0.58,0.5687183333333333,0.45489006823351025,0.7202426080363912,0.4222222222222222,0.631578947368421,0.08333333333333333,0.0758150113722517,0.3032600454890068,0.17777777777777778,0.25,1,0.18953752843062927,0.45489006823351025,0.26666666666666666,0.4166666666666667,1,0.18953752843062927
"Deandre Ayton","PHX",38,1236,10.356865787432119,4.926299456943367,0.18405797101449275,2.288595810705974,4.228083785880528,0.5412844036697247,0,0.07757951900698215,0,0.3491078355314197,0.5315315315315315,0.5521739130434783,0.5595971264367816,2.0558572536850273,3.452288595810706,0.8018018018018018,0.5955056179775281,0.09433962264150944,0,0.038789759503491075,0.009009009009009009,0,0,0,0.038789759503491075,0.009009009009009009,0,0,0.42668735453840184
"Jevon Carter","PHX",58,945,9.948979591836734,1.5816326530612246,0.10801393728222997,0.25510204081632654,0.6632653061224489,0.38461538461538464,0.35714285714285715,0.9693877551020408,0.3684210526315789,0,0.484375,0.484375,0.5174684210526316,0.15306122448979592,0.25510204081632654,0.15625,0.6,0,0.05102040816326531,0.20408163265306123,0.125,0.25,1,0.30612244897959184,0.7653061224489796,0.46875,0.4,0.6666666666666666,0.20408163265306123
"Aron Baynes","PHX",42,934,10.512820512820513,3.230769230769231,0.13097713097713098,1.3846153846153846,2.923076923076923,0.47368421052631576,0.10256410256410256,0.5128205128205128,0.2,0.15384615384615385,0.44776119402985076,0.45652173913043476,0.5716303921568627,1.2820512820512822,2.5641025641025643,0.746268656716418,0.5,0.12,0,0.10256410256410256,0.029850746268656716,0,0,0.10256410256410256,0.41025641025641024,0.11940298507462686,0.25,1,0.10256410256410256
"Frank Kaminsky","PHX",39,777,9.23913043478261,2.717391304347826,0.11904761904761904,1.1473429951690821,1.570048309178744,0.7307692307692307,0.12077294685990338,0.4227053140096618,0.2857142857142857,0.06038647342995169,0.6666666666666666,0.6818181818181818,0.518784,0.9057971014492754,1.2077294685990339,0.6060606060606061,0.75,0.3333333333333333,0,0,0,0,0,0.12077294685990338,0.4227053140096618,0.21212121212121213,0.2857142857142857,1,0.12077294685990338
