"Name","TeamAbbreviation","GamesPlayed","Minutes","SecondChanceOffPoss","SecondChancePoints","SecondChancePointsPct","SecondChanceFG2M","SecondChanceFG2A","SecondChanceFg2Pct","SecondChanceFG3M","SecondChanceFG3A","SecondChanceFg3Pct","SecondChanceFtPoints","SecondChanceEfgPct","SecondChanceTsPct","SecondChanceShotQualityAvg","SecondChanceAtRimFGM","SecondChanceAtRimFGA","SecondChanceAtRimFrequency","SecondChanceAtRimAccuracy","SecondChanceAtRimPctAssisted","SecondChanceCorner3FGM","SecondChanceCorner3FGA","SecondChanceCorner3Frequency","SecondChanceCorner3Accuracy","SecondChanceCorner3PctAssisted","SecondChanceArc3FGM","SecondChanceArc3FGA","SecondChanceArc3Frequency","SecondChanceArc3Accuracy","SecondChanceArc3PctAssisted","SecondChanceTurnovers"
"CJ McCollum","POR",75,2751,10.360518025901294,1.5050752537626881,0.05165165165165165,0.4200210010500525,1.0850542527126357,0.3870967741935484,0.21001050052502626,0.6475323766188309,0.32432432432432434,0.03500175008750438,0.42424242424242425,0.4207920792079208,0.5246072368421053,0.22751137556877843,0.5775288764438222,0.3333333333333333,0.3939393939393939,0.23076923076923078,0.08750437521876094,0.22751137556877843,0.13131313131313133,0.38461538461538464,0.8,0.12250612530626531,0.4200210010500525,0.24242424242424243,0.2916666666666667,1,0.12250612530626531
"Damian Lillard","POR",71,2661,10.605249062667381,1.517586145331191,0.04036087369420703,0.2678093197643278,0.7498660953401178,0.35714285714285715,0.23210141046241742,0.5534725941796108,0.41935483870967744,0.285663274415283,0.4726027397260274,0.53125,0.533593137254902,0.16068559185859668,0.4999107302267452,0.3835616438356164,0.32142857142857145,0,0,0.017853954650955187,0.0136986301369863,0,0,0.23210141046241742,0.5356186395286556,0.410958904109589,0.43333333333333335,0.8461538461538461,0.19639350116050705
"Hassan Whiteside","POR",72,2112,10.627137970353477,8.004561003420752,0.32620817843866173,3.420752565564424,5.199543899657924,0.6578947368421053,0,0,0,1.1630558722919042,0.6578947368421053,0.675,0.5658172413793103,2.941847206385405,4.3557582668187,0.8377192982456141,0.675392670157068,0.07751937984496124,0,0,0,0,0,0,0,0,0,0,0.2508551881413911
"Carmelo Anthony","POR",63,2075,9.995318352059925,2.5280898876404496,0.11191709844559586,0.7256554307116105,1.849250936329588,0.3924050632911392,0.21067415730337077,0.5617977528089888,0.375,0.4447565543071161,0.4320388349514563,0.47368421052631576,0.5176138888888889,0.5149812734082397,1.006554307116105,0.4174757281553398,0.5116279069767442,0.09090909090909091,0.023408239700374533,0.023408239700374533,0.009708737864077669,1,1,0.18726591760299627,0.5383895131086143,0.22330097087378642,0.34782608695652173,1,0.16385767790262173
"Anfernee Simons","POR",73,1503,11.77968799745304,1.177968799745304,0.06239460370994941,0.19102196752626552,0.38204393505253104,0.5,0.1591849729385546,0.413880929640242,0.38461538461538464,0.3183699458771092,0.54,0.6166666666666667,0.49239705882352935,0.09551098376313276,0.19102196752626552,0.24,0.5,0.3333333333333333,0,0,0,0,0,0.1591849729385546,0.413880929640242,0.52,0.38461538461538464,0.6,0.1591849729385546
"Gary Trent Jr.","POR",66,1480,11.405492730210016,1.680129240710824,0.08950086058519793,0.3877221324717286,0.7108239095315024,0.5454545454545454,0.25848142164781907,0.9046849757673667,0.2857142857142857,0.12924071082390953,0.48,0.5,0.4998902777777778,0.16155088852988692,0.22617124394184168,0.14,0.7142857142857143,0.2,0.06462035541195477,0.1938610662358643,0.12,0.3333333333333333,0.5,0.1938610662358643,0.7108239095315024,0.44,0.2727272727272727,0.8333333333333334,0.12924071082390953
"Kent Bazemore","POR",43,1111,10.460611278519156,1.1192423590185105,0.07647058823529412,0.08609556607834697,0.4735256134309083,0.18181818181818182,0.30133448127421436,0.6026689625484287,0.5,0.04304778303917348,0.5,0.5,0.54128125,0.04304778303917348,0.2152389151958674,0.2,0.2,0,0.12914334911752046,0.30133448127421436,0.28,0.42857142857142855,1,0.17219113215669393,0.30133448127421436,0.28,0.5714285714285714,1,0.17219113215669393
"Mario Hezonja","POR",58,936,10.491637100861633,1.2164216928535225,0.08571428571428572,0.3547896604156107,0.9123162696401419,0.3888888888888889,0.10136847440446022,0.30410542321338063,0.3333333333333333,0.20273694880892043,0.4166666666666667,0.4444444444444444,0.5422205882352942,0.30410542321338063,0.7095793208312214,0.5833333333333334,0.42857142857142855,0.16666666666666666,0,0.15205271160669032,0.125,0,0,0.10136847440446022,0.15205271160669032,0.125,0.6666666666666666,1,0.20273694880892043
"Trevor Ariza","POR",21,702,9.911141490088859,1.2987012987012987,0.08225108225108226,0.4101161995898838,0.683526999316473,0.6,0.1367053998632946,0.2050580997949419,0.6666666666666666,0.0683526999316473,0.6923076923076923,0.7307692307692307,0.519485,0.4101161995898838,0.683526999316473,0.7692307692307693,0.6,0.3333333333333333,0.0683526999316473,0.0683526999316473,0.07692307692307693,1,1,0.0683526999316473,0.1367053998632946,0.15384615384615385,0.5,1,0
"Rodney Hood","POR",21,619,9.348659003831418,1.1494252873563218,0.06521739130434782,0.5363984674329502,0.9195402298850575,0.5833333333333334,0,0.1532567049808429,0,0.07662835249042145,0.5,0.5357142857142857,0.5061136363636364,0.1532567049808429,0.3065134099616858,0.2857142857142857,0.5,0,0,0,0,0,0,0,0.1532567049808429,0.14285714285714285,0,0,0.1532567049808429
"Nassir Little","POR",48,573,11.936560934891485,3.33889816360601,0.23255813953488372,1.0851419031719534,2.1702838063439067,0.5,0.1669449081803005,0.5008347245409015,0.3333333333333333,0.667779632721202,0.5,0.5405405405405406,0.5298442307692308,1.001669449081803,1.9198664440734559,0.71875,0.5217391304347826,0.16666666666666666,0,0.08347245409015025,0.03125,0,0,0.1669449081803005,0.41736227045075125,0.15625,0.4,1,0
"Skal Labissiere","POR",33,567,11.939034716342084,3.6409822184589333,0.22631578947368422,1.4394580863674853,3.302286198137172,0.4358974358974359,0,0.0846740050804403,0,0.7620660457239627,0.425,0.4673913043478261,0.56086875,1.2701100762066047,2.7095681625740897,0.8,0.46875,0.06666666666666667,0,0,0,0,0,0,0.0846740050804403,0.025,0,0,0.0846740050804403
"Anthony Tolliver","POR",33,554,9.540034071550256,0.7666098807495741,0.06976744186046512,0.08517887563884156,0.6814310051107325,0.125,0.08517887563884156,0.2555366269165247,0.3333333333333333,0.34071550255536626,0.22727272727272727,0.32142857142857145,0.4984777777777778,0.08517887563884156,0.5110732538330494,0.5454545454545454,0.16666666666666666,0,0.08517887563884156,0.17035775127768313,0.18181818181818182,0.5,0,0,0.08517887563884156,0.09090909090909091,0,0,0
"Jusuf Nurkic","POR",13,418,11.697247706422019,5.6192660550458715,0.22477064220183487,2.1788990825688073,3.8990825688073394,0.5588235294117647,0,0.11467889908256881,0,1.261467889908257,0.5428571428571428,0.5975609756097561,0.5250403846153846,1.834862385321101,3.2110091743119265,0.8,0.5714285714285714,0.125,0,0,0,0,0,0,0.11467889908256881,0.02857142857142857,0,0,0.3440366972477064
"Zach Collins","POR",12,297,10.749185667752442,2.2801302931596092,0.175,0.9771986970684039,1.9543973941368078,0.5,0,0,0,0.3257328990228013,0.5,0.5384615384615384,0.54494,0.9771986970684039,1.9543973941368078,1,0.5,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0.6514657980456026
"Caleb Swanigan","POR",20,265,9.340659340659341,2.0146520146520146,0.18333333333333332,0.5494505494505495,1.465201465201465,0.375,0,0.18315018315018314,0,0.9157509157509157,0.3333333333333333,0.4230769230769231,0.59558125,0.5494505494505495,1.465201465201465,0.8888888888888888,0.375,0,0,0,0,0,0,0,0.18315018315018314,0.1111111111111111,0,0,0.7326007326007326
"Wenyen Gabriel","POR",24,236,14.639175257731958,5.360824742268041,0.38235294117647056,1.6494845360824741,2.6804123711340204,0.6153846153846154,0.20618556701030927,0.20618556701030927,1,1.443298969072165,0.6785714285714286,0.6842105263157895,0.5371900000000001,1.443298969072165,2.4742268041237114,0.8571428571428571,0.5833333333333334,0.2857142857142857,0,0,0,0,0,0.20618556701030927,0.20618556701030927,0.07142857142857142,1,1,0.20618556701030927
"Jaylen Hoard","POR",15,124,17.938931297709924,5.7251908396946565,0.32608695652173914,2.6717557251908395,4.580152671755725,0.5833333333333334,0,0.3816793893129771,0,0.3816793893129771,0.5384615384615384,0.5357142857142857,0.5544181818181818,2.6717557251908395,3.053435114503817,0.6153846153846154,0.875,0,0,0,0,0,0,0,0.3816793893129771,0.07692307692307693,0,0,0.7633587786259542
"Moses Brown","POR",9,33,12.32876712328767,8.219178082191782,0.5454545454545454,2.73972602739726,5.47945205479452,0.5,0,0,0,2.73972602739726,0.5,0.6,0.6154333333333334,2.73972602739726,5.47945205479452,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
"Jaylen Adams","POR",2,19,23.68421052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
