"Name","TeamAbbreviation","GamesPlayed","Minutes","SecondChanceOffPoss","SecondChancePoints","SecondChancePointsPct","SecondChanceFG2M","SecondChanceFG2A","SecondChanceFg2Pct","SecondChanceFG3M","SecondChanceFG3A","SecondChanceFg3Pct","SecondChanceFtPoints","SecondChanceEfgPct","SecondChanceTsPct","SecondChanceShotQualityAvg","SecondChanceAtRimFGM","SecondChanceAtRimFGA","SecondChanceAtRimFrequency","SecondChanceAtRimAccuracy","SecondChanceAtRimPctAssisted","SecondChanceCorner3FGM","SecondChanceCorner3FGA","SecondChanceCorner3Frequency","SecondChanceCorner3Accuracy","SecondChanceCorner3PctAssisted","SecondChanceArc3FGM","SecondChanceArc3FGA","SecondChanceArc3Frequency","SecondChanceArc3Accuracy","SecondChanceArc3PctAssisted","SecondChanceTurnovers"
"DeMar DeRozan","SAS",68,2316,8.861024033437827,2.19435736677116,0.06981382978723404,0.7941483803552769,1.3793103448275863,0.5757575757575758,0.02089864158829676,0.12539184952978055,0.16666666666666666,0.5433646812957158,0.5486111111111112,0.611764705882353,0.453419298245614,0.3343782654127482,0.5015673981191222,0.3333333333333333,0.6666666666666666,0.375,0,0,0,0,0,0.02089864158829676,0.12539184952978055,0.08333333333333333,0.16666666666666666,1,0.14629049111807732
"LaMarcus Aldridge","SAS",53,1754,8.592880978865406,3.781979977753059,0.13586413586413587,1.5850945494994437,2.6418242491657398,0.6,0.027808676307007785,0.1946607341490545,0.14285714285714285,0.5283648498331479,0.5735294117647058,0.6126126126126126,0.5517146666666667,1.3626251390433815,2.0022246941045605,0.7058823529411765,0.6805555555555556,0.10204081632653061,0,0.027808676307007785,0.00980392156862745,0,0,0.027808676307007785,0.1668520578420467,0.058823529411764705,0.16666666666666666,1,0.027808676307007785
"Dejounte Murray","SAS",66,1687,8.929084122882573,1.5216767154751651,0.07361111111111111,0.602928509905254,1.2919896640826873,0.4666666666666667,0.08613264427217916,0.2871088142405972,0.3,0.05742176284811944,0.4636363636363636,0.4649122807017544,0.51702,0.40195233993683605,0.8326155612977318,0.5272727272727272,0.4827586206896552,0.07142857142857142,0.05742176284811944,0.08613264427217916,0.05454545454545454,0.6666666666666666,1,0.02871088142405972,0.20097616996841802,0.12727272727272726,0.14285714285714285,1,0.1435544071202986
"Derrick White","SAS",68,1677,9.232512036250354,1.5859529878221468,0.07320261437908497,0.2832058906825262,0.7646559048428208,0.37037037037037035,0.22656471254602095,0.5097706032285472,0.4444444444444444,0.33984706881903143,0.4888888888888889,0.5283018867924528,0.507471875,0.16992353440951571,0.42480883602378927,0.3333333333333333,0.4,0.3333333333333333,0,0.02832058906825262,0.022222222222222223,0,0,0.22656471254602095,0.48145001416029454,0.37777777777777777,0.47058823529411764,0.75,0.08496176720475786
"Bryn Forbes","SAS",63,1579,8.582895955541835,1.9141710404445818,0.0876944837340877,0.2778635381290522,0.46310589688175363,0.6,0.40135844396418646,0.7409694350108058,0.5416666666666666,0.15436863229391787,0.7307692307692307,0.7560975609756098,0.5235580645161291,0.09262117937635073,0.1234949058351343,0.10256410256410256,0.75,1,0.1234949058351343,0.15436863229391787,0.1282051282051282,0.8,1,0.2778635381290522,0.586600802716888,0.48717948717948717,0.47368421052631576,0.8888888888888888,0.18524235875270145
"Patty Mills","SAS",66,1485,9.573791348600508,1.0178117048346056,0.041720990873533245,0.1272264631043257,0.19083969465648856,0.6666666666666666,0.2544529262086514,0.9223918575063613,0.27586206896551724,0,0.45714285714285713,0.45714285714285713,0.5371875,0.06361323155216285,0.06361323155216285,0.05714285714285714,1,0.5,0.1272264631043257,0.2862595419847328,0.2571428571428571,0.4444444444444444,1,0.1272264631043257,0.6361323155216285,0.5714285714285714,0.2,1,0.09541984732824428
"Rudy Gay","SAS",67,1461,9.17312661498708,2.5839793281653747,0.11019283746556474,0.7751937984496124,1.3565891472868217,0.5714285714285714,0.09689922480620156,0.355297157622739,0.2727272727272727,0.7428940568475452,0.5377358490566038,0.625,0.5162073170731707,0.45219638242894056,0.7428940568475452,0.4339622641509434,0.6086956521739131,0.14285714285714285,0.09689922480620156,0.16149870801033592,0.09433962264150944,0.6,1,0,0.1937984496124031,0.11320754716981132,0,0,0.32299741602067183
"Trey Lyles","SAS",63,1271,9.132594573939626,1.8341612533435232,0.1188118811881188,0.8024455483377914,1.5666794038975926,0.5121951219512195,0.03821169277799007,0.26748184944593045,0.14285714285714285,0.1146350783339702,0.46875,0.47058823529411764,0.5587166666666668,0.6495987772258311,1.2991975544516623,0.7083333333333334,0.5,0.11764705882352941,0,0.03821169277799007,0.020833333333333332,0,0,0.03821169277799007,0.2292701566679404,0.125,0.16666666666666666,1,0.26748184944593045
"Jakob Poeltl","SAS",66,1171,10.349025974025974,3.49025974025974,0.23118279569892472,1.4610389610389611,2.75974025974026,0.5294117647058824,0,0,0,0.5681818181818182,0.5294117647058824,0.5443037974683544,0.5775758620689655,1.2987012987012987,2.5162337662337664,0.9117647058823529,0.5161290322580645,0.125,0,0,0,0,0,0,0,0,0,0,0.3246753246753247
"Lonnie Walker IV","SAS",61,988,9.117503656752804,1.7552413456850318,0.09254498714652956,0.5363237445148707,1.121404193076548,0.4782608695652174,0.19502681618722575,0.48756704046806437,0.4,0.09751340809361288,0.5151515151515151,0.5294117647058824,0.5570789473684211,0.48756704046806437,0.8776206728425159,0.5454545454545454,0.5555555555555556,0.3,0,0.1462701121404193,0.09090909090909091,0,0,0.19502681618722575,0.3412969283276451,0.21212121212121213,0.5714285714285714,1,0.04875670404680644
