"Name","TeamAbbreviation","GamesPlayed","Minutes","SecondChanceOffPoss","SecondChancePoints","SecondChancePointsPct","SecondChanceFG2M","SecondChanceFG2A","SecondChanceFg2Pct","SecondChanceFG3M","SecondChanceFG3A","SecondChanceFg3Pct","SecondChanceFtPoints","SecondChanceEfgPct","SecondChanceTsPct","SecondChanceShotQualityAvg","SecondChanceAtRimFGM","SecondChanceAtRimFGA","SecondChanceAtRimFrequency","SecondChanceAtRimAccuracy","SecondChanceAtRimPctAssisted","SecondChanceCorner3FGM","SecondChanceCorner3FGA","SecondChanceCorner3Frequency","SecondChanceCorner3Accuracy","SecondChanceCorner3PctAssisted","SecondChanceArc3FGM","SecondChanceArc3FGA","SecondChanceArc3Frequency","SecondChanceArc3Accuracy","SecondChanceArc3PctAssisted","SecondChanceTurnovers"
"Bradley Beal","WAS",57,2053,10.633432426252002,3.064257946489824,0.07696726019529006,0.7774982849302539,1.4177909901669334,0.5483870967741935,0.3430139492339355,1.1891150240109765,0.28846153846153844,0.48021952892750974,0.4956140350877193,0.532,0.5267673333333334,0.5259547221587011,0.8232334781614452,0.3157894736842105,0.6388888888888888,0.391304347826087,0.0686027898467871,0.3430139492339355,0.13157894736842105,0.2,1,0.2744111593871484,0.8461010747770409,0.32456140350877194,0.32432432432432434,0.75,0.2058083695403613
"Ish Smith","WAS",68,1787,11.143156790770844,1.3633980073413738,0.07027027027027027,0.4195070791819612,0.9438909281594127,0.4444444444444444,0.15731515469323545,0.6554798112218144,0.24,0.05243838489774515,0.4098360655737705,0.41935483870967744,0.4627634146341463,0.1048767697954903,0.23597273203985317,0.14754098360655737,0.4444444444444444,0.25,0.026219192448872573,0.1048767697954903,0.06557377049180328,0.25,1,0.13109596224436287,0.5506030414263241,0.3442622950819672,0.23809523809523808,0.6,0.15731515469323545
"Troy Brown Jr.","WAS",69,1782,10.505529225908372,2.3433385992627698,0.12430167597765363,0.7635597682991048,1.369141653501843,0.5576923076923077,0.210637177461822,0.36861506055818855,0.5714285714285714,0.18430753027909427,0.6212121212121212,0.6376811594202898,0.493209,0.526592943654555,0.7635597682991048,0.4393939393939394,0.6896551724137931,0.1,0.105318588730911,0.1579778830963665,0.09090909090909091,0.6666666666666666,0.75,0.105318588730911,0.210637177461822,0.12121212121212122,0.5,1,0.1579778830963665
"Davis Bertans","WAS",54,1583,9.778166958552248,1.780502043199066,0.07314148681055156,0.20431990659661411,0.40863981319322823,0.5,0.37945125510799765,0.7589025102159953,0.5,0.23350846468184472,0.6625,0.6931818181818182,0.56475,0.17513134851138354,0.37945125510799765,0.325,0.46153846153846156,0,0.05837711617046118,0.05837711617046118,0.05,1,0,0.3210741389375365,0.7005253940455342,0.6,0.4583333333333333,0.8181818181818182,0.05837711617046118
"Rui Hachimura","WAS",48,1444,10.062274664044576,2.949852507374631,0.1386748844375963,1.2127171419206817,2.0976728941330713,0.578125,0.06555227794165848,0.13110455588331696,0.5,0.3277613897082924,0.5882352941176471,0.6164383561643836,0.515711224489796,0.983284169124877,1.5404785316289742,0.6911764705882353,0.6382978723404256,0.13333333333333333,0,0,0,0,0,0.06555227794165848,0.13110455588331696,0.058823529411764705,0.5,1,0.22943297279580466
"Isaac Bonga","WAS",66,1250,11.847619047619048,1.980952380952381,0.15757575757575756,0.7238095238095238,1.4476190476190476,0.5,0.0761904761904762,0.3047619047619048,0.25,0.3047619047619048,0.4782608695652174,0.52,0.5625793103448277,0.6476190476190476,1.2190476190476192,0.6956521739130435,0.53125,0.11764705882352941,0,0.11428571428571428,0.06521739130434782,0,0,0.0761904761904762,0.19047619047619047,0.10869565217391304,0.4,1,0.1523809523809524
"Thomas Bryant","WAS",46,1147,10.16326530612245,4.244897959183674,0.17077175697865354,1.7142857142857142,2.7755102040816326,0.6176470588235294,0,0.16326530612244897,0,0.8163265306122449,0.5833333333333334,0.6190476190476191,0.5495596153846154,1.5510204081632653,2.36734693877551,0.8055555555555556,0.6551724137931034,0.10526315789473684,0,0,0,0,0,0,0.16326530612244897,0.05555555555555555,0,0,0.08163265306122448
"Isaiah Thomas","WAS",40,925,10.457516339869281,2.463549522373052,0.10040983606557377,0.5530417295123178,1.1060834590246356,0.5,0.4022121669180493,1.0055304172951232,0.4,0.15082956259426847,0.5476190476190477,0.5568181818181818,0.4906451612903226,0.20110608345902464,0.2513826043237808,0.11904761904761904,0.8,0.25,0.10055304172951232,0.20110608345902464,0.09523809523809523,0.5,1,0.30165912518853694,0.8044243338360986,0.38095238095238093,0.375,1,0.05027652086475616
"Moritz Wagner","WAS",45,835,9.56043956043956,3.681318681318681,0.17048346055979643,1.2637362637362637,2.032967032967033,0.6216216216216216,0.10989010989010989,0.27472527472527475,0.4,0.8241758241758241,0.6190476190476191,0.6568627450980392,0.5744264705882353,1.2087912087912087,1.7582417582417582,0.7619047619047619,0.6875,0.3181818181818182,0.054945054945054944,0.10989010989010989,0.047619047619047616,0.5,1,0.054945054945054944,0.16483516483516483,0.07142857142857142,0.3333333333333333,1,0.32967032967032966
"Ian Mahinmi","WAS",38,808,12.158956109134046,4.329774614472123,0.2579505300353357,1.7200474495848161,3.1435349940688018,0.5471698113207547,0,0.05931198102016608,0,0.8896797153024911,0.5370370370370371,0.5983606557377049,0.5196732558139534,1.482799525504152,2.431791221826809,0.7592592592592593,0.6097560975609756,0.08,0,0,0,0,0,0,0.05931198102016608,0.018518518518518517,0,0,0.17793594306049823
