"Name","TeamAbbreviation","GamesPlayed","Minutes","ShotQualityAvg","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes"
"Trae Young","ATL",60,2120,0.5033935102040816,0.6661329063250601,7.570925110132159,27.860035211267604,3.363914373088685,5.766710353866317,0.21136909527622097,0.5833333333333334,0.17532467532467533,0.13636363636363635,3.1236347750109217,6.946264744429882,0.2546036829463571,0.449685534591195,0.15384615384615385,0.09748427672955975,0.9611183923110529,2.162516382699869,0.07926341072858287,0.4444444444444444,0.13636363636363635,0.04040404040404041,0.2839667977282656,0.45871559633027525,0.016813450760608487,0.6190476190476191,0.9230769230769231,0.047619047619047616,4.193971166448231,11.948449104412408,0.4379503602882306,0.3510054844606947,0.2552083333333333,0.014625228519195612,191,545,0.3504587155963303,1,1
"De'Andre Hunter","ATL",63,2018,0.5202162995594714,0.698389458272328,7.932981530343008,25.18190789473684,2.2663551401869158,4.042056074766355,0.25329428989751096,0.5606936416184971,0.6082474226804123,0.15606936416184972,0.794392523364486,2.6401869158878504,0.16544655929721816,0.3008849557522124,0.4117647058823529,0.17699115044247787,0.9579439252336449,2.1728971962616823,0.13616398243045388,0.44086021505376344,0.5853658536585366,0.010752688172043012,0.9112149532710281,2.546728971962617,0.1595900439238653,0.3577981651376147,0.9487179487179487,0.009174311926605505,1.6121495327102804,4.55607476635514,0.28550512445095166,0.35384615384615387,0.9420289855072463,0.02564102564102564,69,193,0.35751295336787564,2,0
"Kevin Huerter","ATL",56,1760,0.5163274220032841,0.7065573770491803,8.658333333333333,25.91137724550898,1.4694095645204381,2.5915041410633184,0.15901639344262294,0.5670103092783505,0.5636363636363636,0.08247422680412371,1.2556772642265563,3.045685279187817,0.18688524590163935,0.41228070175438597,0.19148936170212766,0.05263157894736842,0.6144803633449105,1.7365749398877905,0.10655737704918032,0.35384615384615387,0.391304347826087,0.015384615384615385,0.7213465134918514,1.6297087897408495,0.1,0.4426229508196721,0.8888888888888888,0.01639344262295082,2.671653753673524,7.2936147475287205,0.44754098360655736,0.3663003663003663,0.84,0.007326007326007326,100,272,0.36764705882352944,1,0
"Cam Reddish","ATL",58,1551,0.5294175090252707,0.7075812274368231,7.394736842105263,25.0972,2.225563909774436,4.2706766917293235,0.2563176895306859,0.5211267605633803,0.5135135135135135,0.2112676056338028,0.9924812030075187,2.7969924812030076,0.16787003610108303,0.3548387096774194,0.5757575757575758,0.1935483870967742,0.6917293233082706,2.075187969924812,0.12454873646209386,0.3333333333333333,0.391304347826087,0.043478260869565216,0.7819548872180451,2.43609022556391,0.14620938628158844,0.32098765432098764,0.9615384615384616,0,1.7142857142857142,5.082706766917293,0.30505415162454874,0.33727810650887574,0.8245614035087719,0.01775147928994083,57,169,0.33727810650887574,0,0
"John Collins","ATL",41,1363,0.557839155629139,0.768595041322314,4.147598253275109,25.58843537414966,8.155540261527873,10.94287680660702,0.5256198347107438,0.7452830188679245,0.7721518987341772,0.09433962264150944,1.4796971782518926,3.613214039917412,0.17355371900826447,0.4095238095238095,0.627906976744186,0.18095238095238095,0.4817618719889883,1.2044046799724708,0.05785123966942149,0.4,0.7142857142857143,0.08571428571428572,0.24088093599449414,0.653819683413627,0.03140495867768595,0.3684210526315789,1,0.05263157894736842,1.7894012388162424,4.40467997247075,0.2115702479338843,0.40625,0.9615384615384616,0.0078125,52,127,0.4094488188976378,1,0
"DeAndre' Bembry","ATL",43,915,0.5657634955752212,0.8026315789473685,3.3668711656441714,25.41846153846154,3.569607343192249,6.017338092809791,0.5175438596491229,0.5932203389830508,0.6,0.1016949152542373,0.9688934217236104,2.141764405915349,0.18421052631578946,0.4523809523809524,0.5263157894736842,0.14285714285714285,0,0.1529831718510964,0.013157894736842105,0,0,0,0.407955124936257,1.4278429372768995,0.12280701754385964,0.2857142857142857,1,0,0.35696073431922487,1.8867924528301887,0.16228070175438597,0.1891891891891892,1,0,7,35,0.2,2,0
"Damian Jones","ATL",55,887,0.6099308988764045,0.9044943820224719,2.1733727810650887,23.955555555555556,6.120276742948377,8.08940926024481,0.8539325842696629,0.756578947368421,0.8173913043478261,0.13157894736842105,0.15965939329430548,0.6918573709419904,0.07303370786516854,0.23076923076923078,1,0.38461538461538464,0.05321979776476849,0.21287919105907396,0.02247191011235955,0.25,1,0,0.10643959552953698,0.37253858435337944,0.03932584269662921,0.2857142857142857,1,0,0,0.10643959552953698,0.011235955056179775,0,0,0,0,2,0,0,0
"Vince Carter","ATL",60,876,0.5124354785478549,0.7467105263157895,10.115686274509804,25.532673267326736,0.5869797225186766,1.3340448239060831,0.08223684210526316,0.44,0.6363636363636364,0.08,1.1739594450373532,2.454642475987193,0.1513157894736842,0.4782608695652174,0.4090909090909091,0.06521739130434782,0.6937033084311632,1.6542155816435433,0.10197368421052631,0.41935483870967744,0.38461538461538464,0,0.6937033084311632,2.1878335112059766,0.13486842105263158,0.3170731707317073,0.9230769230769231,0.024390243902439025,2.5613660618996796,8.591248665955176,0.5296052631578947,0.2981366459627329,0.8541666666666666,0,48,161,0.2981366459627329,0,0
"Jabari Parker","ATL",32,837,0.5582750639386189,0.7582697201017812,4.32841726618705,25.692173913043476,7.3471676948962426,10.263600673022996,0.46564885496183206,0.7158469945355191,0.6183206106870229,0.09289617486338798,1.682557487380819,4.150308468872686,0.18829516539440203,0.40540540540540543,0.4666666666666667,0.20270270270270271,0.33651149747616377,1.1777902411665733,0.05343511450381679,0.2857142857142857,0.6666666666666666,0,0.7291082445316882,2.1873247335950645,0.09923664122137404,0.3333333333333333,0.9230769230769231,0,1.0095344924284912,4.262478968031408,0.19338422391857507,0.23684210526315788,1,0,18,74,0.24324324324324326,2,0
"Alex Len","ATL",40,745,0.5619146153846154,0.7846153846153846,3.3862745098039215,24.52857142857143,6.3924050632911396,9.367088607594937,0.5692307692307692,0.6824324324324325,0.7425742574257426,0.07432432432432433,1.6455696202531647,3.1645569620253164,0.19230769230769232,0.52,0.7307692307692307,0.14,0.06329113924050633,0.379746835443038,0.023076923076923078,0.16666666666666666,0,0,0.569620253164557,1.6455696202531647,0.1,0.34615384615384615,1,0,0.31645569620253167,1.8987341772151898,0.11538461538461539,0.16666666666666666,1,0,5,30,0.16666666666666666,0,0
"Bruno Fernando","ATL",56,713,0.5740972361809046,0.8090452261306532,3.0012345679012347,24.7,5.68561872909699,8.294314381270903,0.6231155778894473,0.6854838709677419,0.6941176470588235,0.12903225806451613,0.8695652173913043,2.408026755852843,0.18090452261306533,0.3611111111111111,0.6923076923076923,0.1111111111111111,0,0.13377926421404682,0.010050251256281407,0,0,0,0.06688963210702341,1.0033444816053512,0.07537688442211055,0.06666666666666667,1,0,0.26755852842809363,1.471571906354515,0.11055276381909548,0.18181818181818182,1,0,4,22,0.18181818181818182,0,0
"Allen Crabbe","ATL",28,522,0.5125624113475177,0.7412587412587412,10.33,26.034408602150535,0.8057296329453895,1.1638316920322291,0.09090909090909091,0.6923076923076923,0.4444444444444444,0.07692307692307693,0.4476275738585497,1.7905102954341987,0.13986013986013987,0.25,0.6,0.15,0.7162041181736795,1.521933751119069,0.11888111888111888,0.47058823529411764,0.75,0.058823529411764705,0.8057296329453895,1.7905102954341987,0.13986013986013987,0.45,1,0.05,1.8800358102059087,6.5353625783348255,0.5104895104895105,0.2876712328767123,1,0.0136986301369863,21,71,0.29577464788732394,2,0
"Jeff Teague","ATL",25,519,0.5056774390243902,0.5151515151515151,7.0814814814814815,26.09333333333333,3.176043557168784,4.99092558983666,0.3333333333333333,0.6363636363636364,0.2,0.14545454545454545,1.5426497277676952,5.535390199637024,0.3696969696969697,0.2786885245901639,0.17647058823529413,0.06557377049180328,0.5444646098003629,1.7241379310344827,0.11515151515151516,0.3157894736842105,0.3333333333333333,0,0.27223230490018147,0.27223230490018147,0.01818181818181818,1,1,0,0.6352087114337568,2.4500907441016335,0.16363636363636364,0.25925925925925924,0.42857142857142855,0,7,27,0.25925925925925924,0,0
"Brandon Goodwin","ATL",34,430,0.5123191489361703,0.7052631578947368,6.948543689320389,26.21034482758621,2.983425414364641,5.193370165745856,0.24736842105263157,0.574468085106383,0.2962962962962963,0.1702127659574468,1.988950276243094,4.640883977900552,0.22105263157894736,0.42857142857142855,0.2777777777777778,0.09523809523809523,0.5524861878453039,1.5469613259668509,0.07368421052631578,0.35714285714285715,0.2,0,0.22099447513812154,1.8784530386740332,0.08947368421052632,0.11764705882352941,1,0,2.6519337016574585,7.734806629834254,0.3684210526315789,0.34285714285714286,0.5833333333333334,0,24,68,0.35294117647058826,2,0
"Treveon Graham","ATL",22,266,0.5238121212121212,0.7611940298507462,5.696666666666667,25.25945945945946,1.2658227848101267,2.5316455696202533,0.208955223880597,0.5,0.5714285714285714,0.14285714285714285,0.9041591320072333,2.5316455696202533,0.208955223880597,0.35714285714285715,0.8,0.14285714285714285,0,0.3616636528028933,0.029850746268656716,0,0,0,0.5424954792043399,2.5316455696202533,0.208955223880597,0.21428571428571427,1,0,1.8083182640144666,4.159132007233273,0.34328358208955223,0.43478260869565216,1,0,10,23,0.43478260869565216,0,0
"Evan Turner","ATL",19,251,0.4697231343283582,0.3880597014925373,9.183870967741935,24.94,2.010968921389397,3.8391224862888484,0.31343283582089554,0.5238095238095238,0.2727272727272727,0.14285714285714285,1.4625228519195612,4.753199268738574,0.3880597014925373,0.3076923076923077,0.375,0,1.0968921389396709,2.742230347349177,0.22388059701492538,0.4,0.6666666666666666,0.06666666666666667,0,0.18281535648994515,0.014925373134328358,0,0,0,0,0.7312614259597806,0.05970149253731343,0,0,0,0,4,0,0,0
"Dewayne Dedmon","ATL",10,233,0.5524916666666667,0.8095238095238095,4.295833333333333,25.00277777777778,4.365904365904366,6.652806652806653,0.38095238095238093,0.65625,0.7619047619047619,0.09375,0.6237006237006237,2.7027027027027026,0.15476190476190477,0.23076923076923078,1,0,0.2079002079002079,0.6237006237006237,0.03571428571428571,0.3333333333333333,1,0,0,2.079002079002079,0.11904761904761904,0,0,0.1,1.6632016632016633,5.405405405405405,0.30952380952380953,0.3076923076923077,0.875,0,8,26,0.3076923076923077,0,0
"Tyrone Wallace","ATL",14,160,0.5675732558139536,0.7727272727272727,4.427586206896552,26.313333333333333,3.2544378698224854,5.621301775147929,0.4318181818181818,0.5789473684210527,0.5454545454545454,0.10526315789473684,0.2958579881656805,2.366863905325444,0.18181818181818182,0.125,1,0.25,0.2958579881656805,0.591715976331361,0.045454545454545456,0.5,1,0,0,1.183431952662722,0.09090909090909091,0,0,0.25,0.2958579881656805,3.2544378698224854,0.25,0.09090909090909091,0,0,1,10,0.1,1,0
"Chandler Parsons","ATL",5,54,0.4863361111111111,0.9444444444444444,7.35,26.521428571428572,0.819672131147541,2.459016393442623,0.16666666666666666,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.819672131147541,0.05555555555555555,0,0,0,0.819672131147541,1.639344262295082,0.1111111111111111,0.5,1,0,2.459016393442623,9.836065573770492,0.6666666666666666,0.25,1,0,3,12,0.25,0,0
"Charles Brown Jr.","ATL",10,40,0.5241078947368422,0.7894736842105263,4.7299999999999995,25.01111111111111,2.4096385542168677,7.228915662650603,0.3157894736842105,0.3333333333333333,1,0,1.2048192771084338,3.6144578313253013,0.15789473684210525,0.3333333333333333,1,0,0,1.2048192771084338,0.05263157894736842,0,0,0,0,2.4096385542168677,0.10526315789473684,0,0,0,3.6144578313253013,8.433734939759036,0.3684210526315789,0.42857142857142855,1,0,3,7,0.42857142857142855,0,0
"Paul Watson","ATL",2,17,0.45448571428571427,0.42857142857142855,10.225,24.3,0,0,0,0,0,0,0,7.894736842105263,0.42857142857142855,0,0,0.3333333333333333,0,2.6315789473684212,0.14285714285714285,0,0,0,0,2.6315789473684212,0.14285714285714285,0,0,0,0,5.2631578947368425,0.2857142857142857,0,0,0,0,2,0,0,0
