"Name","TeamAbbreviation","GamesPlayed","Minutes","ShotQualityAvg","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes"
"Joe Harris","BKN",71,2195,0.5387304832713754,0.8364312267657993,5.059640102827764,25.269856459330143,3.550552067547088,5.563974886339034,0.3184634448574969,0.6381322957198443,0.7621951219512195,0.12840466926070038,0.5845421086815328,1.8185754492314354,0.10408921933085502,0.32142857142857145,0.7407407407407407,0.25,0.49794327776575015,1.0391859709893916,0.05947955390334572,0.4791666666666667,0.8260869565217391,0.041666666666666664,0.8443386014288807,1.6670274951288158,0.09541511771995044,0.5064935064935064,0.9743589743589743,0,3.030959082052392,7.382550335570469,0.4225526641883519,0.41055718475073316,0.9571428571428572,0.005865102639296188,140,341,0.41055718475073316,0,0
"Spencer Dinwiddie","BKN",64,1994,0.5204241124260355,0.7512242899118511,5.109017713365539,25.997249999999998,5.316333894635554,8.828482078421938,0.3594515181194907,0.6021798365122616,0.18552036199095023,0.08174386920980926,1.5395718065912918,4.9073851335097425,0.19980411361410383,0.3137254901960784,0.109375,0.09313725490196079,0.38489295164782295,1.2027904738994468,0.04897159647404505,0.32,0.3125,0.02,0.4330045706038008,1.4433485686793361,0.058765915768854066,0.3,0.6666666666666666,0,2.525859995188838,8.178975222516238,0.3330068560235064,0.3088235294117647,0.4666666666666667,0.008823529411764706,105,335,0.31343283582089554,5,0
"Jarrett Allen","BKN",74,1984,0.5687390593047035,0.8323108384458078,2.3993788819875776,23.683333333333334,6.914893617021277,9.695357833655706,0.820040899795501,0.713216957605985,0.7937062937062938,0.08478802992518704,0.6769825918762089,1.9100580270793037,0.16155419222903886,0.35443037974683544,0.8928571428571429,0.16455696202531644,0.048355899419729204,0.0725338491295938,0.006134969325153374,0.6666666666666666,1,0,0,0.12088974854932302,0.010224948875255624,0,0,0,0,0.024177949709864602,0.002044989775051125,0,0,0,0,1,0,0,0
"Garrett Temple","BKN",66,1867,0.5366188976377952,0.8522012578616353,7.029906542056074,25.085781990521326,1.7316017316017316,3.0557677616501144,0.18867924528301888,0.5666666666666667,0.6323529411764706,0.14166666666666666,0.5092946269416858,1.2223071046600458,0.07547169811320754,0.4166666666666667,0.5,0.0625,0.3819709702062643,1.1713776419658772,0.07232704402515723,0.32608695652173914,0.6,0.021739130434782608,1.2223071046600458,3.4886681945505473,0.21540880503144655,0.35036496350364965,0.9375,0.014598540145985401,2.2408963585434174,7.257448433919022,0.4481132075471698,0.3087719298245614,0.8181818181818182,0.014035087719298246,88,284,0.30985915492957744,1,0
"Taurean Prince","BKN",64,1857,0.5375627891156463,0.7943166441136671,6.446428571428571,25.328770301624132,2.0581425263699513,4.013377926421405,0.21109607577807848,0.5128205128205128,0.7125,0.12179487179487179,0.8747105737072293,2.7013120658605607,0.14208389715832206,0.3238095238095238,0.3235294117647059,0.05714285714285714,0.463082068433239,1.2091587342423462,0.06359945872801083,0.3829787234042553,0.4444444444444444,0,1.1577051710830975,3.5502958579881656,0.18673883626522328,0.32608695652173914,0.9777777777777777,0,2.598404939542063,7.537947002829946,0.39648173207036536,0.3447098976109215,0.8316831683168316,0.006825938566552901,101,289,0.3494809688581315,4,0
"Caris LeVert","BKN",49,1469,0.49131254658385093,0.5850931677018634,7.131382978723404,25.601659751037346,4.132769280833062,7.484542792059877,0.2857142857142857,0.5521739130434783,0.31496062992125984,0.10869565217391304,3.1890660592255125,8.818743898470549,0.33664596273291925,0.36162361623616235,0.15306122448979592,0.06642066420664207,0.780995769606248,2.050113895216401,0.0782608695652174,0.38095238095238093,0.16666666666666666,0.031746031746031744,0.4230393752033843,0.9111617312072893,0.034782608695652174,0.4642857142857143,0.8461538461538461,0,2.473153270419785,6.93133745525545,0.2645962732919255,0.3568075117370892,0.40789473684210525,0.004694835680751174,76,213,0.3568075117370892,0,0
"DeAndre Jordan","BKN",56,1234,0.6017080139372822,0.9198606271777003,1.8473867595818816,0,7.054263565891473,10.232558139534884,0.9198606271777003,0.6893939393939394,0.7417582417582418,0.056818181818181816,0.31007751937984496,0.7751937984496124,0.06968641114982578,0.4,0.75,0.2,0.03875968992248062,0.11627906976744186,0.010452961672473868,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Timothe Luwawu-Cabarrot","BKN",51,984,0.5475726153846153,0.9024390243902439,4.446511627906977,25.05778894472362,2.5924147863658185,4.656745079212674,0.29573170731707316,0.5567010309278351,0.5925925925925926,0.18556701030927836,0.19203072491598655,0.9121459433509361,0.057926829268292686,0.21052631578947367,0.75,0.3157894736842105,0.19203072491598655,0.6240998559769563,0.039634146341463415,0.3076923076923077,0.75,0.07692307692307693,1.6322611617858858,3.8886221795487277,0.24695121951219512,0.41975308641975306,1,0.024691358024691357,1.9683149303888623,5.664906385021603,0.3597560975609756,0.3474576271186441,1,0.00847457627118644,41,116,0.35344827586206895,2,0
"Rodions Kurucs","BKN",51,742,0.550428426395939,0.8934010152284264,3.063636363636364,25.628571428571426,3.375,4.875,0.39593908629441626,0.6923076923076923,0.8148148148148148,0.1282051282051282,0.0625,1.125,0.09137055837563451,0.05555555555555555,1,0.16666666666666666,0.125,0.1875,0.015228426395939087,0.6666666666666666,1,0.3333333333333333,0.4375,1,0.08121827411167512,0.4375,1,0,1.625,5.125,0.41624365482233505,0.3170731707317073,0.9615384615384616,0,26,82,0.3170731707317073,0,0
"Wilson Chandler","BKN",35,734,0.5265724043715847,0.7814207650273224,6.437096774193549,25.201652892561984,0.9823182711198428,1.4407334643091028,0.12021857923497267,0.6818181818181818,0.6,0.045454545454545456,1.0478061558611658,2.0956123117223315,0.17486338797814208,0.5,0.375,0.09375,0.3929273084479371,0.5239030779305829,0.04371584699453552,0.75,0.6666666666666666,0,0.7858546168958742,2.0956123117223315,0.17486338797814208,0.375,1,0,1.6371971185330714,5.828421741977734,0.48633879781420764,0.2808988764044944,1,0,25,89,0.2808988764044944,0,0
"Kyrie Irving","BKN",20,658,0.4929163043478261,0.5673076923076923,8.839051094890511,25.698591549295774,4.341637010676156,6.690391459074733,0.22596153846153846,0.648936170212766,0.2459016393442623,0.07446808510638298,3.416370106761566,7.615658362989324,0.25721153846153844,0.4485981308411215,0.16666666666666666,0.056074766355140186,2.419928825622776,5.195729537366548,0.17548076923076922,0.4657534246575342,0.17647058823529413,0.0410958904109589,0.5693950177935944,1.0676156583629892,0.036057692307692304,0.5333333333333333,0.625,0,3.416370106761566,9.03914590747331,0.30528846153846156,0.3779527559055118,0.3125,0,48,126,0.38095238095238093,1,0
"Dzanan Musa","BKN",43,527,0.5342136612021858,0.8907103825136612,3.381818181818182,25.830952380952382,3.6251105216622457,6.984969053934571,0.43169398907103823,0.5189873417721519,0.5853658536585366,0.16455696202531644,0.5305039787798409,1.6799292661361627,0.10382513661202186,0.3157894736842105,0.5,0.10526315789473684,0,0.08841732979664015,0.00546448087431694,0,0,0,0.26525198938992045,1.1494252873563218,0.07103825136612021,0.23076923076923078,1,0,1.4146772767462423,6.27763041556145,0.3879781420765027,0.22535211267605634,0.875,0,16,71,0.22535211267605634,0,0
"Theo Pinson","BKN",33,365,0.5381936241610739,0.8838709677419355,3.72,27.371249999999996,3.439153439153439,7.5396825396825395,0.36774193548387096,0.45614035087719296,0.15384615384615385,0.21052631578947367,0.26455026455026454,1.7195767195767195,0.08387096774193549,0.15384615384615385,0,0.15384615384615385,0.26455026455026454,0.6613756613756614,0.03225806451612903,0.4,0.5,0,0.13227513227513227,0.6613756613756614,0.03225806451612903,0.2,1,0,1.8518518518518519,9.920634920634921,0.4838709677419355,0.18666666666666668,0.6428571428571429,0.013333333333333334,14,72,0.19444444444444445,3,0
"Chris Chiozza","BKN",22,343,0.5248610236220472,0.8384615384615385,5.870689655172414,26.933333333333334,2.553763440860215,4.973118279569892,0.2846153846153846,0.5135135135135135,0.2631578947368421,0.05405405405405406,0.5376344086021505,1.478494623655914,0.08461538461538462,0.36363636363636365,0,0.09090909090909091,0.6720430107526881,1.3440860215053763,0.07692307692307693,0.5,0.2,0,0.4032258064516129,1.075268817204301,0.06153846153846154,0.375,1,0,2.956989247311828,8.602150537634408,0.49230769230769234,0.34375,0.7272727272727273,0,22,62,0.3548387096774194,2,0
"Tyler Johnson","BKN",12,287,0.4970876,0.608,12.422950819672133,25.81875,0.819672131147541,1.9672131147540983,0.096,0.4166666666666667,0.6,0.16666666666666666,0.819672131147541,3.1147540983606556,0.152,0.2631578947368421,0.4,0.2631578947368421,2.9508196721311477,4.918032786885246,0.24,0.6,0.7777777777777778,0,0.6557377049180327,1.9672131147540983,0.096,0.3333333333333333,1,0.08333333333333333,3.442622950819672,8.524590163934427,0.416,0.40384615384615385,1,0,21,52,0.40384615384615385,0,0
"David Nwaba","BKN",20,268,0.5670239436619718,0.8309859154929577,2.9488372093023254,24.75357142857143,3.7168141592920354,5.486725663716814,0.43661971830985913,0.6774193548387096,0.5714285714285714,0.0967741935483871,0.7079646017699115,2.1238938053097347,0.16901408450704225,0.3333333333333333,1,0.25,0,0,0,0,0,0,1.0619469026548674,2.3008849557522124,0.18309859154929578,0.46153846153846156,1,0,1.0619469026548674,2.6548672566371683,0.2112676056338028,0.4,1,0,6,15,0.4,0,0
"Iman Shumpert","BKN",13,241,0.527609375,0.6875,11.641935483870967,24.984848484848484,1.4553014553014554,2.286902286902287,0.171875,0.6363636363636364,0.8571428571428571,0.09090909090909091,0.2079002079002079,0.8316008316008316,0.0625,0.25,1,0,1.0395010395010396,3.3264033264033266,0.25,0.3125,0.6,0,0.6237006237006237,1.8711018711018712,0.140625,0.3333333333333333,1,0,1.0395010395010396,4.98960498960499,0.375,0.20833333333333334,0.8,0,5,24,0.20833333333333334,0,0
"Nicolas Claxton","BKN",15,187,0.5543822916666666,0.75,3.302439024390244,23.985714285714288,5.2631578947368425,7.268170426065163,0.6041666666666666,0.7241379310344828,0.7619047619047619,0.10344827586206896,1.2531328320802004,2.756892230576441,0.22916666666666666,0.45454545454545453,0.4,0.18181818181818182,0,0.2506265664160401,0.020833333333333332,0,0,0,0,1.0025062656641603,0.08333333333333333,0,0,0,0.2506265664160401,0.7518796992481203,0.0625,0.3333333333333333,1,0,1,3,0.3333333333333333,0,0
"Justin Anderson","BKN",13,136,0.5494020000000001,0.98,1.94,25.880000000000003,1.023890784982935,3.0716723549488054,0.18,0.3333333333333333,1,0.1111111111111111,0.3412969283276451,0.3412969283276451,0.02,1,1,0,0,0,0,0,0,0,1.3651877133105803,4.436860068259386,0.26,0.3076923076923077,1,0.07692307692307693,2.3890784982935154,9.215017064846416,0.54,0.25925925925925924,0.8571428571428571,0,7,27,0.25925925925925924,0,0
"Jeremiah Martin","BKN",12,126,0.5034568181818182,0.6865671641791045,6.6863636363636365,25.900000000000002,4.779411764705882,8.455882352941176,0.34328358208955223,0.5652173913043478,0.3076923076923077,0.13043478260869565,2.2058823529411766,5.514705882352941,0.22388059701492538,0.4,0,0.13333333333333333,0.36764705882352944,2.2058823529411766,0.08955223880597014,0.16666666666666666,0,0,0.7352941176470589,1.838235294117647,0.07462686567164178,0.4,0.5,0,2.2058823529411766,6.617647058823529,0.26865671641791045,0.3333333333333333,0.5,0,6,18,0.3333333333333333,0,0
"Lance Thomas","BKN",10,115,0.5107892857142857,0.6428571428571429,13.49230769230769,23.86,0.8298755186721992,1.2448132780082988,0.10714285714285714,0.6666666666666666,1,0,0,1.2448132780082988,0.10714285714285714,0,0,0,1.2448132780082988,2.904564315352697,0.25,0.42857142857142855,0.3333333333333333,0,1.2448132780082988,4.979253112033195,0.42857142857142855,0.25,1,0,0.4149377593360996,1.2448132780082988,0.10714285714285714,0.3333333333333333,1,0,1,3,0.3333333333333333,0,0
"Donta Hall","BKN",8,105,0.5741260869565217,0.6956521739130435,3.960869565217391,0,5.676855895196507,6.986899563318778,0.6956521739130435,0.8125,0.8461538461538461,0,1.3100436681222707,2.183406113537118,0.21739130434782608,0.6,1,0.2,0.4366812227074236,0.8733624454148472,0.08695652173913043,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Henry Ellenson","BKN",5,15,0.5075928571428572,0.8571428571428571,3.5,25.4,2.7777777777777777,5.555555555555555,0.2857142857142857,0.5,0,0,0,2.7777777777777777,0.14285714285714285,0,0,1,0,0,0,0,0,0,0,5.555555555555555,0.2857142857142857,0,0,0,0,5.555555555555555,0.2857142857142857,0,0,0,0,2,0,0,0
"Jamal Crawford","BKN",1,6,0.448325,0.5,21.35,26.8,0,0,0,0,0,0,0,0,0,0,0,0,7.142857142857143,14.285714285714286,0.5,0.5,0,0,0,0,0,0,0,0,7.142857142857143,14.285714285714286,0.5,0.5,1,0,1,2,0.5,0,0
