"Name","TeamAbbreviation","GamesPlayed","Minutes","ShotQualityAvg","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes"
"Devonte' Graham","CHA",63,2211,0.49966724137931035,0.7653167185877466,8.344444444444443,26.51162393162393,1.7060964513193813,3.4576888080072794,0.15784008307372793,0.4934210526315789,0.32,0.08552631578947369,0.9326660600545951,2.9344858962693356,0.13395638629283488,0.3178294573643411,0.3170731707317073,0.06976744186046512,0.7734303912647862,2.2065514103730663,0.10072689511941849,0.35051546391752575,0.2647058823529412,0.030927835051546393,0.4094631483166515,0.9326660600545951,0.04257528556593977,0.43902439024390244,0.9444444444444444,0.04878048780487805,4.549590536851683,12.374886260236579,0.564901349948079,0.36764705882352944,0.51,0.007352941176470588,200,541,0.36968576709796674,3,0
"Terry Rozier","CHA",63,2164,0.5084945154419596,0.7077577045696068,7.515444015444015,25.44397163120567,2.910360884749709,5.657741559953434,0.25823591923485656,0.51440329218107,0.336,0.12757201646090535,1.5832363213038416,4.167636786961583,0.1902231668437832,0.37988826815642457,0.3088235294117647,0.0670391061452514,0.7683352735739232,2.2351571594877764,0.10201912858660998,0.34375,0.2727272727272727,0.010416666666666666,0.8614668218859138,2.0256111757857975,0.0924548352816153,0.42528735632183906,0.9459459459459459,0,3.1431897555296855,7.823050058207218,0.357066950053135,0.4017857142857143,0.7703703703703704,0.005952380952380952,135,336,0.4017857142857143,0,0
"Miles Bridges","CHA",65,1995,0.5268132843791722,0.7636122177954847,4.518101545253863,25.464333333333332,4.182509505703422,6.97084917617237,0.3652058432934927,0.6,0.5515151515151515,0.11272727272727273,1.1406844106463878,4.055766793409379,0.21248339973439576,0.28125,0.3333333333333333,0.08125,0.2534854245880862,0.45627376425855515,0.02390438247011952,0.5555555555555556,0.7,0,1.0392902408111533,2.8136882129277567,0.14741035856573706,0.36936936936936937,0.975609756097561,0,1.4702154626108999,4.7908745247148286,0.250996015936255,0.30687830687830686,0.9137931034482759,0,58,185,0.31351351351351353,4,0
"P.J. Washington","CHA",58,1759,0.5241021222410865,0.767402376910017,4.022562674094707,25.12782608695652,3.8549400342661335,6.339234723015419,0.3769100169779287,0.6081081081081081,0.8518518518518519,0.08558558558558559,1.227869788692176,3.683609366076528,0.21901528013582344,0.3333333333333333,0.6046511627906976,0.15503875968992248,0.1142204454597373,0.2284408909194746,0.013582342954159592,0.5,0.5,0,0.9137635636778983,1.8275271273557967,0.10865874363327674,0.5,0.9375,0,1.5419760137064535,4.7401484865790975,0.28183361629881154,0.3253012048192771,0.9814814814814815,0.006024096385542169,54,166,0.3253012048192771,0,0
"Cody Zeller","CHA",58,1341,0.5421827766179541,0.8162839248434238,2.9767326732673265,25.854666666666667,7.522455089820359,11.826347305389222,0.6597077244258872,0.6360759493670886,0.7114427860696517,0.09177215189873418,1.122754491017964,3.181137724550898,0.17745302713987474,0.35294117647058826,0.6666666666666666,0.17647058823529413,0.0748502994011976,0.1122754491017964,0.006263048016701462,0.6666666666666666,0.5,0,0.0748502994011976,0.1497005988023952,0.008350730688935281,0.5,1,0,0.5988023952095808,2.657185628742515,0.14822546972860126,0.22535211267605634,0.9375,0,16,71,0.22535211267605634,0,0
"Malik Monk","CHA",55,1169,0.5183329192546584,0.7520491803278688,5.1123239436619725,26.474999999999998,4.416135881104034,6.921443736730361,0.33401639344262296,0.6380368098159509,0.5480769230769231,0.10429447852760736,1.8683651804670913,4.373673036093418,0.21106557377049182,0.42718446601941745,0.4772727272727273,0.10679611650485436,0.25477707006369427,0.7643312101910829,0.036885245901639344,0.3333333333333333,0.5,0,0.3821656050955414,1.5711252653927814,0.07581967213114754,0.24324324324324326,1,0,2.08067940552017,7.091295116772824,0.3422131147540984,0.2934131736526946,0.8367346938775511,0.005988023952095809,49,162,0.30246913580246915,5,0
"Bismack Biyombo","CHA",53,1029,0.5305856115107914,0.6726618705035972,3.63705035971223,0,6.390414378432351,9.335996005991014,0.6726618705035972,0.6844919786096256,0.8203125,0.10160427807486631,1.0983524712930604,4.19370943584623,0.302158273381295,0.2619047619047619,0.9090909090909091,0.16666666666666666,0.04992511233150274,0.34947578632051923,0.025179856115107913,0.14285714285714285,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cody Martin","CHA",48,903,0.5515613526570048,0.855072463768116,4.402307692307692,24.893506493506493,3.56347438752784,5.567928730512249,0.4830917874396135,0.64,0.53125,0.09,0.16703786191536749,0.89086859688196,0.07729468599033816,0.1875,0.6666666666666666,0.0625,0.22271714922049,0.779510022271715,0.06763285024154589,0.2857142857142857,0.5,0,0.33407572383073497,1.7260579064587973,0.1497584541062802,0.1935483870967742,1,0,0.6681514476614699,2.5612472160356345,0.2222222222222222,0.2608695652173913,0.9166666666666666,0,12,46,0.2608695652173913,0,0
"Marvin Williams","CHA",41,808,0.5111045673076923,0.7095238095238096,6.753763440860215,25.331623931623934,1.5950920245398772,1.9631901840490797,0.1523809523809524,0.8125,0.6923076923076923,0.0625,1.4110429447852761,3.1901840490797544,0.24761904761904763,0.4423076923076923,0.5652173913043478,0.057692307692307696,0.06134969325153374,0.5521472392638037,0.04285714285714286,0.1111111111111111,1,0.1111111111111111,1.165644171779141,2.4539877300613497,0.19047619047619047,0.475,1,0,1.5337423312883436,4.723926380368098,0.36666666666666664,0.3246753246753247,0.96,0.012987012987012988,25,76,0.32894736842105265,1,0
"Dwayne Bacon","CHA",39,687,0.5001611111111112,0.6639344262295082,6.232768361581921,25.777611940298506,2.9133284777858703,6.919155134741442,0.38934426229508196,0.42105263157894735,0.55,0.15789473684210525,1.3109978150036417,4.224326292789512,0.23770491803278687,0.3103448275862069,0.4444444444444444,0.06896551724137931,0.5826656955571741,1.7479970866715222,0.09836065573770492,0.3333333333333333,0.125,0,0.21849963583394028,0.8011653313911143,0.045081967213114756,0.2727272727272727,1,0.09090909090909091,1.1653313911143481,4.0786598689002185,0.22950819672131148,0.2857142857142857,0.875,0,16,56,0.2857142857142857,0,0
