"Name","TeamAbbreviation","GamesPlayed","Minutes","ShotQualityAvg","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes"
"Zach LaVine","CHI",60,2085,0.5392868421052631,0.8065054211843202,5.76867132867133,25.97417355371901,6.680536292186778,11.16504854368932,0.40283569641367806,0.598343685300207,0.4290657439446367,0.13250517598343686,0.439204808136847,2.1497919556171983,0.07756463719766472,0.20430107526881722,0.2631578947368421,0.13978494623655913,1.0864539990753583,3.2131299121590384,0.11592994161801501,0.3381294964028777,0.3191489361702128,0.02158273381294964,0.9477577438742487,1.9648636153490522,0.07089241034195162,0.4823529411764706,0.7560975609756098,0.023529411764705882,3.3055940822931116,9.223300970873787,0.3327773144286906,0.3583959899749373,0.48951048951048953,0.010025062656641603,143,397,0.3602015113350126,2,0
"Tomas Satoransky","CHI",65,1878,0.524933666061706,0.6932849364791288,5.735227272727273,24.964321608040198,2.6804123711340204,4.716494845360825,0.33212341197822143,0.5683060109289617,0.4230769230769231,0.10382513661202186,1.4690721649484537,3.5051546391752577,0.24682395644283123,0.41911764705882354,0.21052631578947367,0.07352941176470588,0.30927835051546393,0.8505154639175257,0.05989110707803993,0.36363636363636365,0.25,0,0.5927835051546392,1.5463917525773196,0.1088929219600726,0.38333333333333336,1,0,1.056701030927835,3.582474226804124,0.25226860254083483,0.2949640287769784,0.8536585365853658,0.014388489208633094,41,139,0.2949640287769784,0,0
"Coby White","CHI",65,1674,0.5227026582278481,0.7613636363636364,7.250961538461539,25.681382978723406,3.2054951345163136,6.496851745850028,0.2866161616161616,0.4933920704845815,0.3125,0.2290748898678414,0.9444762449914138,2.5472238122495705,0.11237373737373738,0.3707865168539326,0.15151515151515152,0.07865168539325842,0.9730967372638809,2.862049227246709,0.12626262626262627,0.34,0.20588235294117646,0.01,0.5724098454493417,1.6027475672581568,0.0707070707070707,0.35714285714285715,0.95,0.017857142857142856,3.234115626788781,9.158557527189467,0.40404040404040403,0.353125,0.7256637168141593,0,113,318,0.3553459119496855,2,0
"Thaddeus Young","CHI",64,1591,0.5291687813021703,0.7470881863560732,4.3688654353562,24.805405405405406,3.9215686274509802,6.8476621417797885,0.3777038269550749,0.5726872246696035,0.5923076923076923,0.1013215859030837,1.6289592760180995,3.981900452488688,0.21963394342762063,0.4090909090909091,0.5370370370370371,0.1590909090909091,0.18099547511312217,0.6033182503770739,0.033277870216306155,0.3,0.3333333333333333,0,1.0558069381598794,2.865761689291101,0.15806988352745424,0.3684210526315789,0.9428571428571428,0,1.3273001508295625,3.8310708898944195,0.2113144758735441,0.3464566929133858,0.9318181818181818,0,44,125,0.352,2,0
"Lauri Markkanen","CHI",50,1492,0.5467537288135593,0.8324873096446701,3.919343065693431,25.581388012618298,3.60592401802962,5.634256278171281,0.2961082910321489,0.64,0.5625,0.10285714285714286,0.8692852543464262,2.8010302640051514,0.14720812182741116,0.3103448275862069,0.4074074074074074,0.20689655172413793,0.09658725048293625,0.386349001931745,0.02030456852791878,0.25,0.6666666666666666,0,0.6761107533805538,1.54539600772698,0.08121827411167512,0.4375,1,0.020833333333333332,2.8332260141661303,8.660656793303284,0.45516074450084604,0.3271375464684015,0.9886363636363636,0.007434944237918215,88,268,0.3283582089552239,1,0
"Kris Dunn","CHI",51,1269,0.5466567448680352,0.7485380116959064,4.564347826086956,25.108035714285712,3.553687428353076,5.502483760030569,0.42105263157894735,0.6458333333333334,0.41935483870967744,0.08333333333333333,1.0317157050057317,2.7512418800152845,0.21052631578947367,0.375,0.4444444444444444,0.1111111111111111,0.1146350783339702,0.5349636988918609,0.04093567251461988,0.21428571428571427,0.3333333333333333,0,0.30569354222392053,1.146350783339702,0.08771929824561403,0.26666666666666666,1,0,0.8024455483377914,3.1333588077951853,0.23976608187134502,0.25609756097560976,0.9523809523809523,0,21,81,0.25925925925925924,1,0
"Wendell Carter Jr.","CHI",43,1256,0.5529457725947522,0.6909620991253644,4.337261146496815,24.386206896551727,5.328665888759238,8.09023726176585,0.6064139941690962,0.6586538461538461,0.6715328467153284,0.1201923076923077,1.1279657720731233,3.150525087514586,0.23615160349854228,0.35802469135802467,0.7241379310344828,0.08641975308641975,0.4278490859587709,0.9723842862699339,0.0728862973760933,0.44,0.9090909090909091,0,0.07779074290159471,0.46674445740956827,0.03498542274052478,0.16666666666666666,1,0,0.15558148580318942,0.661221314663555,0.04956268221574344,0.23529411764705882,1,0,4,17,0.23529411764705882,0,0
"Ryan Arcidiacono","CHI",58,930,0.5199834090909091,0.7954545454545454,6.8621951219512205,25.18913043478261,1.0875194199896427,1.9161056447436562,0.16818181818181818,0.5675675675675675,0.5714285714285714,0.05405405405405406,0.6732263076126359,1.967892283790782,0.17272727272727273,0.34210526315789475,0.46153846153846156,0.15789473684210525,0.10357327809425168,0.3625064733298809,0.031818181818181815,0.2857142857142857,0,0,0.983946141895391,2.1750388399792855,0.19090909090909092,0.4523809523809524,1,0,1.8125323666494044,4.971517348524081,0.43636363636363634,0.3645833333333333,0.8285714285714286,0.020833333333333332,35,96,0.3645833333333333,0,0
"Daniel Gafford","CHI",43,609,0.5984567164179104,0.8880597014925373,1.8425373134328358,0,7.245222929936306,9.47452229299363,0.8880597014925373,0.7647058823529411,0.6923076923076923,0.05042016806722689,0.23885350318471338,1.194267515923567,0.11194029850746269,0.2,1,0.13333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luke Kornet","CHI",36,559,0.5538668449197861,0.8877005347593583,3.478481012658228,25.40740740740741,3.62381363244176,5.004314063848145,0.31016042780748665,0.7241379310344828,0.8333333333333334,0.10344827586206896,0.7765314926660914,1.639344262295082,0.10160427807486631,0.47368421052631576,1,0,0,0.1725625539257981,0.0106951871657754,0,0,0,0.3451251078515962,2.1570319240724762,0.13368983957219252,0.16,1,0,2.3295944779982745,7.161345987920622,0.44385026737967914,0.3253012048192771,1,0,27,83,0.3253012048192771,0,0
"Chandler Hutchison","CHI",28,527,0.548926,0.76,3.4766423357664236,24.38421052631579,4.991087344028521,8.467023172905526,0.5428571428571428,0.5894736842105263,0.6607142857142857,0.11578947368421053,1.0695187165775402,3.5650623885918002,0.22857142857142856,0.3,0.4166666666666667,0.125,0,0.17825311942959002,0.011428571428571429,0,0,0,0.7130124777183601,1.8716577540106951,0.12,0.38095238095238093,1,0,0.35650623885918004,1.5151515151515151,0.09714285714285714,0.23529411764705882,1,0,4,17,0.23529411764705882,0,0
"Denzel Valentine","CHI",36,488,0.4914191489361702,0.6286919831223629,10.392000000000001,26.183211678832116,0.6,1.2,0.05063291139240506,0.5,0.6666666666666666,0,3,6.2,0.2616033755274262,0.4838709677419355,0.4,0.03225806451612903,1.5,2.6,0.10970464135021098,0.5769230769230769,0.3333333333333333,0,0.9,2.1,0.08860759493670886,0.42857142857142855,0.7777777777777778,0,3.7,11.6,0.48945147679324896,0.31896551724137934,0.7837837837837838,0,37,114,0.32456140350877194,2,0
"Shaquille Harrison","CHI",43,484,0.5541628834355828,0.806060606060606,3.3821138211382116,25.87142857142857,4.914744232698094,9.127382146439318,0.5515151515151515,0.5384615384615384,0.5306122448979592,0.13186813186813187,1.2036108324974926,2.908726178535607,0.17575757575757575,0.41379310344827586,0.4166666666666667,0.034482758620689655,0,0.30090270812437314,0.01818181818181818,0,0,0,0.6018054162487463,1.7051153460381143,0.10303030303030303,0.35294117647058826,1,0,1.0030090270812437,2.507522567703109,0.15151515151515152,0.4,0.7,0,10,24,0.4166666666666667,1,0
"Cristiano Felicio","CHI",22,386,0.5468000000000001,0.8333333333333334,2.701923076923077,25.5,3.954081632653061,5.48469387755102,0.7962962962962963,0.7209302325581395,0.4838709677419355,0.11627906976744186,0.3826530612244898,1.0204081632653061,0.14814814814814814,0.375,0.6666666666666666,0.25,0,0.12755102040816327,0.018518518518518517,0,0,0,0,0,0,0,0,0,0,0.25510204081632654,0.037037037037037035,0,0,0,0,2,0,0,0
