"Name","TeamAbbreviation","GamesPlayed","Minutes","ShotQualityAvg","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes"
"Collin Sexton","CLE",65,2143,0.5188674815498155,0.6012891344383057,6.607460890493382,25.91607843137255,5.198637911464245,9.035187287173667,0.3664825046040516,0.5753768844221105,0.37117903930131,0.19095477386934673,3.0192962542565267,7.037457434733257,0.285451197053407,0.4290322580645161,0.19548872180451127,0.11612903225806452,1.2258796821793416,2.792281498297389,0.1132596685082873,0.43902439024390244,0.2037037037037037,0.04065040650406504,0.3859250851305335,0.7264472190692395,0.029465930018416207,0.53125,0.7647058823529411,0,1.8161180476730987,5.062429057888763,0.20534069981583794,0.35874439461883406,0.7375,0.013452914798206279,80,223,0.35874439461883406,0,0
"Cedi Osman","CLE",65,1910,0.5486730198019802,0.8177339901477833,4.721180555555556,25.73239875389408,2.627551020408163,4.51530612244898,0.29064039408866993,0.5819209039548022,0.5825242718446602,0.12429378531073447,0.8418367346938775,2.3214285714285716,0.14942528735632185,0.3626373626373626,0.48484848484848486,0.10989010989010989,0.17857142857142858,0.5102040816326531,0.03284072249589491,0.35,0.2857142857142857,0.05,0.7908163265306123,1.9387755102040816,0.12479474548440066,0.40789473684210525,1,0.02631578947368421,2.3469387755102042,6.25,0.40229885057471265,0.37551020408163266,0.8586956521739131,0.004081632653061225,92,243,0.3786008230452675,2,0
"Darius Garland","CLE",59,1824,0.4984048710601719,0.630901287553648,8.518610421836229,26.21148648648649,1.7139796464916979,3.883235136582753,0.20743919885550788,0.4413793103448276,0.25,0.16551724137931034,2.1156936261381896,4.472415640064274,0.23891273247496422,0.47305389221556887,0.2911392405063291,0.04790419161676647,0.8569898232458489,2.437064809855383,0.1301859799713877,0.3516483516483517,0.3125,0.02197802197802198,0.6427423674343867,1.580074986609534,0.0844062947067239,0.4067796610169492,0.9583333333333334,0,2.169255490091055,6.347080878414569,0.33905579399141633,0.34177215189873417,0.6666666666666666,0.016877637130801686,81,236,0.3432203389830508,1,0
"Kevin Love","CLE",56,1780,0.5039545454545454,0.6973865199449794,9.287240356083087,26.175641025641024,1.8878248974008207,3.20109439124487,0.1609353507565337,0.5897435897435898,0.6521739130434783,0.1111111111111111,1.5047879616963065,3.091655266757866,0.15543328748280605,0.48672566371681414,0.5454545454545454,0.061946902654867256,1.5595075239398084,2.9274965800273596,0.14718019257221457,0.5327102803738317,0.543859649122807,0.018691588785046728,0.7660738714090287,1.6415868673050615,0.08253094910591471,0.4666666666666667,0.9642857142857143,0.06666666666666667,3.228454172366621,9.028727770177838,0.45392022008253097,0.3575757575757576,0.923728813559322,0.00909090909090909,118,330,0.3575757575757576,0,0
"Tristan Thompson","CLE",57,1722,0.5183536541889483,0.5960854092526691,4.185714285714286,26.456521739130434,5.37047673750718,8.960367604824814,0.5551601423487544,0.5993589743589743,0.6149732620320856,0.14102564102564102,2.6134405514072374,6.0884549109707065,0.37722419928825623,0.42924528301886794,0.5604395604395604,0.09433962264150944,0.02871912693854107,0.43078690407811604,0.026690391459074734,0.06666666666666667,1,0,0.02871912693854107,0.0861573808156232,0.005338078291814947,0.3333333333333333,0,0,0.22975301550832855,0.5743825387708213,0.03558718861209965,0.4,0.75,0.05,8,20,0.4,0,0
"Larry Nance Jr.","CLE",56,1472,0.5487600233100233,0.7795823665893271,4.840808823529412,25.631446540880503,4.3871399866041525,5.927662424648359,0.41067285382830626,0.7401129943502824,0.6259541984732825,0.03954802259887006,0.8372404554588078,2.042866711319491,0.14153132250580047,0.4098360655737705,0.52,0.06557377049180328,0.5693235097119893,1.1386470194239786,0.07888631090487239,0.5,0.6470588235294118,0.058823529411764705,0.6028131279303416,1.5405224380442062,0.10672853828306264,0.391304347826087,1,0.043478260869565216,1.2726054922973877,3.7843268586738112,0.26218097447795824,0.336283185840708,0.9736842105263158,0,38,111,0.34234234234234234,2,0
"Kevin Porter Jr.","CLE",50,1162,0.5316936904761905,0.6935866983372921,7.038403041825095,25.555696202531646,3.904923599320883,5.687606112054329,0.3182897862232779,0.6865671641791045,0.5652173913043478,0.1417910447761194,0.8488964346349746,2.7164685908319184,0.15201900237529692,0.3125,0.15,0.140625,0.8913412563667232,2.7589134125636674,0.1543942992874109,0.3230769230769231,0.19047619047619047,0.015384615384615385,0.5942275042444821,1.4855687606112054,0.0831353919239905,0.4,0.8571428571428571,0,1.6553480475382003,5.2207130730050935,0.2921615201900237,0.3170731707317073,0.717948717948718,0.024390243902439025,39,122,0.319672131147541,1,0
"Matthew Dellavedova","CLE",57,821,0.5091368571428572,0.6685714285714286,6.698809523809524,25.813186813186814,0.7747318235995232,1.5494636471990464,0.14857142857142858,0.5,0.5384615384615384,0.038461538461538464,1.5494636471990464,3.2181168057210967,0.30857142857142855,0.48148148148148145,0.19230769230769232,0.07407407407407407,0.11918951132300358,0.23837902264600716,0.022857142857142857,0.5,0.5,0,0.29797377830750893,0.9535160905840286,0.09142857142857143,0.3125,1,0,0.9535160905840286,4.469606674612634,0.42857142857142855,0.21333333333333335,0.875,0.02666666666666667,16,75,0.21333333333333335,0,0
"Jordan Clarkson","CLE",29,666,0.5154490797546012,0.7484662576687117,5.777245508982036,25.536477987421385,4.023845007451565,6.333830104321907,0.2607361963190184,0.6352941176470588,0.3148148148148148,0.12941176470588237,1.9374068554396424,4.694485842026825,0.19325153374233128,0.4126984126984127,0.23076923076923078,0.12698412698412698,0.37257824143070045,1.4157973174366616,0.05828220858895705,0.2631578947368421,0.4,0.10526315789473684,0.819672131147541,2.0864381520119224,0.08588957055214724,0.39285714285714285,1,0.03571428571428571,3.5767511177347244,9.761549925484351,0.401840490797546,0.366412213740458,0.7291666666666666,0,48,131,0.366412213740458,0,0
"Alfonzo McKinnie","CLE",40,593,0.5547751461988304,0.7660818713450293,4.461320754716981,24.71076923076923,3.5303776683087027,5.41871921182266,0.38596491228070173,0.6515151515151515,0.6511627906976745,0.16666666666666666,1.2315270935960592,2.6272577996715927,0.1871345029239766,0.46875,0.8,0.09375,0.08210180623973727,0.6568144499178982,0.04678362573099415,0.125,0,0,0.6568144499178982,2.5451559934318553,0.18128654970760233,0.25806451612903225,1,0,0.49261083743842365,2.7914614121510675,0.19883040935672514,0.17647058823529413,1,0,6,34,0.17647058823529413,0,0
