"Name","TeamAbbreviation","GamesPlayed","Minutes","ShotQualityAvg","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes"
"Dorian Finney-Smith","DAL",76,2274,0.5697817615658363,0.9271758436944938,3.125106382978723,24.52987804878049,2.6881720430107525,4.172043010752688,0.34458259325044405,0.6443298969072165,0.616,0.0979381443298969,0.1935483870967742,0.6666666666666666,0.055062166962699825,0.2903225806451613,0.8888888888888888,0.12903225806451613,0.06451612903225806,0.21505376344086022,0.017761989342806393,0.3,0.6666666666666666,0,1.5053763440860215,3.5483870967741935,0.29307282415630553,0.42424242424242425,0.9857142857142858,0.04242424242424243,1.1397849462365592,3.5053763440860215,0.2895204262877442,0.32515337423312884,0.9433962264150944,0.03067484662576687,53,162,0.3271604938271605,1,0
"Tim Hardaway Jr.","DAL",76,2262,0.5158805208333334,0.729253112033195,8.975735294117646,25.487589928057556,1.8212621770436255,3.1130876747141043,0.1524896265560166,0.5850340136054422,0.5232558139534884,0.1564625850340136,1.1647606946209232,2.964845404489623,0.14522821576763487,0.39285714285714285,0.4727272727272727,0.15714285714285714,1.228293096145701,2.562473528166031,0.12551867219917012,0.4793388429752066,0.4482758620689655,0.024793388429752067,1.4612452350698857,3.007200338839475,0.14730290456431536,0.4859154929577465,0.9855072463768116,0.007042253521126761,3.218975010588734,8.767471410419313,0.42946058091286304,0.3671497584541063,0.7697368421052632,0.0024154589371980675,152,411,0.36982968369829683,3,0
"Luka Doncic","DAL",66,2220,0.5029962425595238,0.7239852398523985,5.1427471116816434,27.116840277777776,6.340618913655053,8.764336723652889,0.2988929889298893,0.7234567901234568,0.17406143344709898,0.07160493827160494,3.0729279376758276,7.184592079636443,0.24501845018450186,0.42771084337349397,0.11971830985915492,0.1144578313253012,0.2596840510711967,0.9088941787491885,0.03099630996309963,0.2857142857142857,0.3333333333333333,0,0.06492101276779917,0.3029647262497295,0.010332103321033211,0.21428571428571427,1,0.07142857142857142,3.895260766067951,12.161869725167712,0.414760147601476,0.3202846975088968,0.2222222222222222,0.005338078291814947,180,553,0.325497287522604,9,0
"Maxi Kleber","DAL",79,2057,0.5523026703499079,0.9152854511970534,3.338725490196078,24.790265486725662,2.5206124852767964,3.7220259128386335,0.29097605893186,0.6772151898734177,0.822429906542056,0.06962025316455696,0.35335689045936397,0.8951707891637221,0.06998158379373849,0.39473684210526316,0.8666666666666667,0.07894736842105263,0.0706713780918728,0.18845700824499412,0.014732965009208104,0.375,1,0,1.1307420494699647,3.1095406360424027,0.2430939226519337,0.36363636363636365,1,0,1.7432273262661955,4.876325088339223,0.3812154696132597,0.357487922705314,1,0,74,207,0.357487922705314,0,0
"Kristaps Porzingis","DAL",60,1908,0.503937228541882,0.6430041152263375,8.384782608695652,26.903333333333332,3.541823662396383,5.1494599346897765,0.2109053497942387,0.6878048780487804,0.6950354609929078,0.04390243902439024,1.9341873901029891,5.375533785481035,0.22016460905349794,0.3598130841121495,0.7922077922077922,0.08411214953271028,1.2559658377292138,3.3408691283597087,0.1368312757201646,0.37593984962406013,0.74,0.015037593984962405,0.15071590052750566,0.5023863350916855,0.0205761316872428,0.3,0.6666666666666666,0.05,3.64230092941472,10.04772670183371,0.411522633744856,0.3625,0.9862068965517241,0.01,145,398,0.36432160804020103,2,0
"Seth Curry","DAL",69,1720,0.4995104200323102,0.6548387096774193,10.440569395017794,25.531268436578173,1.261918115535614,1.878855860908581,0.10806451612903226,0.6716417910447762,0.4,0.029850746268656716,1.682557487380819,3.393157599551318,0.19516129032258064,0.49586776859504134,0.5166666666666667,0.08264462809917356,1.4862591138530568,2.6079641054402694,0.15,0.5698924731182796,0.3584905660377358,0,0.9254066180594503,1.962983735277622,0.11290322580645161,0.4714285714285714,0.9696969696969697,0.02857142857142857,3.393157599551318,7.543466068424005,0.4338709677419355,0.44981412639405205,0.7603305785123967,0.007434944237918215,121,268,0.45149253731343286,1,0
"Delon Wright","DAL",77,1623,0.522575659472422,0.7434679334916865,4.274657534246575,26.067441860465117,3.4688995215311005,5.502392344497608,0.43705463182897863,0.6304347826086957,0.3706896551724138,0.09239130434782608,0.8373205741626795,2.8708133971291865,0.22802850356294538,0.2916666666666667,0.07142857142857142,0.11458333333333333,0.11961722488038277,0.3588516746411483,0.028503562945368172,0.3333333333333333,0.5,0,0.41866028708133973,0.777511961722488,0.06175771971496437,0.5384615384615384,1,0.038461538461538464,1.0167464114832536,3.0801435406698565,0.24465558194774348,0.3300970873786408,0.7352941176470589,0.009708737864077669,34,100,0.34,3,0
"Dwight Powell","DAL",40,1061,0.5873655021834061,0.8908296943231441,2.24,24.98205128205128,6.035283194057567,7.66016713091922,0.7205240174672489,0.7878787878787878,0.8153846153846154,0.06060606060606061,0.2785515320334262,1.021355617455896,0.09606986899563319,0.2727272727272727,0.6666666666666666,0.13636363636363635,0,0.1392757660167131,0.013100436681222707,0,0,0,0.18570102135561745,0.5571030640668524,0.05240174672489083,0.3333333333333333,1,0,0.2785515320334262,1.2534818941504178,0.11790393013100436,0.2222222222222222,1,0,6,27,0.2222222222222222,0,0
"Justin Jackson","DAL",67,1059,0.5070139130434782,0.6994219653179191,6.264088397790055,25.431515151515157,2.068014705882353,3.5386029411764706,0.22254335260115607,0.5844155844155844,0.8666666666666667,0.06493506493506493,1.7922794117647058,4.136029411764706,0.26011560693641617,0.43333333333333335,0.7948717948717948,0.06666666666666667,0.18382352941176472,0.6433823529411765,0.04046242774566474,0.2857142857142857,0.5,0,0.5055147058823529,1.8841911764705883,0.11849710982658959,0.2682926829268293,1,0.07317073170731707,1.7003676470588236,5.698529411764706,0.3583815028901734,0.29838709677419356,0.918918918918919,0.008064516129032258,37,124,0.29838709677419356,0,0
"Jalen Brunson","DAL",57,1022,0.47981778350515464,0.5335051546391752,8.43992537313433,25.259999999999998,2.5874460948730236,4.168663152850982,0.22422680412371135,0.6206896551724138,0.24074074074074073,0.06896551724137931,2.6832774317201724,5.558217537134643,0.29896907216494845,0.4827586206896552,0.23214285714285715,0.04310344827586207,1.3416387158600862,3.114518447532343,0.16752577319587628,0.4307692307692308,0.25,0,0.4791566842357451,1.3895543842836608,0.07474226804123711,0.3448275862068966,1,0,1.5812170579779588,4.360325826545281,0.2345360824742268,0.3626373626373626,0.7575757575757576,0,33,91,0.3626373626373626,0,0
"Boban Marjanovic","DAL",46,487,0.503318376068376,0.5897435897435898,4.981481481481482,26.200000000000003,9.19080919080919,11.988011988011989,0.5128205128205128,0.7666666666666667,0.4782608695652174,0.075,3.3966033966033966,8.591408591408591,0.36752136752136755,0.3953488372093023,0.6764705882352942,0.09302325581395349,0.3996003996003996,0.999000999000999,0.042735042735042736,0.4,0.75,0,0.0999000999000999,0.0999000999000999,0.004273504273504274,1,1,0,0.2997002997002997,1.6983016983016983,0.07264957264957266,0.17647058823529413,1,0,3,17,0.17647058823529413,0,0
"J.J. Barea","DAL",30,455,0.5115944444444445,0.6875,7.1016260162601625,25.927058823529414,3.544575725026853,6.229860365198711,0.27884615384615385,0.5689655172413793,0.12121212121212122,0.08620689655172414,1.1815252416756177,4.511278195488722,0.20192307692307693,0.2619047619047619,0,0.023809523809523808,0.966702470461869,2.4704618689581097,0.11057692307692307,0.391304347826087,0.1111111111111111,0,0.4296455424274973,0.8592910848549946,0.038461538461538464,0.5,1,0,3.007518796992481,8.270676691729323,0.3701923076923077,0.36363636363636365,0.32142857142857145,0.012987012987012988,28,76,0.3684210526315789,1,0
"Courtney Lee","DAL",24,345,0.5413993902439025,0.7560975609756098,7.597142857142856,24.53617021276596,1.5580736543909348,2.1246458923512748,0.18292682926829268,0.7333333333333333,0.45454545454545453,0,0.7082152974504249,1.6997167138810199,0.14634146341463414,0.4166666666666667,0.4,0,0.42492917847025496,1.13314447592068,0.0975609756097561,0.375,0.3333333333333333,0,1.274787535410765,2.8328611898016995,0.24390243902439024,0.45,1,0,1.6997167138810199,3.8243626062322944,0.32926829268292684,0.4444444444444444,0.75,0,12,27,0.4444444444444444,0,0
"Trey Burke","DAL",13,312,0.5008515384615385,0.6717557251908397,8.417721518987342,25.74423076923077,2.607361963190184,5.521472392638037,0.2748091603053435,0.4722222222222222,0,0.1388888888888889,1.3803680981595092,2.914110429447853,0.1450381679389313,0.47368421052631576,0.2222222222222222,0.10526315789473684,1.9938650306748467,3.6809815950920246,0.183206106870229,0.5416666666666666,0.38461538461538464,0,1.0736196319018405,2.4539877300613497,0.12213740458015267,0.4375,0.8571428571428571,0,2.607361963190184,5.521472392638037,0.2748091603053435,0.4722222222222222,0.7058823529411765,0.027777777777777776,17,35,0.4857142857142857,1,0
