"Name","TeamAbbreviation","GamesPlayed","Minutes","ShotQualityAvg","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes"
"Langston Galloway","DET",66,1702,0.5173500924214417,0.7472324723247232,8.307109004739337,25.123564954682777,1.3572047357782269,2.1368755414380596,0.13653136531365315,0.6351351351351351,0.6808510638297872,0.06756756756756757,1.0684377707190298,2.6566560785446143,0.16974169741697417,0.40217391304347827,0.8108108108108109,0.05434782608695652,0.5775339301183945,1.2994513427663876,0.08302583025830258,0.4444444444444444,0.6,0.044444444444444446,1.992492058908461,3.8117239387814035,0.24354243542435425,0.5227272727272727,0.9855072463768116,0.007575757575757576,1.8192318798729425,5.746462604678025,0.3671586715867159,0.3165829145728643,1,0.005025125628140704,63,198,0.3181818181818182,1,0
"Andre Drummond","DET",49,1654,0.5154206794682422,0.6995581737849779,3.3782674772036474,29.45714285714286,8.699551569506726,13.572496263079223,0.6686303387334315,0.6409691629955947,0.570446735395189,0.11013215859030837,2.0029895366218238,5.889387144992527,0.29013254786450665,0.3401015228426396,0.5671641791044776,0.14720812182741116,0.029895366218236172,0.20926756352765322,0.010309278350515464,0.14285714285714285,0,0.2857142857142857,0,0.11958146487294469,0.005891016200294551,0,0,0,0.029895366218236172,0.5082212257100149,0.025036818851251842,0.058823529411764705,1,0.058823529411764705,1,15,0.06666666666666667,2,0
"Tony Snell","DET",59,1641,0.5267950131233596,0.7958115183246073,7.9859375,25.090551181102363,1.0321797207043109,1.5179113539769278,0.13089005235602094,0.68,0.7941176470588235,0.1,0.6375227686703097,1.5179113539769278,0.13089005235602094,0.42,0.42857142857142855,0.04,0.3946569520340012,0.8500303582270795,0.07329842931937172,0.4642857142857143,0.6153846153846154,0,1.2750455373406193,2.9751062537947783,0.25654450261780104,0.42857142857142855,0.9523809523809523,0.01020408163265306,1.8214936247723132,4.735883424408015,0.4083769633507853,0.38461538461538464,0.85,0.00641025641025641,60,155,0.3870967741935484,1,0
"Bruce Brown","DET",58,1634,0.5049061521252797,0.6935123042505593,4.138176638176638,24.4375,3.5813522692188946,6.606977462179685,0.47874720357941836,0.5420560747663551,0.4482758620689655,0.12149532710280374,1.4819388700216116,4.013584439641865,0.29082774049217003,0.36923076923076925,0.20833333333333334,0.13076923076923078,0.030873726458783574,0.21611608521148504,0.015659955257270694,0.14285714285714285,1,0,0.7718431614695894,1.8524235875270145,0.1342281879194631,0.4166666666666667,0.96,0,0.2469898116702686,1.1114541525162087,0.08053691275167785,0.2222222222222222,1,0,8,36,0.2222222222222222,0,0
"Christian Wood","DET",62,1325,0.5279908284023669,0.7519685039370079,4.265489130434783,25.442857142857143,6.985431453119163,9.03997011580127,0.4763779527559055,0.7727272727272727,0.7058823529411765,0.045454545454545456,1.3447889428464699,3.7355248412401942,0.1968503937007874,0.36,0.75,0.19,0.4109077325364214,0.9712364587224505,0.051181102362204724,0.4230769230769231,0.7272727272727273,0,0.5603287261860291,1.4942099364960777,0.07874015748031496,0.375,1,0,1.4568546880836757,3.7355248412401942,0.1968503937007874,0.39,0.8974358974358975,0.01,39,99,0.3939393939393939,1,0
"Derrick Rose","DET",50,1298,0.4878633821571238,0.5537848605577689,7.276237623762376,26.043537414965986,6.3173541434411,10.033444816053512,0.35856573705179284,0.6296296296296297,0.18823529411764706,0.14814814814814814,3.9390561129691566,8.324043106651802,0.29747675962815406,0.4732142857142857,0.18867924528301888,0.05357142857142857,1.7837235228539576,4.162021553325901,0.14873837981407703,0.42857142857142855,0.08333333333333333,0.017857142857142856,0.33444816053511706,0.7060572277963583,0.025232403718459494,0.47368421052631576,1,0.05263157894736842,1.3377926421404682,4.756596060943887,0.1699867197875166,0.28125,0.5555555555555556,0.0078125,36,126,0.2857142857142857,2,0
"Svi Mykhailiuk","DET",56,1265,0.5397225,0.9061728395061729,4.257499999999999,25.852280701754385,1.7034456058846303,3.1746031746031744,0.20246913580246914,0.5365853658536586,0.5454545454545454,0.13414634146341464,0.19357336430507163,1.2001548586914441,0.07654320987654321,0.16129032258064516,0.2,0.3548387096774194,0.07742934572202866,0.27100271002710025,0.01728395061728395,0.2857142857142857,1,0,1.1227255129694154,2.59388308168796,0.1654320987654321,0.43283582089552236,0.9655172413793104,0.014925373134328358,3.329461866047232,8.439798683701122,0.5382716049382716,0.3944954128440367,0.9302325581395349,0.0045871559633027525,85,214,0.397196261682243,3,1
"Markieff Morris","DET",44,988,0.5105549222797927,0.7223650385604113,6.7620000000000005,25.676719576719574,2.8784119106699753,4.5657568238213395,0.2365038560411311,0.6304347826086957,0.7413793103448276,0.07608695652173914,1.5384615384615385,3.8213399503722085,0.19794344473007713,0.4025974025974026,0.3870967741935484,0.07792207792207792,0.5459057071960298,1.5384615384615385,0.07969151670951156,0.3548387096774194,0.7272727272727273,0,1.1910669975186103,2.7791563275434243,0.14395886889460155,0.42857142857142855,1,0,2.531017369727047,6.600496277915632,0.34190231362467866,0.38345864661654133,1,0,51,130,0.3923076923076923,3,0
"Luke Kennard","DET",28,922,0.5031394736842105,0.6783625730994152,9.628930817610064,25.589617486338796,1.7703862660944205,2.628755364806867,0.14327485380116958,0.673469387755102,0.5454545454545454,0.12244897959183673,1.1266094420600858,3.0579399141630903,0.16666666666666666,0.3684210526315789,0.3333333333333333,0.07017543859649122,1.2875536480686696,2.8433476394849784,0.15497076023391812,0.4528301886792453,0.5,0.03773584905660377,0.7510729613733905,1.9849785407725322,0.10818713450292397,0.3783783783783784,0.9285714285714286,0,3.165236051502146,7.832618025751073,0.4269005847953216,0.4041095890410959,0.7796610169491526,0.00684931506849315,59,146,0.4041095890410959,0,0
"Thon Maker","DET",60,776,0.5215747395833333,0.7202072538860104,5.293798449612403,25.7015625,3.2530904359141184,4.879635653871178,0.38860103626943004,0.6666666666666666,0.8,0.12,0.9759271307742355,2.6024723487312946,0.20725388601036268,0.375,0.6,0.1,0.3903708523096942,0.9108653220559532,0.07253886010362694,0.42857142857142855,0.8333333333333334,0,0.6506180871828237,1.951854261548471,0.15544041450777202,0.3333333333333333,1,0,0.7807417046193884,2.2121014964216004,0.17616580310880828,0.35294117647058826,0.9166666666666666,0,12,33,0.36363636363636365,1,0
