"Name","TeamAbbreviation","GamesPlayed","Minutes","ShotQualityAvg","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes"
"Eric Paschall","GSW",60,1654,0.5022986677115987,0.584375,7.38825831702544,26.08139534883721,4.902246863145608,7.149110008754012,0.3828125,0.6857142857142857,0.6488095238095238,0.09387755102040816,1.7216224102713744,4.493726291216808,0.240625,0.38311688311688313,0.3050847457627119,0.16883116883116883,1.5757222060110885,3.2681645754304056,0.175,0.48214285714285715,0.6111111111111112,0.026785714285714284,0.29180040852057193,0.9921213889699445,0.053125,0.29411764705882354,1,0.029411764705882353,0.7878611030055442,2.7721038809454335,0.1484375,0.28421052631578947,0.9629629629629629,0.010526315789473684,27,93,0.2903225806451613,2,0
"Glenn Robinson III","GSW",48,1516,0.5094108695652174,0.5739644970414202,9.405637982195845,25.187058823529412,2.4475524475524475,3.8461538461538463,0.23865877712031558,0.6363636363636364,0.7922077922077922,0.1322314049586777,1.589319771137953,3.4329307056579785,0.21301775147928995,0.46296296296296297,0.76,0.12037037037037036,1.557533375715194,3.4329307056579785,0.21301775147928995,0.4537037037037037,0.7551020408163265,0.037037037037037035,0.8900190718372537,2.097902097902098,0.1301775147928994,0.42424242424242425,0.9642857142857143,0.015151515151515152,1.2714558169103625,3.3057851239669422,0.20512820512820512,0.38461538461538464,0.875,0.009615384615384616,40,103,0.3883495145631068,1,0
"Damion Lee","GSW",49,1422,0.5021416502946955,0.6516634050880626,8.875,26.06778242677824,1.9082691663876798,3.146970204218279,0.18395303326810175,0.6063829787234043,0.7017543859649122,0.0851063829787234,1.6404419149648477,3.783059926347506,0.22113502935420742,0.4336283185840708,0.8367346938775511,0.07964601769911504,0.7365249414127888,2.176096417810512,0.12720156555772993,0.3384615384615385,0.7727272727272727,0.03076923076923077,0.6695681285570807,1.8078339471041178,0.10567514677103718,0.37037037037037035,1,0,2.176096417810512,6.193505189152996,0.36203522504892366,0.35135135135135137,0.9384615384615385,0.010810810810810811,65,184,0.3532608695652174,1,0
"Alec Burks","GSW",48,1390,0.4917117252931323,0.6289517470881864,8.388328912466843,26.166964285714283,2.635228848821082,5.339805825242719,0.2562396006655574,0.4935064935064935,0.5657894736842105,0.14935064935064934,1.4909847434119279,4.5769764216366156,0.21963394342762063,0.32575757575757575,0.27906976744186046,0.05303030303030303,1.4216366158113731,3.1553398058252426,0.15141430948419302,0.45054945054945056,0.5121951219512195,0.01098901098901099,0.5894590846047156,1.4216366158113731,0.06821963394342762,0.4146341463414634,0.8235294117647058,0,2.323162274618585,6.345353675450763,0.30449251247920134,0.366120218579235,0.7014925373134329,0.01092896174863388,67,180,0.37222222222222223,3,0
"Jordan Poole","GSW",57,1274,0.4880984939759036,0.6852589641434262,10.421518987341772,26.849056603773583,1.4563106796116505,2.9499626587005228,0.15737051792828685,0.4936708860759494,0.6153846153846154,0.21518987341772153,0.9335324869305451,2.4645257654966395,0.13147410358565736,0.3787878787878788,0.24,0.09090909090909091,1.0828976848394325,3.4353995519044065,0.18326693227091634,0.31521739130434784,0.4482758620689655,0.043478260869565216,0.4480955937266617,1.3816280806572068,0.07370517928286853,0.32432432432432434,0.9166666666666666,0.02702702702702703,2.315160567587752,8.513816280806573,0.4541832669322709,0.2719298245614035,0.8387096774193549,0.017543859649122806,62,225,0.27555555555555555,3,0
"Draymond Green","GSW",43,1222,0.5066053968253968,0.6930379746835443,7.2582887700534755,26.176744186046513,2.137582588418189,3.4978624174115818,0.2848101265822785,0.6111111111111112,0.7454545454545455,0.06666666666666667,0.8161678973960358,2.4485036921881074,0.19936708860759494,0.3333333333333333,0.6666666666666666,0.06349206349206349,0.4275165176836378,1.3214146910221531,0.10759493670886076,0.3235294117647059,0.7272727272727273,0.058823529411764705,0.1554605518849592,0.5052467936261174,0.04113924050632911,0.3076923076923077,1,0,1.2436844150796735,4.508356004663817,0.3670886075949367,0.27586206896551724,1,0.008620689655172414,32,116,0.27586206896551724,0,0
"Marquese Chriss","GSW",59,1196,0.5552723958333333,0.7896103896103897,3.4242774566473986,26.597435897435897,6.884057971014493,10.668276972624799,0.6883116883116883,0.6452830188679245,0.7660818713450293,0.06415094339622641,1.0064412238325282,2.576489533011272,0.16623376623376623,0.390625,0.56,0.078125,0.24154589371980675,0.6843800322061192,0.04415584415584416,0.35294117647058826,0.8333333333333334,0,0.08051529790660225,0.20128824476650564,0.012987012987012988,0.4,1,0,0.24154589371980675,1.3687600644122384,0.08831168831168831,0.17647058823529413,1,0.029411764705882353,6,33,0.18181818181818182,1,0
"D'Angelo Russell","GSW",33,1060,0.4836803627760252,0.5811023622047244,11.379617834394903,26.862305295950154,1.5625,2.142857142857143,0.07559055118110236,0.7291666666666666,0.37142857142857144,0.0625,2.6339285714285716,6.741071428571429,0.2377952755905512,0.39072847682119205,0.22033898305084745,0.046357615894039736,2.6339285714285716,5.133928571428571,0.18110236220472442,0.5130434782608696,0.2711864406779661,0.008695652173913044,0.625,1.3839285714285714,0.048818897637795275,0.45161290322580644,0.8571428571428571,0,4.732142857142857,12.946428571428571,0.4566929133858268,0.36551724137931035,0.5754716981132075,0.010344827586206896,106,289,0.36678200692041524,1,0
"Ky Bowman","GSW",45,1015,0.4968272012578616,0.5825545171339563,9.035514018691588,26.2196261682243,2.3322227510709186,3.8077106139933363,0.24922118380062305,0.6125,0.42857142857142855,0.1125,1.1899095668729176,3.3793431699190863,0.22118380062305296,0.352112676056338,0.4,0.08450704225352113,1.285102332222751,2.9985721085197525,0.19626168224299065,0.42857142857142855,0.5185185185185185,0.015873015873015872,0.5711565920990005,1.285102332222751,0.08411214953271028,0.4444444444444444,0.8333333333333334,0.037037037037037035,0.9995240361732508,3.8077106139933363,0.24922118380062305,0.2625,0.6666666666666666,0,21,77,0.2727272727272727,3,0
"Willie Cauley-Stein","GSW",41,941,0.5276817120622569,0.5875486381322957,5.674708171206226,0,5.723204994797086,7.856399583766909,0.5875486381322957,0.7284768211920529,0.8,0.052980132450331126,1.4047866805411031,3.5900104058272633,0.26848249027237353,0.391304347826087,0.5925925925925926,0.11594202898550725,0.36420395421436,1.9250780437044746,0.14396887159533073,0.1891891891891892,0.8571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Omari Spellman","GSW",49,886,0.5127764505119454,0.6949152542372882,7.394054054054054,25.94818181818182,2.75377969762419,5.129589632829374,0.3220338983050847,0.5368421052631579,0.5490196078431373,0.11578947368421053,0.755939524838013,2.159827213822894,0.13559322033898305,0.35,0.7857142857142857,0.15,1.0259179265658747,2.699784017278618,0.1694915254237288,0.38,0.631578947368421,0,0.593952483801296,1.079913606911447,0.06779661016949153,0.55,1,0,1.7278617710583153,4.859611231101512,0.3050847457627119,0.35555555555555557,1,0,32,90,0.35555555555555557,0,0
"Jacob Evans","GSW",27,414,0.4760206766917293,0.42857142857142855,12.34421052631579,25.599999999999998,0.8092485549132948,2.1965317919075145,0.14285714285714285,0.3684210526315789,0.7142857142857143,0.10526315789473684,1.0404624277456647,3.352601156069364,0.21804511278195488,0.3103448275862069,0.6666666666666666,0.20689655172413793,1.8497109826589595,5.433526011560693,0.3533834586466165,0.3404255319148936,0.5625,0.02127659574468085,0.3468208092485549,1.1560693641618498,0.07518796992481203,0.3,1,0.1,1.1560693641618498,3.2369942196531793,0.21052631578947367,0.35714285714285715,0.9,0.03571428571428571,10,28,0.35714285714285715,0,0
"Andrew Wiggins","GSW",12,403,0.5061776595744681,0.6117021276595744,8.026356589147287,26.003389830508475,4.550898203592815,6.706586826347305,0.2978723404255319,0.6785714285714286,0.631578947368421,0.10714285714285714,2.2754491017964074,5.149700598802395,0.22872340425531915,0.4418604651162791,0.2631578947368421,0.09302325581395349,1.0778443113772456,3.592814371257485,0.1595744680851064,0.3,0.4444444444444444,0.03333333333333333,0.718562874251497,1.1976047904191616,0.05319148936170213,0.6,1,0,1.6766467065868262,5.868263473053892,0.26063829787234044,0.2857142857142857,0.9285714285714286,0,14,49,0.2857142857142857,0,0
"Juan Toscano-Anderson","GSW",13,272,0.5359658730158731,0.873015873015873,3.72,25.22608695652174,3.6363636363636362,5.818181818181818,0.5079365079365079,0.625,0.45,0.15625,0.18181818181818182,0.9090909090909091,0.07936507936507936,0.2,1,0.2,0,0.5454545454545454,0.047619047619047616,0,0,0,0.5454545454545454,1.4545454545454546,0.12698412698412698,0.375,1,0,0.9090909090909091,2.727272727272727,0.23809523809523808,0.3333333333333333,1,0.06666666666666667,5,15,0.3333333333333333,0,0
"Kevon Looney","GSW",20,262,0.4960814102564103,0.6455696202531646,6.029230769230769,27.335714285714285,4.428044280442805,6.826568265682657,0.46835443037974683,0.6486486486486487,0.5,0.10810810810810811,0.36900369003690037,2.7675276752767526,0.189873417721519,0.13333333333333333,0,0.13333333333333333,0.36900369003690037,2.3985239852398523,0.16455696202531644,0.15384615384615385,1,0,0.18450184501845018,1.1070110701107012,0.0759493670886076,0.16666666666666666,1,0,0,1.4760147601476015,0.10126582278481013,0,0,0,0,7,0,1,0
