"Name","TeamAbbreviation","GamesPlayed","Minutes","ShotQualityAvg","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes"
"Kawhi Leonard","LAC",62,2042,0.4849007661290322,0.4854838709677419,9.960225988700564,25.864225352112673,3.8643907064959695,5.8558558558558556,0.19919354838709677,0.659919028340081,0.3803680981595092,0.11740890688259109,4.220009483167378,8.58226647700332,0.29193548387096774,0.49171270718232046,0.14606741573033707,0.03038674033149171,2.7264106211474632,6.543385490753912,0.22258064516129034,0.4166666666666667,0.2956521739130435,0.007246376811594203,0.26078710289236606,0.5452821242294926,0.018548387096774192,0.4782608695652174,1,0,2.8686581318160265,7.871028923660503,0.267741935483871,0.3644578313253012,0.6198347107438017,0.0030120481927710845,121,332,0.3644578313253012,0,0
"Lou Williams","LAC",70,2010,0.4880560987903225,0.5643863179074446,9.06949924127466,25.8444776119403,2.9364161849710984,5.22543352601156,0.22736418511066397,0.5619469026548672,0.1968503937007874,0.10176991150442478,2.3583815028901736,5.710982658959537,0.24849094567404426,0.41295546558704455,0.19607843137254902,0.08502024291497975,1.7572254335260116,4.300578034682081,0.18712273641851107,0.40860215053763443,0.21052631578947367,0.021505376344086023,0.6705202312138728,1.8497109826589595,0.08048289738430583,0.3625,0.9310344827586207,0.025,2.0809248554913293,5.895953757225434,0.25653923541247486,0.35294117647058826,0.5333333333333333,0.00784313725490196,90,253,0.3557312252964427,2,0
"Montrezl Harrell","LAC",68,1844,0.5321076413959086,0.7377830750893921,3.420512820512821,37.485,10.28368794326241,15.172239108409322,0.7139451728247914,0.67779632721202,0.6305418719211823,0.09015025041736227,1.9756838905775076,5.040526849037487,0.23718712753277713,0.39195979899497485,0.5897435897435898,0.09045226130653267,0.07598784194528875,0.5319148936170213,0.025029797377830752,0.14285714285714285,0,0,0,0,0,0,0,0,0.025329280648429583,0.5065856129685917,0.023837902264600714,0.05,1,0,1,12,0.08333333333333333,8,0
"Paul George","LAC",53,1596,0.5078309688581315,0.6708860759493671,9.465315315315316,25.737176470588235,2.875112309074573,4.731955675351902,0.18181818181818182,0.6075949367088608,0.40625,0.11392405063291139,1.6471997604073076,4.103024857741839,0.15765247410817032,0.40145985401459855,0.2727272727272727,0.10948905109489052,1.6471997604073076,4.462413896376161,0.1714614499424626,0.3691275167785235,0.2,0.040268456375838924,1.287810721772986,2.4857741838873912,0.09551208285385501,0.5180722891566265,0.813953488372093,0,3.7735849056603774,10.242587601078167,0.39355581127733025,0.3684210526315789,0.5793650793650794,0.005847953216374269,126,340,0.37058823529411766,2,0
"Landry Shamet","LAC",58,1551,0.54508723150358,0.8973747016706444,6.317142857142857,25.13407643312102,1.2549739822467094,1.8977655341291706,0.14797136038186157,0.6612903225806451,0.6097560975609756,0.14516129032258066,0.24487297214569942,0.8264462809917356,0.06443914081145585,0.2962962962962963,0.75,0.1111111111111111,0.12243648607284971,0.48974594429139884,0.03818615751789976,0.25,0.5,0,1.1937557392102847,2.8160391796755433,0.21957040572792363,0.42391304347826086,1,0.010869565217391304,2.4487297214569943,6.7952249770431585,0.5298329355608592,0.36036036036036034,0.9625,0.009009009009009009,80,222,0.36036036036036034,0,0
"Ivica Zubac","LAC",77,1441,0.5534384337349397,0.763855421686747,3.213317191283293,27.9,6.9861626729665876,10.631117111036112,0.7590361445783133,0.6571428571428571,0.6956521739130435,0.06666666666666667,1.181235234559568,2.632467094161323,0.18795180722891566,0.44871794871794873,0.8,0.14102564102564102,0.4387445156935538,0.6749915626054674,0.04819277108433735,0.65,0.9230769230769231,0.05,0,0,0,0,0,0,0,0.06749915626054674,0.004819277108433735,0,0,0,0,2,0,0,0
"JaMychal Green","LAC",68,1376,0.5431979674796747,0.8943089430894309,4.010483870967741,25.255102040816325,1.609038000684697,2.909962341663814,0.23035230352303523,0.5529411764705883,0.48936170212765956,0.15294117647058825,0.47928791509756935,0.9928106812735364,0.07859078590785908,0.4827586206896552,0.7142857142857143,0.1724137931034483,0.10270455323519342,0.3423485107839781,0.02710027100271003,0.3,1,0,0.890106128038343,2.156795617939062,0.17073170731707318,0.4126984126984127,1,0.031746031746031744,2.3622047244094486,6.230742896268401,0.4932249322493225,0.3791208791208791,1,0.01098901098901099,69,182,0.3791208791208791,0,0
"Patrick Beverley","LAC",52,1362,0.5356,0.8184438040345822,5.153676470588235,25.0478672985782,1.5210470463388752,2.5822426600636716,0.21037463976945245,0.589041095890411,0.3488372093023256,0.0410958904109589,0.8489564909798373,1.9808984789529536,0.16138328530259366,0.42857142857142855,0.25,0.07142857142857142,0.035373187124159884,0.2476123098691192,0.020172910662824207,0.14285714285714285,0,0.14285714285714285,1.0258224266006368,2.476123098691192,0.2017291066282421,0.4142857142857143,1,0,1.874778917580474,4.987619384506544,0.40634005763688763,0.375886524822695,0.9245283018867925,0,53,141,0.375886524822695,0,0
"Maurice Harkless","LAC",50,1141,0.5703592165898618,0.9216589861751152,2.816666666666667,24.273972602739725,3.380634390651085,5.300500834724541,0.5852534562211982,0.6377952755905512,0.6419753086419753,0.08661417322834646,0.08347245409015025,0.4590984974958264,0.05069124423963134,0.18181818181818182,1,0,0.08347245409015025,0.25041736227045075,0.027649769585253458,0.3333333333333333,0.5,0,0.7929883138564274,1.8781302170283807,0.2073732718894009,0.4222222222222222,1,0,0.333889816360601,1.1686143572621035,0.12903225806451613,0.2857142857142857,0.875,0,8,28,0.2857142857142857,0,0
"Rodney McGruder","LAC",58,879,0.5296808743169399,0.717391304347826,5.369565217391305,24.551086956521743,1.3297872340425532,2.127659574468085,0.21739130434782608,0.625,0.64,0.125,1.2234042553191489,2.7127659574468086,0.27717391304347827,0.45098039215686275,0.8260869565217391,0.17647058823529413,0,0.05319148936170213,0.005434782608695652,0,0,0,0.6382978723404256,2.7127659574468086,0.27717391304347827,0.23529411764705882,1,0.058823529411764705,0.7446808510638298,2.1808510638297873,0.22282608695652173,0.34146341463414637,1,0,14,40,0.35,1,0
