"Name","TeamAbbreviation","GamesPlayed","Minutes","ShotQualityAvg","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes"
"Dillon Brooks","MEM",74,2150,0.5023834101382488,0.58195211786372,9.21671641791045,25.760576923076922,2.457218078104432,4.738920579201404,0.19889502762430938,0.5185185185185185,0.49107142857142855,0.10185185185185185,2.1939447125932428,5.748135146994295,0.24125230202578268,0.3816793893129771,0.58,0.04961832061068702,1.7332163229486617,4.212373848179026,0.17679558011049723,0.4114583333333333,0.5443037974683544,0.015625,0.37297060114085123,1.075032909170689,0.04511970534069982,0.3469387755102041,1,0,2.939885914874945,8.0517770952172,0.3379373848987109,0.3651226158038147,0.8731343283582089,0.0027247956403269754,134,366,0.366120218579235,1,0
"Ja Morant","MEM",68,2116,0.5231889121338913,0.6404145077720207,5.439230769230768,26.838918918918917,5.618729096989966,9.654403567447046,0.44870466321243524,0.581986143187067,0.36507936507936506,0.13394919168591224,2.7647714604236344,6.465997770345597,0.3005181347150259,0.42758620689655175,0.16129032258064516,0.1103448275862069,0.4682274247491639,1.2709030100334449,0.05906735751295337,0.3684210526315789,0.09523809523809523,0.03508771929824561,0.20066889632107024,0.4236343366778149,0.019689119170984457,0.47368421052631576,0.7777777777777778,0,1.2040133779264215,3.701226309921962,0.17202072538860103,0.3253012048192771,0.5,0.018072289156626505,54,161,0.33540372670807456,5,0
"Jonas Valanciunas","MEM",71,1879,0.5161633289124669,0.5973509933774834,4.6037878787878785,25.616842105263157,6.466279363475625,8.992169739833292,0.47152317880794703,0.7191011235955056,0.5546875,0.05898876404494382,3.586764334427886,7.0219752462743115,0.36821192052980134,0.5107913669064749,0.6549295774647887,0.05755395683453238,0.2525890376357666,0.6567314978529932,0.03443708609271523,0.38461538461538464,0.7,0.07692307692307693,0.07577671129072998,0.3788835564536499,0.019867549668874173,0.2,1,0,0.7325082091437232,2.020712301086133,0.10596026490066225,0.3625,1,0,29,79,0.3670886075949367,1,0
"Jaren Jackson Jr.","MEM",57,1622,0.5273126,0.7729083665338645,4.474805194805195,25.78369565217391,4.0933986739694435,6.168924762179302,0.28419654714475434,0.6635514018691588,0.6619718309859155,0.16355140186915887,1.7872585759584896,4.583453444796771,0.21115537848605578,0.389937106918239,0.5806451612903226,0.1320754716981132,0.11530700490054771,0.3459210147016431,0.01593625498007968,0.3333333333333333,1,0.16666666666666666,0.9512827904295186,2.392620351686365,0.1102257636122178,0.39759036144578314,0.9090909090909091,0.024096385542168676,3.228596137215336,8.215624099164025,0.3784860557768924,0.3929824561403509,0.9285714285714286,0.014035087719298246,112,284,0.39436619718309857,1,0
"Kyle Anderson","MEM",68,1357,0.5111631343283581,0.5548961424332344,7.296812749003984,24.917441860465118,2.2199098161637183,3.503295178633368,0.2997032640949555,0.6336633663366337,0.625,0.07920792079207921,1.9077349982656955,3.8848421782865072,0.3323442136498516,0.49107142857142855,0.4909090909090909,0.07142857142857142,0.5896635449184877,1.3180714533472078,0.11275964391691394,0.4473684210526316,0.4117647058823529,0,0.4856052722858134,1.6649323621227887,0.142433234421365,0.2916666666666667,1,0.020833333333333332,0.3815469996531391,1.3180714533472078,0.11275964391691394,0.2894736842105263,1,0,11,36,0.3055555555555556,2,0
"Brandon Clarke","MEM",59,1325,0.5421535714285715,0.6510204081632653,5.041330166270783,24.679710144927537,6.498068141903758,8.781173164734808,0.5102040816326531,0.74,0.7783783783783784,0.052,2.9153494906919564,5.163329820864067,0.3,0.564625850340136,0.8674698795180723,0.04081632653061224,0.31612223393045313,0.8429926238145417,0.04897959183673469,0.375,0.8888888888888888,0,0.4214963119072708,1.1239901650860555,0.0653061224489796,0.375,1,0,0.5268703898840885,1.2996136283807516,0.07551020408163266,0.40540540540540543,1,0.02702702702702703,15,37,0.40540540540540543,0,0
"Jae Crowder","MEM",45,1322,0.5578920454545455,0.8822055137844611,5.751127819548872,25.504511278195487,1.951738821859475,3.0518097941802695,0.21553884711779447,0.6395348837209303,0.5454545454545454,0.09302325581395349,0.14194464158977999,0.8161816891412349,0.05764411027568922,0.17391304347826086,1,0.2608695652173913,0.35486160397445,0.8516678495386799,0.06015037593984962,0.4166666666666667,0.7,0,0.5322924059616749,1.7743080198722498,0.12531328320802004,0.3,1,0,2.235628105039035,7.6650106458481195,0.5413533834586466,0.2916666666666667,0.7777777777777778,0,63,215,0.2930232558139535,1,0
"Tyus Jones","MEM",65,1232,0.49650712616822434,0.48951048951048953,8.729508196721312,25.443548387096776,1.9570944674444863,3.2367331576966505,0.20046620046620048,0.6046511627906976,0.4230769230769231,0.10465116279069768,2.709823108769289,6.0218291305984195,0.372960372960373,0.45,0.3611111111111111,0.075,0.9785472337222432,2.220549491908167,0.13752913752913754,0.4406779661016949,0.38461538461538464,0.06779661016949153,0.41400075272864134,0.8656379375235228,0.053613053613053616,0.4782608695652174,0.9090909090909091,0,1.3549115543846444,3.8012796386902523,0.23543123543123542,0.3564356435643564,0.6944444444444444,0,36,100,0.36,1,0
"De'Anthony Melton","MEM",61,1182,0.5241155472636816,0.654320987654321,7.518560606060606,25.864539007092198,2.921437031188314,4.895380971180418,0.30617283950617286,0.5967741935483871,0.581081081081081,0.13709677419354838,1.2633241215949467,3.276746940386893,0.20493827160493827,0.3855421686746988,0.5,0.08433734939759036,0.5921831819976313,2.250296091590999,0.14074074074074075,0.2631578947368421,0.3333333333333333,0.03508771929824561,0.47374654559810503,1.1843663639952626,0.07407407407407407,0.4,1,0,1.1448874851954205,4.382155546782472,0.2740740740740741,0.26126126126126126,0.7931034482758621,0,29,109,0.26605504587155965,2,0
"Solomon Hill","MEM",48,901,0.534157939914163,0.8068669527896996,6.689534883720929,25.25170068027211,1.0471204188481675,2.1465968586387434,0.1759656652360515,0.4878048780487805,0.6,0.07317073170731707,0.6282722513089005,1.5183246073298429,0.12446351931330472,0.41379310344827586,0.5833333333333334,0.034482758620689655,0.418848167539267,0.837696335078534,0.06866952789699571,0.5,0.75,0.0625,0.9424083769633508,2.25130890052356,0.18454935622317598,0.4186046511627907,1,0.023255813953488372,1.9895287958115184,5.445026178010472,0.44635193133047213,0.36538461538461536,0.8947368421052632,0,38,104,0.36538461538461536,0,0
