"Name","TeamAbbreviation","GamesPlayed","Minutes","ShotQualityAvg","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes"
"Giannis Antetokounmpo","MIL",67,2047,0.5492507954545455,0.7676003028009084,4.503373015873016,26.465495207667733,11.519607843137255,15.619429590017825,0.5306585919757759,0.7375178316690443,0.4796905222437137,0.06276747503566334,1.7602495543672014,4.790552584670232,0.1627554882664648,0.3674418604651163,0.20253164556962025,0.13488372093023257,0.9135472370766489,2.049910873440285,0.0696442089326268,0.44565217391304346,0.3902439024390244,0,0.11140819964349376,0.22281639928698752,0.00757002271006813,0.5,1,0,2.0276292335115866,6.751336898395722,0.22937168811506434,0.30033003300330036,0.5274725274725275,0,91,303,0.30033003300330036,0,0
"Khris Middleton","MIL",66,1978,0.48764345654345653,0.5164506480558325,11.195039999999999,25.967460317460315,2.0640074211502784,3.2467532467532467,0.13958125623130607,0.6357142857142857,0.4943820224719101,0.10714285714285714,2.504638218923933,5.333951762523191,0.22931206380857427,0.46956521739130436,0.3425925925925926,0.06956521739130435,3.1771799628942485,5.913729128014842,0.2542372881355932,0.5372549019607843,0.3357664233576642,0.01568627450980392,0.6261595547309833,1.3450834879406308,0.05782652043868395,0.46551724137931033,0.9259259259259259,0.034482758620689655,2.99165120593692,7.421150278293135,0.3190428713858425,0.403125,0.6511627906976745,0.015625,129,318,0.4056603773584906,2,0
"Brook Lopez","MIL",72,1941,0.5276269338959212,0.7412095639943741,5.697808219178082,25.863583815028903,2.876001885902876,4.266855256954267,0.2545710267229255,0.6740331491712708,0.7622950819672131,0.09392265193370165,1.768033946251768,3.983969825553984,0.23769338959212377,0.4437869822485207,0.5733333333333334,0.03550295857988166,0.14144271570014144,0.3536067892503536,0.02109704641350211,0.4,0.5,0,0.7307873644507308,2.050919377652051,0.12236286919831224,0.3563218390804598,1,0,1.8623290900518623,6.105610561056106,0.36427566807313644,0.305019305019305,0.9873417721518988,0.003861003861003861,79,259,0.305019305019305,0,0
"Eric Bledsoe","MIL",65,1749,0.5254374664879357,0.6903485254691689,6.298648648648649,25.823684210526313,4.929942916450441,7.446808510638298,0.3847184986595174,0.662020905923345,0.3684210526315789,0.0627177700348432,1.3751946030098599,3.8920601971977167,0.20107238605898123,0.35333333333333333,0.20754716981132076,0.13333333333333333,0.8562532433834976,2.1017125064867668,0.10857908847184987,0.4074074074074074,0.18181818181818182,0.012345679012345678,0.2075765438505449,0.8303061754021795,0.04289544235924933,0.25,0.875,0,1.7903476907109497,5.085625324338349,0.26273458445040215,0.3520408163265306,0.4057971014492754,0.00510204081632653,69,196,0.3520408163265306,0,0
"Wesley Matthews","MIL",71,1729,0.5456498873873873,0.8584269662921349,6.575590551181102,25.625157232704403,1.086380498145204,1.695813460519343,0.14382022471910114,0.640625,0.6097560975609756,0.15625,0.3444621091679915,1.1658717541070482,0.09887640449438202,0.29545454545454547,0.5384615384615384,0.13636363636363635,0.18547959724430313,0.5034446210916799,0.04269662921348315,0.3684210526315789,0.7142857142857143,0.05263157894736842,0.9803921568627451,2.3317435082140965,0.19775280898876405,0.42045454545454547,0.972972972972973,0,2.172760996290408,6.094329623741388,0.5168539325842697,0.3565217391304348,0.9146341463414634,0.008695652173913044,82,229,0.35807860262008734,1,0
"Donte DiVincenzo","MIL",70,1575,0.5538228733459357,0.851782363977486,4.801792114695341,26.390944881889766,3.676685147359206,5.836008170411438,0.37523452157598497,0.63,0.6031746031746031,0.095,0.3793405310767435,1.225561715786402,0.07879924953095685,0.30952380952380953,0.38461538461538464,0.11904761904761904,0.5252407353370294,1.0796615115261161,0.06941838649155722,0.4864864864864865,0.2222222222222222,0,0.3209804493726291,1.3131018383425737,0.08442776735459662,0.24444444444444444,0.9090909090909091,0.022222222222222223,2.130142982200175,6.098628538079954,0.3921200750469043,0.3492822966507177,0.8082191780821918,0.014354066985645933,73,206,0.35436893203883496,3,0
"George Hill","MIL",63,1360,0.5351133501259446,0.8090452261306532,5.580188679245283,25.532258064516128,3.215767634854772,4.702627939142462,0.3417085427135678,0.6838235294117647,0.5161290322580645,0.10294117647058823,0.48409405255878285,1.590594744121715,0.11557788944723618,0.30434782608695654,0.21428571428571427,0.13043478260869565,0.44951590594744123,1.037344398340249,0.07537688442211055,0.43333333333333335,0.3076923076923077,0.03333333333333333,0.8644536652835408,1.7289073305670817,0.12562814070351758,0.5,0.92,0,2.074688796680498,4.702627939142462,0.3417085427135678,0.4411764705882353,0.55,0,60,135,0.4444444444444444,1,0
"Pat Connaughton","MIL",71,1331,0.5536189655172413,0.9216300940438872,3.1884892086330936,26.170555555555556,2.7564549895324495,3.977669225401256,0.3573667711598746,0.6929824561403509,0.7215189873417721,0.10526315789473684,0.209351011863224,0.6280530355896721,0.05642633228840126,0.3333333333333333,0.8333333333333334,0.16666666666666666,0,0.24424284717376135,0.0219435736677116,0,0,0.2857142857142857,0.209351011863224,0.732728541521284,0.06583072100313479,0.2857142857142857,1,0,1.9539427773900908,5.547801814375436,0.49843260188087773,0.3522012578616352,0.9285714285714286,0.012578616352201259,56,159,0.3522012578616352,0,0
"Kyle Korver","MIL",62,1023,0.5245854889589905,0.8454258675078864,14.034426229508197,25.5765625,0.22114108801415303,0.5307386112339673,0.03785488958990536,0.4166666666666667,0.8,0.08333333333333333,0.17691287041132242,0.44228217602830605,0.031545741324921134,0.4,0.75,0.2,0.9287925696594427,1.7249004865103936,0.12302839116719243,0.5384615384615384,0.8095238095238095,0,1.2826183104820876,2.8748341441839895,0.20504731861198738,0.4461538461538462,0.9655172413793104,0,3.4498009730207873,8.447589562140646,0.6025236593059937,0.4083769633507853,0.9743589743589743,0.015706806282722512,78,191,0.4083769633507853,0,0
"Ersan Ilyasova","MIL",65,997,0.524304126984127,0.8012618296529969,5.08135593220339,25.617142857142856,3.0414746543778803,5.253456221198157,0.35962145110410093,0.5789473684210527,0.803030303030303,0.07017543859649122,0.967741935483871,2.165898617511521,0.14826498422712933,0.44680851063829785,0.7142857142857143,0.10638297872340426,0.4608294930875576,0.7373271889400922,0.050473186119873815,0.625,1,0,0.5069124423963134,1.705069124423963,0.1167192429022082,0.2972972972972973,1,0,1.8433179723502304,4.746543778801843,0.3249211356466877,0.3883495145631068,0.975,0,40,102,0.39215686274509803,1,0
