"Name","TeamAbbreviation","GamesPlayed","Minutes","ShotQualityAvg","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes"
"Josh Okogie","MIN",62,1547,0.5572947236180905,0.8391959798994975,3.2569672131147542,25.0012987012987,3.32634102487264,5.394066526820497,0.45226130653266333,0.6166666666666667,0.5585585585585585,0.1111111111111111,0.5094396164219359,1.7680551393467185,0.14824120603015076,0.288135593220339,0.47058823529411764,0.23728813559322035,0.029967036260113874,0.1498351813005694,0.01256281407035176,0.2,1,0,0.479472580161822,1.438417740485466,0.12060301507537688,0.3333333333333333,1,0.020833333333333332,0.7491759065028468,3.1765058435720706,0.2663316582914573,0.2358490566037736,0.88,0,25,106,0.2358490566037736,0,0
"Jarrett Culver","MIN",63,1506,0.5438763204225352,0.8347978910369068,3.6278735632183907,25.436651583710407,4.277743335399876,7.873527588344699,0.44639718804920914,0.5433070866141733,0.41304347826086957,0.14566929133858267,0.712957222566646,2.448853068815871,0.13884007029876977,0.2911392405063291,0.2608695652173913,0.13924050632911392,0.0929944203347799,0.4649721016738996,0.026362038664323375,0.2,0.6666666666666666,0.2,0.30998140111593303,1.332920024798512,0.07557117750439367,0.23255813953488372,0.9,0.023255813953488372,1.735895846249225,5.517668939863608,0.31282952548330406,0.3146067415730337,0.7321428571428571,0.0056179775280898875,56,177,0.3163841807909605,1,0
"Andrew Wiggins","MIN",42,1455,0.5075217363751584,0.6531645569620254,6.994951456310679,25.748,5.285343709468223,7.814526588845655,0.3050632911392405,0.6763485477178424,0.4294478527607362,0.1037344398340249,2.204928664072633,5.998702983138781,0.23417721518987342,0.3675675675675676,0.3088235294117647,0.10810810810810811,0.940337224383917,2.8858625162127107,0.11265822784810127,0.3258426966292135,0.13793103448275862,0,0.324254215304799,1.1997405966277561,0.04683544303797468,0.2702702702702703,0.8,0,2.6264591439688716,7.717250324254215,0.3012658227848101,0.3403361344537815,0.7283950617283951,0,81,238,0.3403361344537815,0,0
"Robert Covington","MIN",48,1411,0.5443968559837729,0.8830645161290323,4.39891304347826,26.29839743589744,2.6746907388833168,4.212637913741224,0.2540322580645161,0.6349206349206349,0.7375,0.07142857142857142,0.7355399531929121,1.4042126379137412,0.0846774193548387,0.5238095238095238,0.8636363636363636,0.023809523809523808,0.20060180541624875,0.5349381477766634,0.03225806451612903,0.375,0.8333333333333334,0,0.36776997659645605,1.0698762955533268,0.06451612903225806,0.34375,0.9090909090909091,0.03125,3.2430625208960215,9.361417586091608,0.5645161290322581,0.3464285714285714,0.8865979381443299,0.010714285714285714,97,277,0.35018050541516244,3,0
"Karl-Anthony Towns","MIN",35,1187,0.5386824758842443,0.8038585209003215,4.75159420289855,25.597472924187727,6.196078431372549,8.745098039215685,0.35852090032154343,0.7085201793721974,0.5126582278481012,0.09865470852017937,1.3333333333333333,3.411764705882353,0.13987138263665594,0.39080459770114945,0.47058823529411764,0.10344827586206896,0.39215686274509803,1.3725490196078431,0.05627009646302251,0.2857142857142857,0.5,0.08571428571428572,0.5098039215686274,1.1372549019607843,0.04662379421221865,0.4482758620689655,0.9230769230769231,0,3.9607843137254903,9.72549019607843,0.3987138263665595,0.40725806451612906,0.801980198019802,0.008064516129032258,101,248,0.40725806451612906,0,0
"Jeff Teague","MIN",34,945,0.505227950310559,0.6080246913580247,5.617299578059072,26.079310344827586,2.9193468579910937,5.442850074220683,0.3395061728395062,0.5363636363636364,0.13559322033898305,0.1,2.3255813953488373,5.640771895101435,0.35185185185185186,0.41228070175438597,0.1276595744680851,0.11403508771929824,0.29688273132112813,0.6432459178624443,0.040123456790123455,0.46153846153846156,0.16666666666666666,0.07692307692307693,0.09896091044037605,0.3958436417615042,0.024691358024691357,0.25,1,0,1.5338941118258287,3.908955962394854,0.24382716049382716,0.3924050632911392,0.3870967741935484,0.012658227848101266,31,78,0.3974358974358974,1,0
"Shabazz Napier","MIN",36,856,0.5321162544169611,0.8127208480565371,6.435483870967742,25.589308176100626,2.5824175824175826,3.901098901098901,0.2508833922261484,0.6619718309859155,0.23404255319148937,0.056338028169014086,0.43956043956043955,1.5934065934065933,0.10247349823321555,0.27586206896551724,0.125,0.20689655172413793,0.6593406593406593,1.3186813186813187,0.08480565371024736,0.5,0.08333333333333333,0.041666666666666664,0.21978021978021978,1.043956043956044,0.06713780918727916,0.21052631578947367,0.75,0,2.3626373626373627,7.6923076923076925,0.49469964664310956,0.30714285714285716,0.4883720930232558,0,43,140,0.30714285714285716,0,0
"Gorgui Dieng","MIN",46,778,0.5331065217391305,0.7364620938628159,7.199363057324841,25.08833333333333,3.1113876789047916,5.22713130056005,0.30324909747292417,0.5952380952380952,0.64,0.14285714285714285,0.9334163036714375,2.4268823895457374,0.1407942238267148,0.38461538461538464,0.8,0.10256410256410256,0.8089607965152458,2.115743621655258,0.12274368231046931,0.38235294117647056,0.7692307692307693,0,0.8089607965152458,1.8046048537647792,0.10469314079422383,0.4482758620689655,1,0,2.0535158680771626,5.6627255756067205,0.3285198555956679,0.3626373626373626,0.9696969696969697,0.01098901098901099,33,91,0.3626373626373626,0,0
"Treveon Graham","MIN",33,663,0.5407965714285714,0.8285714285714286,3.7032608695652174,25.150602409638555,2.01294033069734,4.457225017972681,0.35428571428571426,0.45161290322580644,0.6071428571428571,0.22580645161290322,1.00647016534867,2.156721782890007,0.17142857142857143,0.4666666666666667,0.6428571428571429,0.13333333333333333,0,0,0,0,0,0,0.35945363048166784,1.5815959741193386,0.12571428571428572,0.22727272727272727,1,0,1.0783608914450036,4.385334291876348,0.3485714285714286,0.2459016393442623,0.9333333333333333,0.01639344262295082,15,61,0.2459016393442623,0,0
"Keita Bates-Diop","MIN",37,646,0.5478679611650485,0.8300970873786407,3.845535714285714,24.8031914893617,3.652300949598247,5.6245434623813,0.3737864077669903,0.6493506493506493,0.66,0.1038961038961039,0.36523009495982467,2.191380569758948,0.14563106796116504,0.16666666666666666,0.6,0.16666666666666666,0.07304601899196493,0.36523009495982467,0.024271844660194174,0.2,1,0.2,1.168736303871439,2.7757487216946677,0.18446601941747573,0.42105263157894735,0.9375,0.02631578947368421,1.095690284879474,4.090577063550037,0.27184466019417475,0.26785714285714285,1,0,15,56,0.26785714285714285,0,0
"Jordan McLaughlin","MIN",30,590,0.5404653179190751,0.8764044943820225,2.9843137254901957,27.263157894736842,3.8341158059467917,6.259780907668231,0.449438202247191,0.6125,0.3469387755102041,0.175,0.704225352112676,1.6431924882629108,0.11797752808988764,0.42857142857142855,0.2222222222222222,0.09523809523809523,0,0.0782472613458529,0.0056179775280898875,0,0,0,0.3129890453834116,0.7824726134585289,0.056179775280898875,0.4,1,0,1.9561815336463224,5.164319248826291,0.3707865168539326,0.3787878787878788,0.72,0,25,62,0.4032258064516129,4,0
"Jake Layman","MIN",23,505,0.5422597765363129,0.7821229050279329,5.223364485981308,25.333333333333332,3.641207815275311,6.039076376554174,0.37988826815642457,0.6029411764705882,0.7804878048780488,0.04411764705882353,0.8880994671403197,2.3978685612788633,0.15083798882681565,0.37037037037037035,0.7,0.037037037037037035,0.5328596802841918,1.0657193605683837,0.0670391061452514,0.5,1,0,0.44404973357015987,1.3321492007104796,0.08379888268156424,0.3333333333333333,0.8,0,1.6873889875666075,5.0621669626998225,0.31843575418994413,0.3333333333333333,0.9473684210526315,0,19,57,0.3333333333333333,0,0
"Naz Reid","MIN",30,495,0.5314753086419753,0.8024691358024691,3.415753424657534,25.427835051546392,5.440900562851782,9.193245778611633,0.40329218106995884,0.5918367346938775,0.6206896551724138,0.09183673469387756,0.9380863039399625,4.50281425891182,0.19753086419753085,0.20833333333333334,0.5,0.14583333333333334,0,0,0,0,0,0,0.6566604127579737,1.4071294559099436,0.06172839506172839,0.4666666666666667,1,0,2.345215759849906,7.6923076923076925,0.3374485596707819,0.3048780487804878,0.92,0,25,82,0.3048780487804878,0,0
"Kelan Martin","MIN",31,495,0.5196775,0.7292817679558011,6.724705882352941,25.213541666666668,2.323420074349442,3.345724907063197,0.19889502762430938,0.6944444444444444,0.72,0.027777777777777776,1.858736059479554,3.62453531598513,0.2154696132596685,0.5128205128205128,0.65,0.05128205128205128,0.09293680297397769,0.929368029739777,0.055248618784530384,0.1,1,0,1.1152416356877324,3.5315985130111525,0.20994475138121546,0.3157894736842105,1,0,1.20817843866171,5.390334572490707,0.32044198895027626,0.22413793103448276,0.6923076923076923,0,12,56,0.21428571428571427,1,1
"Malik Beasley","MIN",14,463,0.5403349785407725,0.7725321888412017,5.863559322033898,25.30608695652174,4.158415841584159,6.435643564356436,0.27896995708154504,0.6461538461538462,0.7619047619047619,0.1076923076923077,1.2871287128712872,3.6633663366336635,0.15879828326180256,0.35135135135135137,0.46153846153846156,0.10810810810810811,0.594059405940594,1.5841584158415842,0.06866952789699571,0.375,0.6666666666666666,0,1.0891089108910892,2.1782178217821784,0.0944206008583691,0.5,1,0,3.762376237623762,9.207920792079207,0.39914163090128757,0.40860215053763443,0.7368421052631579,0,38,93,0.40860215053763443,0,0
"Juancho Hernangomez","MIN",14,411,0.566765693430657,0.927007299270073,2.4544117647058825,25.491304347826087,3.6383682469680263,6.39470782800441,0.4233576642335766,0.5689655172413793,0.7272727272727273,0.08620689655172414,0,0.8820286659316428,0.058394160583941604,0,0,0.5,0,0.2205071664829107,0.014598540145985401,0,0,0,0.5512679162072768,1.4332965821389194,0.0948905109489051,0.38461538461538464,0.8,0,2.6460859977949283,6.1742006615215,0.40875912408759124,0.42857142857142855,1,0,24,56,0.42857142857142855,0,0
"D'Angelo Russell","MIN",12,392,0.5087514285714286,0.6540284360189573,10.600990099009902,26.355454545454545,2.0665901262916186,3.214695752009185,0.13270142180094788,0.6428571428571429,0.3888888888888889,0.03571428571428571,1.3777267508610793,3.6739380022962114,0.15165876777251186,0.375,0,0.03125,2.1814006888633752,4.70723306544202,0.1943127962085308,0.4634146341463415,0,0.024390243902439025,0.1148105625717566,0.6888633754305397,0.02843601895734597,0.16666666666666666,0,0.16666666666666666,4.247990815154994,11.940298507462687,0.4928909952606635,0.3557692307692308,0.32432432432432434,0,37,103,0.3592233009708738,1,0
"Noah Vonleh","MIN",29,347,0.5361122093023255,0.7558139534883721,3.2,25.035714285714285,4.672897196261682,6.809078771695594,0.5930232558139535,0.6862745098039216,0.6285714285714286,0.1568627450980392,1.335113484646195,2.67022696929239,0.23255813953488372,0.5,0.3,0.1,0,0.13351134846461948,0.011627906976744186,0,0,0,0,0.26702269692923897,0.023255813953488372,0,0,0,0.26702269692923897,1.6021361815754338,0.13953488372093023,0.16666666666666666,1,0,2,12,0.16666666666666666,0,0
"James Johnson","MIN",14,338,0.5324311023622048,0.8125,3.7841463414634147,26.330434782608698,5.459387483355526,7.723035952063915,0.453125,0.7068965517241379,0.4146341463414634,0.034482758620689655,0.5326231691078562,2.5299600532623168,0.1484375,0.21052631578947367,0.25,0.10526315789473684,0.2663115845539281,0.6657789613848203,0.0390625,0.4,0,0,0.13315579227696406,0.6657789613848203,0.0390625,0.2,1,0,2.130492676431425,5.459387483355526,0.3203125,0.3902439024390244,0.8125,0.04878048780487805,16,40,0.4,1,0
"Jordan Bell","MIN",27,235,0.5686025,0.85,2.9313725490196076,24.044444444444444,5.378486055776892,8.366533864541832,0.7,0.6428571428571429,0.7037037037037037,0.07142857142857142,0.5976095617529881,1.593625498007968,0.13333333333333333,0.375,1,0,0,0.199203187250996,0.016666666666666666,0,0,1,0.398406374501992,0.9960159362549801,0.08333333333333333,0.4,0.5,0,0,0.796812749003984,0.06666666666666667,0,0,0,0,4,0,0,0
"Jaylen Nowell","MIN",15,151,0.5548301886792453,0.8113207547169812,4.407407407407407,24.773076923076925,2.7027027027027026,5.105105105105105,0.32075471698113206,0.5294117647058824,1,0,1.8018018018018018,2.7027027027027026,0.16981132075471697,0.6666666666666666,0,0.1111111111111111,0.3003003003003003,0.3003003003003003,0.018867924528301886,1,0,0,0.3003003003003003,2.4024024024024024,0.1509433962264151,0.125,1,0,0.6006006006006006,5.405405405405405,0.33962264150943394,0.1111111111111111,0.5,0,2,18,0.1111111111111111,0,0
"Allen Crabbe","MIN",9,131,0.5346088235294117,0.8529411764705882,10.1875,24.596153846153847,1.023890784982935,1.023890784982935,0.08823529411764706,1,1,0,0.3412969283276451,0.6825938566552902,0.058823529411764705,0.5,1,0,0.3412969283276451,1.023890784982935,0.08823529411764706,0.3333333333333333,1,0,1.3651877133105803,4.436860068259386,0.38235294117647056,0.3076923076923077,1,0,0.6825938566552902,4.436860068259386,0.38235294117647056,0.15384615384615385,1,0,2,13,0.15384615384615385,0,0
"Jarred Vanderbilt","MIN",2,5,0.58155,1,0,23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.090909090909092,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jacob Evans","MIN",2,4,0.52455,1,0,26.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.090909090909092,1,0,0,0,0,1,0,0,0
