"Name","TeamAbbreviation","GamesPlayed","Minutes","ShotQualityAvg","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes"
"Jrue Holiday","NOP",61,2117,0.5206784147557328,0.7345924453280318,5.033939393939394,25.44479768786127,5.137816979051819,8.665931642778391,0.39065606361829025,0.5928753180661578,0.3605150214592275,0.09669211195928754,1.9625137816979052,4.829106945975744,0.21769383697813122,0.4063926940639269,0.19101123595505617,0.091324200913242,0.308710033076075,1.0584343991179714,0.04771371769383698,0.2916666666666667,0.21428571428571427,0,0.5292171995589857,1.256890848952591,0.05666003976143141,0.42105263157894735,0.8333333333333334,0,2.160970231532525,6.372657111356119,0.28727634194831014,0.3391003460207612,0.5102040816326531,0.0034602076124567475,98,287,0.34146341463414637,2,0
"Brandon Ingram","NOP",62,2104,0.5126507769652652,0.6295620437956204,8.231882022471911,25.1640625,4.218852999340804,6.723796967699407,0.2791970802919708,0.6274509803921569,0.421875,0.09477124183006536,1.8018018018018018,4.746209624258404,0.19708029197080293,0.37962962962962965,0.14634146341463414,0.08796296296296297,1.8237749945067019,4.174906613931004,0.17335766423357665,0.4368421052631579,0.24096385542168675,0.015789473684210527,1.032740057130301,2.373104812129202,0.09854014598540146,0.4351851851851852,0.9787234042553191,0,2.2632388486047024,6.064601186552406,0.2518248175182482,0.37318840579710144,0.8446601941747572,0.0036231884057971015,103,274,0.3759124087591241,2,0
"Lonzo Ball","NOP",63,2025,0.5373202781844802,0.8165938864628821,7.053424657534246,25.585822784810127,2.22528102775866,3.808212892865336,0.24163027656477437,0.5843373493975904,0.4329896907216495,0.15060240963855423,0.3211745813259922,1.307639366827254,0.08296943231441048,0.24561403508771928,0.14285714285714285,0.15789473684210525,0.41293874741913283,1.582931865106676,0.10043668122270742,0.2608695652173913,0.4444444444444444,0,0.7570543702684102,2.1105758201422344,0.1339155749636099,0.358695652173913,0.9696969696969697,0,2.638219775177793,6.951135581555403,0.4410480349344978,0.3795379537953795,0.782608695652174,0,115,301,0.38205980066445183,2,0
"Josh Hart","NOP",65,1755,0.5529631578947368,0.9135338345864662,4.351123595505618,25.11412429378531,2.345415778251599,3.518123667377399,0.24812030075187969,0.6666666666666666,0.4431818181818182,0.1590909090909091,0.373134328358209,0.8528784648187633,0.06015037593984962,0.4375,0.5714285714285714,0.0625,0.053304904051172705,0.373134328358209,0.02631578947368421,0.14285714285714285,0.5,0,1.1460554371002132,2.691897654584222,0.18984962406015038,0.42574257425742573,0.9767441860465116,0.019801980198019802,2.0788912579957355,6.743070362473348,0.4755639097744361,0.308300395256917,0.9615384615384616,0,78,253,0.308300395256917,0,0
"JJ Redick","NOP",60,1581,0.5101223370429252,0.7099841521394612,13.459401709401709,25.618136020151134,0.8708272859216255,1.4804063860667633,0.08082408874801902,0.5882352941176471,0.8,0.09803921568627451,0.37735849056603776,1.2191582002902757,0.06656101426307448,0.30952380952380953,0.6153846153846154,0.11904761904761904,1.8287373004354137,4.09288824383164,0.22345483359746435,0.44680851063829785,0.8571428571428571,0.0070921985815602835,0.9579100145137881,1.7997097242380262,0.098256735340729,0.532258064516129,0.9696969696969697,0,4.267053701015965,9.72423802612482,0.5309033280507132,0.4388059701492537,0.9251700680272109,0.011940298507462687,147,334,0.44011976047904194,1,0
"Derrick Favors","NOP",51,1243,0.5551902654867257,0.7640117994100295,3.537349397590362,24,6.704331450094162,9.491525423728813,0.7433628318584071,0.7063492063492064,0.6853932584269663,0.07936507936507936,0.903954802259887,2.2598870056497176,0.17699115044247787,0.4,1,0.08333333333333333,0.22598870056497175,0.7532956685499058,0.058997050147492625,0.3,0.6666666666666666,0,0.03766478342749529,0.18832391713747645,0.014749262536873156,0.2,1,0,0,0.07532956685499058,0.0058997050147492625,0,0,0,0,2,0,0,0
"Jaxson Hayes","NOP",64,1080,0.60289296875,0.9073359073359073,1.956078431372549,57.3,7.139821504462389,9.817254568635784,0.8918918918918919,0.7272727272727273,0.8035714285714286,0.047619047619047616,0.21249468763280918,1.019974500637484,0.09266409266409266,0.20833333333333334,1,0.125,0,0,0,0,0,0,0.042498937526561836,0.042498937526561836,0.003861003861003861,1,1,0,0,0.1274968125796855,0.011583011583011582,0,0,0,0,0,0,3,0
"Nicolo Melli","NOP",60,1042,0.52736171875,0.804953560371517,7.123076923076923,25.999029126213593,1.7171260732037958,2.4401265250790782,0.16718266253869968,0.7037037037037037,0.6578947368421053,0.07407407407407407,0.8133755083596927,1.8526886579304112,0.12693498452012383,0.43902439024390244,0.5555555555555556,0.07317073170731707,0.49706281066425667,0.9941256213285133,0.06811145510835913,0.5,0.5454545454545454,0,0.6778129236330773,2.304563940352463,0.15789473684210525,0.29411764705882354,1,0,2.4401265250790782,7.004066877541798,0.47987616099071206,0.34838709677419355,1,0,54,153,0.35294117647058826,2,0
"E'Twaun Moore","NOP",56,1020,0.5032780320366133,0.5675057208237986,8.05962962962963,24.74910179640719,2.3632993512511584,3.753475440222428,0.1853546910755149,0.6296296296296297,0.5294117647058824,0.09876543209876543,2.6413345690454126,6.672845227062094,0.3295194508009153,0.3958333333333333,0.42105263157894735,0.06944444444444445,0.6950880444856349,2.0852641334569046,0.10297482837528604,0.3333333333333333,0.3333333333333333,0,1.0658016682113067,2.6876737720111215,0.13272311212814644,0.39655172413793105,1,0,1.8535681186283597,5.05097312326228,0.2494279176201373,0.3669724770642202,0.925,0.009174311926605505,40,109,0.3669724770642202,0,0
"Kenrich Williams","NOP",39,832,0.5662775862068965,0.9251700680272109,3.7560000000000002,25.051546391752577,1.2557077625570776,2.2260273972602738,0.2653061224489796,0.5641025641025641,0.5909090909090909,0.10256410256410256,0.17123287671232876,0.45662100456621,0.05442176870748299,0.375,1,0,0.05707762557077625,0.17123287671232876,0.02040816326530612,0.3333333333333333,1,0,0.91324200913242,2.5114155251141552,0.29931972789115646,0.36363636363636365,1,0,0.5136986301369864,3.0251141552511416,0.36054421768707484,0.16981132075471697,0.8888888888888888,0.018867924528301886,9,51,0.17647058823529413,2,0
"Frank Jackson","NOP",59,797,0.5218317629179331,0.7039274924471299,7.025133689839572,25.254166666666666,2.763385146804836,5.1237766263673,0.2688821752265861,0.5393258426966292,0.5625,0.10112359550561797,1.4392630972941853,3.5693724812895797,0.18731117824773413,0.4032258064516129,0.48,0.0967741935483871,0.8059873344847438,2.0725388601036268,0.10876132930513595,0.3888888888888889,0.2857142857142857,0.027777777777777776,1.1514104778353482,3.1088082901554404,0.16314199395770393,0.37037037037037035,0.95,0.018518518518518517,1.5544041450777202,5.181347150259067,0.2719033232628399,0.3,0.8518518518518519,0.011111111111111112,27,88,0.3068181818181818,2,0
"Zion Williamson","NOP",24,668,0.5626904166666666,0.8861111111111111,2.6141618497109826,25.642857142857142,13.112491373360939,21.048999309868876,0.8472222222222222,0.6229508196721312,0.7684210526315789,0.11147540983606558,0.966183574879227,2.4154589371980677,0.09722222222222222,0.4,0.5714285714285714,0.14285714285714285,0,0.4140786749482402,0.016666666666666666,0,0,0,0,0.06901311249137336,0.002777777777777778,0,0,0,0.4140786749482402,0.8971704623878537,0.03611111111111111,0.46153846153846156,1,0,6,13,0.46153846153846156,0,0
