"Name","TeamAbbreviation","GamesPlayed","Minutes","ShotQualityAvg","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes"
"Julius Randle","NYK",64,2080,0.5126169980119284,0.6411530815109344,6.086580645161291,25.22251082251082,5.853198017465187,9.771064432381403,0.4115308151093439,0.5990338164251208,0.46774193548387094,0.11352657004830918,2.5961765400047203,5.947604437101723,0.2504970178926441,0.4365079365079365,0.24545454545454545,0.06349206349206349,0.9676658012744866,2.5725749350955867,0.10834990059642147,0.3761467889908257,0.43902439024390244,0.01834862385321101,0.35402407363700733,0.9676658012744866,0.040755467196819085,0.36585365853658536,1,0,1.1564786405475573,4.484304932735426,0.18886679920477137,0.2578947368421053,0.9183673469387755,0,49,190,0.2578947368421053,0,0
"RJ Barrett","NYK",56,1704,0.5336325068870523,0.7125171939477304,5.37811320754717,25.156345177664974,4.908675799086758,9.16095890410959,0.44154057771664373,0.5358255451713395,0.37209302325581395,0.12149532710280374,0.9988584474885844,3.9098173515981736,0.18844566712517194,0.25547445255474455,0.22857142857142856,0.1386861313868613,0.6278538812785388,2.0547945205479454,0.09903713892709766,0.3055555555555556,0.4090909090909091,0.013888888888888888,0.684931506849315,1.8835616438356164,0.0907840440165062,0.36363636363636365,1,0.015151515151515152,1.1130136986301369,3.7385844748858448,0.18019257221458046,0.29770992366412213,0.8974358974358975,0,39,130,0.3,1,0
"Mitchell Robinson","NYK",61,1412,0.6273228739002933,0.9618768328445748,1.3580645161290323,0,8.6230876216968,11.404728789986091,0.9618768328445748,0.7560975609756098,0.6612903225806451,0.051829268292682924,0.17385257301808066,0.4520166898470097,0.03812316715542522,0.38461538461538464,1,0.23076923076923078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bobby Portis","NYK",66,1393,0.494449149659864,0.568760611205433,8.635323383084577,25.252406417112297,3.142458100558659,5.167597765363128,0.25127334465195245,0.6081081081081081,0.5333333333333333,0.14189189189189189,2.304469273743017,5.272346368715084,0.2563667232597623,0.4370860927152318,0.4696969696969697,0.033112582781456956,1.4664804469273742,3.596368715083799,0.17487266553480477,0.4077669902912621,0.7857142857142857,0,0.5935754189944135,1.3966480446927374,0.06791171477079797,0.425,1,0,1.7458100558659218,5.13268156424581,0.2495755517826825,0.3401360544217687,0.98,0.013605442176870748,50,147,0.3401360544217687,0,0
"Marcus Morris Sr.","NYK",43,1387,0.4784552380952381,0.5220125786163522,11.878763440860213,25.79280303030303,1.251788268955651,2.432045779685265,0.1069182389937107,0.5147058823529411,0.37142857142857144,0.1323529411764706,2.0028612303290414,4.8998569384835475,0.21540880503144655,0.40875912408759124,0.19642857142857142,0.072992700729927,2.6466380543633763,5.972818311874106,0.26257861635220126,0.4431137724550898,0.32432432432432434,0.005988023952095809,0.9298998569384835,1.9670958512160228,0.08647798742138364,0.4727272727272727,0.8076923076923077,0,3.218884120171674,7.474964234620887,0.32861635220125784,0.430622009569378,0.7555555555555555,0,90,205,0.43902439024390244,4,0
"Elfrid Payton","NYK",45,1246,0.5149497727272727,0.6181818181818182,5.549595687331537,25.508695652173913,4.408895825204838,7.920405774483028,0.46136363636363636,0.5566502463054187,0.22123893805309736,0.15763546798029557,1.9898556379243075,5.111197815060476,0.29772727272727273,0.3893129770992366,0.19607843137254902,0.0916030534351145,0.5852516582130316,1.443620756925478,0.08409090909090909,0.40540540540540543,0.2,0.02702702702702703,0.11705033164260632,0.4291845493562232,0.025,0.2727272727272727,1,0,0.4291845493562232,2.2629730784237223,0.1318181818181818,0.1896551724137931,0.8181818181818182,0,11,58,0.1896551724137931,0,0
"Frank Ntilikina","NYK",57,1187,0.5121433734939759,0.6186186186186187,10.446938775510203,25.455474452554746,1.5932914046121593,2.893081761006289,0.2072072072072072,0.5507246376811594,0.3157894736842105,0.15942028985507245,0.6708595387840671,2.0545073375262053,0.14714714714714713,0.32653061224489793,0.1875,0.04081632653061224,1.3836477987421383,3.270440251572327,0.23423423423423423,0.4230769230769231,0.24242424242424243,0,0.5870020964360587,1.2159329140461217,0.08708708708708708,0.4827586206896552,1,0,1.2578616352201257,4.528301886792453,0.32432432432432434,0.2777777777777778,0.7,0.009259259259259259,30,107,0.2803738317757009,1,0
"Kevin Knox II","NYK",65,1166,0.523102375,0.7206982543640897,8.043069306930693,25.371356783919595,1.9397441188609161,3.714403631861329,0.22443890274314215,0.5222222222222223,0.44680851063829785,0.14444444444444443,0.7016095749071399,2.393726784977301,0.14463840399002495,0.29310344827586204,0.5882352941176471,0.1206896551724138,0.6190672719768882,2.228642179116797,0.13466334164588528,0.2777777777777778,0.6,0.018518518518518517,0.5365249690466364,2.1048287247214197,0.12718204488778054,0.2549019607843137,1,0,2.1460998761865455,6.1081304168386295,0.3690773067331671,0.35135135135135137,0.9038461538461539,0,52,147,0.35374149659863946,1,0
"Taj Gibson","NYK",62,1025,0.537822027972028,0.6538461538461539,5.829411764705882,24.114285714285717,5.825242718446602,8.398058252427184,0.6048951048951049,0.6936416184971098,0.6833333333333333,0.08092485549132948,0.9223300970873787,2.1359223300970873,0.15384615384615385,0.4318181818181818,0.7368421052631579,0.06818181818181818,1.1650485436893203,2.6699029126213594,0.19230769230769232,0.43636363636363634,0.9166666666666666,0,0.0970873786407767,0.3883495145631068,0.027972027972027972,0.25,1,0,0.0970873786407767,0.2912621359223301,0.02097902097902098,0.3333333333333333,1,0,2,6,0.3333333333333333,0,0
"Damyean Dotson","NYK",48,836,0.5049794827586207,0.7,11.694488188976377,25.709815950920245,1.4534883720930232,2.3255813953488373,0.13793103448275862,0.625,0.56,0.15,0.46511627906976744,1.2790697674418605,0.07586206896551724,0.36363636363636365,0.375,0.045454545454545456,1.627906976744186,3.7790697674418605,0.22413793103448276,0.4307692307692308,0.5714285714285714,0,0.5232558139534884,1.569767441860465,0.09310344827586207,0.3333333333333333,1,0,2.9069767441860463,7.906976744186046,0.4689655172413793,0.36764705882352944,0.78,0,50,136,0.36764705882352944,0,0
