"Name","TeamAbbreviation","GamesPlayed","Minutes","ShotQualityAvg","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes"
"Devin Booker","PHX",70,2512,0.5028820562939796,0.5681995323460639,8.690960451977402,26.06256281407035,4.328922495274102,6.257088846880907,0.2579890880748246,0.6918429003021148,0.4978165938864629,0.09667673716012085,3.0434782608695654,6.2759924385633274,0.2587685113016368,0.48493975903614456,0.33540372670807456,0.06927710843373494,1.8147448015122873,4.196597353497165,0.1730319563522993,0.43243243243243246,0.3541666666666667,0.02702702702702703,0.2835538752362949,0.7561436672967864,0.03117692907248636,0.375,0.8,0.05,2.381852551984877,6.767485822306238,0.2790335151987529,0.35195530726256985,0.5873015873015873,0.013966480446927373,126,356,0.3539325842696629,2,0
"Mikal Bridges","PHX",73,2042,0.5692610187110188,0.8119834710743802,4.441379310344828,24.83814432989691,3.4024702866464693,4.6376136098811465,0.41115702479338845,0.7336683417085427,0.7671232876712328,0.11055276381909548,0.4893964110929853,1.5847121883010953,0.14049586776859505,0.3088235294117647,0.7142857142857143,0.10294117647058823,0.23304591004427871,0.536005593101841,0.047520661157024795,0.43478260869565216,0.8,0.043478260869565216,0.9321836401771149,2.2605453274295035,0.20041322314049587,0.41237113402061853,1,0.010309278350515464,0.6991377301328362,2.2605453274295035,0.20041322314049587,0.30927835051546393,0.9666666666666667,0.020618556701030927,30,94,0.3191489361702128,3,0
"Ricky Rubio","PHX",65,2016,0.5086260492040521,0.5794797687861272,8.845168067226892,24.9787037037037,2.279135338345865,4.3468045112781954,0.26734104046242774,0.5243243243243243,0.35051546391752575,0.12432432432432433,1.3157894736842106,3.4539473684210527,0.21242774566473988,0.38095238095238093,0.23214285714285715,0.1292517006802721,1.3157894736842106,3.3834586466165413,0.20809248554913296,0.3888888888888889,0.19642857142857142,0.006944444444444444,0.5639097744360902,1.4097744360902256,0.08670520231213873,0.4,0.9583333333333334,0,1.268796992481203,3.6654135338345863,0.2254335260115607,0.34615384615384615,0.8333333333333334,0,54,156,0.34615384615384615,0,0
"Kelly Oubre Jr.","PHX",56,1933,0.5455794902912622,0.7372881355932204,5.419653179190751,25.079804560260587,4.269496544916091,7.453109575518263,0.36561743341404357,0.5728476821192053,0.6647398843930635,0.152317880794702,1.6535044422507403,3.9733464955577493,0.19491525423728814,0.4161490683229814,0.3582089552238806,0.16149068322981366,0.6169792694965449,1.3820335636722607,0.06779661016949153,0.44642857142857145,0.52,0.017857142857142856,0.7403751233958539,2.2458045409674234,0.11016949152542373,0.32967032967032966,0.9666666666666667,0.02197802197802198,1.9249753208292202,5.330700888450148,0.26150121065375304,0.3611111111111111,0.9487179487179487,0,78,215,0.3627906976744186,1,0
"Dario Saric","PHX",66,1632,0.5486620817843867,0.7936802973977695,5.21056105610561,25.258297872340425,3.6352975666959835,5.628847845206685,0.35687732342007433,0.6458333333333334,0.6612903225806451,0.15625,0.7915567282321899,2.081501026092055,0.13197026022304834,0.38028169014084506,0.6666666666666666,0.11267605633802817,0.6156552330694811,1.1726766344180592,0.07434944237918216,0.525,0.7142857142857143,0,0.2638522427440633,1.2019935502785106,0.0762081784386617,0.21951219512195122,1,0.024390243902439025,2.198768689533861,5.687481676927587,0.36059479553903345,0.3865979381443299,0.9733333333333334,0.015463917525773196,75,194,0.3865979381443299,0,0
"Cameron Johnson","PHX",57,1255,0.5525986386138614,0.8691358024691358,6.254887218045113,24.804779411764706,2.047005307050796,3.0326004548900682,0.19753086419753085,0.675,0.6851851851851852,0.1125,0.265352539802881,1.061410159211524,0.0691358024691358,0.25,0.8571428571428571,0.10714285714285714,0.3411675511751327,0.9476876421531463,0.06172839506172839,0.36,1,0,1.7437452615617892,4.321455648218347,0.2814814814814815,0.40350877192982454,1,0.017543859649122806,2.274450341167551,5.9893858984078845,0.39012345679012345,0.379746835443038,0.9833333333333333,0.006329113924050633,60,157,0.3821656050955414,1,0
"Deandre Ayton","PHX",38,1236,0.5209798415492958,0.528169014084507,6.227927927927928,25.23076923076923,7.719162141194724,11.13266097750194,0.5052816901408451,0.6933797909407665,0.7286432160804021,0.0627177700348432,2.986811481768813,7.0597362296353765,0.3204225352112676,0.4230769230769231,0.7272727272727273,0.09340659340659341,1.2024825446082235,3.335919317300233,0.15140845070422534,0.36046511627906974,0.9032258064516129,0.011627906976744186,0.038789759503491075,0.07757951900698215,0.0035211267605633804,0.5,1,0,0.07757951900698215,0.42668735453840184,0.01936619718309859,0.18181818181818182,1,0.09090909090909091,2,11,0.18181818181818182,0,0
"Jevon Carter","PHX",58,945,0.5273956431535269,0.7736625514403292,8.478350515463918,25.302054794520547,1.0204081632653061,2.142857142857143,0.1728395061728395,0.47619047619047616,0.5,0.14285714285714285,0.30612244897959184,1.2244897959183674,0.09876543209876543,0.25,0,0.08333333333333333,0.6632653061224489,1.5816326530612246,0.12757201646090535,0.41935483870967744,0.5384615384615384,0.03225806451612903,1.2244897959183674,2.6530612244897958,0.2139917695473251,0.46153846153846156,0.9583333333333334,0.019230769230769232,1.9387755102040816,4.795918367346939,0.3868312757201646,0.40425531914893614,0.868421052631579,0.010638297872340425,38,92,0.41304347826086957,2,0
"Aron Baynes","PHX",42,934,0.5514766404199475,0.7979002624671916,3.8103286384976527,25.30892857142857,4.410256410256411,6.9743589743589745,0.3569553805774278,0.6323529411764706,0.686046511627907,0.07352941176470588,1.8974358974358974,3.5384615384615383,0.18110236220472442,0.5362318840579711,0.8378378378378378,0.057971014492753624,0.05128205128205128,0.41025641025641024,0.02099737532808399,0.125,1,0,0.3076923076923077,1.2307692307692308,0.06299212598425197,0.25,1,0,2.717948717948718,7.384615384615385,0.3779527559055118,0.3680555555555556,1,0.013888888888888888,53,144,0.3680555555555556,0,0
"Frank Kaminsky","PHX",39,777,0.527134690553746,0.745928338762215,5.195628415300546,25.466129032258067,3.8043478260869565,6.340579710144928,0.34201954397394135,0.6,0.6984126984126984,0.14285714285714285,1.6908212560386473,3.502415458937198,0.18892508143322476,0.4827586206896552,0.6071428571428571,0.06896551724137931,0.36231884057971014,1.2077294685990339,0.06514657980456026,0.3,0.8333333333333334,0,0.18115942028985507,0.4227053140096618,0.02280130293159609,0.42857142857142855,1,0,2.2946859903381642,7.065217391304348,0.3811074918566775,0.3247863247863248,1,0,38,117,0.3247863247863248,0,0
