"Name","TeamAbbreviation","GamesPlayed","Minutes","ShotQualityAvg","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes"
"CJ McCollum","POR",75,2751,0.4977162870945479,0.5728088336783989,9.479379157427937,25.50255941499086,2.7651382569128455,4.9527476373818695,0.19530710835058662,0.558303886925795,0.3037974683544304,0.13427561837455831,2.555127756387819,5.810290514525726,0.22912353347135955,0.4397590361445783,0.1643835616438356,0.05120481927710843,2.485124256212811,5.022751137556877,0.19806763285024154,0.49477351916376305,0.19718309859154928,0.017421602787456445,0.8050402520126007,1.5225761288064403,0.060041407867494824,0.5287356321839081,0.8913043478260869,0,2.817640882044102,8.050402520126006,0.31746031746031744,0.35,0.5900621118012422,0.004347826086956522,161,460,0.35,0,0
"Damian Lillard","POR",71,2661,0.5221654609929077,0.8186274509803921,5.9386138613861394,27.65783633841886,4.74915193715408,7.998571683627923,0.3137254901960784,0.59375,0.09774436090225563,0.13616071428571427,0.8034279592929834,2.3567220139260847,0.09243697478991597,0.3409090909090909,0.1111111111111111,0.15151515151515152,1.0176754151044456,2.2674522406713087,0.08893557422969188,0.44881889763779526,0.15789473684210525,0.023622047244094488,0.21424745581146223,0.48205677557579,0.018907563025210083,0.4444444444444444,0.6666666666666666,0,4.927691483663631,12.3906445277629,0.48599439775910364,0.3976945244956772,0.286231884057971,0.011527377521613832,275,688,0.3997093023255814,5,1
"Hassan Whiteside","POR",72,2112,0.5276240027510316,0.6148555708390646,4.880528511821975,25.7125,7.229190421892817,10.011402508551882,0.6038514442916093,0.7220956719817767,0.5993690851735016,0.07289293849658314,2.4173318129988597,4.925883694412771,0.297111416781293,0.49074074074074076,0.7547169811320755,0.041666666666666664,0.5017103762827823,1.459521094640821,0.08803301237964237,0.34375,0.8181818181818182,0,0,0,0,0,0,0,0.11402508551881414,0.18244013683010263,0.011004126547455296,0.625,1,0,5,8,0.625,0,0
"Carmelo Anthony","POR",63,2075,0.4874135023584906,0.5053003533568905,10.344186046511629,25.020242914979757,2.2705992509363297,4.260299625468165,0.2143698468786808,0.532967032967033,0.3917525773195876,0.1978021978021978,2.200374531835206,4.798689138576779,0.2414605418138987,0.4585365853658537,0.2765957446808511,0.03902439024390244,1.7790262172284643,5.032771535580524,0.25323910482921086,0.35348837209302325,0.5,0.023255813953488372,0.7256554307116105,1.3810861423220975,0.06949352179034157,0.5254237288135594,0.967741935483871,0,1.451310861423221,4.400749063670412,0.22143698468786807,0.32978723404255317,0.9193548387096774,0.005319148936170213,62,187,0.3315508021390374,1,0
"Anfernee Simons","POR",73,1503,0.4997976406533576,0.6594594594594595,8.714420062695925,25.69576271186441,2.2285896211397644,4.138809296402419,0.23423423423423423,0.5384615384615384,0.4,0.16923076923076924,0.9551098376313276,3.0881884750079593,0.17477477477477477,0.30927835051546393,0.3,0.09278350515463918,1.2734797835084368,2.9290035020694045,0.16576576576576577,0.43478260869565216,0.4,0.021739130434782608,0.4775549188156638,1.4008277618592804,0.07927927927927927,0.3409090909090909,0.8,0.022727272727272728,2.005730659025788,6.112702960840497,0.34594594594594597,0.328125,0.6190476190476191,0.03125,63,188,0.3351063829787234,4,0
"Gary Trent Jr.","POR",66,1480,0.5113229079497909,0.7265135699373695,10.555497382198952,25.194444444444443,1.1954765751211631,1.938610662358643,0.12526096033402923,0.6166666666666667,0.43243243243243246,0.15,0.6138933764135702,1.6478190630048466,0.10647181628392484,0.37254901960784315,0.42105263157894735,0.0196078431372549,1.098546042003231,2.5848142164781907,0.16701461377870563,0.425,0.4411764705882353,0.025,1.098546042003231,2.6494345718901453,0.17118997912317327,0.4146341463414634,0.9705882352941176,0.012195121951219513,2.778675282714055,6.655896607431341,0.430062630480167,0.4174757281553398,0.813953488372093,0.009708737864077669,86,205,0.4195121951219512,1,0
"Kent Bazemore","POR",43,1111,0.5366965838509317,0.7730061349693251,7.225161290322581,25.567836257309942,1.4636246233318984,3.486870426173052,0.24846625766871167,0.41975308641975306,0.47058823529411764,0.12345679012345678,0.4304778303917348,1.5927679724494188,0.11349693251533742,0.2702702702702703,0.2,0.10810810810810811,0.5596211795092553,1.5927679724494188,0.11349693251533742,0.35135135135135137,0.38461538461538464,0.02702702702702703,0.9900990099009901,3.228583727938011,0.23006134969325154,0.30666666666666664,1,0,1.420576840292725,4.132587171760655,0.294478527607362,0.34375,0.9090909090909091,0.03125,33,92,0.358695652173913,4,0
"Mario Hezonja","POR",58,936,0.5247014644351464,0.7344398340248963,6.02483660130719,26.6375,2.1794221996958947,4.51089711099848,0.36929460580912865,0.48314606741573035,0.5116279069767442,0.15730337078651685,1.0643689812468322,1.926001013684744,0.15767634854771784,0.5526315789473685,0.2857142857142857,0.10526315789473684,0.45615813482007095,1.3177901672579828,0.1078838174273859,0.34615384615384615,0.4444444444444444,0.038461538461538464,0.15205271160669032,0.7602635580334516,0.06224066390041494,0.2,1,0.06666666666666667,1.2164216928535225,3.699949315762798,0.3029045643153527,0.3287671232876712,0.8333333333333334,0,24,71,0.3380281690140845,2,0
"Trevor Ariza","POR",21,702,0.5763138364779874,0.9308176100628931,3.108108108108108,24.46705882352941,2.734107997265892,4.30622009569378,0.39622641509433965,0.6349206349206349,0.775,0.09523809523809523,0.2734107997265892,0.5468215994531784,0.050314465408805034,0.5,0.5,0.125,0,0.2050580997949419,0.018867924528301886,0,0,0,1.1619958988380041,2.52904989747095,0.23270440251572327,0.4594594594594595,0.8823529411764706,0,1.1619958988380041,3.2809295967190706,0.3018867924528302,0.3541666666666667,0.9411764705882353,0,17,48,0.3541666666666667,0,0
"Rodney Hood","POR",21,619,0.5010168604651163,0.5290697674418605,10.261386138613862,24.68169014084507,1.2260536398467432,1.5325670498084292,0.11627906976744186,0.8,0.4375,0.05,1.6091954022988506,3.9080459770114944,0.29651162790697677,0.4117647058823529,0.19047619047619047,0.0392156862745098,1.1494252873563218,2.2988505747126435,0.1744186046511628,0.5,0.3333333333333333,0,1.2260536398467432,2.2222222222222223,0.1686046511627907,0.5517241379310345,0.9375,0,1.4559386973180077,3.218390804597701,0.2441860465116279,0.4523809523809524,0.8421052631578947,0.023809523809523808,19,42,0.4523809523809524,0,0
