"Name","TeamAbbreviation","GamesPlayed","Minutes","ShotQualityAvg","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes"
"Pascal Siakam","TOR",64,2244,0.5102391489361703,0.6632653061224489,6.434683544303797,25.526943005181348,5.388205345778532,8.358082308018668,0.33503401360544216,0.6446700507614214,0.5078740157480315,0.09644670050761421,2.1001272804412388,5.960967331353415,0.2389455782312925,0.35231316725978645,0.26262626262626265,0.0711743772241993,0.8485362749257531,2.43954179041154,0.0977891156462585,0.34782608695652173,0.375,0.008695652173913044,0.7636826474331778,1.9516334323292321,0.0782312925170068,0.391304347826087,0.9166666666666666,0,2.1425540941875267,6.236741620704285,0.25,0.3435374149659864,0.5841584158415841,0.01020408163265306,101,293,0.3447098976109215,1,0
"Kyle Lowry","TOR",62,2218,0.5233778511404562,0.8228299643281808,6.615056818181818,26.590593047034762,2.5381802538180254,4.3665304366530435,0.2413793103448276,0.5812807881773399,0.2288135593220339,0.15270935960591134,0.7313400731340073,1.7423101742310174,0.09631391200951249,0.41975308641975306,0.29411764705882354,0.1111111111111111,0.5162400516240052,1.4626801462680146,0.08085612366230678,0.35294117647058826,0.25,0.029411764705882353,0.2796300279630028,0.9249300924930093,0.05112960760998811,0.3023255813953488,0.6923076923076923,0.023255813953488372,3.420090342009034,9.593460959346096,0.5303210463733651,0.35650224215246634,0.5283018867924528,0.008968609865470852,159,440,0.3613636363636364,6,0
"OG Anunoby","TOR",73,2195,0.5798130872483221,0.9077181208053692,2.827042253521127,24.4954356846473,4.15845918144014,6.5659881812212735,0.5033557046979866,0.6333333333333333,0.6421052631578947,0.16666666666666666,0.24075289997811336,0.9192383453709784,0.07046979865771812,0.2619047619047619,0.5454545454545454,0.2619047619047619,0.1094331363536879,0.2845261545195885,0.02181208053691275,0.38461538461538464,0.8,0,1.138104618078354,2.867148172466623,0.2197986577181208,0.3969465648854962,1,0.022900763358778626,0.8973517181002407,2.4075289997811335,0.18456375838926176,0.37272727272727274,0.9024390243902439,0,41,110,0.37272727272727274,0,0
"Fred VanVleet","TOR",58,2061,0.5271125606796117,0.8369565217391305,5.343571428571429,26.224019607843136,3.47010550996483,6.682297772567409,0.3442028985507246,0.519298245614035,0.1891891891891892,0.13333333333333333,0.37514654161781946,1.735052754982415,0.0893719806763285,0.21621621621621623,0.1875,0.13513513513513514,0.4454865181711606,1.4302461899179366,0.07367149758454106,0.3114754098360656,0.10526315789473684,0.01639344262295082,0.7033997655334114,1.5943728018757326,0.0821256038647343,0.4411764705882353,0.9666666666666667,0,3.1652989449003517,7.971864009378663,0.4106280193236715,0.39705882352941174,0.6222222222222222,0.014705882352941176,134,335,0.4,4,1
"Serge Ibaka","TOR",59,1579,0.4991969401947149,0.5507649513212796,7.553346080305928,25.697959183673472,4.447151995126409,6.091989034419738,0.27816411682892905,0.73,0.7191780821917808,0.07,3.320134023758757,6.640268047517514,0.3031988873435327,0.5,0.8256880733944955,0.03211009174311927,1.2488577520560462,3.1982942430703623,0.14603616133518776,0.3904761904761905,0.975609756097561,0.009523809523809525,0.21321961620469082,0.6701187937861712,0.030598052851182198,0.3181818181818182,1,0,2.162656107219007,5.300030459945172,0.24200278164116829,0.40804597701149425,1,0,71,174,0.40804597701149425,0,0
"Norman Powell","TOR",56,1575,0.5456649371069182,0.8315132605304212,4.630346820809248,25.56881355932203,4.73621103117506,7.134292565947242,0.3712948517940718,0.6638655462184874,0.7025316455696202,0.09243697478991597,0.8992805755395683,2.2182254196642686,0.11544461778471139,0.40540540540540543,0.5666666666666667,0.1891891891891892,0.44964028776978415,1.0191846522781776,0.0530421216848674,0.4411764705882353,0.5333333333333333,0,1.288968824940048,2.937649880095923,0.15288611544461778,0.4387755102040816,1,0,2.278177458033573,5.905275779376499,0.3073322932917317,0.38578680203045684,0.9078947368421053,0,76,194,0.3917525773195876,3,0
"Terence Davis","TOR",75,1263,0.5546831497797357,0.8923076923076924,3.7099502487562193,25.47086614173228,3.802281368821293,5.779467680608365,0.33406593406593404,0.6578947368421053,0.42,0.1118421052631579,0.3041825095057034,1.3688212927756653,0.07912087912087912,0.2222222222222222,0.5,0.2222222222222222,0.07604562737642585,0.49429657794676807,0.02857142857142857,0.15384615384615385,0.5,0.07692307692307693,1.102661596958175,2.3954372623574143,0.13846153846153847,0.4603174603174603,1,0,2.7376425855513307,7.262357414448669,0.4197802197802198,0.3769633507853403,0.875,0.010471204188481676,72,190,0.37894736842105264,1,0
"Marc Gasol","TOR",48,1241,0.5141565,0.7066666666666667,7.726241134751774,25.77735849056604,1.2746234067207416,2.0471224410969486,0.17666666666666667,0.6226415094339622,0.8181818181818182,0.09433962264150944,1.1587485515643106,2.5106218617226728,0.21666666666666667,0.46153846153846156,0.5,0.03076923076923077,0.1544998068752414,0.8883738895326381,0.07666666666666666,0.17391304347826086,0.75,0,0.23174971031286212,0.5793742757821553,0.05,0.4,1,0,2.085747392815759,5.5619930475086905,0.48,0.375,1,0,54,144,0.375,0,0
"Rondae Hollis-Jefferson","TOR",63,1152,0.5500885416666667,0.7922848664688428,3.291693290734824,25.129166666666666,5.562579013906448,10.240202275600506,0.7210682492581603,0.5432098765432098,0.6818181818181818,0.07818930041152264,0.8428150021070375,2.5284450063211126,0.17804154302670624,0.3333333333333333,0.4,0.13333333333333333,0.1264222503160556,0.42140750105351876,0.02967359050445104,0.3,0.3333333333333333,0,0,0.5899705014749262,0.04154302670623145,0,0,0,0.1264222503160556,0.42140750105351876,0.02967359050445104,0.3,1,0,3,9,0.3333333333333333,1,0
"Patrick McCaw","TOR",37,908,0.5416746913580247,0.7962962962962963,5.251648351648352,24.492957746478872,1.6976127320954908,3.076923076923077,0.35802469135802467,0.5517241379310345,0.5,0.1206896551724138,0.4244031830238727,1.220159151193634,0.1419753086419753,0.34782608695652173,0.625,0,0.21220159151193635,0.5305039787798409,0.06172839506172839,0.4,1,0.1,0.636604774535809,1.9628647214854111,0.22839506172839505,0.32432432432432434,1,0,0.583554376657825,1.8037135278514589,0.20987654320987653,0.3235294117647059,1,0,11,34,0.3235294117647059,0,0
