"Name","TeamAbbreviation","GamesPlayed","Minutes","ShotQualityAvg","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes"
"Donovan Mitchell","UTA",74,2545,0.47806554941257773,0.5723140495867769,8.621688034188034,25.989922480620155,3.760123409178558,6.074045507134593,0.21694214876033058,0.6190476190476191,0.3128205128205128,0.07301587301587302,3.3551870420362513,7.828769764751254,0.2796143250688705,0.42857142857142855,0.15517241379310345,0.059113300492610835,1.8897030466640956,4.1457770921712305,0.14807162534435261,0.4558139534883721,0.12244897959183673,0.004651162790697674,0.5591978403393753,1.3690705746239877,0.048898071625344354,0.4084507042253521,0.9310344827586207,0.014084507042253521,3.2009255688391822,8.580794446586966,0.30647382920110194,0.37303370786516854,0.5,0.011235955056179775,166,440,0.37727272727272726,5,0
"Rudy Gobert","UTA",73,2523,0.5686567213114755,0.8950819672131147,2.1024590163934427,0,7.9312365696425084,10.6661457315882,0.8950819672131147,0.7435897435897436,0.7561576354679803,0.08058608058608059,0.33209611252197696,1.2502441883180309,0.10491803278688525,0.265625,0.7647058823529411,0.203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Joe Ingles","UTA",77,2302,0.522845945945946,0.821247892074199,6.124401913875598,25.25859375,1.4346895074946466,2.2055674518201287,0.1736930860033727,0.6504854368932039,0.417910447761194,0.07766990291262135,0.8351177730192719,1.905781584582441,0.15008431703204048,0.43820224719101125,0.28205128205128205,0.12359550561797752,0.10706638115631692,0.3640256959314775,0.02866779089376054,0.29411764705882354,0.4,0,0.6852248394004282,1.8201284796573876,0.1433389544688027,0.3764705882352941,0.9375,0,2.5910064239828694,6.402569593147752,0.5042158516020236,0.40468227424749165,0.5950413223140496,0.006688963210702341,121,298,0.40604026845637586,1,0
"Royce O'Neale","UTA",76,2218,0.5382370078740158,0.9198966408268734,4.0953125,25.683783783783785,1.2717536813922357,2.1642124051762606,0.25064599483204136,0.5876288659793815,0.8245614035087719,0.061855670103092786,0.178491744756805,0.5131637661758144,0.059431524547803614,0.34782608695652173,0.875,0.2608695652173913,0.06693440428380187,0.178491744756805,0.020671834625323,0.375,0.6666666666666666,0,0.8478357875948237,1.9857206604194555,0.22997416020671835,0.42696629213483145,1,0,1.3833110218652387,3.792949576082106,0.4392764857881137,0.36470588235294116,1,0,62,165,0.37575757575757573,5,0
"Bojan Bogdanovic","UTA",63,2083,0.515323982869379,0.73475935828877,6.157740585774059,25.081619256017504,3.3098591549295775,5.39906103286385,0.24598930481283424,0.6130434782608696,0.5319148936170213,0.13478260869565217,1.7370892018779343,4.765258215962441,0.21711229946524063,0.3645320197044335,0.44594594594594594,0.1477832512315271,0.3286384976525822,1.056338028169014,0.0481283422459893,0.3111111111111111,0.5714285714285714,0.06666666666666667,1.619718309859155,3.568075117370892,0.1625668449197861,0.45394736842105265,0.9855072463768116,0.03289473684210526,2.816901408450704,7.15962441314554,0.32620320855614976,0.39344262295081966,0.7833333333333333,0.009836065573770493,120,304,0.39473684210526316,1,0
"Mike Conley","UTA",50,1454,0.4918581803005008,0.6198347107438017,8.662996941896026,25.67410071942446,1.8874283788338388,3.2692955847657568,0.16033057851239668,0.5773195876288659,0.35714285714285715,0.041237113402061855,2.1570610043815304,5.830805527468824,0.2859504132231405,0.3699421965317919,0.15625,0.057803468208092484,0.8426019548365352,1.9211324570273003,0.09421487603305785,0.43859649122807015,0.24,0.017543859649122806,1.0448264239973037,2.1233569261880687,0.10413223140495868,0.49206349206349204,0.8709677419354839,0,2.62891809908999,7.246376811594203,0.35537190082644626,0.3627906976744186,0.5256410256410257,0.009302325581395349,78,211,0.3696682464454976,4,0
"Jordan Clarkson","UTA",47,1184,0.5011485318107667,0.6829268292682927,6.506501547987615,25.12945205479452,3.75,5.333333333333333,0.208130081300813,0.703125,0.26666666666666666,0.109375,3.3333333333333335,7.125,0.2780487804878049,0.4678362573099415,0.1625,0.10526315789473684,0.3333333333333333,1,0.03902439024390244,0.3333333333333333,0.375,0.041666666666666664,1.4583333333333333,3.625,0.14146341463414633,0.40229885057471265,1,0.011494252873563218,3.0416666666666665,8.541666666666666,0.3333333333333333,0.35609756097560974,0.6301369863013698,0,73,203,0.35960591133004927,2,0
"Georges Niang","UTA",71,1011,0.5302414325842697,0.8117977528089888,6.495454545454545,24.6,1.454898157129001,2.0853540252182348,0.12078651685393259,0.6976744186046512,0.5,0.09302325581395349,1.2609117361784674,2.812803103782735,0.16292134831460675,0.4482758620689655,0.46153846153846156,0.06896551724137931,0.19398642095053345,0.4364694471387003,0.025280898876404494,0.4444444444444444,0.5,0,2.133850630455868,5.18913676042677,0.300561797752809,0.411214953271028,1,0.009345794392523364,2.6188166828322017,6.741028128031038,0.3904494382022472,0.38848920863309355,0.9814814814814815,0.007194244604316547,54,139,0.38848920863309355,0,0
"Emmanuel Mudiay","UTA",57,883,0.49141548672566376,0.5601173020527859,7.694422310756972,25.31222222222222,3.1130529765155655,5.516111414527581,0.2961876832844575,0.5643564356435643,0.38596491228070173,0.12871287128712872,2.3484434735117423,5.843801201529219,0.31378299120234604,0.40186915887850466,0.16279069767441862,0.08411214953271028,1.3107591480065537,2.3484434735117423,0.12609970674486803,0.5581395348837209,0.20833333333333334,0.023255813953488372,0.4369197160021846,1.3653741125068268,0.07331378299120235,0.32,1,0,1.3107591480065537,3.5499726925177497,0.1906158357771261,0.36923076923076925,0.625,0,24,64,0.375,1,0
"Tony Bradley","UTA",63,707,0.5504771573604061,0.8324873096446701,2.497422680412371,25.3,7.649896623018608,11.09579600275672,0.817258883248731,0.6894409937888198,0.6846846846846847,0.08695652173913043,0.9648518263266712,2.2053756030323917,0.16243654822335024,0.4375,0.7857142857142857,0.28125,0,0.06891798759476224,0.005076142131979695,0,0,0,0,0,0,0,0,0,0.2067539627842867,0.2067539627842867,0.015228426395939087,1,1,0,3,3,1,0,0
