"Name","TeamAbbreviation","GamesPlayed","Minutes","ShotQualityAvg","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes"
"Bradley Beal","WAS",57,2053,0.5092966948501153,0.6477359938603223,8.106447688564478,25.87983367983368,5.396752801280585,8.300937571461239,0.27858787413660785,0.650137741046832,0.4279661016949153,0.07988980716253444,2.2410244683283786,5.556825977589756,0.18649270913277052,0.40329218106995884,0.2857142857142857,0.08641975308641975,2.0352160987880175,4.939400868968671,0.16577129700690713,0.41203703703703703,0.33707865168539325,0.004629629629629629,0.43448433569631834,1.3949233935513377,0.04681504221028396,0.3114754098360656,0.8421052631578947,0,3.453007088954951,9.604390578550195,0.32233307751343054,0.3595238095238095,0.609271523178808,0.002380952380952381,151,419,0.360381861575179,1,0
"Ish Smith","WAS",68,1787,0.4857923802612482,0.5341074020319303,9.298653846153847,25.12130177514793,2.9365495542737285,5.217619297325642,0.2888243831640058,0.5628140703517588,0.21428571428571427,0.07035175879396985,1.6780283167278447,3.6706869428421607,0.20319303338171263,0.45714285714285713,0.0625,0.07857142857142857,1.8353434714210803,4.745673833245936,0.262699564586357,0.3867403314917127,0.2,0.0055248618784530384,0.47194546407970633,1.3371788148925012,0.07402031930333818,0.35294117647058826,0.7777777777777778,0.0196078431372549,1.1536444677503932,3.0938647089669638,0.17126269956458637,0.3728813559322034,0.7272727272727273,0,44,118,0.3728813559322034,0,0
"Troy Brown Jr.","WAS",69,1782,0.4974962601626016,0.6061093247588425,7.93431151241535,26.706703910614525,3.370194839389152,5.213270142180095,0.3183279742765273,0.6464646464646465,0.609375,0.1414141414141414,1.1585044760400212,3.501843075302791,0.21382636655948553,0.3308270676691729,0.45454545454545453,0.12781954887218044,1.05318588730911,2.9489204844655084,0.18006430868167203,0.35714285714285715,0.35,0,0.631911532385466,1.3428120063191153,0.0819935691318328,0.47058823529411764,0.9583333333333334,0,0.9741969457609269,3.370194839389152,0.2057877813504823,0.2890625,0.972972972972973,0.0078125,36,120,0.3,7,1
"Davis Bertans","WAS",54,1583,0.5232130756578947,0.8918032786885246,7.018840579710145,26.669067796610168,1.2551079976649153,2.1015761821366024,0.1180327868852459,0.5972222222222222,0.7209302325581395,0.06944444444444445,0.40863981319322823,1.1675423234092235,0.06557377049180328,0.35,0.9285714285714286,0.15,0.23350846468184472,0.7589025102159953,0.04262295081967213,0.3076923076923077,0.625,0,0.6129597197898424,1.1091652072387623,0.06229508196721312,0.5526315789473685,0.9047619047619048,0,5.224751897256276,12.667834208990076,0.7114754098360656,0.41244239631336405,0.9162011173184358,0.018433179723502304,179,433,0.4133949191685912,1,0
"Rui Hachimura","WAS",48,1444,0.5031072878228782,0.5688073394495413,7.596288209606986,25.98735632183908,4.686987872828581,7.309078990494919,0.4091743119266055,0.6412556053811659,0.6783216783216783,0.16143497757847533,1.0816125860373649,3.8675843985578497,0.21651376146788992,0.2796610169491525,0.45454545454545453,0.13559322033898305,1.7371353654539494,3.8348082595870205,0.21467889908256882,0.452991452991453,0.6037735849056604,0,0.2622091117666339,0.8194034742707309,0.045871559633027525,0.32,1,0.04,0.557194362504097,2.0321206161914125,0.11376146788990826,0.27419354838709675,1,0,17,59,0.288135593220339,3,0
"Isaac Bonga","WAS",66,1250,0.5492638528138528,0.8376068376068376,3.3429447852760736,25.72676056338028,2.895238095238095,4.761904761904762,0.5341880341880342,0.608,0.5526315789473685,0.08,0.6095238095238096,1.2952380952380953,0.1452991452991453,0.47058823529411764,0.5625,0.08823529411764706,0.0380952380952381,0.1523809523809524,0.017094017094017096,0.25,1,0,0.45714285714285713,1.0285714285714285,0.11538461538461539,0.4444444444444444,1,0,0.49523809523809526,1.6761904761904762,0.18803418803418803,0.29545454545454547,1,0.022727272727272728,13,41,0.3170731707317073,3,0
"Thomas Bryant","WAS",46,1147,0.5318313397129186,0.6674641148325359,6.636697247706421,25.595604395604393,5.918367346938775,7.673469387755102,0.44976076555023925,0.7712765957446809,0.7586206896551724,0.06914893617021277,1.1020408163265305,2.6122448979591835,0.15311004784688995,0.421875,0.7407407407407407,0.015625,1.3877551020408163,3.061224489795918,0.17942583732057416,0.4533333333333333,0.8529411764705882,0,0.16326530612244897,0.40816326530612246,0.023923444976076555,0.4,1,0,1.346938775510204,3.306122448979592,0.1937799043062201,0.4074074074074074,0.9393939393939394,0,33,81,0.4074074074074074,0,0
"Isaiah Thomas","WAS",40,925,0.4880930751173709,0.5446009389671361,11.160759493670886,25.854497354497354,1.0055304172951232,2.1618903971845147,0.10093896713615023,0.46511627906976744,0.55,0.23255813953488372,1.8099547511312217,5.128205128205129,0.23943661971830985,0.35294117647058826,0.2777777777777778,0.12745098039215685,2.0110608345902463,4.625439919557567,0.215962441314554,0.43478260869565216,0.4,0.05434782608695652,0.4022121669180493,1.2066365007541477,0.056338028169014086,0.3333333333333333,0.875,0.125,3.519356460532931,8.295625942684767,0.3873239436619718,0.42424242424242425,0.7571428571428571,0.006060606060606061,70,165,0.42424242424242425,0,0
"Moritz Wagner","WAS",45,835,0.5545142857142857,0.8646616541353384,2.8241935483870964,25.42875,6.043956043956044,8.241758241758241,0.5639097744360902,0.7333333333333333,0.7818181818181819,0.09333333333333334,0.4945054945054945,1.7582417582417582,0.12030075187969924,0.28125,0.6666666666666666,0.25,0.054945054945054944,0.21978021978021978,0.015037593984962405,0.25,0,0,0.27472527472527475,0.7142857142857143,0.04887218045112782,0.38461538461538464,1,0,1.098901098901099,3.681318681318681,0.2518796992481203,0.29850746268656714,1,0.014925373134328358,20,67,0.29850746268656714,0,0
"Ian Mahinmi","WAS",38,808,0.5135361244019139,0.7047619047619048,3.7320652173913045,27.72307692307692,4.448398576512456,7.236061684460261,0.580952380952381,0.6147540983606558,0.6666666666666666,0.10655737704918032,1.3048635824436536,3.3214709371293,0.26666666666666666,0.39285714285714285,0.6818181818181818,0.125,0.11862396204033215,0.35587188612099646,0.02857142857142857,0.3333333333333333,1,0,0.05931198102016608,0.2372479240806643,0.01904761904761905,0.25,1,0,0.2372479240806643,1.3048635824436536,0.10476190476190476,0.18181818181818182,1,0.045454545454545456,4,21,0.19047619047619047,1,0
