"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Trae Young","ATL",60,2120,6.312800349497597,4.237658366098733,2.075141983398864,0.671280276816609,1.1795543905635648,0.3058103975535168,3.058103975535168,1.0048055919615553,0.1965923984272608,0,0.0655307994757536,0
"De'Andre Hunter","ATL",63,2018,2.4065420560747666,1.3317757009345794,1.074766355140187,0.5533980582524272,0.7009345794392523,0.09345794392523364,0.6308411214953271,0.2336448598130841,0.2102803738317757,0,0.11682242990654206,0
"Kevin Huerter","ATL",56,1760,2.3243387656959658,1.5762757146673791,0.7480630510285867,0.6781609195402298,0.4007480630510286,0.026716537536735238,1.1755276516163504,0.32059845044082286,0.1335826876836762,0,0.026716537536735238,0
"Cam Reddish","ATL",58,1551,2.887218045112782,1.413533834586466,1.4736842105263157,0.4895833333333333,0.7518796992481203,0.24060150375939848,0.6616541353383458,0.3308270676691729,0.3007518796992481,0,0.2706766917293233,0
"John Collins","ATL",41,1363,2.5808671713695803,1.2388162422573985,1.3420509291121816,0.48,0.7226428079834825,0.3097040605643496,0.516173434273916,0.24088093599449414,0.1720578114246387,0.034411562284927734,0,0
"DeAndre' Bembry","ATL",43,915,3.0596634370219276,1.8867924528301887,1.1728709841917389,0.6166666666666667,0.6629270780214176,0.1529831718510964,1.2238653748087711,0.6119326874043856,0.10198878123406425,0,0,0
"Damian Jones","ATL",55,887,1.4901543374135178,0.31931878658861096,1.1708355508249069,0.21428571428571427,0.15965939329430548,0.05321979776476849,0.15965939329430548,0.05321979776476849,0.21287919105907396,0.05321979776476849,0.15965939329430548,0.10643959552953698
"Vince Carter","ATL",60,876,1.76093916755603,1.0138740661686232,0.7470651013874067,0.5757575757575758,0.10672358591248667,0.05336179295624333,0.9071504802561366,0.21344717182497333,0.10672358591248667,0,0.05336179295624333,0
"Jabari Parker","ATL",32,837,3.365114974761638,1.4021312394840157,1.962983735277622,0.4166666666666667,0.7291082445316882,0.3925967470555244,0.6730229949523275,0.3925967470555244,0.448681996634885,0,0.16825574873808188,0
"Alex Len","ATL",40,745,2.4683544303797467,1.0126582278481013,1.4556962025316456,0.41025641025641024,0.759493670886076,0.06329113924050633,0.25316455696202533,0.31645569620253167,0.12658227848101267,0.12658227848101267,0,0.06329113924050633
"Bruno Fernando","ATL",56,713,2.809364548494983,1.3377926421404682,1.471571906354515,0.47619047619047616,0.6688963210702341,0.20066889632107024,0.6688963210702341,0.6688963210702341,0.20066889632107024,0,0,0
"Allen Crabbe","ATL",28,522,1.0743061772605194,0.5371530886302597,0.5371530886302597,0.5,0.26857654431512984,0,0.26857654431512984,0,0.17905102954341987,0,0.17905102954341987,0
"Jeff Teague","ATL",25,519,3.629764065335753,2.1778584392014517,1.4519056261343013,0.6,0.6352087114337568,0.18148820326678766,1.5426497277676952,0.4537205081669691,0.18148820326678766,0,0.09074410163339383,0
"Brandon Goodwin","ATL",34,430,3.2044198895027622,2.0994475138121547,1.1049723756906078,0.6551724137931034,0.4419889502762431,0.22099447513812154,1.6574585635359116,0.4419889502762431,0.11049723756906077,0,0.11049723756906077,0
"Treveon Graham","ATL",22,266,1.8083182640144666,0.7233273056057866,1.0849909584086799,0.4,0.18083182640144665,0,0.5424954792043399,0.18083182640144665,0,0,0.18083182640144665,0
"Evan Turner","ATL",19,251,4.753199268738574,3.473491773308958,1.2797074954296161,0.7307692307692307,0.7312614259597806,0.18281535648994515,2.742230347349177,0.5484460694698354,0.18281535648994515,0.18281535648994515,0,0
"Dewayne Dedmon","ATL",10,233,2.079002079002079,1.0395010395010396,1.0395010395010396,0.5,0.2079002079002079,0,0.8316008316008316,0.4158004158004158,0,0,0,0
"Tyrone Wallace","ATL",14,160,2.9585798816568047,0.8875739644970414,2.0710059171597632,0.3,0.591715976331361,0.2958579881656805,0.2958579881656805,0.2958579881656805,0.2958579881656805,0,0,0
"Chandler Parsons","ATL",5,54,2.459016393442623,1.639344262295082,0.819672131147541,0.6666666666666666,0,0,1.639344262295082,0,0.819672131147541,0,0,0
"Charles Brown Jr.","ATL",10,40,3.6144578313253013,2.4096385542168677,1.2048192771084338,0.6666666666666666,0,0,2.4096385542168677,0,0,0,1.2048192771084338,0
"Paul Watson","ATL",2,17,0,0,0,0,0,0,0,0,0,0,0,0
