"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Jayson Tatum","BOS",70,2410,3.199028143348856,1.8424782344604171,1.356549908888439,0.5759493670886076,0.9921036647094553,0.12148208139299453,0.8503745697509617,0.26321117635148816,0.22271714922049,0,0.060741040696497266,0
"Jaylen Brown","BOS",61,2084,3.183211506720113,1.6741334590898374,1.5090780476302759,0.5259259259259259,0.801697712803584,0.3065314784248998,0.8724357462862532,0.28295213393067675,0.25937278943645364,0.02357934449422306,0.18863475595378448,0
"Marcus Smart","BOS",64,2063,2.537593984962406,1.6212406015037595,0.9163533834586466,0.6388888888888888,0.32894736842105265,0,1.2922932330827068,0.3994360902255639,0.16447368421052633,0,0.14097744360902256,0
"Kemba Walker","BOS",60,1874,3.1469440832249673,1.846553966189857,1.3003901170351104,0.5867768595041323,0.8582574772431729,0.44213263979193757,0.988296488946684,0.5461638491547465,0.15604681404421328,0,0.05201560468140442,0
"Gordon Hayward","BOS",53,1774,2.62091326668468,1.5401242907322346,1.0807889759524454,0.5876288659793815,0.7835720075655228,0.10807889759524453,0.7565522831667117,0.3782761415833559,0.10807889759524453,0,0,0
"Daniel Theis","BOS",69,1656,1.694915254237288,0.7136485280999108,0.9812667261373773,0.42105263157894735,0.23788284269997026,0.059470710674992565,0.4757656853999405,0.1784121320249777,0.23788284269997026,0,0,0
"Brad Wanamaker","BOS",75,1439,2.7027027027027026,1.385135135135135,1.3175675675675675,0.5125,0.5067567567567568,0.13513513513513514,0.8783783783783784,0.40540540540540543,0.4391891891891892,0,0.06756756756756757,0
"Grant Williams","BOS",73,1083,2.2757697456492636,0.892458723784025,1.3833110218652387,0.39215686274509803,0.13386880856760375,0.13386880856760375,0.7585899152164213,0.22311468094600626,0.04462293618920125,0.04462293618920125,0.04462293618920125,0
"Enes Kanter","BOS",62,1044,2.7358490566037736,1.1320754716981132,1.6037735849056605,0.41379310344827586,0.5660377358490566,0,0.5660377358490566,0.14150943396226415,0.5188679245283019,0.18867924528301888,0,0.04716981132075472
"Semi Ojeleye","BOS",72,1039,0.9487666034155597,0.4269449715370019,0.5218216318785579,0.45,0.09487666034155598,0.09487666034155598,0.33206831119544594,0.09487666034155598,0.09487666034155598,0,0,0
"Javonte Green","BOS",49,474,2.320887991927346,1.311806256306761,1.0090817356205852,0.5652173913043478,0.5045408678102926,0.10090817356205853,0.8072653884964682,0.30272452068617556,0.30272452068617556,0,0.10090817356205853,0
"Robert Williams III","BOS",32,410,2.7218934911242605,1.301775147928994,1.4201183431952662,0.4782608695652174,0.47337278106508873,0.11834319526627218,0.8284023668639053,0.23668639053254437,0.11834319526627218,0.11834319526627218,0,0
"Romeo Langford","BOS",36,407,1.4150943396226414,0.9433962264150944,0.4716981132075472,0.6666666666666666,0.589622641509434,0,0.35377358490566035,0.1179245283018868,0,0,0.2358490566037736,0
"Carsen Edwards","BOS",37,351,2.018842530282638,1.2113055181695829,0.8075370121130552,0.6,0,0,1.2113055181695829,0.13458950201884254,0,0,0.4037685060565276,0
"Vincent Poirier","BOS",21,130,2.797202797202797,1.3986013986013985,1.3986013986013985,0.5,0.34965034965034963,0,1.048951048951049,0,0.34965034965034963,0,0,0
"Tremont Waters","BOS",11,119,6.147540983606557,4.098360655737705,2.0491803278688523,0.6666666666666666,0.819672131147541,0.819672131147541,3.278688524590164,1.2295081967213115,0,0,0,0
"Tacko Fall","BOS",8,35,4.054054054054054,2.7027027027027026,1.3513513513513513,0.6666666666666666,2.7027027027027026,0,0,0,0,0,0,0
