"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Devonte' Graham","CHA",63,2211,4.117379435850774,2.684258416742493,1.4331210191082802,0.6519337016574586,0.8416742493175614,0.1364877161055505,1.8425841674249317,0.6824385805277525,0.22747952684258416,0.022747952684258416,0.09099181073703366,0
"Terry Rozier","CHA",63,2164,3.2828870779976715,1.909196740395809,1.3736903376018625,0.5815602836879432,0.46565774155995343,0.06984866123399301,1.4435389988358556,0.3958090803259604,0.18626309662398138,0,0.11641443538998836,0
"Miles Bridges","CHA",65,1995,2.4081115335868186,1.394169835234474,1.0139416983523448,0.5789473684210527,0.38022813688212925,0.07604562737642585,1.0139416983523448,0.17743979721166034,0.17743979721166034,0,0.1267427122940431,0.025348542458808618
"P.J. Washington","CHA",58,1759,2.655625356938892,1.7133066818960594,0.9423186750428326,0.6451612903225806,0.6282124500285551,0.08566533409480297,1.0850942318675043,0.1427755568246716,0.19988577955454026,0,0.08566533409480297,0
"Cody Zeller","CHA",58,1341,2.80688622754491,1.2350299401197604,1.5718562874251496,0.44,0.5988023952095808,0.1497005988023952,0.6362275449101796,0.2619760479041916,0.2245508982035928,0,0,0.0748502994011976
"Malik Monk","CHA",55,1169,3.26963906581741,2.1656050955414012,1.1040339702760085,0.6623376623376623,0.42462845010615713,0.08492569002123142,1.7409766454352442,0.46709129511677283,0.16985138004246284,0,0,0
"Bismack Biyombo","CHA",53,1029,2.346480279580629,1.0983524712930604,1.2481278082875686,0.46808510638297873,0.4493260109835247,0.09985022466300549,0.6490264603095357,0,0.34947578632051923,0.09985022466300549,0,0.04992511233150274
"Cody Martin","CHA",48,903,2.4498886414253898,1.55902004454343,0.89086859688196,0.6363636363636364,0.6124721603563474,0.111358574610245,0.9465478841870824,0.22271714922049,0.111358574610245,0,0.16703786191536749,0
"Marvin Williams","CHA",41,808,1.5337423312883436,0.7975460122699386,0.7361963190184049,0.52,0.12269938650306748,0,0.6748466257668712,0.18404907975460122,0,0,0,0
"Dwayne Bacon","CHA",39,687,2.69482884195193,1.0924981791697015,1.6023306627822287,0.40540540540540543,0.5826656955571741,0.21849963583394028,0.5098324836125273,0.3641660597232338,0.3641660597232338,0,0.07283321194464676,0
"Nicolas Batum","CHA",22,505,2.2044088176352705,1.2024048096192386,1.002004008016032,0.5454545454545454,0.30060120240480964,0,0.9018036072144289,0.20040080160320642,0.7014028056112225,0,0,0
"Willy Hernangomez","CHA",31,375,3.9893617021276597,2.127659574468085,1.8617021276595744,0.5333333333333333,0.9308510638297872,0,1.196808510638298,0.26595744680851063,0.39893617021276595,0,0,0.13297872340425532
"Caleb Martin","CHA",18,317,2.4154589371980677,1.288244766505636,1.1272141706924315,0.5333333333333333,0.322061191626409,0,0.966183574879227,0.4830917874396135,0.322061191626409,0,0.1610305958132045,0
"Jalen McDaniels","CHA",16,293,1.916376306620209,1.0452961672473868,0.8710801393728222,0.5454545454545454,0,0.17421602787456447,1.0452961672473868,0.5226480836236934,0,0,0,0
"Michael Kidd-Gilchrist","CHA",12,160,2.287581699346405,0.9803921568627451,1.3071895424836601,0.42857142857142855,0.6535947712418301,0,0.32679738562091504,0,0.9803921568627451,0,0,0
"Joe Chealey","CHA",4,33,2.985074626865672,1.492537313432836,1.492537313432836,0.5,0,0,1.492537313432836,0,1.492537313432836,0,0,0
