"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Zach LaVine","CHI",60,2085,4.761904761904762,2.7276930189551547,2.034211742949607,0.5728155339805825,0.9246417013407304,0.439204808136847,1.8030513176144245,0.4160887656033287,0.5779010633379565,0,0.04623208506703652,0
"Tomas Satoransky","CHI",65,1878,3.350515463917526,2.1907216494845363,1.1597938144329898,0.6538461538461539,0.5412371134020618,0.10309278350515463,1.6494845360824741,0.6185567010309279,0.25773195876288657,0,0.02577319587628866,0
"Coby White","CHI",65,1674,3.1196336576989125,1.8317115054378936,1.287922152261019,0.5871559633027523,0.8586147681740126,0.17172295363480253,0.9730967372638809,0.4006868918145392,0.28620492272467085,0,0.14310246136233543,0
"Thaddeus Young","CHI",64,1591,3.076923076923077,1.6591251885369533,1.4177978883861238,0.5392156862745098,0.5128205128205128,0.15082956259426847,1.1463046757164403,0.36199095022624433,0.27149321266968324,0,0.030165912518853696,0
"Lauri Markkanen","CHI",50,1492,2.6078557630392787,1.5132002575660013,1.0946555054732776,0.5802469135802469,0.7405022537025112,0.09658725048293625,0.77269800386349,0.386349001931745,0.16097875080489377,0,0,0
"Kris Dunn","CHI",51,1269,2.5983951089033246,1.2227741688956821,1.3756209400076422,0.47058823529411764,0.26748184944593045,0.19105846388995032,0.9552923194497516,0.4585403133358808,0.15284677111196027,0,0.03821169277799007,0
"Wendell Carter Jr.","CHI",43,1256,2.8004667444574096,1.205756514974718,1.5947102294826916,0.4305555555555556,0.661221314663555,0.23337222870478413,0.544535200311163,0.11668611435239207,0.15558148580318942,0.038895371450797356,0.07779074290159471,0.038895371450797356
"Ryan Arcidiacono","CHI",58,930,1.9161056447436562,1.1910926980838943,0.7250129466597618,0.6216216216216216,0.3625064733298809,0.05178663904712584,0.8285862247540134,0.4142931123770067,0.10357327809425168,0,0.05178663904712584,0
"Daniel Gafford","CHI",43,609,2.3089171974522293,0.6369426751592356,1.6719745222929936,0.27586206896551724,0.23885350318471338,0.47770700636942676,0.3980891719745223,0.3184713375796178,0.1592356687898089,0.07961783439490445,0,0
"Luke Kornet","CHI",36,559,1.2079378774805867,0.5176876617773943,0.6902502157031924,0.42857142857142855,0.08628127696289906,0.08628127696289906,0.4314063848144953,0.08628127696289906,0.08628127696289906,0,0,0
"Chandler Hutchison","CHI",28,527,2.406417112299465,1.1586452762923352,1.2477718360071302,0.48148148148148145,0.17825311942959002,0.08912655971479501,0.9803921568627451,0.5347593582887701,0.26737967914438504,0,0.08912655971479501,0
"Denzel Valentine","CHI",36,488,2.6,1.5,1.1,0.5769230769230769,0.1,0.1,1.4,0.4,0.4,0,0.1,0
"Shaquille Harrison","CHI",43,484,1.9057171514543632,1.3039117352056169,0.6018054162487463,0.6842105263157895,0.30090270812437314,0,1.0030090270812437,0.10030090270812438,0.20060180541624875,0,0,0
"Cristiano Felicio","CHI",22,386,2.295918367346939,1.0204081632653061,1.2755102040816326,0.4444444444444444,0.25510204081632654,0.25510204081632654,0.7653061224489796,0.25510204081632654,0.12755102040816327,0.12755102040816327,0,0
"Otto Porter Jr.","CHI",14,331,1.5942028985507246,1.4492753623188406,0.14492753623188406,0.9090909090909091,0.2898550724637681,0,1.1594202898550725,0,0.14492753623188406,0,0,0
"Adam Mokoka","CHI",11,112,0.8810572687224669,0.8810572687224669,0,1,0,0,0.8810572687224669,0,0,0,0,0
"Max Strus","CHI",2,6,0,0,0,0,0,0,0,0,0,0,0,0
