"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Collin Sexton","CLE",65,2143,3.58683314415437,2.3609534619750283,1.2258796821793416,0.6582278481012658,1.112372304199773,0.3178206583427923,1.2485811577752555,0.18161180476730987,0.340522133938706,0,0.04540295119182747,0
"Cedi Osman","CLE",65,1910,2.3214285714285716,1.25,1.0714285714285714,0.5384615384615384,0.40816326530612246,0.12755102040816327,0.8418367346938775,0.17857142857142858,0.35714285714285715,0,0.025510204081632654,0
"Darius Garland","CLE",59,1824,4.04392072844135,2.437064809855383,1.6068559185859668,0.6026490066225165,0.5891805034815212,0.2678093197643278,1.847884306373862,0.5623995715050883,0.42849491162292447,0,0.21424745581146223,0
"Kevin Love","CLE",56,1780,3.830369357045144,2.489740082079343,1.3406292749658002,0.65,0.6292749658002736,0.13679890560875513,1.8604651162790697,0.5471956224350205,0.2188782489740082,0.05471956224350205,0.08207934336525308,0
"Tristan Thompson","CLE",57,1722,2.95807007466973,1.4359563469270533,1.5221137277426766,0.4854368932038835,0.8615738081562321,0.02871912693854107,0.5743825387708213,0.1723147616312464,0.2871912693854107,0.11487650775416428,0.0861573808156232,0.14359563469270534
"Larry Nance Jr.","CLE",56,1472,2.0093770931011385,1.1386470194239786,0.87073007367716,0.5666666666666667,0.2679169457468185,0.06697923643670463,0.87073007367716,0.2679169457468185,0.16744809109176156,0.06697923643670463,0,0.033489618218352314
"Kevin Porter Jr.","CLE",50,1162,3.9473684210526314,2.5891341256366722,1.3582342954159592,0.6559139784946236,0.8064516129032258,0.2546689303904924,1.7826825127334465,0.38200339558573854,0.1273344651952462,0,0.08488964346349745,0
"Matthew Dellavedova","CLE",57,821,3.5160905840286056,2.7413587604290823,0.7747318235995232,0.7796610169491526,0.7151370679380215,0,2.026221692491061,0.5363528009535161,0.05959475566150179,0,0,0
"Jordan Clarkson","CLE",29,666,2.9061102831594634,1.5648286140089418,1.3412816691505216,0.5384615384615384,0.29806259314456035,0.37257824143070045,1.2667660208643816,0.29806259314456035,0.29806259314456035,0,0.07451564828614009,0
"Alfonzo McKinnie","CLE",40,593,2.134646962233169,0.7389162561576355,1.3957307060755337,0.34615384615384615,0.24630541871921183,0.16420361247947454,0.49261083743842365,0.08210180623973727,0.16420361247947454,0,0.3284072249589491,0.08210180623973727
"John Henson","CLE",29,412,2.482269503546099,0.9456264775413712,1.5366430260047281,0.38095238095238093,0.1182033096926714,0.1182033096926714,0.8274231678486997,0.4728132387706856,0.2364066193853428,0,0.2364066193853428,0
"Dante Exum","CLE",24,402,2.5578562728380025,1.705237515225335,0.8526187576126675,0.6666666666666666,0.730816077953715,0,0.97442143727162,0.3654080389768575,0.1218026796589525,0,0,0
"Brandon Knight","CLE",16,241,3.193612774451098,1.996007984031936,1.1976047904191616,0.625,0.998003992015968,0,0.998003992015968,0.1996007984031936,0.1996007984031936,0,0.3992015968063872,0
"Andre Drummond","CLE",8,225,6.1571125265392785,3.6093418259023355,2.5477707006369426,0.5862068965517241,1.2738853503184713,0,2.335456475583864,0.21231422505307856,0.42462845010615713,0.42462845010615713,0,0
"Ante Zizic","CLE",22,221,2.192982456140351,1.0964912280701755,1.0964912280701755,0.5,0.8771929824561403,0.21929824561403508,0.21929824561403508,0,0.21929824561403508,0,0,0
"Dean Wade","CLE",12,71,1.9230769230769231,1.2820512820512822,0.6410256410256411,0.6666666666666666,0,0,1.2820512820512822,0.6410256410256411,0,0,0,0
"Tyler Cook","CLE",11,35,1.3513513513513513,1.3513513513513513,0,1,1.3513513513513513,0,0,0,0,0,0,0
"Matt Mooney","CLE",4,19,0,0,0,0,0,0,0,0,0,0,0,0
"Malik Newman","CLE",1,4,14.285714285714286,0,14.285714285714286,0,0,0,0,14.285714285714286,0,0,0,0
"Marques Bolden","CLE",1,3,0,0,0,0,0,0,0,0,0,0,0,0
"J.P. Macura","CLE",1,1,0,0,0,0,0,0,0,0,0,0,0,0
