"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Dorian Finney-Smith","DAL",76,2274,1.6129032258064515,0.8387096774193549,0.7741935483870968,0.52,0.3225806451612903,0.043010752688172046,0.5161290322580645,0.1935483870967742,0.10752688172043011,0.021505376344086023,0.10752688172043011,0
"Tim Hardaway Jr.","DAL",76,2262,1.5036001694197374,0.9318085556967387,0.5717916137229987,0.6197183098591549,0.4023718763235917,0.08470986869970351,0.529436679373147,0.14824227022448117,0.06353240152477764,0,0.042354934349851756,0
"Luka Doncic","DAL",66,2220,6.189136550530188,4.068383466782082,2.1207530837481063,0.6573426573426573,1.2334992425881843,0.2596840510711967,2.8348842241938974,0.8006924908028565,0.2596840510711967,0,0,0
"Maxi Kleber","DAL",79,2057,1.4605418138987043,0.541813898704358,0.9187279151943463,0.3709677419354839,0.21201413427561838,0.1413427561837456,0.3297997644287397,0.1413427561837456,0.09422850412249706,0,0.11778563015312132,0.023557126030624265
"Kristaps Porzingis","DAL",60,1908,2.386335091685506,1.2057272042200453,1.1806078874654609,0.5052631578947369,0.4772670183371012,0.12559658377292138,0.728460185882944,0.22607385079125847,0.2009545340366742,0,0.025119316754584276,0
"Seth Curry","DAL",69,1720,1.9068984856982614,1.0095344924284912,0.89736399326977,0.5294117647058824,0.448681996634885,0.16825574873808188,0.5608524957936063,0.16825574873808188,0.28042624789680315,0,0.028042624789680313,0
"Delon Wright","DAL",77,1623,2.3325358851674642,1.7344497607655502,0.5980861244019139,0.7435897435897436,0.6279904306220095,0.14952153110047847,1.1064593301435406,0.17942583732057416,0.14952153110047847,0,0.029904306220095694,0
"Dwight Powell","DAL",40,1061,1.6713091922005572,0.6035283194057567,1.0677808727948004,0.3611111111111111,0.18570102135561745,0.09285051067780872,0.4178272980501393,0.1392757660167131,0.23212627669452182,0.04642525533890436,0.04642525533890436,0.09285051067780872
"Justin Jackson","DAL",67,1059,0.6433823529411765,0.36764705882352944,0.2757352941176471,0.5714285714285714,0.09191176470588236,0,0.2757352941176471,0.09191176470588236,0.04595588235294118,0,0,0
"Jalen Brunson","DAL",57,1022,3.1624341159559175,1.6291327264015334,1.5333013895543843,0.5151515151515151,0.6708193579300431,0.09583133684714902,0.9583133684714902,0.6229036895064686,0.19166267369429804,0,0.09583133684714902,0
"Boban Marjanovic","DAL",46,487,3.2967032967032965,1.5984015984015985,1.6983016983016983,0.48484848484848486,0.6993006993006993,0.1998001998001998,0.8991008991008991,0.2997002997002997,0.2997002997002997,0.0999000999000999,0,0
"J.J. Barea","DAL",30,455,4.189044038668099,3.007518796992481,1.1815252416756177,0.717948717948718,0.644468313641246,0.10741138560687433,2.3630504833512354,0.644468313641246,0.10741138560687433,0,0.10741138560687433,0
"Courtney Lee","DAL",24,345,1.5580736543909348,1.13314447592068,0.42492917847025496,0.7272727272727273,0.28328611898017,0,0.8498583569405099,0,0.42492917847025496,0,0,0
"Trey Burke","DAL",13,312,2.147239263803681,1.0736196319018405,1.0736196319018405,0.5,0.15337423312883436,0.4601226993865031,0.9202453987730062,0,0,0,0,0
"Ryan Broekhoff","DAL",17,180,1.566579634464752,1.3054830287206267,0.26109660574412535,0.8333333333333334,0.26109660574412535,0.26109660574412535,1.0443864229765014,0,0,0,0,0
"Michael Kidd-Gilchrist","DAL",18,170,2.865329512893983,0.8595988538681948,2.005730659025788,0.3,0.5730659025787965,0,0.28653295128939826,0.8595988538681948,0.5730659025787965,0,0.28653295128939826,0
"Willie Cauley-Stein","DAL",13,157,1.5772870662460567,0.31545741324921134,1.2618296529968454,0.2,0,0,0.31545741324921134,0,0.31545741324921134,0.31545741324921134,0,0
"Antonius Cleveland","DAL",12,53,1.7857142857142858,0.8928571428571429,0.8928571428571429,0.5,0,0,0.8928571428571429,0,0.8928571428571429,0,0,0
"Josh Reaves","DAL",5,36,1.36986301369863,0,1.36986301369863,0,0,0,0,0,0,0,0,0
