"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Langston Galloway","DET",66,1702,1.155067860236789,0.7796708056598325,0.3753970545769564,0.675,0.14438348252959862,0.11550678602367889,0.635287323130234,0.11550678602367889,0,0,0.028876696505919723,0.028876696505919723
"Andre Drummond","DET",49,1654,5.201793721973094,2.3318385650224216,2.8699551569506725,0.4482758620689655,1.1360239162929746,0.26905829596412556,1.195814648729447,0.47832585949177875,0.5680119581464873,0.23916292974588937,0.029895366218236172,0.11958146487294469
"Tony Snell","DET",59,1641,0.9411050394656952,0.5768063145112325,0.36429872495446264,0.6129032258064516,0.15179113539769276,0.09107468123861566,0.42501517911353975,0.15179113539769276,0,0,0,0
"Bruce Brown","DET",58,1634,3.0873726458783577,1.9759184933621488,1.1114541525162087,0.64,0.6483482556344551,0.1234949058351343,1.3275702377276937,0.5557270762581044,0.09262117937635073,0,0,0
"Christian Wood","DET",62,1325,3.137840866641763,1.6062756817332835,1.5315651849084797,0.5119047619047619,0.8591707134852447,0.2614867388868136,0.7471049682480388,0.14942099364960776,0.33619723571161747,0.03735524841240194,0.07471049682480388,0.07471049682480388
"Derrick Rose","DET",50,1298,4.682274247491639,3.3444816053511706,1.3377926421404682,0.7142857142857143,1.4492753623188406,0.2229654403567447,1.89520624303233,0.7432181345224823,0.11148272017837235,0,0.07432181345224824,0
"Svi Mykhailiuk","DET",56,1265,2.3615950445218736,1.3550135501355014,1.0065814943863725,0.5737704918032787,0.19357336430507163,0.19357336430507163,1.1614401858304297,0.3097173828881146,0.1548586914440573,0,0.1548586914440573,0
"Markieff Morris","DET",44,988,3.4739454094292803,1.6377171215880892,1.836228287841191,0.4714285714285714,0.49627791563275436,0.1488833746898263,1.1414392059553349,0.24813895781637718,0.3970223325062035,0.04962779156327544,0.04962779156327544,0
"Luke Kennard","DET",28,922,2.3068669527896994,1.4484978540772533,0.8583690987124464,0.627906976744186,0.5364806866952789,0.1072961373390558,0.9120171673819742,0.2145922746781116,0.1609442060085837,0,0.0536480686695279,0
"Thon Maker","DET",60,776,2.9277813923227067,1.3012361743656473,1.6265452179570592,0.4444444444444444,0.5204944697462589,0.13012361743656473,0.7807417046193884,0.6506180871828237,0.13012361743656473,0,0,0.06506180871828236
"Sekou Doumbouya","DET",38,754,2.3302263648468706,0.5326231691078562,1.7976031957390146,0.22857142857142856,0.3994673768308921,0.19973368841544606,0.13315579227696406,0.06657789613848203,0.5992010652463382,0,0.06657789613848203,0
"Blake Griffin","DET",18,512,3.8910505836575875,2.431906614785992,1.4591439688715953,0.625,0.7782101167315175,0.09727626459143969,1.6536964980544746,0.48638132295719844,0.6809338521400778,0,0,0.09727626459143969
"Reggie Jackson","DET",14,381,3.0585106382978724,2.127659574468085,0.9308510638297872,0.6956521739130435,0.5319148936170213,0.13297872340425532,1.5957446808510638,0.5319148936170213,0.26595744680851063,0,0,0
"Tim Frazier","DET",27,355,5.034965034965035,3.2167832167832167,1.8181818181818181,0.6388888888888888,1.118881118881119,0.4195804195804196,2.097902097902098,0.5594405594405595,0.4195804195804196,0,0,0
"Brandon Knight","DET",9,221,5.104408352668213,3.7122969837587005,1.3921113689095128,0.7272727272727273,1.160092807424594,0.23201856148491878,2.5522041763341066,0.6960556844547564,0,0,0,0
"John Henson","DET",11,188,4.065040650406504,2.9810298102981028,1.084010840108401,0.7333333333333333,1.084010840108401,0,1.897018970189702,0.5420054200542005,0,0.27100271002710025,0,0
"Jordan McRae","DET",4,98,2.6595744680851063,2.6595744680851063,0,1,1.0638297872340425,0,1.5957446808510638,0,0,0,0,0
"Louis King","DET",10,62,1.6260162601626016,0,1.6260162601626016,0,0,0,0,0.8130081300813008,0,0,0,0
"Khyri Thomas","DET",8,61,2.586206896551724,1.7241379310344827,0.8620689655172413,0.6666666666666666,0,0,1.7241379310344827,0.8620689655172413,0,0,0,0
"Jordan Bone","DET",10,53,1.9047619047619047,0,1.9047619047619047,0,0,0,0,0,0,0,0,0
"Donta Hall","DET",4,48,2.197802197802198,1.098901098901099,1.098901098901099,0.5,0,0,1.098901098901099,0,0,0,0,0
"Derrick Walton Jr.","DET",3,26,1.9230769230769231,0,1.9230769230769231,0,0,0,0,0,0,0,0,0
