"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Eric Paschall","GSW",60,1654,2.742923840093376,1.4590020426028596,1.2839217974905164,0.5319148936170213,0.8170411438576014,0.08754012255617158,0.6419608987452582,0.3209804493726291,0.20426028596440035,0,0,0
"Glenn Robinson III","GSW",48,1516,1.589319771137953,1.112523839796567,0.47679593134138587,0.7,0.47679593134138587,0.09535918626827718,0.6357279084551812,0.1589319771137953,0.09535918626827718,0,0.03178639542275906,0
"Damion Lee","GSW",49,1422,2.24305323066622,1.004352192835621,1.2387010378305994,0.44776119402985076,0.16739203213927017,0.16739203213927017,0.8369601606963508,0.43521928356210243,0.26782725142283226,0,0.03347840642785403,0
"Alec Burks","GSW",48,1390,2.635228848821082,1.6296809986130374,1.0055478502080444,0.618421052631579,0.3814147018030513,0.10402219140083217,1.248266296809986,0.34674063800277394,0.10402219140083217,0,0.13869625520110956,0
"Jordan Poole","GSW",57,1274,2.7632561613144135,1.3816280806572068,1.3816280806572068,0.5,0.5601194921583271,0.29873039581777444,0.8215085884988798,0.33607169529499625,0.37341299477221807,0,0.037341299477221805,0
"Draymond Green","GSW",43,1222,3.8087835211815,2.137582588418189,1.6712009327633113,0.5612244897959183,0.3109211037699184,0.0777302759424796,1.8266614846482705,1.0493587252234746,0.3109211037699184,0,0,0
"Marquese Chriss","GSW",59,1196,3.140096618357488,1.247987117552335,1.892109500805153,0.3974358974358974,0.5233494363929146,0.1610305958132045,0.7246376811594203,0.4428341384863124,0.24154589371980675,0,0,0.040257648953301126
"D'Angelo Russell","GSW",33,1060,4.464285714285714,3.3482142857142856,1.1160714285714286,0.75,0.9375,0.22321428571428573,2.4107142857142856,0.7589285714285714,0,0,0.044642857142857144,0
"Ky Bowman","GSW",45,1015,3.3317467872441693,2.284626368396002,1.0471204188481675,0.6857142857142857,0.7615421227986673,0.09519276534983341,1.5230842455973346,0.3331746787244169,0.19038553069966682,0,0.14278914802475012,0
"Willie Cauley-Stein","GSW",41,941,1.8210197710718001,1.0405827263267429,0.7804370447450573,0.5714285714285714,0.46826222684703434,0.2081165452653486,0.5723204994797086,0.05202913631633715,0.2081165452653486,0,0,0
"Omari Spellman","GSW",49,886,2.915766738660907,1.673866090712743,1.2419006479481642,0.5740740740740741,0.48596112311015116,0,1.187904967602592,0.48596112311015116,0.3779697624190065,0,0.05399568034557235,0
"Jacob Evans","GSW",27,414,2.8901734104046244,1.7341040462427746,1.1560693641618498,0.6,0.3468208092485549,0,1.3872832369942196,0.5780346820809249,0,0,0.23121387283236994,0
"Andrew Wiggins","GSW",12,403,2.9940119760479043,2.155688622754491,0.8383233532934131,0.72,0.718562874251497,0.23952095808383234,1.437125748502994,0,0.3592814371257485,0,0,0
"Juan Toscano-Anderson","GSW",13,272,2.909090909090909,1.8181818181818181,1.0909090909090908,0.625,0.5454545454545454,0.18181818181818182,1.2727272727272727,0.18181818181818182,0.36363636363636365,0,0.18181818181818182,0
"Kevon Looney","GSW",20,262,2.2140221402214024,0.7380073800738007,1.4760147601476015,0.3333333333333333,0.18450184501845018,0,0.5535055350553506,0.18450184501845018,0.18450184501845018,0,0,0.18450184501845018
"Mychal Mulder","GSW",7,204,1.2048192771084338,0.7228915662650602,0.4819277108433735,0.6,0.24096385542168675,0,0.4819277108433735,0.24096385542168675,0,0,0,0
"Dragan Bender","GSW",9,195,4.0201005025125625,1.7587939698492463,2.2613065326633164,0.4375,0.25125628140703515,0,1.5075376884422111,0.5025125628140703,0.5025125628140703,0.25125628140703515,0,0
"Stephen Curry","GSW",5,139,5.111821086261981,3.5143769968051117,1.597444089456869,0.6875,0.9584664536741214,0.3194888178913738,2.5559105431309903,0.3194888178913738,0.3194888178913738,0,0,0
"Alen Smailagic","GSW",14,139,3.7800687285223367,1.7182130584192439,2.0618556701030926,0.45454545454545453,1.0309278350515463,0,0.6872852233676976,1.0309278350515463,0.3436426116838488,0.3436426116838488,0,0
"Jeremy Pargo","GSW",3,44,4.49438202247191,3.3707865168539324,1.1235955056179776,0.75,0,0,3.3707865168539324,0,0,0,0,0
"Chasson Randle","GSW",3,40,0,0,0,0,0,0,0,0,0,0,0,0
"Zach Norvell Jr.","GSW",3,36,3.8461538461538463,1.2820512820512822,2.5641025641025643,0.3333333333333333,0,0,1.2820512820512822,2.5641025641025643,0,0,0,0
