"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"James Harden","HOU",72,2633,5.70096808892076,3.442093940480459,2.258874148440301,0.6037735849056604,1.4700609537468627,0.28684116170670493,1.9720329867335962,0.7171029042667623,0.1254930082466834,0,0.14342058085335246,0.017927572606669058
"P.J. Tucker","HOU",76,2614,1.3896408590507128,0.5233712326294893,0.8662696264212236,0.37662337662337664,0.14437827107020393,0.01804728388377549,0.3789929615592853,0.3068038260241834,0.07218913553510196,0,0.12633098718642843,0
"Danuel House Jr.","HOU",67,2060,1.3430457546096062,0.6601411336216708,0.6829046209879354,0.4915254237288136,0.13658092419758708,0.11381743683132256,0.5235602094240838,0.13658092419758708,0.1593444115638516,0,0.04552697473252902,0
"Russell Westbrook","HOU",57,2049,5.680552461572733,3.764758298061929,1.9157941635108042,0.6627450980392157,1.4257072844731566,0.35642682111828916,2.3390510135887728,0.5791935843172199,0.20049008687903766,0,0.1559367342392515,0
"Ben McLemore","HOU",75,1683,1.4150943396226414,0.7214206437291898,0.6936736958934517,0.5098039215686274,0.16648168701442842,0.11098779134295228,0.5549389567147613,0.05549389567147614,0.24972253052164262,0,0.02774694783573807,0
"Austin Rivers","HOU",72,1677,1.4742698191933241,0.8066759388038943,0.6675938803894298,0.5471698113207547,0.3616133518776078,0.13908205841446453,0.44506258692628653,0.16689847009735745,0.13908205841446453,0,0.055632823365785816,0
"Clint Capela","HOU",39,1279,2.3026315789473686,1.0599415204678362,1.2426900584795322,0.4603174603174603,0.5482456140350878,0.25584795321637427,0.5116959064327485,0.29239766081871343,0.21929824561403508,0.07309941520467836,0.03654970760233918,0.03654970760233918
"Eric Gordon","HOU",40,1152,2.0833333333333335,1.0817307692307692,1.001602564102564,0.5192307692307693,0.5208333333333334,0.28044871794871795,0.5608974358974359,0.20032051282051283,0.16025641025641027,0,0.04006410256410257,0
"Robert Covington","HOU",26,838,2.0316027088036117,1.0158013544018059,1.0158013544018059,0.5,0.45146726862302483,0,0.5643340857787811,0.22573363431151242,0.33860045146726864,0,0,0
"Jeff Green","HOU",22,547,1.697792869269949,0.6791171477079796,1.0186757215619695,0.4,0.5093378607809848,0.2546689303904924,0.1697792869269949,0.2546689303904924,0.08488964346349745,0,0,0
"Thabo Sefolosha","HOU",41,436,1.5940488841657812,0.7438894792773645,0.8501594048884166,0.4666666666666667,0,0,0.7438894792773645,0.10626992561105207,0.3188097768331562,0,0.21253985122210414,0.10626992561105207
"Chris Clemons","HOU",33,291,2.996845425867508,1.5772870662460567,1.4195583596214512,0.5263157894736842,0.31545741324921134,0,1.2618296529968454,0.47318611987381703,0.15772870662460567,0,0.47318611987381703,0
"Isaiah Hartenstein","HOU",23,266,2.8021015761821366,1.0507880910683012,1.7513134851138354,0.375,0.17513134851138354,0.17513134851138354,0.8756567425569177,0.3502626970227671,0.3502626970227671,0,0,0.17513134851138354
"Tyson Chandler","HOU",26,219,1.680672268907563,0.42016806722689076,1.2605042016806722,0.25,0.21008403361344538,0,0.21008403361344538,0,0,0,0,0.42016806722689076
"Gary Clark","HOU",18,212,0.4424778761061947,0.4424778761061947,0,1,0.22123893805309736,0,0.22123893805309736,0,0,0,0,0
"DeMarre Carroll","HOU",10,157,2.0588235294117645,1.7647058823529411,0.29411764705882354,0.8571428571428571,1.1764705882352942,0,0.5882352941176471,0,0.29411764705882354,0,0,0
"Michael Frazier","HOU",14,147,1.5432098765432098,0.30864197530864196,1.2345679012345678,0.2,0,0,0.30864197530864196,0.9259259259259259,0.30864197530864196,0,0,0
"Bruno Caboclo","HOU",9,54,4.838709677419355,2.4193548387096775,2.4193548387096775,0.5,0.8064516129032258,0.8064516129032258,1.6129032258064515,1.6129032258064515,0,0,0,0
"Luc Mbah a Moute","HOU",3,25,1.6666666666666667,1.6666666666666667,0,1,0,0,1.6666666666666667,0,0,0,0,0
"Ryan Anderson","HOU",2,14,3.125,3.125,0,1,0,0,3.125,0,0,0,0,0
"William Howard","HOU",2,13,3.4482758620689653,3.4482758620689653,0,1,3.4482758620689653,0,0,0,0,0,0,0
