"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"T.J. Warren","IND",71,2359,1.9824707846410685,1.0434056761268782,0.9390651085141903,0.5263157894736842,0.5008347245409015,0.10434056761268781,0.5425709515859767,0.10434056761268781,0.20868113522537562,0,0.06260434056761269,0
"Domantas Sabonis","IND",62,2159,3.891941391941392,1.968864468864469,1.9230769230769231,0.5058823529411764,0.8928571428571429,0.13736263736263737,1.076007326007326,0.32051282051282054,0.3434065934065934,0.022893772893772892,0.045787545787545784,0
"Myles Turner","IND",66,1971,2.368951612903226,1.0584677419354838,1.310483870967742,0.44680851063829785,0.4788306451612903,0.05040322580645161,0.5796370967741935,0.15120967741935484,0.2772177419354839,0.05040322580645161,0.07560483870967742,0.025201612903225805
"Justin Holiday","IND",77,1957,1.1627906976744187,0.5442850074220683,0.6185056902523504,0.46808510638297873,0.1979218208807521,0.09896091044037605,0.3463631865413162,0.22266204849084612,0.09896091044037605,0,0,0
"Malcolm Brogdon","IND",58,1826,3.8087520259319287,2.323068611561318,1.4856834143706106,0.6099290780141844,0.7293354943273906,0.3511615343057807,1.5937331172339275,0.4592112371690978,0.10804970286331712,0,0.10804970286331712,0
"Aaron Holiday","IND",70,1689,2.655889145496536,1.6454965357967668,1.010392609699769,0.6195652173913043,0.3464203233256351,0.028868360277136258,1.2990762124711317,0.4330254041570439,0.31755196304849886,0,0.028868360277136258,0
"Doug McDermott","IND",73,1427,1.4556533513879486,0.6770480704129993,0.7786052809749492,0.46511627906976744,0.16926201760324983,0.06770480704129993,0.5077860528097495,0.13540961408259986,0.16926201760324983,0,0.1015572105619499,0
"T.J. McConnell","IND",74,1354,3.6286019210245466,2.3479188900747063,1.2806830309498398,0.6470588235294118,0.9960868018498755,0.1422981145499822,1.351832088224831,0.32017075773745995,0.4624688722874422,0.03557452863749555,0.10672358591248667,0
"Jeremy Lamb","IND",46,1291,1.9076688286913392,1.1446012972148034,0.7630675314765357,0.6,0.3433803891644411,0.11446012972148036,0.8012209080503625,0.19076688286913393,0.11446012972148036,0,0.03815337657382678,0
"Victor Oladipo","IND",23,651,4.545454545454546,3.204172876304024,1.3412816691505216,0.7049180327868853,1.5648286140089418,0.5216095380029806,1.639344262295082,0.44709388971684055,0.14903129657228018,0,0,0
"JaKarr Sampson","IND",38,520,1.565377532228361,0.3683241252302026,1.1970534069981584,0.23529411764705882,0.09208103130755065,0.1841620626151013,0.27624309392265195,0.1841620626151013,0.27624309392265195,0,0,0
"Edmond Sumner","IND",34,487,2.380952380952381,1.3888888888888888,0.9920634920634921,0.5833333333333334,0.49603174603174605,0.1984126984126984,0.8928571428571429,0.1984126984126984,0.1984126984126984,0,0.1984126984126984,0
"Goga Bitadze","IND",54,471,2.797202797202797,0.6993006993006993,2.097902097902098,0.25,0.2997002997002997,0.1998001998001998,0.3996003996003996,0.2997002997002997,0.4995004995004995,0.1998001998001998,0.0999000999000999,0
"TJ Leaf","IND",28,222,1.6771488469601676,1.4675052410901468,0.20964360587002095,0.875,1.0482180293501049,0,0.4192872117400419,0,0.20964360587002095,0,0,0
"Alize Johnson","IND",18,118,2.766798418972332,0.7905138339920948,1.976284584980237,0.2857142857142857,0.7905138339920948,0.3952569169960474,0,0.3952569169960474,1.1857707509881423,0,0,0
"Naz Mitrou-Long","IND",5,47,3.125,2.0833333333333335,1.0416666666666667,0.6666666666666666,0,0,2.0833333333333335,1.0416666666666667,0,0,0,0
"Brian Bowen II","IND",6,31,1.5384615384615385,1.5384615384615385,0,1,0,0,1.5384615384615385,0,0,0,0,0
