"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Kawhi Leonard","LAC",62,2042,3.8169748696064487,2.0151730678046467,1.8018018018018018,0.5279503105590062,0.9246088193456614,0.1896633475580844,1.0905642484589853,0.474158368895211,0.3793266951161688,0,0.0474158368895211,0
"Lou Williams","LAC",70,2010,4.485549132947977,3.167630057803468,1.3179190751445087,0.7061855670103093,0.5780346820809249,0.23121387283236994,2.5895953757225434,0.5549132947976878,0.20809248554913296,0,0.046242774566473986,0
"Montrezl Harrell","LAC",68,1844,2.8875379939209727,1.342451874366768,1.5450861195542047,0.4649122807017544,0.7852077001013171,0.25329280648429586,0.5572441742654508,0.22796352583586627,0.40526849037487334,0.025329280648429583,0,0.025329280648429583
"Paul George","LAC",53,1596,4.073075771188979,2.395926924228811,1.6771488469601676,0.5882352941176471,0.7786762503743636,0.2994908655286014,1.6172506738544474,0.6289308176100629,0.08984725965858041,0,0,0
"Landry Shamet","LAC",58,1551,1.4386287113559841,0.8264462809917356,0.6121824303642486,0.574468085106383,0.18365472910927455,0.12243648607284971,0.642791551882461,0.15304560759106214,0.12243648607284971,0,0.061218243036424855,0
"Ivica Zubac","LAC",77,1441,2.0924738440769493,0.809989875126561,1.2824839689503882,0.3870967741935484,0.37124535943300707,0.06749915626054674,0.4387445156935538,0.16874789065136686,0.10124873439082012,0.13499831252109348,0,0.06749915626054674
"JaMychal Green","LAC",68,1376,1.9171516603902774,0.5819924683327627,1.3351591920575145,0.30357142857142855,0.13693940431359122,0.10270455323519342,0.4450530640191715,0.17117425539198905,0.4450530640191715,0,0.10270455323519342,0
"Patrick Beverley","LAC",52,1362,2.4053767244428723,1.4503006720905554,0.955076052352317,0.6029411764705882,0.2476123098691192,0.10611956137247966,1.2026883622214362,0.17686593562079944,0.10611956137247966,0,0.17686593562079944,0
"Maurice Harkless","LAC",50,1141,1.9198664440734559,0.8347245409015025,1.0851419031719534,0.43478260869565216,0.12520868113522537,0.08347245409015025,0.7095158597662772,0.25041736227045075,0.20868113522537562,0.041736227045075125,0.041736227045075125,0
"Rodney McGruder","LAC",58,879,1.2765957446808511,0.7446808510638298,0.5319148936170213,0.5833333333333334,0.1595744680851064,0.10638297872340426,0.5851063829787234,0.1595744680851064,0.10638297872340426,0,0.05319148936170213,0
"Patrick Patterson","LAC",60,781,1.2658227848101267,0.3616636528028933,0.9041591320072333,0.2857142857142857,0.12055455093429777,0,0.24110910186859555,0.3013863773357444,0.06027727546714889,0,0,0
"Marcus Morris Sr.","LAC",24,711,1.8392370572207084,1.021798365122616,0.8174386920980926,0.5555555555555556,0.5449591280653951,0.0681198910081744,0.4768392370572207,0.0681198910081744,0.2724795640326976,0,0.0681198910081744,0
"Jerome Robinson","LAC",42,476,2.4975984630163306,1.536983669548511,0.9606147934678194,0.6153846153846154,0.19212295869356388,0.19212295869356388,1.344860710854947,0.2881844380403458,0.19212295869356388,0,0.09606147934678194,0
"Reggie Jackson","LAC",22,472,3.048780487804878,1.4227642276422765,1.6260162601626016,0.4666666666666667,0.4065040650406504,0.2032520325203252,1.016260162601626,0.508130081300813,0.3048780487804878,0,0,0
"Terance Mann","LAC",46,379,2.4600246002460024,1.5990159901599017,0.8610086100861009,0.65,0.4920049200492005,0,1.1070110701107012,0.36900369003690037,0.12300123001230012,0,0,0
"Derrick Walton Jr.","LAC",23,222,0.8492569002123143,0.42462845010615713,0.42462845010615713,0.5,0,0,0.42462845010615713,0.21231422505307856,0,0,0,0
"Amir Coffey","LAC",20,164,2.2792022792022792,0.8547008547008547,1.4245014245014245,0.375,0,0.2849002849002849,0.8547008547008547,0.5698005698005698,0.2849002849002849,0,0,0
"Mfiondu Kabengele","LAC",12,64,1.492537313432836,1.492537313432836,0,1,0.746268656716418,0,0.746268656716418,0,0,0,0,0
"Joakim Noah","LAC",6,51,5.217391304347826,2.608695652173913,2.608695652173913,0.5,0.8695652173913043,0,1.7391304347826086,1.7391304347826086,0,0,0,0
"Johnathan Motley","LAC",13,41,5.555555555555555,2.2222222222222223,3.3333333333333335,0.4,1.1111111111111112,0,1.1111111111111112,1.1111111111111112,1.1111111111111112,0,0,0
