"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"LeBron James","LAL",71,2447,5.555555555555555,3.420324238829577,2.1352313167259784,0.6156583629893239,0.9094503756425465,0.15816528272044286,2.5108738631870304,0.9687623566627125,0.21747726374060894,0,0.05931198102016608,0
"Anthony Davis","LAL",66,2258,3.341038033200252,1.9752048749737339,1.3658331582265182,0.5911949685534591,0.8825383483925194,0.16810254255095608,1.0926665265812145,0.3992435385585207,0.2941794494641731,0.02101281781886951,0.10506408909434756,0.04202563563773902
"Kentavious Caldwell-Pope","LAL",73,1864,1.6448213826779747,1.002313030069391,0.642508352608584,0.609375,0.20560267283474684,0.17990233873040348,0.796710357234644,0.2570033410434336,0.07710100231303008,0,0.05140066820868671,0
"Danny Green","LAL",72,1789,1.7539197448844008,0.8769598724422004,0.8769598724422004,0.5,0.2125963327132607,0.13287270794578793,0.6643635397289397,0.2391708743024183,0.07972362476747276,0,0.1860217911241031,0
"Kyle Kuzma","LAL",65,1622,2.749341912840012,1.3161743199766014,1.4331675928634104,0.4787234042553192,0.5264697279906405,0.14624159110851126,0.7897045919859608,0.26323486399532026,0.35097981866042705,0,0.029248318221702253,0.08774495466510676
"Dwight Howard","LAL",73,1380,3.154121863799283,0.8960573476702509,2.2580645161290325,0.2840909090909091,0.5017921146953405,0.10752688172043011,0.3942652329749104,0.25089605734767023,0.14336917562724014,0.21505376344086022,0,0
"Alex Caruso","LAL",68,1269,2.2289384208537966,1.4733660748016622,0.7555723460521345,0.6610169491525424,0.45334340763128067,0.18889308651303363,1.0200226671703816,0.415564790328674,0,0,0,0
"Avery Bradley","LAL",49,1186,1.88,1.16,0.72,0.6170212765957447,0.36,0.08,0.8,0.24,0.04,0,0.12,0.04
"JaVale McGee","LAL",72,1184,2.2699635184434537,1.0133765707336846,1.2565869477097689,0.44642857142857145,0.3242805026347791,0.12160518848804215,0.6890960680989056,0.12160518848804215,0.2837454398054317,0.12160518848804215,0,0.040535062829347386
"Rajon Rondo","LAL",48,984,4.476143630103295,2.410231185440236,2.0659124446630597,0.5384615384615384,0.19675356615838663,0.14756517461878996,2.2134776192818495,1.0821446138711264,0.24594195769798327,0,0.14756517461878996,0
"Quinn Cook","LAL",46,525,3.076923076923077,2.171945701357466,0.9049773755656109,0.7058823529411765,0.8144796380090498,0.18099547511312217,1.3574660633484164,0.18099547511312217,0.36199095022624433,0,0,0
"Troy Daniels","LAL",41,456,0.9574468085106383,0.5319148936170213,0.425531914893617,0.5555555555555556,0.3191489361702128,0,0.2127659574468085,0,0,0,0.2127659574468085,0
"Jared Dudley","LAL",47,378,1.1734028683181226,0.9126466753585397,0.2607561929595828,0.7777777777777778,0.1303780964797914,0,0.7822685788787483,0.1303780964797914,0,0,0.1303780964797914,0
"Markieff Morris","LAL",18,271,1.2280701754385965,0.7017543859649122,0.5263157894736842,0.5714285714285714,0.17543859649122806,0.3508771929824561,0.5263157894736842,0.17543859649122806,0,0,0,0
"Dion Waiters","LAL",10,195,3.4313725490196076,2.450980392156863,0.9803921568627451,0.7142857142857143,0.24509803921568626,0.49019607843137253,2.2058823529411766,0,0,0,0,0
"JR Smith","LAL",9,126,3.816793893129771,1.5267175572519085,2.2900763358778624,0.4,0,0,1.5267175572519085,0.3816793893129771,0.7633587786259542,0,0.3816793893129771,0
"Talen Horton-Tucker","LAL",6,81,3.4482758620689653,2.2988505747126435,1.1494252873563218,0.6666666666666666,0.5747126436781609,0,1.7241379310344827,0.5747126436781609,0,0,0,0
"Kostas Antetokounmpo","LAL",5,20,2.2222222222222223,2.2222222222222223,0,1,2.2222222222222223,0,0,0,0,0,0,0
"Devontae Cacok","LAL",1,9,0,0,0,0,0,0,0,0,0,0,0,0
"Zach Norvell Jr.","LAL",2,5,0,0,0,0,0,0,0,0,0,0,0,0
