"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Bam Adebayo","MIA",76,2554,4.209705710387839,2.163320990060417,2.0463847203274215,0.5138888888888888,0.7990645098421361,0.2728512960436562,1.364256480218281,0.6041707269538101,0.3118300526213214,0.05846813486649776,0.038978756577665176,0.038978756577665176
"Duncan Robinson","MIA",77,2266,1.6311439756415833,0.6307090039147455,1.0004349717268377,0.38666666666666666,0.13049151805132667,0.08699434536755112,0.5002174858634189,0.06524575902566333,0.23923444976076555,0.02174858634188778,0.3044802087864289,0
"Jimmy Butler","MIA",62,2094,3.3506370929683813,1.9112789051439358,1.4393581878244455,0.5704225352112676,0.2831524303916942,0.1415762151958471,1.6281264747522417,0.49551675318546484,0.18876828692779613,0,0.09438414346389806,0.023596035865974516
"Kendrick Nunn","MIA",68,1977,2.844311377245509,1.9211576846307385,0.9231536926147704,0.6754385964912281,0.7485029940119761,0.0499001996007984,1.1726546906187625,0.249500998003992,0.124750499001996,0,0.0499001996007984,0
"Goran Dragic","MIA",63,1800,4.172311026821999,2.384177729612571,1.7881332972094284,0.5714285714285714,0.5147656461663506,0.2438363587103766,1.8694120834462205,0.6231373611487402,0.270929287455974,0,0.1083717149823896,0
"Tyler Herro","MIA",59,1638,2.7091396248883597,1.816016671628461,0.8931229532598988,0.6703296703296703,0.5954153021732659,0.14885382554331647,1.220601369455195,0.14885382554331647,0.20839535576064305,0,0.11908306043465317,0
"Derrick Jones Jr.","MIA",63,1418,1.0903974674639465,0.4924375659514597,0.5979599015124868,0.45161290322580644,0.35174111853675694,0.035174111853675694,0.14069644741470277,0.10552233556102708,0.24621878297572986,0,0.07034822370735139,0.035174111853675694
"Kelly Olynyk","MIA",71,1355,2.6661926768574475,1.1731247778172769,1.4930678990401707,0.44,0.46214006398862423,0.03554923569143263,0.7109847138286527,0.21329541414859582,0.3199431212228937,0.03554923569143263,0.10664770707429791,0
"Meyers Leonard","MIA",51,1034,1.8895348837209303,0.9205426356589147,0.9689922480620154,0.48717948717948717,0.24224806201550386,0.04844961240310078,0.6782945736434108,0.14534883720930233,0.24224806201550386,0.04844961240310078,0.04844961240310078,0
"Jae Crowder","MIA",24,656,1.1904761904761905,0.6696428571428571,0.5208333333333334,0.5625,0.1488095238095238,0,0.5208333333333334,0.1488095238095238,0,0,0,0
"Andre Iguodala","MIA",25,525,2.5854108956602033,1.3850415512465375,1.2003693444136658,0.5357142857142857,0.2770083102493075,0.18467220683287167,1.10803324099723,0.2770083102493075,0.18467220683287167,0,0,0
"Justise Winslow","MIA",11,352,3.195739014647137,1.5978695073235685,1.5978695073235685,0.5,0.2663115845539281,0.2663115845539281,1.3315579227696406,0.7989347536617842,0.13315579227696406,0,0,0
"Chris Silva","MIA",44,346,4.166666666666667,2.361111111111111,1.8055555555555556,0.5666666666666667,0.9722222222222222,0,1.3888888888888888,0,0,0,0.1388888888888889,0
"James Johnson","MIA",18,281,2.6595744680851063,0.7092198581560284,1.950354609929078,0.26666666666666666,0.3546099290780142,0,0.3546099290780142,0.3546099290780142,0.7092198581560284,0,0,0
"Solomon Hill","MIA",11,187,2.849740932642487,2.0725388601036268,0.7772020725388601,0.7272727272727273,0.5181347150259067,0,1.5544041450777202,0.5181347150259067,0.25906735751295334,0,0,0
"Gabe Vincent","MIA",9,83,0.5847953216374269,0.5847953216374269,0,1,0.5847953216374269,0,0,0,0,0,0,0
"Udonis Haslem","MIA",4,44,1.1627906976744187,0,1.1627906976744187,0,0,0,0,0,0,0,0,1.1627906976744187
"Dion Waiters","MIA",3,42,3.5714285714285716,1.1904761904761905,2.380952380952381,0.3333333333333333,1.1904761904761905,0,0,0,0,0,0,0
"KZ Okpala","MIA",5,26,2.127659574468085,2.127659574468085,0,1,0,0,2.127659574468085,0,0,0,0,0
"Daryl Macon","MIA",4,14,7.142857142857143,0,7.142857142857143,0,0,3.5714285714285716,0,0,3.5714285714285716,0,0,0
"Kyle Alexander","MIA",2,13,3.225806451612903,3.225806451612903,0,1,0,0,3.225806451612903,0,0,0,0,0
