"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Shai Gilgeous-Alexander","OKC",74,2593,2.605740181268882,1.5294561933534743,1.0762839879154078,0.5869565217391305,0.5853474320241692,0.16993957703927492,0.9441087613293051,0.26435045317220546,0.28323262839879154,0,0.0188821752265861,0
"Chris Paul","OKC",74,2359,3.603976801988401,2.299088649544325,1.3048881524440763,0.6379310344827587,0.6835128417564209,0.16570008285004142,1.6155758077879039,0.6420878210439105,0.14498757249378624,0,0.020712510356255178,0
"Dennis Schroder","OKC",69,2133,4.017249205628688,2.3604176123468,1.6568315932818882,0.5875706214689266,0.6581933726736269,0.3177485247389923,1.702224239673173,0.5901044030867,0.18157058556513844,0,0.022696323195642305,0
"Danilo Gallinari","OKC",66,1969,2.0631369624658213,0.9197116579666915,1.14342530449913,0.4457831325301205,0.49714143673875216,0.12428535918468804,0.42257022122793936,0.24857071836937608,0.3231419338801889,0,0.024857071836937607,0
"Steven Adams","OKC",67,1800,2.871205906480722,1.4492753623188406,1.4219305441618812,0.5047619047619047,0.6836204539239814,0.16406890894175555,0.7656549083948592,0.2461033634126333,0.2461033634126333,0.08203445447087777,0.027344818156959255,0.027344818156959255
"Terrance Ferguson","OKC",58,1276,1.2152097216777735,0.5096040768326147,0.7056056448451588,0.41935483870967744,0.11760094080752646,0.11760094080752646,0.3920031360250882,0.15680125441003528,0.11760094080752646,0,0.03920031360250882,0
"Darius Bazley","OKC",65,1193,1.968019680196802,1.1480114801148011,0.8200082000820008,0.5833333333333334,0.36900369003690037,0.04100041000410004,0.7790077900779008,0.08200082000820008,0.2870028700287003,0,0,0
"Nerlens Noel","OKC",65,1180,2.759197324414716,1.3377926421404682,1.4214046822742474,0.48484848484848486,0.459866220735786,0.08361204013377926,0.8779264214046822,0.29264214046822745,0.20903010033444816,0.04180602006688963,0.04180602006688963,0.16722408026755853
"Luguentz Dort","OKC",39,917,1.3903743315508021,0.5882352941176471,0.8021390374331551,0.4230769230769231,0.32085561497326204,0,0.26737967914438504,0.32085561497326204,0.21390374331550802,0,0.053475935828877004,0
"Hamidou Diallo","OKC",48,914,2.6870389884088515,1.2644889357218125,1.422550052687039,0.47058823529411764,0.5795574288724974,0.26343519494204426,0.684931506849315,0.2107481559536354,0.26343519494204426,0,0,0
"Abdel Nader","OKC",57,879,2.3743787962451686,0.9939260077305356,1.3804527885146327,0.4186046511627907,0.27609055770292656,0.16565433462175594,0.7178354500276091,0.16565433462175594,0.5521811154058531,0,0.11043622308117063,0
"Mike Muscala","OKC",48,584,1.3776337115072934,0.4862236628849271,0.8914100486223663,0.35294117647058826,0.1620745542949757,0.1620745542949757,0.3241491085899514,0,0.1620745542949757,0,0,0
"Deonte Burton","OKC",40,358,2.480417754569191,1.0443864229765014,1.4360313315926894,0.42105263157894735,0.26109660574412535,0.13054830287206268,0.783289817232376,0.26109660574412535,0.5221932114882507,0,0.13054830287206268,0
"Andre Roberson","OKC",8,90,1.0471204188481675,0.5235602094240838,0.5235602094240838,0.5,0.5235602094240838,0,0,0,0,0,0.5235602094240838,0
"Devon Hall","OKC",11,81,2.73224043715847,2.185792349726776,0.546448087431694,0.8,0.546448087431694,0,1.639344262295082,0,0,0,0,0
"Kevin Hervey","OKC",10,52,0,0,0,0,0,0,0,0,0,0,0,0
"Justin Patton","OKC",5,24,3.5714285714285716,1.7857142857142858,1.7857142857142858,0.5,1.7857142857142858,0,0,0,0,0,0,0
"Isaiah Roby","OKC",3,11,4,4,0,1,0,0,4,0,0,0,0,0
