"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Evan Fournier","ORL",70,2213,2.93598233995585,1.7218543046357615,1.2141280353200883,0.5864661654135338,0.7505518763796909,0.17660044150110377,0.9713024282560706,0.26490066225165565,0.24282560706401765,0.02207505518763797,0.02207505518763797,0
"Nikola Vucevic","ORL",66,2144,2.269117313365101,1.1118674835488995,1.1572498298162015,0.49,0.5899705014749262,0.13614703880190607,0.5218969820739732,0.2949852507374631,0.2949852507374631,0.02269117313365101,0.02269117313365101,0.06807351940095303
"Markelle Fultz","ORL",76,2111,3.660220994475138,2.46316758747698,1.1970534069981584,0.6729559748427673,0.9208103130755064,0.16114180478821363,1.5423572744014733,0.39134438305709024,0.13812154696132597,0,0,0
"Aaron Gordon","ORL",62,2017,2.444987775061125,1.3447432762836187,1.1002444987775062,0.55,0.5623471882640587,0.097799511002445,0.78239608801956,0.24449877750611246,0.1466992665036675,0,0.0488997555012225,0.02444987775061125
"Terrence Ross","ORL",73,2001,1.851400730816078,0.9987819732034104,0.8526187576126675,0.5394736842105263,0.292326431181486,0.1218026796589525,0.7064555420219245,0.1705237515225335,0.146163215590743,0,0.024360535931790498,0
"D.J. Augustin","ORL",61,1524,3.0798845043310874,2.0532563362207252,1.0266281681103626,0.6666666666666666,0.4491498235482836,0.19249278152069296,1.6041065126724414,0.25665704202759065,0.12832852101379533,0,0,0
"Wes Iwundu","ORL",56,1014,1.3982642237222758,0.626808100289296,0.7714561234329798,0.4482758620689655,0.33751205400192863,0.1446480231436837,0.2892960462873674,0.1446480231436837,0.19286403085824494,0.048216007714561235,0,0
"Khem Birch","ORL",52,992,1.733531451213472,0.5448241703813769,1.188707280832095,0.3142857142857143,0.3467062902426944,0.09905894006934125,0.1981178801386825,0.1981178801386825,0.1485884101040119,0,0.04952947003467063,0.04952947003467063
"Jonathan Isaac","ORL",34,980,2.4402390438247012,1.344621513944223,1.095617529880478,0.5510204081632653,0.647410358565737,0.099601593625498,0.6972111553784861,0.24900398406374502,0.24900398406374502,0.049800796812749,0.049800796812749,0.049800796812749
"Mo Bamba","ORL",62,878,2.3917995444191344,0.7972665148063781,1.5945330296127562,0.3333333333333333,0.39863325740318906,0.11389521640091116,0.39863325740318906,0.11389521640091116,0.2847380410022779,0.11389521640091116,0.11389521640091116,0.05694760820045558
"Michael Carter-Williams","ORL",45,833,3.0375223347230493,2.441929720071471,0.5955926146515783,0.803921568627451,0.714711137581894,0.11911852293031566,1.7272185824895772,0.1786777843954735,0.05955926146515783,0,0.05955926146515783,0
"James Ennis III","ORL",24,578,2.4026512013256007,1.3256006628003314,1.0770505385252693,0.5517241379310345,0.579950289975145,0.24855012427506215,0.7456503728251864,0.08285004142502071,0.08285004142502071,0,0,0
"Gary Clark","ORL",28,474,1.0090817356205852,0.4036326942482341,0.6054490413723511,0.4,0.10090817356205853,0.10090817356205853,0.30272452068617556,0.20181634712411706,0.10090817356205853,0,0,0
"Al-Farouq Aminu","ORL",18,380,2.193548387096774,1.1612903225806452,1.032258064516129,0.5294117647058824,0.3870967741935484,0,0.7741935483870968,0.12903225806451613,0.3870967741935484,0,0,0
"Melvin Frazier Jr.","ORL",19,126,1.8726591760299625,1.4981273408239701,0.37453183520599254,0.8,0.7490636704119851,0,0.7490636704119851,0,0.37453183520599254,0,0,0
"BJ Johnson","ORL",11,86,3.125,2.0833333333333335,1.0416666666666667,0.6666666666666666,1.5625,0.5208333333333334,0.5208333333333334,0,0,0,0,0
"Amile Jefferson","ORL",18,74,1.910828025477707,0.6369426751592356,1.2738853503184713,0.3333333333333333,0,0,0.6369426751592356,0,0,0,0,0
"Vic Law","ORL",9,65,1.4285714285714286,0,1.4285714285714286,0,0,0,0,0.7142857142857143,0,0,0,0
"Josh Magette","ORL",8,38,6.4935064935064934,2.5974025974025974,3.896103896103896,0.4,0,0,2.5974025974025974,3.896103896103896,0,0,0,0
