"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Tobias Harris","PHI",76,2618,2.0316027088036117,0.9405568096313017,1.09104589917231,0.46296296296296297,0.41384499623777277,0.09405568096313018,0.526711813393529,0.16930022573363432,0.33860045146726864,0.03762227238525207,0.07524454477050414,0
"Al Horford","PHI",71,2154,1.9013128112267994,1.0185604345857855,0.882752376641014,0.5357142857142857,0.1810774105930285,0.04526935264825713,0.8374830239927569,0.3168854685377999,0.13580805794477138,0.04526935264825713,0.022634676324128564,0
"Ben Simmons","PHI",57,2017,4.778972520908005,2.4611708482676224,2.3178016726403823,0.515,0.5017921146953405,0.0955794504181601,1.9593787335722819,0.7885304659498208,0.3106332138590203,0.04778972520908005,0.07168458781362007,0.07168458781362007
"Josh Richardson","PHI",59,1837,2.9930518439337255,1.5766969535008017,1.4163548904329235,0.5267857142857143,0.5344735435595938,0.02672367717797969,1.042223409941208,0.42757883484767506,0.40085515766969537,0,0.08017103153393906,0.02672367717797969
"Joel Embiid","PHI",55,1651,5.155555555555556,2.4592592592592593,2.696296296296296,0.47701149425287354,1.4814814814814814,0.32592592592592595,0.9777777777777777,0.6222222222222222,0.32592592592592595,0.08888888888888889,0.02962962962962963,0.02962962962962963
"Furkan Korkmaz","PHI",76,1599,1.838456901748041,0.9644364074743822,0.8740204942736588,0.5245901639344263,0.27124773960216997,0.06027727546714889,0.6931886678722122,0.12055455093429777,0.2109704641350211,0,0.24110910186859555,0
"Matisse Thybulle","PHI",69,1363,1.8996415770609318,1.039426523297491,0.8602150537634409,0.5471698113207547,0.21505376344086022,0.21505376344086022,0.8243727598566308,0.10752688172043011,0.25089605734767023,0,0.035842293906810034,0
"Mike Scott","PHI",72,1227,1.0408326661329064,0.5204163330664532,0.5204163330664532,0.5,0.1200960768614892,0.1200960768614892,0.400320256204964,0.200160128102482,0,0,0,0
"Shake Milton","PHI",44,931,2.808691043985162,1.7488076311605723,1.0598834128245893,0.6226415094339622,0.4769475357710652,0.1589825119236884,1.2718600953895072,0.2649708532061473,0.10598834128245893,0,0.052994170641229466,0
"James Ennis III","PHI",49,776,1.9484600879949716,0.8799497171590195,1.0685103708359522,0.45161290322580644,0.3142677561282212,0.18856065367693275,0.5656819610307983,0.18856065367693275,0.1257071024512885,0,0.06285355122564425,0
"Raul Neto","PHI",56,693,3.389830508474576,2.542372881355932,0.847457627118644,0.75,0.7768361581920904,0.14124293785310735,1.765536723163842,0.3531073446327684,0.07062146892655367,0.07062146892655367,0,0
"Alec Burks","PHI",22,459,1.9313304721030042,1.1802575107296138,0.7510729613733905,0.6111111111111112,0,0,1.1802575107296138,0.3218884120171674,0,0,0,0
"Trey Burke","PHI",25,329,1.8604651162790697,0.9302325581395349,0.9302325581395349,0.5,0,0,0.9302325581395349,0.31007751937984496,0.15503875968992248,0,0,0
"Kyle O'Quinn","PHI",30,318,3.3950617283950617,1.6975308641975309,1.6975308641975309,0.5,0.15432098765432098,0,1.5432098765432098,0.46296296296296297,0.46296296296296297,0,0,0
"Glenn Robinson III","PHI",14,270,0.9140767824497258,0.3656307129798903,0.5484460694698354,0.4,0.3656307129798903,0,0,0,0,0,0.18281535648994515,0
"Norvel Pelle","PHI",25,238,3.673469387755102,1.4285714285714286,2.2448979591836733,0.3888888888888889,0.8163265306122449,0,0.6122448979591837,0,0,0,0,0.20408163265306123
"Zhaire Smith","PHI",7,32,2.857142857142857,0,2.857142857142857,0,0,0,0,1.4285714285714286,1.4285714285714286,0,0,0
"Marial Shayok","PHI",4,28,4.6875,3.125,1.5625,0.6666666666666666,0,0,3.125,0,0,0,1.5625,0
"Jonah Bolden","PHI",4,14,6.0606060606060606,3.0303030303030303,3.0303030303030303,0.5,0,3.0303030303030303,3.0303030303030303,0,0,0,0,0
