"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"CJ McCollum","POR",75,2751,2.415120756037802,1.575078753937697,0.840042002100105,0.6521739130434783,0.6125306265313266,0.15750787539376968,0.9625481274063703,0.17500875043752187,0.10500525026251313,0,0.07000350017500875,0
"Damian Lillard","POR",71,2661,3.731476522049634,2.570969469737547,1.160507052312087,0.6889952153110048,0.6784502767362971,0.08926977325477593,1.8925191930012497,0.6605963220853419,0.08926977325477593,0,0.07141581860382075,0
"Hassan Whiteside","POR",72,2112,2.827822120866591,1.4367160775370582,1.3911060433295326,0.5080645161290323,0.7753705815279361,0.09122006841505131,0.661345496009122,0.15963511972633979,0.29646522234891676,0.11402508551881414,0,0.09122006841505131
"Carmelo Anthony","POR",63,2075,2.5749063670411987,0.9129213483146067,1.6619850187265917,0.35454545454545455,0.32771535580524347,0.16385767790262173,0.5852059925093633,0.25749063670411987,0.37453183520599254,0.023408239700374533,0.023408239700374533,0
"Anfernee Simons","POR",73,1503,2.005730659025788,1.177968799745304,0.827761859280484,0.5873015873015873,0.44571792422795287,0.09551098376313276,0.7322508755173511,0.22285896211397643,0.09551098376313276,0,0.1591849729385546,0
"Gary Trent Jr.","POR",66,1480,0.840064620355412,0.3554119547657512,0.48465266558966075,0.4230769230769231,0.12924071082390953,0.09693053311793215,0.22617124394184168,0.06462035541195477,0.03231017770597738,0,0.03231017770597738,0
"Kent Bazemore","POR",43,1111,2.582866982350409,1.5497201894102455,1.0331467929401636,0.6,0.30133448127421436,0.17219113215669393,1.248385708136031,0.5596211795092553,0.08609556607834697,0,0.04304778303917348,0
"Mario Hezonja","POR",58,936,2.2807906741003547,1.1657374556512925,1.1150532184490622,0.5111111111111111,0.5068423720223011,0.15205271160669032,0.6588950836289914,0.30410542321338063,0.20273694880892043,0,0,0
"Trevor Ariza","POR",21,702,1.9138755980861244,0.8202323991797676,1.0936431989063569,0.42857142857142855,0.2734107997265892,0.2050580997949419,0.5468215994531784,0.2734107997265892,0.0683526999316473,0,0.2734107997265892,0
"Rodney Hood","POR",21,619,1.4559386973180077,0.6896551724137931,0.7662835249042146,0.47368421052631576,0.22988505747126436,0.07662835249042145,0.45977011494252873,0.1532567049808429,0.22988505747126436,0,0,0
"Nassir Little","POR",48,573,1.2520868113522539,0.7512520868113522,0.5008347245409015,0.6,0.08347245409015025,0.08347245409015025,0.667779632721202,0,0,0,0.08347245409015025,0
"Skal Labissiere","POR",33,567,2.5402201524132093,1.0160880609652836,1.5241320914479255,0.4,0.42337002540220153,0.1693480101608806,0.5927180355630821,0.0846740050804403,0.2540220152413209,0.1693480101608806,0,0
"Anthony Tolliver","POR",33,554,1.788756388415673,1.192504258943782,0.596252129471891,0.6666666666666666,0.17035775127768313,0.08517887563884156,1.0221465076660987,0.17035775127768313,0.17035775127768313,0,0.08517887563884156,0
"Jusuf Nurkic","POR",13,418,4.013761467889908,1.9495412844036697,2.0642201834862384,0.4857142857142857,0.45871559633027525,0.11467889908256881,1.4908256880733946,0.45871559633027525,0.11467889908256881,0,0,0
"Zach Collins","POR",12,297,2.2801302931596092,0.9771986970684039,1.3029315960912051,0.42857142857142855,0.48859934853420195,0,0.48859934853420195,0.3257328990228013,0.16286644951140064,0,0,0
"Caleb Swanigan","POR",20,265,5.677655677655678,2.0146520146520146,3.663003663003663,0.3548387096774194,0.18315018315018314,0.7326007326007326,1.8315018315018314,0.9157509157509157,0.5494505494505495,0,0,0
"Wenyen Gabriel","POR",24,236,3.2989690721649483,0.41237113402061853,2.88659793814433,0.125,0.41237113402061853,0.20618556701030927,0,0.8247422680412371,0.6185567010309279,0,0,0.20618556701030927
"Jaylen Hoard","POR",15,124,2.2900763358778624,1.1450381679389312,1.1450381679389312,0.5,0.3816793893129771,0,0.7633587786259542,0,0.3816793893129771,0,0,0
"Moses Brown","POR",9,33,4.109589041095891,2.73972602739726,1.36986301369863,0.6666666666666666,0,0,2.73972602739726,0,0,0,0,0
"Jaylen Adams","POR",2,19,0,0,0,0,0,0,0,0,0,0,0,0
