"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Harrison Barnes","SAC",72,2482,1.7167381974248928,0.8778774873195474,0.8388607101053454,0.5113636363636364,0.37065938353492,0.13655872024970736,0.5072181037846274,0.19508388607101054,0.1755754974639095,0,0,0
"Buddy Hield","SAC",72,2216,3.6513801347533144,2.3038469897848293,1.347533144968485,0.6309523809523809,1.238861117148446,0.21734405564007825,1.0649858726363834,0.4346881112801565,0.15214083894805477,0,0.10867202782003912,0
"Nemanja Bjelica","SAC",72,2011,2.418763742975812,1.294893720987051,1.1238700219887614,0.5353535353535354,0.4642071829953579,0.09772782799902271,0.8306865379916931,0.1221597849987784,0.3664793549963352,0.04886391399951136,0.02443195699975568,0.02443195699975568
"Bogdan Bogdanovic","SAC",61,1766,2.845982142857143,1.7578125,1.0881696428571428,0.6176470588235294,0.7254464285714286,0.16741071428571427,1.0323660714285714,0.390625,0.13950892857142858,0,0.11160714285714286,0
"Cory Joseph","SAC",72,1759,2.249086308687096,1.3213382063536687,0.9277481023334271,0.5875,0.44981726173741915,0.11245431543435479,0.8715209446162496,0.6184987348889514,0.056227157717177394,0,0.028113578858588697,0
"De'Aaron Fox","SAC",51,1634,4.607757363662875,3.2662583843686206,1.3414989792942549,0.7088607594936709,1.2248468941382327,0.32079323417906097,2.041411490230388,0.379119276757072,0.11665208515602217,0,0,0
"Richaun Holmes","SAC",44,1242,2.0808323329331735,0.7603041216486595,1.3205282112845138,0.36538461538461536,0.4001600640256102,0.040016006402561026,0.36014405762304924,0.2000800320128051,0.12004801920768307,0.040016006402561026,0.08003201280512205,0
"Trevor Ariza","SAC",32,791,1.735895846249225,1.0539367637941723,0.6819590824550527,0.6071428571428571,0.12399256044637322,0.06199628022318661,0.9299442033477991,0.06199628022318661,0.1859888406695598,0,0.06199628022318661,0.06199628022318661
"Harry Giles III","SAC",46,667,3.195352214960058,1.5250544662309369,1.6702977487291213,0.4772727272727273,0.7262164124909223,0.14524328249818447,0.7988380537400145,0.36310820624546114,0.14524328249818447,0,0,0
"Kent Bazemore","SAC",25,577,2.579034941763727,1.1647254575707155,1.4143094841930117,0.45161290322580644,0.415973377703827,0.33277870216306155,0.7487520798668885,0.33277870216306155,0.08319467554076539,0,0.08319467554076539,0
"Dewayne Dedmon","SAC",34,541,4.292237442922374,1.36986301369863,2.922374429223744,0.3191489361702128,0.45662100456621,0.365296803652968,0.91324200913242,0.547945205479452,0.639269406392694,0,0,0
"Yogi Ferrell","SAC",50,530,2.5641025641025643,1.5567765567765568,1.0073260073260073,0.6071428571428571,0.27472527472527475,0.09157509157509157,1.2820512820512822,0,0.3663003663003663,0,0.27472527472527475,0
"Marvin Bagley III","SAC",13,334,2.608695652173913,1.1594202898550725,1.4492753623188406,0.4444444444444444,0.8695652173913043,0,0.2898550724637681,0.14492753623188406,0.7246376811594203,0,0.14492753623188406,0
"Justin James","SAC",36,232,1.6427104722792607,0.8213552361396304,0.8213552361396304,0.5,0.4106776180698152,0,0.4106776180698152,0.4106776180698152,0,0,0.4106776180698152,0
"Alex Len","SAC",15,225,3.3333333333333335,1.0416666666666667,2.2916666666666665,0.3125,0.625,0,0.4166666666666667,0.20833333333333334,0.20833333333333334,0.20833333333333334,0,0.20833333333333334
"DaQuan Jeffries","SAC",13,141,0.6329113924050633,0.31645569620253167,0.31645569620253167,0.5,0,0.31645569620253167,0.31645569620253167,0,0,0,0,0
"Anthony Tolliver","SAC",9,82,2.380952380952381,0.5952380952380952,1.7857142857142858,0.25,0,0.5952380952380952,0.5952380952380952,0.5952380952380952,0,0,0,0
"Jabari Parker","SAC",6,80,2.197802197802198,1.098901098901099,1.098901098901099,0.5,0,0.5494505494505495,1.098901098901099,0,0,0,0,0
"Wenyen Gabriel","SAC",11,61,3.7593984962406015,2.255639097744361,1.5037593984962405,0.6,2.255639097744361,0.7518796992481203,0,0,0,0,0,0
"Corey Brewer","SAC",5,33,2.73972602739726,1.36986301369863,1.36986301369863,0.5,0,0,1.36986301369863,0,0,0,0,0
"Caleb Swanigan","SAC",7,23,11.11111111111111,5.555555555555555,5.555555555555555,0.5,0,0,5.555555555555555,3.7037037037037037,0,0,0,0
"Eric Mika","SAC",1,19,0,0,0,0,0,0,0,0,0,0,0,0
"Kyle Guy","SAC",3,10,0,0,0,0,0,0,0,0,0,0,0,0
