"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"DeMar DeRozan","SAS",68,2316,3.4273772204806687,2.0689655172413794,1.3584117032392895,0.6036585365853658,1.0867293625914316,0.2089864158829676,0.9822361546499477,0.2716823406478579,0.29258098223615464,0,0.12539184952978055,0
"LaMarcus Aldridge","SAS",53,1754,2.057842046718576,0.6952169076751946,1.3626251390433815,0.33783783783783783,0.41713014460511677,0.13904338153503892,0.27808676307007785,0.08342602892102335,0.27808676307007785,0,0,0.027808676307007785
"Dejounte Murray","SAS",66,1687,3.5888601780074647,2.0671834625322996,1.5216767154751651,0.576,0.7751937984496124,0.5167958656330749,1.2919896640826873,0.40195233993683605,0.05742176284811944,0,0.08613264427217916,0
"Derrick White","SAS",68,1677,2.520532427074483,1.8125177003681676,0.7080147267063155,0.7191011235955056,0.6513735485698102,0.02832058906825262,1.1611441517983574,0.19824412347776835,0.19824412347776835,0,0.16992353440951571,0
"Bryn Forbes","SAS",63,1579,1.7598024081506638,1.018832973139858,0.7409694350108058,0.5789473684210527,0.4322321704229701,0.09262117937635073,0.586600802716888,0.09262117937635073,0.2778635381290522,0,0.06174745291756715,0
"Patty Mills","SAS",66,1485,1.717557251908397,0.8587786259541985,0.8587786259541985,0.5,0.15903307888040713,0.15903307888040713,0.6997455470737913,0.2544529262086514,0.09541984732824428,0,0.031806615776081425,0
"Rudy Gay","SAS",67,1461,2.842377260981912,1.6795865633074936,1.1627906976744187,0.5909090909090909,0.9366925064599483,0.22609819121447028,0.7428940568475452,0.29069767441860467,0.29069767441860467,0,0.06459948320413436,0.03229974160206718
"Trey Lyles","SAS",63,1271,1.4902560183416125,0.9170806266717616,0.573175391669851,0.6153846153846154,0.1146350783339702,0.1146350783339702,0.8024455483377914,0.2292701566679404,0.1146350783339702,0,0,0
"Jakob Poeltl","SAS",66,1171,2.1915584415584415,1.1363636363636365,1.0551948051948052,0.5185185185185185,0.2840909090909091,0.040584415584415584,0.8522727272727273,0.2435064935064935,0.16233766233766234,0.040584415584415584,0,0
"Lonnie Walker IV","SAS",61,988,2.1940516821062896,1.121404193076548,1.0726474890297415,0.5111111111111111,0.48756704046806437,0.19502681618722575,0.6338371526084836,0.09751340809361288,0.1462701121404193,0,0.24378352023403219,0
"Marco Belinelli","SAS",57,883,1.0187667560321716,0.5361930294906166,0.48257372654155495,0.5263157894736842,0.32171581769436997,0,0.21447721179624665,0.16085790884718498,0.21447721179624665,0,0,0
"Keldon Johnson","SAS",17,301,1.97869101978691,0.91324200913242,1.06544901065449,0.46153846153846156,0.76103500761035,0.15220700152207,0.15220700152207,0,0.45662100456621,0,0.15220700152207,0
"Drew Eubanks","SAS",22,272,3.5472972972972974,1.6891891891891893,1.8581081081081081,0.47619047619047616,0.5067567567567568,0.33783783783783783,1.1824324324324325,0.33783783783783783,0.16891891891891891,0,0,0
"DeMarre Carroll","SAS",15,135,3.5587188612099645,1.4234875444839858,2.1352313167259784,0.4,0.35587188612099646,0,1.0676156583629892,0.35587188612099646,0.35587188612099646,0,0,0
"Chimezie Metu","SAS",18,105,4.444444444444445,1.7777777777777777,2.6666666666666665,0.4,0.8888888888888888,0.8888888888888888,0.8888888888888888,0,0,0.4444444444444444,0,0
"Quinndary Weatherspoon","SAS",11,78,2.840909090909091,2.272727272727273,0.5681818181818182,0.8,0.5681818181818182,0,1.7045454545454546,0,0.5681818181818182,0,0,0
"Luka Samanic","SAS",3,48,2.0202020202020203,1.0101010101010102,1.0101010101010102,0.5,1.0101010101010102,0,0,0,0,0,0,0
"Tyler Zeller","SAS",2,4,0,0,0,0,0,0,0,0,0,0,0,0
