"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Pascal Siakam","TOR",64,2244,3.288078065337293,1.5485787017394994,1.7394993635977938,0.47096774193548385,0.6576156130674586,0.1697072549851506,0.8909630886720408,0.3818413237165889,0.3606279168434451,0,0.021213406873143825,0.021213406873143825
"Kyle Lowry","TOR",62,2218,3.95784039578404,2.2370402237040223,1.7208001720800172,0.5652173913043478,0.5162400516240052,0.19359001935900194,1.7208001720800172,0.795870079587008,0.23661002366100237,0,0.08604000860400086,0
"OG Anunoby","TOR",73,2195,1.816590063471219,0.9192383453709784,0.8973517181002407,0.5060240963855421,0.3939592908732764,0.08754650908295032,0.525279054497702,0.1313197636244255,0.262639527248851,0,0.06565988181221274,0
"Fred VanVleet","TOR",58,2061,2.954279015240328,1.735052754982415,1.2192262602579131,0.5873015873015873,0.6799531066822978,0.16412661195779601,1.0550996483001172,0.4220398593200469,0.1406799531066823,0,0.023446658851113716,0
"Serge Ibaka","TOR",59,1579,3.411513859275053,1.4316174230886385,1.9798964361864149,0.41964285714285715,0.883338409990862,0.15229972586049345,0.5482790130977764,0.18275967103259214,0.395979287237283,0.24367956137678953,0.03045994517209869,0
"Norman Powell","TOR",56,1575,2.4280575539568345,1.1990407673860912,1.2290167865707433,0.49382716049382713,0.6294964028776978,0.1498800959232614,0.5695443645083933,0.32973621103117506,0.20983213429256595,0,0.1498800959232614,0
"Terence Davis","TOR",75,1263,3.0038022813688214,1.7870722433460076,1.2167300380228137,0.5949367088607594,0.7604562737642585,0.03802281368821293,1.026615969581749,0.41825095057034223,0.1520912547528517,0,0.1520912547528517,0
"Marc Gasol","TOR",48,1241,2.626496716879104,1.1201235998455001,1.5063731170336037,0.4264705882352941,0.34762456546929316,0,0.772499034376207,0.4248744689069139,0.4248744689069139,0.03862495171881035,0.03862495171881035,0
"Rondae Hollis-Jefferson","TOR",63,1152,2.5284450063211126,1.3063632532659082,1.2220817530552044,0.5166666666666667,0.5899705014749262,0.2949852507374631,0.7163927517909818,0.37926675094816686,0.1264222503160556,0,0.04214075010535188,0.04214075010535188
"Patrick McCaw","TOR",37,908,1.5384615384615385,0.9549071618037135,0.583554376657825,0.6206896551724138,0.5305039787798409,0.05305039787798409,0.4244031830238727,0.15915119363395225,0.15915119363395225,0,0.10610079575596817,0
"Chris Boucher","TOR",65,837,1.665709362435382,0.80413555427915,0.8615738081562321,0.4827586206896552,0.2871912693854107,0.1723147616312464,0.5169442848937392,0.22975301550832855,0.1723147616312464,0,0,0.05743825387708214
"Matt Thomas","TOR",45,483,1.557935735150925,0.6815968841285297,0.8763388510223953,0.4375,0.09737098344693282,0,0.5842259006815969,0.19474196689386564,0.3894839337877313,0,0.09737098344693282,0
"Malcolm Miller","TOR",29,167,1.1428571428571428,0,1.1428571428571428,0,0,0.5714285714285714,0,0.2857142857142857,0,0,0,0
"Stanley Johnson","TOR",27,166,3.910614525139665,1.9553072625698324,1.9553072625698324,0.5,0.5586592178770949,0.27932960893854747,1.3966480446927374,0.27932960893854747,0.27932960893854747,0,0.5586592178770949,0
"Oshae Brissett","TOR",19,135,2.5179856115107913,1.079136690647482,1.4388489208633093,0.42857142857142855,0,0.7194244604316546,1.079136690647482,0,0.3597122302158273,0,0,0
"Paul Watson","TOR",10,78,1.7341040462427746,1.1560693641618498,0.5780346820809249,0.6666666666666666,0,0,1.1560693641618498,0,0,0,0,0
"Dewan Hernandez","TOR",6,28,4.838709677419355,3.225806451612903,1.6129032258064515,0.6666666666666666,1.6129032258064515,0,1.6129032258064515,0,0,0,0,0
"Shamorie Ponds","TOR",4,11,0,0,0,0,0,0,0,0,0,0,0,0
