"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Donovan Mitchell","UTA",74,2545,3.8565368299267258,2.4103355187042035,1.4462013112225223,0.625,1.0798303123794832,0.28924026224450444,1.3305052063247205,0.44350173544157345,0.23139220979560354,0,0.057848052448900886,0
"Rudy Gobert","UTA",73,2523,2.695839031060754,1.0744285993358078,1.6214104317249463,0.39855072463768115,0.5860519632740769,0.13674545809728464,0.4883766360617308,0.15628052353975386,0.25395585075210003,0.15628052353975386,0.019535065442469232,0.058605196327407696
"Joe Ingles","UTA",77,2302,3.126338329764454,1.9914346895074946,1.1349036402569592,0.636986301369863,0.3426124197002141,0.10706638115631692,1.6488222698072805,0.29978586723768735,0.1284796573875803,0,0,0
"Royce O'Neale","UTA",76,2218,1.5841142347166444,0.6916555109326193,0.892458723784025,0.43661971830985913,0.2677376171352075,0.13386880856760375,0.42391789379741185,0.0892458723784025,0.20080321285140562,0,0.11155734047300313,0
"Bojan Bogdanovic","UTA",63,2083,3.732394366197183,2.276995305164319,1.4553990610328638,0.610062893081761,0.9154929577464789,0.1643192488262911,1.3615023474178405,0.49295774647887325,0.3286384976525822,0,0.11737089201877934,0
"Mike Conley","UTA",50,1454,3.1681833501853722,1.9211324570273003,1.2470508931580722,0.6063829787234043,0.5055611729019212,0.2696326255476913,1.4155712841253791,0.4718570947084597,0.13481631277384565,0,0.03370407819346141,0
"Jordan Clarkson","UTA",47,1184,2.625,1.2916666666666667,1.3333333333333333,0.49206349206349204,0.7083333333333334,0.2916666666666667,0.5833333333333334,0.16666666666666666,0.20833333333333334,0,0,0.041666666666666664
"Georges Niang","UTA",71,1011,1.5518913676042676,0.7759456838021338,0.7759456838021338,0.5,0.24248302618816683,0,0.533462657613967,0.1454898157129001,0.24248302618816683,0,0.1454898157129001,0
"Emmanuel Mudiay","UTA",57,883,4.205352266521027,2.293828509011469,1.9115237575095576,0.5454545454545454,0.8192244675040962,0.2184598580010923,1.4746040415073731,0.3823047515019115,0.3276897870016384,0,0.1638448935008192,0
"Tony Bradley","UTA",63,707,2.343211578221916,0.34458993797381116,1.9986216402481047,0.14705882352941177,0.2067539627842867,0.06891798759476224,0.13783597518952448,0.13783597518952448,0.2067539627842867,0.06891798759476224,0.13783597518952448,0.06891798759476224
"Jeff Green","UTA",30,553,2.3767605633802815,0.44014084507042256,1.9366197183098592,0.18518518518518517,0.176056338028169,0.2640845070422535,0.2640845070422535,0.176056338028169,0,0,0.176056338028169,0
"Ed Davis","UTA",28,303,2.159468438538206,0.4983388704318937,1.6611295681063123,0.23076923076923078,0,0.16611295681063123,0.4983388704318937,0.16611295681063123,0.33222591362126247,0.16611295681063123,0,0.16611295681063123
"Juwan Morgan","UTA",26,212,1.5981735159817352,1.1415525114155252,0.45662100456621,0.7142857142857143,0.45662100456621,0.228310502283105,0.684931506849315,0,0.228310502283105,0,0,0
"Rayjon Tucker","UTA",21,173,2.479338842975207,0.8264462809917356,1.6528925619834711,0.3333333333333333,0,0,0.8264462809917356,0.5509641873278237,0.27548209366391185,0,0,0
"Miye Oni","UTA",12,123,2,1.6,0.4,0.8,0,0,1.6,0,0,0,0,0
"Jarrell Brantley","UTA",11,109,3.5555555555555554,1.7777777777777777,1.7777777777777777,0.5,0.8888888888888888,0,0.8888888888888888,0.4444444444444444,0,0,0,0
"Dante Exum","UTA",11,83,5.9523809523809526,2.380952380952381,3.5714285714285716,0.4,0,0,2.380952380952381,1.7857142857142858,1.1904761904761905,0,0,0
"Nigel Williams-Goss","UTA",11,52,2.6785714285714284,1.7857142857142858,0.8928571428571429,0.6666666666666666,0,0,1.7857142857142858,0,0,0,0,0
"Justin Wright-Foreman","UTA",4,45,3.1914893617021276,3.1914893617021276,0,1,0,0,3.1914893617021276,0,0,0,0,0
"Stanton Kidd","UTA",4,15,5.882352941176471,0,5.882352941176471,0,0,0,0,0,5.882352941176471,0,0,0
