"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Bradley Beal","WAS",57,2053,4.436313743425566,2.8584495769494627,1.5778641664761033,0.6443298969072165,1.1891150240109765,0.1600731763091699,1.6693345529384862,0.5030871255431054,0.0914703864623828,0,0.1372055796935742,0
"Ish Smith","WAS",68,1787,2.4908232826428947,1.599370739381227,0.8914525432616676,0.6421052631578947,0.4195070791819612,0.1048767697954903,1.1798636601992658,0.4457262716308338,0.15731515469323545,0,0.026219192448872573,0.026219192448872573
"Troy Brown Jr.","WAS",69,1782,2.0537124802527646,1.1848341232227488,0.8688783570300158,0.5769230769230769,0.3949447077409163,0.18430753027909427,0.7898894154818326,0.210637177461822,0.0526592943654555,0,0.13164823591363875,0
"Davis Bertans","WAS",54,1583,1.7221249270286048,1.1675423234092235,0.5545826036193812,0.6779661016949152,0.29188558085230587,0.02918855808523059,0.8756567425569177,0.3210741389375365,0.02918855808523059,0,0.02918855808523059,0
"Rui Hachimura","WAS",48,1444,1.7371353654539494,0.9505080301540478,0.7866273352999017,0.5471698113207547,0.5899705014749262,0.09832841691248771,0.3605375286791216,0.06555227794165848,0.22943297279580466,0,0.06555227794165848,0.03277613897082924
"Isaac Bonga","WAS",66,1250,2.2095238095238097,1.1047619047619048,1.1047619047619048,0.5,0.34285714285714286,0.19047619047619047,0.7619047619047619,0.38095238095238093,0.1523809523809524,0,0.0761904761904762,0
"Thomas Bryant","WAS",46,1147,2.163265306122449,0.7346938775510204,1.4285714285714286,0.33962264150943394,0.24489795918367346,0.12244897959183673,0.4897959183673469,0.20408163265306123,0.16326530612244897,0.08163265306122448,0.04081632653061224,0
"Isaiah Thomas","WAS",40,925,3.8712921065862242,2.513826043237808,1.3574660633484164,0.6493506493506493,0.8044243338360986,0.10055304172951232,1.7094017094017093,0.6033182503770739,0.20110608345902464,0,0.05027652086475616,0
"Moritz Wagner","WAS",45,835,3.6263736263736264,0.989010989010989,2.6373626373626373,0.2727272727272727,0.43956043956043955,0.21978021978021978,0.5494505494505495,0.21978021978021978,0.5494505494505495,0.16483516483516483,0.054945054945054944,0.054945054945054944
"Ian Mahinmi","WAS",38,808,2.6690391459074734,0.830367734282325,1.8386714116251484,0.3111111111111111,0.5338078291814946,0.2372479240806643,0.29655990510083036,0.35587188612099646,0.2372479240806643,0.11862396204033215,0.11862396204033215,0
"Jordan McRae","WAS",29,654,2.664796633941094,1.9635343618513323,0.7012622720897616,0.7368421052631579,0.9817671809256662,0,0.9817671809256662,0.1402524544179523,0.3506311360448808,0,0,0
"Jerome Robinson","WAS",21,503,2.117863720073665,1.0128913443830572,1.1049723756906078,0.4782608695652174,0,0.5524861878453039,1.0128913443830572,0.1841620626151013,0.1841620626151013,0,0.09208103130755065,0
"Shabazz Napier","WAS",20,488,5.048543689320389,3.3980582524271843,1.6504854368932038,0.6730769230769231,1.1650485436893203,0.1941747572815534,2.233009708737864,0.970873786407767,0.0970873786407767,0,0.1941747572815534,0
"Anzejs Pasecniks","WAS",26,437,2.6200873362445414,1.091703056768559,1.5283842794759825,0.4166666666666667,0.5458515283842795,0,0.5458515283842795,0.2183406113537118,0.2183406113537118,0,0,0
"Gary Payton II","WAS",29,432,2.205071664829107,1.1025358324145536,1.1025358324145536,0.5,0.4410143329658214,0,0.6615214994487321,0.33076074972436603,0.4410143329658214,0,0.2205071664829107,0
"Admiral Schofield","WAS",33,368,0.9138381201044387,0.26109660574412535,0.6527415143603134,0.2857142857142857,0.26109660574412535,0.13054830287206268,0,0.26109660574412535,0,0,0.13054830287206268,0
"Garrison Mathews","WAS",18,227,1.6771488469601676,0.4192872117400419,1.2578616352201257,0.25,0,0,0.4192872117400419,0.4192872117400419,0,0,0.20964360587002095,0
"Johnathan Williams","WAS",15,180,1.3736263736263736,0.5494505494505495,0.8241758241758241,0.4,0.27472527472527475,0,0.27472527472527475,0,0,0,0,0.27472527472527475
"CJ Miles","WAS",10,161,1.1142061281337048,0.5571030640668524,0.5571030640668524,0.5,0,0.2785515320334262,0.5571030640668524,0,0,0,0,0
"Chris Chiozza","WAS",10,123,3.4220532319391634,1.9011406844106464,1.520912547528517,0.5555555555555556,0.38022813688212925,0.7604562737642585,1.520912547528517,0.7604562737642585,0,0,0,0
"Jerian Grant","WAS",6,80,1.7857142857142858,1.1904761904761905,0.5952380952380952,0.6666666666666666,0.5952380952380952,0,0.5952380952380952,0,0,0,0,0
"Justin Robinson","WAS",9,49,3,3,0,1,1,0,2,0,0,0,0,0
"Jarrod Uthoff","WAS",3,39,0,0,0,0,0,0,0,0,0,0,0,0
